DOY2,HR2,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,SC_1_1_1,G_1_1_1,H_1_1_1,LE_1_1_1,WS_1_1_1,USTAR_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,TS_1_1_1,TS_1_2_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,T_SONIC_1_1_1,CO2_2_1_1,SC_1_1_2,G_1_1_2,G_1_1_3,SH_1_1_1,TAU_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,NEE_1_1_1,CO2_2_2_1,CO2_2_3_1,CO2_2_4_1,CO2_2_5_1,SC_1,SC_2,FCH4_1_1_1,CH4_1_1_1
1,0.25,397.625,7.5255752185,1.1174122835,0.059482,-7.2486666665,-16.8199645,1.859209,1.567136,0.188468184,101.455,82.12829,3.7119705,1.530842304,7.2335,9.995,-43.9641,-1.219435,1.392418,285.3886,324.6461,-13.81251857,4.835168,411.58,0.09016,-8.58,-7.5025,-1.924831,-0.036581,0.381365,0.298578,0.267063,1.1584895,434.8333335,443.35,446.55,447.666667,0.1456745,-1.760398,0.629,2088.16
1,0.75,397.9014555,7.320669,1.143635239,0.105,-7.281,-17.808613,1.62928,1.55965,0.191977287,101.4759,83.14870062,3.79742,1.514376732,7.149,9.95,-41.29062,-1.1000895,1.365188,285.9641,324.83,-13.81715183,4.541699,412.71,0.141483,-8.82,-7.618,-2.139094,-0.0345645,0.365378,0.3086455,0.2681925,1.272224,434.391667,445.6833335,447.1583335,447.8,0.166459,0.502451,0.853,2090.97
1,1.25,397.442974,7.31,1.086783098,0.068685,-7.3715,-17.54395379,1.352135,1.57957,0.186324,101.453,83.73817,3.547158,1.4417898765,7.113,9.92,-39.993075,-1.156685,1.47309,286.9016,323.63485,-13.37711994,4.334549,412.8,-0.153249,-8.935,-7.746,-2.362089,-0.0282,0.3673055,0.3274595,0.2435325,1.11856,436.0166665,447.85,449.6083335,449.3583335,-0.02995,-0.925023,1.424,2088.785
1,1.75,398.36,7.45,1.05565596,0.064288,-7.534666667,-19.965884,1.774215,1.6094035,0.195916943,101.45095,84.098615,3.517703,1.4157785365,7.064,9.9,-39.825015,-1.076608,1.362066,288.735,323.15215,-12.57237299,4.127,413.82,0.06337,-8.92,-7.723,-1.85291,-0.037469,0.384505,0.334145,0.258996,1.04899,437.95,449.016667,451.8166665,452.516667,-0.088119,1.6361085,0.7325,2090
1,2.25,398.28398,7.27089,1.1025675,0.079601,-7.636,-19.243301,1.6323425,1.58352,0.196334,101.45515,85.03544318,3.1238215,1.330162935,7.0445,9.9,-37.2207,-1.138825,1.381262,287.30085,321.61205,-12.35805766,3.989,416.02,0.195777,-8.9,-7.854,-2.40461,-0.032292,0.395813,0.336161,0.255259,1.031412,438.833333,449.833333,452.733333,452.633333,0.197492,-1.7409405,0.034,2092.04
1,2.75,397.94,7.532495,1.03335,0.065485017,-7.596,-18.33733295,2.108351,1.60661,0.2,101.43385,84.996113,3.077535,1.3068327865,7.056,9.9,-37.57512,-1.057375,1.325045,289.9112,321.688,-13.52370272,3.486958,412.85,-0.032918,-9.03,-7.9685,-2.2903675,-0.032957,0.370757,0.338646,0.248797,1.200553,443.15,451.516667,453.8833335,453.091667,0.209658,-0.2898,0.675,2094.76
1,3.25,397.991042,7.24,0.885975,0.038567,-7.6331666665,-17.430775,1.855383,1.55678,0.205392252,101.443,84.852594215,2.952704,1.345,7.0385,9.87,-38.53108,-1.152241,1.398482,288.2162,320.9909,-13.81440973,3.6582825,414.3,0.174605,-9.19,-8.08,-1.302429,-0.034715,0.3816055,0.3326055,0.245641,0.96,440.8166665,450.1833335,453.3583335,454.6,0.063177,1.2074975,0.025,2091.92
1,3.75,397.4252125,7.0354915,0.988351,0.037199,-7.625,-16.951206475,1.805015,1.5930375,0.200184655,101.434,85.26553823,2.6927,1.306322635,7.021,9.86,-40.72016,-1.12786,1.3864155,288.2988,320.7433,-12.05673774,3.574,415.315,0.123605,-9.22,-8.16,-1.542528,-0.0323,0.3762325,0.326105,0.2522785,1.16,446,453.433333,454.2,453.783333,0.074073,1.4013125,0.433,2090.305
1,4.25,398.283,7.02,0.8910705,0.06884,-7.7718333335,-16.4503363,2.0615905,1.5434075,0.1857779045,101.447,85.987728165,2.5091,1.249635,6.963,9.865,-36.06846,-1.169911,1.3945125,289.69585,319.36415,-11.21467096,3.479893,416.45,0.040762,-9.315,-8.18,-1.44058,-0.036305,0.361401,0.331193,0.26565,0.641371,444.933333,454.25,454.216667,453.55,-0.024486,0.127614,0.581,2091.685
1,4.75,397.3127454,6.9500451465,0.8428375985,0.064322346,-7.808,-15.9188,1.6835565,1.537483,0.186592028,101.458,84.98303,2.496124,1.2376824385,6.9165,9.865,-33.36,-1.090371,1.29781,291.6377,318.582,-12.34624434,3.578317,414.13,0.007193,-9.365,-8.125,-1.65464,-0.035044,0.382756,0.3315145,0.2611605,1.031795,443.5583335,454.5,456,456.1583335,-0.146053,1.565922,1.15,2095.76
1,5.25,397.41,6.81,0.9084305,0.1243672135,-7.8195,-15.257808355,1.77604,1.52133,0.17445602,101.4345,84.86387433,2.3316995,1.180708863,6.906,9.845,-31.63181,-1.098585,1.291831,291.5022,318.221,-12.86824962,2.976033,413.72,-0.037335,-9.485,-8.22,-1.585176,-0.0341695,0.370995,0.3149795,0.2445755,1.039333,447.9416665,454.075,459.091667,458.858333,0.131516,1.862289,0.793,2090.6
1,5.75,397.9912545,6.787255,0.9223675,0.0916842295,-7.8368333335,-14.92445,1.1638625,1.529301,0.187219,101.4626,85.6192275,2.373909,1.14812,6.799,9.83,-27.455975,-1.04734,1.260395,292.512,317.5795,-13.408309705,2.916485,415.81,-0.060991,-9.53,-8.305,-1.9629535,-0.029162,0.37027,0.320965,0.244844,0.925362,444.6,453.8,459.5,459.066667,0.153065,1.108677,0.568,2095.61
1,6.25,398.3345785,6.76,0.9805508505,0.088174335,-7.864,-16.12323069,1.365287,1.54,0.184375032,101.472,84.9546415,2.29289,1.1140565,6.7655,9.825,-27.31231,-0.971347,1.23404,294.533,317.2259,-13.8161861,2.848208,419.8016665,0.109481,-9.58,-8.32,-1.541361,-0.026805,0.353024,0.319883,0.243492,1.15,446.716667,456.316667,460.6,460.9166665,0.15309,-1.3860215,0.754,2101.57
1,6.75,397.987119,6.851895,1.00566,0.0135,-7.8958333335,-16.73119515,2.63592,1.573728,0.183194007,101.5095,85.712835,1.7826585,1.0525470765,6.7335,9.78,-27.42196,-0.8610695,1.356935,294.2398,317.9697,0.058776,2.763642,418.72,-0.315604,-9.855,-8.29,-1.50354,-0.03274,0.369724,0.314006,0.25032,1.14498,446.8083335,454.808333,460.7416665,460.025,0.18231,-0.013387,-0.587,2103.81
1,7.25,397.9985559,6.8775955,0.850954,0.0689996,-8.0226666665,-15.6148383,1.8855,1.52162,0.182852019,101.48,86.10860954,1.7771255,1.012143,6.695,9.78,-20.94856,3.2233205,2.4003,294.4509,317.53855,7.1175395,2.795082,422.8666665,-0.554601,-9.79,-8.315,-0.265474,-0.0291,0.357385,0.312646,0.234687,1.00717,449.75,460.325,460.4416665,461,0.2792045,-0.4751625,0.982,2106.77
1,7.75,398.4892455,6.93163,0.41,0.003574817,-8.0871666665,-13.996241,2.589621,1.48677,0.200868,101.47535,86.0710978,1.966789,1.042483247,6.659,9.735,-1.565295,33.7473,10.001157,295.3944,319.078,60.75767,2.916791,420.316667,-0.934745,-9.79,-8.35,3.351335,-0.035013,0.384005,0.32252,0.267341,0.532538,450.416667,456.683333,460.133333,459.483333,0.161977,-4.406155,0.011,2112.695
1,8.25,399.9845,7.01478,0.1408202785,-0.112721656,-7.9685,-5.584799665,7.685045,1.465475,0.228315,101.478,83.75683,2.505858,1.181803129,6.6335,9.73,23.68309,89.98284,20.6854,296.7672,323.469,177.076,3.417539,418.5,-0.577089,-9.87,-8.195,8.681797,-0.051944,0.450329,0.370515,0.318145,-0.001853,450.6416665,460.7166665,461.95,461.6083335,-0.056017,-4.010501,1.573,2116.86
