DOY2,HR2,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,SC_1,G_1_1_1,G_1_1_2,G_1_1_3,H_1_1_1,LE_1_1_1,SH_1_1_1,SLE_1_1_1,WS_1_1_1,USTAR_1_1_1,TAU_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,T_SONIC_1_1_1,TS_1_1_1,TS_1_2_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NEE_1_1_1,PA_1_1_1
1,0.25,403.738869,3.72978225,0,-0.151585,-19.539175,-17.19185,-15.99557,-30.512063,-0.299069,-1.689501,-0.396659,0.54491825,0.04540475,-0.1278905,0.23187,0.22518,0.0447005,75.53738,-1.983266,0.2238385,-2.285799,6.3675,6.628046,-79.4285725,0,-1.987799,0.53464775,223.5837,296.0367,0.3867495,101.1904575
1,0.75,403.3610395,3.698581,0,-0.3088835,-20.127445,-17.924375,-16.03071,-25.795574,-0.08672875,-1.545679,-0.35149225,0.4723535,0.04155175,-0.1429335,0.22501375,0.21359575,0.04685425,76.2123225,-2.21077175,0.1982438855,-2.31337,6.2721695,6.546074,-78.7219905,0,-1.9263975,0.5789675,223.13345,294.08895,0.206298,101.21621675
1,1.25,403.683745,3.68280425,0,-0.12933,-19.509325,-18.15045,-16.12044,-26.3789205,-0.51538175,-1.752319,-0.3057785,0.52314475,0.0441705,-0.1276845,0.22270025,0.2322075,0.04264225,76.77312,-2.18754,0.1697613305,-2.46925,6.2135895,6.45298525,-78.28950425,0,-1.868978,0.555704,221.989075,293.30245,0.240481,101.2080465
1,1.75,402.649977,3.7359925,0,-0.30990975,-19.652615,-18.125275,-16.14672,-25.7053975,-0.184798,-1.15413,-0.27972175,0.5471125,0.0419645,-0.1601325,0.2315205,0.2353795,0.0538485,77.20107,-2.209626,0.1591854405,-2.8755245,6.165643,6.489962,-76.2078725,0,-1.839098,0.488574,223.1972,292.1139,0.151754,101.223
1,2.25,401.743817,3.73217825,0.01936225,-0.26858925,-19.376555,-17.76239,-16.491105,-32.1842485,-0.1030625,-1.1964375,-0.430438,0.50802575,0.0504505,-0.15351875,0.270774,0.253296,0.053459,78.382057,-2.561536,0.143291737,-3.337816,6.103985,6.483426,-73.1508145,0,-1.75552225,0.513369,224.54565,291.04315,0.358359,101.238251
1,2.75,402.334112,3.653086,0.07286475,-0.3543495,-19.419875,-17.9948625,-16.61933,-33.77117225,-0.373449,-1.30509825,-0.6797315,0.585607,0.053439,-0.16341575,0.281941,0.262654,0.059242,79.69821825,-2.6170445,0.151020571,-2.991,6.0177435,6.4399085,-73.99622,0,-1.8507,0.487083,228.6471,290.465575,0.5098435,101.238251
1,3.25,401.807225,3.5905795,0.2488205,-0.191619,-19.3063325,-18.2466125,-16.40245,-34.963735,-0.356818,-0.7474665,-0.33060625,0.5826545,0.048928,-0.123703,0.220132,0.2548395,0.0651405,78.49104,-2.82894925,0.1509333785,-3.26,6.00299675,6.41949325,-69.4919975,0,-1.705351,0.502239,233.5148,292.809475,0.37815,101.238251
1,3.75,401.587753,3.5641285,0.19813175,-0.14566,-19.1834525,-18.048695,-16.3842575,-33.895813,0.013169,-1.408425,-0.7087865,0.69832,0.0476415,-0.148672,0.242695,0.2426245,0.063047,77.93694,-2.796191,0.16245801425,-3.3521995,5.99290025,6.423373,-72.32646,0,-1.95063675,0.51222425,233.75285,292.92335,0.319188,101.238251
1,4.25,402.339923,3.6060545,0.114384,-0.20172425,-19.2175,-18.0444225,-16.2239875,-32.395966,-0.074198,-1.0320435,-0.335264,0.7172465,0.0537525,-0.191634,0.2706375,0.256297,0.055495,77.49261125,-2.85261775,0.170554068,-3.6097835,5.937512,6.398699,-72.79358,0,-2.0426525,0.565237,230.69525,292.288625,0.232682,101.238251
1,4.75,401.55731175,3.56596575,0.277484,-0.164786,-19.52146,-17.61169,-15.97431,-31.351179,0.1315235,-0.9217855,-0.437779,0.63467575,0.0448135,-0.216572,0.248867,0.21569575,0.04856375,77.3124465,-2.925785,0.169526,-3.65894375,5.966662,6.38977025,-74.91237,0,-1.957145,0.459342,227.6838,291.66695,0.4380365,101.238251
