DOY2,HR2,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,SC_1,G_1_1_1,G_1_1_2,G_1_1_3,H_1_1_1,LE_1_1_1,SH_1_1_1,WS_1_1_1,USTAR_1_1_1,TAU_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,T_SONIC_1_1_1,TS_1_1_1,TS_1_2_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NEE_1_1_1,PA_1_1_1
1,0.25,411.83539,5.5718445,0.824304,0.036378,-13.60711,-12.15276,-10.05301,-11.509709,2.273695,-0.443435,1.068311,0.115813,-0.017098,0.446437,0.360575,0.169239,93.36134,2.600693,0.49236,2.414055,8.109973,9.245879,-38.847695,0,-0.6982375,1.2429025,279.9415,317.6143,1.059338,101.7495
1,0.75,412.8112965,5.5911325,1.243242,-0.020994,-13.5137,-12.68791,-10.19795,-10.3237105,2.378645,-0.639972,0.95662,0.119027,-0.019127,0.430344,0.369497,0.160403,92.964141,2.401384,0.429853,2.475165,8.052634,9.163785,-36.644695,0,-0.601391,1.3036175,281.511,314.45125,1.3672725,101.736553
1,1.25,414.439486,5.642318,1.017754,0.0274805,-13.23708,-12.8034,-10.63966,-10.7185275,1.30427,-0.564033,1.080057,0.120946,-0.019454,0.37582,0.36184,0.157185,93.268475,2.5410675,0.481902,2.155939,8.06216,9.151371,-33.094305,0,-0.5980455,1.281742,282.84125,315.55075,1.186942,101.7209535
1,1.75,412.360238,5.56203,0.975851,-0.017664,-13.29309,-12.66421,-10.57007,-12.449837,1.895213,-0.357343,1.02406,0.1285045,-0.0206075,0.4077075,0.3808625,0.1734375,93.32764,2.4817415,0.51456,2.16672,7.953558,9.140554,-32.46215,0,-0.609036,1.222725,281.6931,314.5923,1.0288685,101.725
1,2.25,411.731307,5.5214,1.21519,-0.027888,-13.603505,-12.79288,-10.834455,-12.283444,4.4342225,-0.429295,1.100246,0.1257285,-0.019991,0.437342,0.3919635,0.1898145,93.65713,2.454587,0.495216,2.2465,7.868309,9.117741,-29.2163925,0,-0.711761,1.1593775,283.8733,313.9223,1.075674,101.7252385
1,2.75,411.709269,5.39147,1.399693,-0.043242,-13.68256,-12.937255,-10.85757,-12.631239,2.960783,-0.164793,1.186599,0.153757,-0.0295865,0.416902,0.392899,0.19563,93.9925775,2.1573415,0.514574058,1.987,7.806613,9.071193,-30.828373,0,-0.615065,1.280886,283.34965,313.793,1.554824,101.77172
1,3.25,412.048159,5.449266,1.15019,0.020645,-13.627,-12.925,-11.01897,-13.2736305,4.3376005,-0.161227,1.198394,0.1369875,-0.023826,0.409901,0.4284055,0.1932095,93.983635,2.151481,0.4828215,1.77479,7.752794,9.054452,-26.9999685,0,-0.823882,1.205709,287.69505,313.6795,1.144555,101.772
1,3.75,411.5416335,5.475408,0.9595725,0.030309,-13.62343,-12.92964,-10.99583,-12.637208,4.582073,-0.2240465,1.129479,0.151496,-0.029165,0.428251,0.391981,0.201777,93.94925,1.8685685,0.5342845,1.8961595,7.7252095,9.009896,-24.88657,0,-0.852172,1.218072,289.1476,315.4561,0.941078,101.758818
1,4.25,411.9992445,5.5140525,0.90056,-0.00546,-13.176945,-13.15357,-10.923415,-15.5595655,3.9501195,-0.2835,1.128514,0.152372,-0.028706,0.420439,0.373479,0.207897,94.0888525,1.622634,0.556909901,1.619661,7.6934675,9.0043815,-28.39649,0,-0.922034,1.152794,282.84255,313.35125,0.933527,101.770365
1,4.75,411.335673,5.4304395,1.197569,-0.007317,-13.24393,-13.33101,-10.9562,-12.4095925,5.790955,-0.329692,1.059328,0.1506185,-0.0269525,0.4051105,0.3855235,0.196986,93.999523,1.42343,0.608004,1.146484,7.678253,8.959316,-28.92117,0,-0.756493,1.253677,288.454,311.952,1.2156125,101.804
1,5.25,412.0145235,5.31353,1.1683095,0.007492,-13.32448,-13.5136,-10.99912,-12.03331,4.0448,-0.5360515,1.090653,0.150669,-0.0284605,0.409342,0.407361,0.215256,94.27067,1.179983,0.56530589,1.047,7.647813,8.881747,-27.19721,0,-0.738024,1.27599,290.7848,310.7971,1.1478785,101.8135
