DOY2,HR2,CO2_1_1_1,CO2_2_1_1,H2O_1_1_1,FC_1_1_1,SC_1,SC_2,G_1_1_1,G_1_1_2,H_1_1_1,LE_1_1_1,SH_1_1_1,WS_1_1_1,USTAR_1_1_1,TAU_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,T_SONIC_1_1_1,TS_1_1_1,TS_1_2_1,NETRAD_1_1_1,PPFD_IN_1_1_1,NEE_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,TAU_1_1_2,CO2_2_2_1,CO2_2_3_1,CO2_2_4_1,CO2_2_5_1
1,0.25,437.9977727,422.4891667,16.88145045,7.24635284999999,2.2397646,1.82939024999999,4.7425,8.04325,160.33529995,77.9362227249999,15.82919295,6.5571486,1.236152225,-0.00237439999999999,2.46861735,2.04402155,1.5608546,102.878466,98.075,17.807,8.6841904828,25.419085,13.155,13.293,-0.142917625,1.497825,7.37951125,0.172300000000001,2.6079,395.165,405.93,-0.03306025,417.4083336,422.5816667,420.515,437.49
1,0.75,437.95662455,423.0158333,17.2675418,5.9139408,2.27214355,2.37291395,4.26775,7.85125,94.5570479,108.41674275,13.6725602,6.2205743,1.1962675,-0.0011316,2.435664075,1.9343614,1.559197,102.87458275,98.175,17.575,8.816116787775,24.637964875,13.135,13.27275,-0.41862325,1.419775,5.3487375,0.374449999999999,2.84695,392.76,405.7775,-0.0266397,418.395,424.128333,421.13,438.2766667
1,1.25,435.7887256,423.235833,17.8944824,6.78265,1.77416725,2.37968935,4.1635,7.627,236.019501125,84.9766371999998,12.764756,6.65141565,1.221576425,-0.000626975000000002,2.44168115,1.9618988,1.41384475,102.89086025,98.175,18.005,8.913121852175,24.5330893,13.135,13.276,1.6325895,1.5553,6.8596786,0.940649999999998,2.684,400.9825,405.6675,-0.00777645000000001,413.5550003,423.058333,420.895,441.9033333
1,1.75,437.8220281,423.221666475,17.6803136,9.35916924999999,2.685868025,2.3773134,4.8,7.53878675,161.294494675,62.7760937499998,18.550295525,6.47769505,1.1972846,-6.04499999999997e-05,2.5990442,1.92992864999999,1.5584616,102.9309387,98.3375,17.271462,9.0091100846,24.0901478,13.135,13.27825,1.288363625,1.49495,8.83555749999999,0.655575,2.609525,398.81,405.5125,-0.00981495,413.5100003,418.8799997,418.0933333,442.81
1,2.25,437.21556575,423.324166525,17.7529823,7.3644103,4.4358855,2.1607244,4.7825,7.8445,209.84409635,139.160462625,15.42214085,6.1834438,1.215801775,-0.000604,2.523498525,1.9230046,1.486474225,102.9476253,98.34,18.086,8.963545285925,24.36544495,13.135,13.275,0.542548999999998,1.26615,8.37074235,0.397,2.707675,400.03,405.79,-0.0028126,415.4783336,421.2150003,417.5066664,441.7599997
1,2.75,438.2980809,424.4075,17.883806175,6.00741174999999,4.14247074999999,1.51711169999999,4.87825,7.65325,167.586624725,65.0637506749998,16.474031,6.279977175,1.1778122,-0.000784350000000001,2.4933092,2.08776375,1.4953616,102.9256206,98.34,18.135,8.9578094805,24.358468375,13.13,13.27175,1.0217866,1.01565,6.15059319999999,0.469349999999997,2.86315,402.14,406.13,-0.010595125,411.546667,421.863333,416.5350003,446.32
1,3.25,438.9763775,426.152917,17.749839425,5.069248625,2.80515075,1.67348015,4.9465,7.521,145.026805,62.7857291,14.2011562,6.10175435,1.1907576,-0.000832550000000003,2.35413,1.804138325,1.4749492,102.8962949,98.3,18.264914,8.8518542573,24.4385794,13.12,13.274,0.27576879999999,1.4798,4.9702171,0.666,2.62279999999999,401.55,406.705,-0.00794962500000002,422.6849997,427.471667,420.0316667,436.753333
1,3.75,438.70040475,427.007083,17.455522725,5.29526295,8.37230444999998,2.148720825,5.24175,7.453,103.24931505,52.7351054,15.0684058,6.3180421,1.150180175,-0.000322825000000004,2.370228025,1.924672575,1.46968895,102.8915242,98.3,18.184,9.04087454775,24.5524701,13.11,13.26075,0.307943199999999,1.156475,6.2256113,0.159,2.4521,400.27,405.26,-0.01000215,422.68,431.9983333,425.3833336,441.7649997
1,4.25,445.1407732,426.329166525,17.587529125,9.22188749999999,4.4635664,1.341712625,5.1655,7.37,129.05935575,48.3327057,12.5431354,6.48991975,1.092011,0,2.3485117,1.91343585,1.5408473,102.8926714,98.34,18.257,8.527892620075,25.012598875,13.1,13.263,-0.0628932000000048,1.24525,12.78549985,0.330099999999998,2.5092,397.85,403.48,-0.02610205,419.3199997,436.1600003,426.143333,445.408333
1,4.75,439.939418625,426.95499995,17.4275266,6.403358875,5.4957505,1.1956952,4.9955,7.42325,83.6639491000002,55.83531825,13.6047988,6.2817508,1.2456501,-0.000342000000000002,2.4903444,1.9184431,1.4973336,102.901005925,98.38,18.3405,8.20023649025,25.1584105,13.09,13.24975,0.0516195999999984,1.65525,6.92170015,0.280024999999999,2.5934,399.365,403.98,-0.00420320000000001,418.241667,437.256667,427.505,442.99
