DOY2,HR2,CO2_1_1_1,CO2_2_1_1,H2O_1_1_1,FC_1_1_1,SC_1,SC_2,G_1_1_1,G_1_1_2,H_1_1_1,LE_1_1_1,SH_1_1_1,WS_1_1_1,USTAR_1_1_1,TAU_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,PA_1_1_1,RH_1_1_1,TA_1_1_1,VPD_1_1_1,T_SONIC_1_1_1,TS_1_1_1,TS_1_2_1,NETRAD_1_1_1,PPFD_IN_1_1_1,NEE_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,TAU_1_1_2,CO2_2_2_1,CO2_2_3_1,CO2_2_4_1,CO2_2_5_1,FCH4_1_1_1
1,0.25,396.654553,394.225,3.6878095,0.23006,-0.277053,-0.1012365,-9.025,-9.555,-52.639838,-0.775587,-6.36318475,2.139463,0.162612,-0.505807,0.4595435,0.3829155,0.2141695,100.88745,53.508,0.533766,1.058309,5.42163675,7.228,7.09425,-77.31953,0,0.27819725,-3.739,0.47125,241.95,316.825,-0.55254075,390.816667,390.783333,391.783333,394.283333,-3.833
1,0.75,396.587317,394.5,3.744107,0.061163,-0.390738,-0.14044,-9.225,-9.795,-48.175835,-0.75587875,-5.212361,2.158709,0.17436825,-0.547629,0.448708,0.433008,0.222514,100.87588725,54.7875,0.4875,0.9485464725,5.41389325,7.211,7.06475,-76.704475,0,0.03091,-3.6495,0.602,240.98,316.8675,-0.5134855,389.633333,390.716667,391.466667,394.35,1.175
1,1.25,396.95,394.308333,3.710511,0.2027425,-0.2605685,-0.1570245,-9.25,-10.265,-51.691897,-1.227855,-5.66455175,2.17149275,0.1812435,-0.51122975,0.46012675,0.42023,0.23013975,100.86882,55.87,0.3875,0.90494866525,5.0778895,7.192,7.04575,-77.6508075,0,0.1090875,-3.65725,0.5195,240.8,315.5225,-0.50072125,390.116667,390.533333,391.45,393.583333,9.3585
1,1.75,396.33,394.28749975,3.6869555,0.17305325,-0.23684825,-0.154135,-9.26,-10.345,-51.67260125,-0.955666,-5.023948,2.1582185,0.193274,-0.519259,0.453455,0.4306205,0.241048,100.8741445,54.39862875,0.3145,0.89080680475,4.882544,7.177,6.996,-76.5274525,0,0.13625,-3.588,0.527,240.45,315.5225,-0.440089,390.133333,390.683333,391.95,393.016667,-24.752
1,2.25,396.7276295,394.4458335,3.658048,0.192945,-0.2718485,-0.117006,-9.38,-10.435,-52.948268,-1.01882225,-4.594357,2.150829,0.1738645,-0.601018,0.46504325,0.427075,0.2412295,100.87746725,54.386,0.374,0.911555966,4.7521615,7.221,6.96225,-75.841315,0,0.32827075,-3.4795,0.507,241.3,315.35,-0.53574075,390.233333,390.8,391.35,393.6,0.167
1,2.75,397.09906125,393.866667,3.59516925,0.191989,-0.34798,-0.13735275,-9.415,-10.49,-54.57761425,-1.004689,-4.566756,2.14269375,0.185924,-0.577773,0.473272,0.42115175,0.23321,100.864727,54.3085,0.316,0.90800636075,4.643486,7.237,6.933,-76.94803,0,0.014878,-3.5605,0.59825,241.8,314.93,-0.54612425,390.45,390.85,392.383333,394.616667,0.6585
1,3.25,397.23,394.19166675,3.609888,0.24465325,-0.2438675,-0.12259325,-9.46,-10.59,-55.739794,-0.616079,-6.335496,2.1019475,0.184983,-0.5916825,0.484197,0.41416125,0.247123,100.843703,54.393,0.358893,0.9117465,4.608282,7.215,6.9185,-76.6944,0,0.1749435,-3.519,0.507,236.8,313.89,-0.4672125,390.4,390.666667,392.116667,393.933333,-11.6
1,3.75,397.4825,394.408333,3.647924,0.319438,-0.2239145,-0.10765325,-9.61,-10.535,-53.792314,-0.753134,-6.029584,2.19485625,0.1826245,-0.61868175,0.45647525,0.41523825,0.246229,100.83786,56.0153625,0.2963205,0.919227429,4.480444,7.194,6.9,-76.306415,0,0.352357,-3.3245,0.61,236.4,313.4,-0.5576275,389.95,390.966667,391.95,393.433333,-4.04
1,4.25,397.9465575,394.16249975,3.593518,0.211543,-0.309213,-0.1251295,-9.71,-10.8,-47.6213515,-0.54523025,-5.702762,2.2190165,0.1924545,-0.511744,0.4664635,0.414745,0.256391,100.8486575,56.9772805,0.19625,0.906136177,4.173956,7.173,6.87075,-74.835325,0,0.234115,-3.18275,0.4665,239.41,313.1,-0.5481415,390.05,390.133333,391.383333,393.233333,-10.324
1,4.75,397.933415,393.841667,3.616093,0.10542575,-0.2476265,-0.13788,-9.79,-11.075,-45.832468,-1.13340075,-5.773617,2.159655,0.193913,-0.501433,0.442784,0.418869,0.2537365,100.85580455,57.976148,0.07425,0.897156,4.241631,7.15,6.86375,-73.75453,0,-0.02112925,-3.20075,0.518,238.6,313.6,-0.6329705,389.933333,390.866667,391.066667,393.016667,-1.1935
