DOY2,HR2,PA,RH,TA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TS,G
1,0.25,100.685175,79.745,-25.005,-33.39775,0,0,-8.2475,-7.1065,156.6,191.825,-24.94,-10.97825
1,0.75,100.663325,79.925,-25.125,-34.39825,0,0,-8.3625,-7.21725,156.775,191.05,-25.2025,-11.0065625
1,1.25,100.642425,79.9625,-24.8525,-34.9445,0,0,-8.195,-7.1225,157.325,189.775,-25.45,-11.0246875
1,1.75,100.622625,80.07,-25.165,-34.009,0,0,-8.1925,-7.06375,155.675,191.075,-25.3225,-10.959875
1,2.25,100.605675,80.1,-25.3325,-33.01675,0,0,-8.33,-6.98875,156.35,191.575,-25.0575,-10.73375
1,2.75,100.612,80.175,-25.09,-35.51075,0,0,-8.3375,-7.26,157.75,190.65,-25.1025,-10.5544375
1,3.25,100.614375,80.25,-24.825,-36.20575,0,0,-8.5025,-6.98625,152.875,191.125,-25.1675,-10.40125
1,3.75,100.62355,80.25,-24.8025,-35.14225,0,0,-8.3825,-7.319,152.05,192.2,-25.2775,-10.34825
1,4.25,100.61825,80.3,-24.745,-35.11375,0,0,-8.3225,-7.181,154.8,192.725,-24.9975,-10.336875
1,4.75,100.631975,80.175,-24.75,-35.62025,0,0,-8.1525,-6.98625,152.75,190.8,-24.715,-10.3275
1,5.25,100.65365,80.0175,-24.915,-34.19125,0,0,-8.03275,-6.879,155.3,189.775,-25.2525,-10.2135625
1,5.75,100.6708,79.7275,-25.025,-34.293,0,0,-8.1275,-7.11975,153.95,187.9,-25.425,-10.2791875
1,6.25,100.67475,79.62,-25.0125,-33.75075,0,0,-8.00325,-7.178,156.3,188.325,-25.5,-10.072125
1,6.75,100.6988,79.4475,-25.6675,-33.4635,0,0,-8.1825,-7.238,153.6,187.45,-26.2175,-9.9329375
1,7.25,100.699025,79.28,-25.98,-33.567,0,0,-8.1425,-7.08425,155.4,188.05,-26.4,-10.0066875
1,7.75,100.6733,79.265,-25.61,-35.02475,0,0,-8.0625,-6.87475,155.15,188.025,-25.8625,-10.0395625
1,8.25,100.65665,79.025,-25.8825,-36.2455,0,0,-8.115,-7.2095,154.275,187.5,-26.4175,-10.263625
1,8.75,100.64055,79.1825,-26.1,-35.635,0,0,-8.19,-7.18675,154.05,185.975,-26.1575,-10.075625
1,9.25,100.6303,78.7975,-26.15,-34.488,0,0,-8.2125,-6.945,153.575,189.325,-26.3675,-10.0455
1,9.75,100.640025,78.96,-25.975,-34.69425,0,0,-8.42,-7.01625,153.8,189.175,-26.2925,-9.9809375
1,10.25,100.6299,78.735,-25.975,-34.79925,0,0,-8.3425,-7.07025,154.3,189.375,-26.1675,-9.9689375
1,10.75,100.635375,78.9175,-26.025,-38.69275,0,0,-8.2925,-7.092,152.525,190.7,-26.0425,-10.0616875
1,11.25,100.614825,78.995,-26.21,-38.29975,0,0,-8.345,-7.15,152.6,189.175,-25.97,-10.2480625
1,11.75,100.61755,78.78,-26.165,-35.93125,0.003,1.2885,-7.98825,-6.81525,152.85,189.175,-25.7375,-10.3805
1,12.25,100.60255,78.9975,-26.14,-37.67725,2.745,6.45975,-7.8765,-6.20525,152.1,186.5,-26.31,-10.450625
1,12.75,100.60555,79.04,-26.1625,-39.20475,5.907,6.73125,-7.121,-5.81825,152.25,185.825,-26.185,-10.365
1,13.25,100.6353,78.9025,-26.2075,-36.11175,6.5605,6.734,-6.90325,-5.3925,150.825,185.25,-26.3875,-10.333125
1,13.75,100.633175,78.7975,-26.3825,-36.008,6.48175,6.7375,-6.99825,-5.4345,150.5,185.575,-26.4625,-10.38925
1,14.25,100.632425,78.715,-26.1525,-35.7225,6.10225,6.73375,-7.17175,-5.6535,150.225,185.95,-26.2025,-10.6099375
1,14.75,100.5993,78.86,-25.96,-35.641,6.075,6.717,-7.497,-6.101,150.5,187.3,-26.01,-10.40925
1,15.25,100.603175,78.7375,-26.2725,-36.02625,0.5945,3.747,-8.1875,-6.38425,148.975,186.025,-26.2575,-10.893625
1,15.75,100.59325,78.76,-26.3825,-36.1775,0,0.00825,-8.26,-6.8895,149.625,185.5,-26.455,-10.95175
1,16.25,100.5771,79.1225,-26.23,-34.09725,0,0,-8.335,-7.1225,149.875,185.325,-26.2275,-11.098125
1,16.75,100.5742,79.305,-26.0575,-35.509,0,0,-8.31,-7.41875,152.6,186.175,-25.7775,-11.1475
1,17.25,100.579075,79.0275,-25.785,-32.711,0,0,-8.42,-7.45475,152.1,185.175,-25.9775,-11.1925
1,17.75,100.59935,79.0875,-26.1075,-31.2575,0,0,-8.3775,-7.0265,153.275,188.325,-26.005,-11.244375
1,18.25,100.6068,79.6,-25.69,-31.295,0,0,-8.34,-7.1355,156.15,189.45,-25.545,-11.079875
1,18.75,100.62835,79.61,-25.75,-31.8575,0,0,-8.185,-6.9835,157.1,191.4,-25.765,-11.133625
1,19.25,100.6391,79.86,-25.575,-32.846,0,0,-8.405,-7.2565,158.7,190.65,-25.395,-11.17975
1,19.75,100.6423,79.865,-25.35,-33.059,0,0,-8.46,-7.162,155.65,190.15,-25.49,-11.168
1,20.25,100.6505,79.73,-25.695,-33.0545,0,0,-8.285,-7.2765,156.35,189.3,-25.78,-11.129875
1,20.75,100.6606,79.855,-25.31,-35.767,0,0,-8.365,-7.143,156.65,189.35,-25.8,-11.05
1,21.25,100.67165,79.645,-25.5,-33.0565,0,0,-8.265,-7.2795,156.95,188.95,-25.705,-11.008
1,21.75,100.6951,79.815,-25.38,-32.2245,0,0,-7.995,-7.04,158.2,188.1,-25.465,-10.9705
1,22.25,100.71245,79.825,-25.32,-34.004,0,0,-8.195,-7.1335,156.1,188.15,-25.67,-10.9075
1,22.75,100.7263,80.05,-25.155,-32.329,0,0,-8.0105,-7.012,156.6,188,-25.73,-10.86925
1,23.25,100.74245,80,-25.02,-34.059,0,0,-8.19,-6.9765,156.8,189.5,-25.17,-10.8735
1,23.75,100.73335,79.915,-24.975,-32.101,0,0,-7.9825,-7.14,157.65,190.85,-25,-10.92875
2,0.25,101.2598,78.21,-26.82,-36.593,0,0,-7.913,-6.713,146.2,186.1,-26.54,-10.1325
2,0.75,101.2639,78.3,-26.81,-38.673,0.004,0,-8.05,-6.605,148.4,186,-26.48,-10.1125
2,1.25,101.2661,78.37,-26.8,-38.349,0,0,-8.2,-6.382,144.3,186,-26.39,-10.1125
2,1.75,101.2709,78.58,-26.66,-39.168,0,0,-8.33,-6.652,145.5,184.6,-26.45,-10.0825
2,2.25,101.2574,78.49,-26.44,-40.9,0,0,-8.3,-6.642,143.7,186.5,-26.24,-10.07
2,2.75,101.2709,78.92,-26.41,-38.703,0,0,-8.26,-6.544,144.4,185.4,-26.24,-9.784
2,3.25,101.279,78.53,-26.31,-39.119,0,0,-8.31,-6.337,145.4,185.3,-26.68,-9.5835
2,3.75,101.2351,78.27,-26.31,-39.716,0,0,-8.16,-6.498,144.8,184.6,-26.93,-9.611
2,4.25,101.207725,78.785,-26.5775,-39.215,0,0,-8.275,-6.513,144.45,183.325,-26.945,-9.62375
2,4.75,101.221625,78.735,-26.72,-39.608,0,0,-8.2525,-6.5865,141.325,182.675,-27.07,-9.66275
2,5.25,101.2162,78.69,-26.51,-39.342,0,0,-8.25,-6.497,141.3,184.3,-26.79,-9.65625
2,5.75,101.2168,78.67,-26.85,-40.098,0,0,-8.1,-6.49,142.4,183.4,-26.61,-9.64125
2,6.25,101.2458,78.65,-27.07,-42.416,0.004,0,-8.18,-6.576,142.5,184.3,-26.83,-9.62375
2,6.75,101.2407,78.65,-26.92,-46.744,0.012,0,-8.11,-6.426,142.3,184.9,-26.69,-9.5995
2,7.25,101.2274,78.47,-26.93,-41.971,0,0,-8.03,-6.495,143.7,183.5,-26.79,-9.58325
2,7.75,101.2215,78.37,-26.81,-43.304,0,0,-8.03,-6.335,143.7,184.3,-26.86,-9.573
2,8.25,101.2159,77.92,-26.59,-40.84,0,0,-8.05,-6.202,143.1,183.9,-26.96,-9.5355
2,8.75,101.2198,77.99,-26.97,-41.412,0.127,0,-8.06,-6.349,142.5,183.9,-26.79,-9.65275
