DOY2,HR2,CO2,CO2_SIGMA,H2O,CH4,FC,FCH4,H,LE,WS,USTAR,TAU,U_SIGMA,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT,TS_1_1_1,TS_2_1_1,TS_3_1_1,TS_4_1_1,G_1_1_1,TS_5_1_1
1,0.25,391.867,0.018993367,2.87796,2025.78,-0.691325,3.580525,-32.927,-3.044915,1.92114,0.124783,-0.0905536,0.521399079,0.360270732,0.103729938,101.015,56.121875,-24.1275,1.1141625,-18.2,0.085911582,-53.91,-0.10325,-0.095,-2.20275,-0.09675,163.775,210.7,-0.977,-3.1155,-1.71,-2.26175,-54.660435,-25.915
1,0.75,391.196,0.019145966,2.66514,2023.9,0.114312,1.69373,-28.6345,-9.961525,1.48619,0.103673,-0.0897514,0.358965179,0.423439488,0.114071907,100.979,55.982025,-23.875,1.109385,-17.982,0.156424423,-54.8175,-0.113,-0.103,-2.05025,-0.09675,164.975,209.95,-0.981,-3.11925,-1.70225,-2.35025,-54.8030125,-25.6675
1,1.25,391.36,0.018514184,2.52926,2027.33,0.15950775,1.71699,-25.512525,-4.835715,1.34061,0.0831937,-0.0520894,0.396301653,0.402408996,0.098820595,100.955,55.6132,-23.815,1.10916,-17.916,0.117955076,-54.6,-0.1035,-0.0965,-1.88175,-0.09675,167.075,210,-0.98425,-3.12425,-1.70275,-2.31375,-55.4469675,-25.88
1,1.75,391.901,0.029502339,2.22494,2032.47,-0.03489225,-3.40288,-28.610375,-3.12938,1.82556,0.0972723,-0.050721,0.420733883,0.4069484,0.120402243,100.926,55.5846,-23.4875,1.07302,-18.038,0.113956571,-54.64,-0.1045,-0.097,-1.9615,-0.1115,169.425,209.8,-0.9825,-3.12975,-1.70825,-2.30675,-56.3320775,-26.05
1,2.25,391.802,0.030872836,2.004205,2059.63,0.6777955,4.7585575,-31.6359,-3.05051083333333,1.76274,0.13614,-0.081688975,0.30457889,0.489576347,0.089163502,100.9,55.108,-23.505,1.18077,-17.502,0.274150688,-53.9675,-0.10625,-0.0945,-2.063,0.03475,169.6,209.925,-0.9855,-3.13725,-1.71075,-2.24525,-56.2137475,-25.4025
1,2.75,391.4945,0.031373078,2.385395,2044.15,0.0626659,6.63714,-35.732,-2.97164166666667,1.6588,0.093013,-0.085771275,0.570908924,0.472594964,0.087579849,100.858,58.4724,-23.755,1.29802,-17.402,0.258669094,-55.62,-0.10525,-0.099,-2.0055,0.035875,168.625,210.075,-0.98825,-3.13675,-1.70475,-2.19025,-56.0298375,-24.9125
1,3.25,391.403,0.032781855,2.36783,2037.08,0.113546,2.72493,-27.3374,-2.8927725,1.74047,0.109874,-0.0766274,0.474274182,0.433508939,0.089440818,100.8,57.82265,-23.73,1.2171325,-16.921,0.283089562,-53.46,-0.109,-0.101,-1.9735,0.037,170.375,210.725,-0.98775,-3.14025,-1.7075,-2.32975,-55.7815175,-25.1875
1,3.75,391.34025,0.033262892,2.36024,2036.44,-0.730053,-1.96155,-19.067825,0.358935,1.79616,0.0882595,-0.0752388,0.342179777,0.357631095,0.094674442,100.811,59.376225,-22.66,1.310925,-16.792,0.254817189,-54.9575,-0.10925,-0.106,-1.89725,0.116,171.225,214,-0.983,-3.14625,-1.709,-2.12475,-55.504625,-25.6475
1,4.25,391.40075,0.026832387,2.5772275,2037.06,0.18089725,6.1762975,-37.46865,-1.48758,2.04525,0.116198,-0.0995689,0.503909714,0.405632839,0.112218537,100.82,64.5535,-22.6775,1.38624,-16.878,0.26053541,-56.2125,-0.11125,-0.101,-2.17225,0.0718,169.45,213.025,-0.98525,-3.1395,-1.71525,-2.1445,-55.4649075,-25.0175
1,4.75,391.39375,0.022702973,2.7149825,2031.43,0.166361,11.9059,-55.2135,2.9434925,1.42347,0.137294,-0.0669692,0.414457477,0.457914839,0.10156525,100.839,49.2215,-23.2225,1.53677,-16.653,0.227498132,-55.205,-0.108,-0.1015,-2.2725,0.0276,170.375,211.525,-0.98575,-3.15475,-1.71,-2.265,-55.26246,-24.4275
