DOY2,HR2,TA,RH,VPD
1,0.25,-7.351,90.95,0.225
1,0.75,-7.4005,91.25,0.23
1,1.25,-7.533,92.2,0.23
1,1.75,-7.6215,92.45,0.225
1,2.25,-7.631,92.55,0.19
1,2.75,-7.6425,92.15,0.195
1,3.25,-7.6605,91.75,0.19
1,3.75,-6.764,89.7,0.23
1,4.25,-6.949,90,0.26
1,4.75,-7.04,91.3,0.26
1,5.25,-7.09,92.4,0.25
1,5.75,-7.09,92.1,0.23
1,6.25,-7.23,91.2,0.25
1,6.75,-7.37,90.6,0.24
1,7.25,-7.52,89.4,0.24
1,7.75,-7.6,88.5,0.25
1,8.25,-7.9,88.5,0.24
1,8.75,-8.2,87.7,0.2
1,9.25,-8.13,88.1,0.26
1,9.75,-7.62,85.2,0.35
1,10.25,-7.5,83.6,0.55
1,10.75,-6.417,82.6,0.67
1,11.25,-4.787,82.2,0.75
1,11.75,-4.044,79.3,0.8
1,12.25,-3.521,77.4,0.96
1,12.75,-3.012,79.3,1.22
1,13.25,-2.707,79.7,0.84
1,13.75,-2.742,78.5,0.91
1,14.25,-2.776,80.3,0.82
1,14.75,-2.312,78.4,0.89
1,15.25,-2.211,82.2,0.7
1,15.75,-1.932,81.7,0.72
1,16.25,-1.915,81.9,0.7
1,16.75,-2.458,84,0.63
1,17.25,-3.288,85.6,0.71
1,17.75,-3.991,87.3,0.66
1,18.25,-4.86,87.7,0.62
1,18.75,-6.226,87,0.5
1,19.25,-7.59,89.7,0.54
1,19.75,-8.35,90,0.3
1,20.25,-9.1,89.2,0.25
1,20.75,-9.98,89.2,0.23
1,21.25,-9.25,91.5,0.2
1,21.75,-9.74,91.4,0.18
1,22.25,-9.82,92.1,0.17
1,22.75,-9.27,91.8,0.19
1,23.25,-8.56,91.4,0.23
1,23.75,-8.83,90.9,0.23
2,0.25,-7.351,90.95,0.225
2,0.75,-7.4005,91.25,0.23
2,1.25,-7.533,92.2,0.23
2,1.75,-7.6215,92.45,0.225
2,2.25,-7.631,92.55,0.19
2,2.75,-7.6425,92.15,0.195
2,3.25,-7.6605,91.75,0.19
2,3.75,-6.764,89.7,0.23
2,4.25,-6.949,90,0.26
2,4.75,-7.04,91.3,0.26
2,5.25,-7.09,92.4,0.25
2,5.75,-7.09,92.1,0.23
2,6.25,-7.23,91.2,0.25
2,6.75,-7.37,90.6,0.24
2,7.25,-7.52,89.4,0.24
2,7.75,-7.6,88.5,0.25
2,8.25,-7.9,88.5,0.24
2,8.75,-8.2,87.7,0.2
2,9.25,-8.13,88.1,0.26
2,9.75,-7.62,85.2,0.35
2,10.25,-7.5,83.6,0.55
2,10.75,-6.417,82.6,0.67
2,11.25,-4.787,82.2,0.75
2,11.75,-4.044,79.3,0.8
2,12.25,-3.521,77.4,0.96
2,12.75,-3.012,79.3,1.22
2,13.25,-2.707,79.7,0.84
2,13.75,-2.742,78.5,0.91
2,14.25,-2.776,80.3,0.82
2,14.75,-2.312,78.4,0.89
2,15.25,-2.211,82.2,0.7
2,15.75,-1.932,81.7,0.72
2,16.25,-1.915,81.9,0.7
2,16.75,-2.458,84,0.63
2,17.25,-3.288,85.6,0.71
2,17.75,-3.991,87.3,0.66
2,18.25,-4.86,87.7,0.62
2,18.75,-6.226,87,0.5
2,19.25,-7.59,89.7,0.54
2,19.75,-8.35,90,0.3
2,20.25,-9.1,89.2,0.25
2,20.75,-9.98,89.2,0.23
2,21.25,-9.25,91.5,0.2
2,21.75,-9.74,91.4,0.18
2,22.25,-9.82,92.1,0.17
2,22.75,-9.27,91.8,0.19
2,23.25,-8.56,91.4,0.23
2,23.75,-8.83,90.9,0.23
3,0.25,-11.6,86,0.235
3,0.75,-12.24,86.05,0.235
3,1.25,-12.3,85.4,0.23
3,1.75,-11.82,86.45,0.23
3,2.25,-11.635,86.35,0.22
3,2.75,-11.85,86.65,0.22
3,3.25,-11.19,86.85,0.22
3,3.75,-11.18,86.55,0.22
3,4.25,-11.28,85.2,0.22
3,4.75,-11.33,84.4,0.22
3,5.25,-11.375,86.7,0.22
3,5.75,-11.495,87.55,0.22
3,6.25,-11.565,87.4,0.22
3,6.75,-12.03,89.1,0.22
3,7.25,-12.43,89.4,0.22
3,7.75,-12.7,89.55,0.23
3,8.25,-12.075,89.25,0.24
3,8.75,-10.52,86.95,0.265
3,9.25,-8.085,84.6,0.32
3,9.75,-6.6805,77.6,0.55
3,10.25,-4.998,73.6,0.865
3,10.75,-4.552,69.325,1.07
3,11.25,-3.9965,66.105,1.15
3,11.75,-3.805,63.665,1.215
3,12.25,-3.8195,63.845,1.41
3,12.75,-3.297,61.015,1.725
3,13.25,-3.1795,58.215,1.84
3,13.75,-2.9115,57.78,1.82
3,14.25,-3.0355,58.855,1.85
3,14.75,-3.1515,57.375,1.93
3,15.25,-2.602,57.85,2.015
3,15.75,-2.6095,55.79,2.165
3,16.25,-2.717,57.705,1.935
3,16.75,-3.186,59.65,1.53
3,17.25,-3.797,63.72,1.575
3,17.75,-3.822,66.655,1.57
3,18.25,-4.391,64.28,1.45
3,18.75,-4.4455,67.435,1.305
3,19.25,-5.229,70.445,1.03
3,19.75,-6.0105,70.055,0.815
3,20.25,-7.45,78.3,0.595
3,20.75,-7.48,84.15,0.39
3,21.25,-7.585,85.8,0.32
3,21.75,-9.835,86.6,0.27
3,22.25,-10.785,84.3,0.275
3,22.75,-10.545,86,0.235
3,23.25,-10.43,86.65,0.24
3,23.75,-10.48,85.9,0.24
4,0.25,-0.652,83.5,0.705
4,0.75,-0.502,84.35,0.565
4,1.25,-0.491,86.7,0.69
4,1.75,-0.7845,89.4,0.42
4,2.25,-1.076,89,0.38
4,2.75,-1.0335,89.4,0.41
4,3.25,-1.0385,90.5,0.33
4,3.75,-1.0085,91.3,0.31
4,4.25,-1.103,89.95,0.32
4,4.75,-1.2645,90.55,0.275
4,5.25,-1.4185,91.15,0.235
4,5.75,-1.445,91.7,0.22
4,6.25,-1.602,91.8,0.28
4,6.75,-1.7975,91.8,0.24
4,7.25,-1.85,91.6,0.28
4,7.75,-1.894,92.7,0.26
4,8.25,-1.833,93.9,0.29
4,8.75,-1.2765,90.5,0.48
4,9.25,0.1535,83.4,0.89
4,9.75,0.9835,79.7,1.11
4,10.25,2.077,78.7,1.56
4,10.75,2.9005,72.9,1.9
4,11.25,3.3925,66.5,1.99
4,11.75,3.439,61.15,2.22
4,12.25,4.308,58.58,3.04
4,12.75,4.582,56.58,2.91
4,13.25,5.174,55.46,3.08
4,13.75,5.3615,50.395,3.13
4,14.25,6.1145,46.545,3.645
4,14.75,6.549,44.855,4.225
4,15.25,6.7875,42.78,4.505
4,15.75,7.5,43.39,5.06
4,16.25,7.51,41.275,5.305
4,16.75,6.5085,41.58,5.055
4,17.25,6.672,43.33,4.48
4,17.75,5.782,47.33,4.52
4,18.25,6.161,48.43,4.23
4,18.75,5.911,49.24,4.27
4,19.25,5.305,49.93,2.88
4,19.75,4.408,51.52,2.68
4,20.25,3.359,56.17,2.62
4,20.75,3.115,56.21,2.58
4,21.25,1.355,60.05,2.37
4,21.75,0.341,71.7,1.66
4,22.25,-0.127,78.8,1.09
4,22.75,-0.041,82.1,0.72
4,23.25,-0.557,82.1,0.58
4,23.75,-0.857,83.5,0.69
5,0.25,3.3535,90,0.58
5,0.75,3.5275,90.3,0.555
5,1.25,3.4615,90.95,0.45
5,1.75,3.427,91.5,0.415
5,2.25,3.361,91.9,0.4
5,2.75,2.821,92.7,0.31
5,3.25,2.4765,93.85,0.27
5,3.75,2.3435,94.4,0.29
5,4.25,2.11,94.4,0.295
5,4.75,2.0025,94.5,0.28
5,5.25,1.9895,94.9,0.255
5,5.75,1.7365,95.1,0.225
5,6.25,1.8895,95.45,0.205
5,6.75,2.094,94,0.2
5,7.25,2.294,94.9,0.185
5,7.75,2.5355,95.6,0.18
5,8.25,3.5445,93.4,0.52
5,8.75,6.1345,84.7,1.34
5,9.25,8.21,76.3,2.62
5,9.75,10.07,66.32,3.525
5,10.25,11.525,64.1,4.63
5,10.75,12.115,58.09,5.72
5,11.25,12.775,54.86,6.33
5,11.75,13.55,53.84,7.22
5,12.25,13.815,48.54,8.4
5,12.75,14.51,46.22,9.57
5,13.25,14.99,43.26,9.915
5,13.75,15.13,43.115,10.125
5,14.25,15.3,45.7,9.82
5,14.75,15.23,41.91,10.12
5,15.25,15.175,41.225,9.835
5,15.75,15.05,42.19,10.36
5,16.25,15.01,41.345,9.67
5,16.75,14.55,40.52,9.555
5,17.25,14.37,40.22,10.385
5,17.75,14.065,38.845,9.855
5,18.25,13.93,39.63,8.94
5,18.75,13.37,41.46,8.87
5,19.25,13.29,42.16,8.6
5,19.75,12.27,44.19,8.04
5,20.25,11.59,48.32,7.19
5,20.75,9.83,53.66,5.98
5,21.25,8.89,59.74,4.27
5,21.75,7.68,70.4,2.84
5,22.25,5.329,77.3,2.01
5,22.75,4.32,83.2,1.38
5,23.25,3.857,86.6,0.99
5,23.75,3.679,88.8,0.72
6,0.25,10.655,92.75,0.76
6,0.75,10.68,93.65,0.705
6,1.25,9.99,94.4,0.77
6,1.75,9.265,94.3,0.74
6,2.25,8.88,93.6,0.71
6,2.75,9.005,93.4,0.66
6,3.25,8.96,93.8,0.5
6,3.75,8.81,95.6,0.39
6,4.25,8.93,96,0.385
6,4.75,8.63,96.8,0.4
6,5.25,8.78,96.95,0.285
6,5.75,8.67,96.75,0.245
6,6.25,8.64,97.45,0.255
6,6.75,8.7,97.3,0.23
6,7.25,9.77,97.5,0.22
6,7.75,10.62,89,1.57
6,8.25,11.94,88.1,2.43
6,8.75,13.94,77.8,3.67
6,9.25,15.58,71.7,4.825
6,9.75,16.87,68.565,5.74
6,10.25,18.4,65.61,7.83
6,10.75,18.92,62.69,9.13
6,11.25,20.12,61.33,10.51
6,11.75,20.77,57.5,11.21
6,12.25,21.66,53.65,12.07
6,12.75,21.95,51.78,12.62
6,13.25,22.23,47.3,13.65
6,13.75,22.455,45.845,14.765
6,14.25,22.395,44.305,15.215
6,14.75,22.59,42.735,15.325
6,15.25,22.675,42.615,16.91
6,15.75,22.995,43.165,17.045
6,16.25,23.26,43.89,16.68
6,16.75,23.04,43.965,16.39
6,17.25,22.915,44.47,16.29
6,17.75,22.82,45.605,15.22
6,18.25,22.29,48.085,14.505
6,18.75,21.66,49.49,13.68
6,19.25,20.99,52.52,12.38
6,19.75,20.26,52.64,10.69
6,20.25,19,59.6,9.19
6,20.75,17.63,65.53,7.03
6,21.25,16.115,72,4.87
6,21.75,14.4,79.7,3.69
6,22.25,12.32,83,2.49
6,22.75,11.1,87,1.5
6,23.25,10.29,89.9,1.12
6,23.75,11.085,90.6,0.95
7,0.25,14.205,93.45,0.75
