DOY2,HR2,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,CO2_1_7_1,CO2_1_8_1,FC_1_1_1,SC_1_1_1,TAU_1_1_1,H_1_1_1,H_1_1_2,LE_1_1_1,G_1,SH_1_1_1,SLE_1_1_1,SG_1,SG_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_2,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,PA_1_1_1,TA_1_1_1,RH_1_1_1,VPD_1_1_1,TA_1_2_1,RH_1_2_1,VPD_1_2_1,TA_1_3_1,RH_1_3_1,VPD_1_3_1,WS_1_1_1,USTAR_1_1_1,T_BOLE_1,T_BOLE_2,T_BOLE_3,TS_1,TS_1_1_1
1,0.25,399.8325,400.3225,400.415,400.495,400.405,400.995,401.92,403.31,0.6135,0.14675,-0.109,-20.39,-25.7725,34.23,-1.25,1.415,0.465,0.51125,0.145,-1.1,1.83,242.1025,296.3475,-25.56,0,0,70.22,-2.92,74.46,2.84,-3.645,76.7025,2.38,-4.3275,79.885,2.1775,10.235,1.63,-3.0375,-1.96,-1.84,-0.774,-0.11825
1,0.75,401.42,401.74,401.7625,401.945,401.85,402.39,405.3075,406.265,0.615,0.121,-0.117,-19.0975,-29,33.9375,-1.25,1.0725,0.435,0.34575,0.1065,-1.095,1.735,239.6725,296.1275,-26.07,0,0,70.205,-2.81,73.77,2.82,-3.7,75.9525,2.39,-4.195,80.0475,2.09,10.425,1.635,-3.06,-2.045,-1.89,-0.77,-0.11725
1,1.25,399.9,400.06,400.21,400.2875,400.14,400.85,401.46,403.1,0.582,0.107,-0.145,-21.87,-26.7125,35.86,-1.2475,1.3975,0.4345,0.304,0.1125,-1.04,1.705,238.8425,295.775,-25.4,0,0,70.2,-2.82,74.06,2.84,-3.73,76.28,2.42,-4.2675,80.2425,2.1325,10.6975,1.65,-3.17,-2.1225,-1.94,-0.7685,-0.118
1,1.75,401.3025,401.675,401.69,401.9,401.8425,402.4475,404.05,405.83,0.63225,0.1255,-0.1295,-18.8675,-32.385,39.86,-1.24,1.47,0.432,0.512,0.1255,-1.01,1.69,241.2,295.7525,-24.4575,0,0,70.2,-2.92,73.87,2.85,-3.8425,75.98,2.38,-4.2675,80.37,2.11,10.54,1.66,-3.21,-2.1425,-2.005,-0.76775,-0.11775
1,2.25,399.7075,400.03,400.05,400.35,400.1825,400.7975,401.565,402.83,0.6775,0.14775,-0.12425,-18.99,-30.155,37.92,-1.24,1.5375,0.429,0.29925,0.10125,-1.01,1.72,243.0575,295.9875,-22.45,0,0,70.19,-2.9475,74.0725,2.87,-3.72,76.1,2.3975,-4.2425,79.9075,2.1525,10.655,1.645,-3.24,-2.2,-2.035,-0.76375,-0.11775
1,2.75,401.1725,401.495,401.69,401.725,401.6525,402.38,405.025,405.91,0.57525,0.1265,-0.119,-20.21,-30.18,37.905,-1.2375,1.545,0.532,0.189,0.103,-1.04,1.68,242.825,296.105,-24.4,0,0,70.18,-2.95,74.39,2.74,-3.91,76.49,2.3425,-4.26,80.55,2.06,10.7,1.685,-3.33,-2.26,-2.1675,-0.763,-0.1185
1,3.25,399.7425,400.0325,400.125,400.31,400.2,400.7675,401.445,402.9575,0.583,0.13,-0.1285,-18.365,-31.265,38.215,-1.24,1.4825,0.529,0.51125,0.109,-1.055,1.68,242.265,295.9025,-25.235,0,0,70.17,-3.065,74.23,2.66,-3.9,76.82,2.3,-4.325,80.86,2.02,10.965,1.725,-3.39,-2.335,-2.175,-0.76075,-0.11925
1,3.75,400.955,401.4025,401.475,401.745,401.4575,402.3075,404.55,405.71,0.605,0.06675,-0.1685,-19.255,-32.37,37.145,-1.24,1.8175,0.49475,0.51125,0.13375,-1.06,1.7,241.9275,296.22,-25.7475,0,0,70.16,-2.9175,74.1175,2.74,-3.73,76.9025,2.325,-4.295,80.2425,2.0375,10.9675,1.72,-3.49,-2.335,-2.22,-0.76,-0.12025
1,4.25,399.6325,399.9175,400.04,400.375,400.3025,400.815,401.48,402.6375,0.60675,0.1115,-0.14,-17.52,-34.355,38.61,-1.25,1.58,0.539,0.16475,0.1135,-1.05,1.68,242.765,296.1525,-25.66,0,0,70.16,-2.9175,73.6675,2.7325,-3.76,77.025,2.38,-4.24,79.945,2.0825,10.915,1.6975,-3.48,-2.3675,-2.3125,-0.757,-0.1205
1,4.75,401.1175,401.4375,401.525,401.635,401.5975,402.26,404.4,405.88,0.5595,0.1165,-0.1395,-18.5425,-35.61,37.32,-1.26,1.495,0.53,0.12025,0.09725,-1.055,1.62,243.6175,296.1525,-25.1025,0,0,70.16,-2.98,73.115,2.6325,-3.735,76.9375,2.37,-4.3475,80.04,2.065,10.89,1.68,-3.62,-2.38,-2.3675,-0.75875,-0.11775
