DOY2,HR2,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,CO2_1_7_1,CO2_1_8_1,FC_1_1_1,SC_1_1_1,TAU_1_1_1,H_1_1_1,H_1_1_2,LE_1_1_1,G_1,SH_1_1_1,SLE_1_1_1,SG_1,SG_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,NETRAD_1_1_2,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,PA_1_1_1,TA_1_1_1,RH_1_1_1,VPD_1_1_1,TA_1_2_1,RH_1_2_1,VPD_1_2_1,TA_1_3_1,RH_1_3_1,VPD_1_3_1,WS_1_1_1,USTAR_1_1_1,T_BOLE_1,T_BOLE_2,T_BOLE_3,TS_1,TS_1_1_1
1,0.25,389.1875,389.3525,389.77,390.09,389.5525,390.13,391.905,394.02,0.056,-0.1175,-2.3525,-82.5575,-89.2025,0.99325,-2,-2.5175,-0.689,-0.06,-0.096,-2.72,0.54,178.9,263.02,-80.45,-0.00475,-0.189,69.4,-10.84,39.9225,0.7065,-11.895,43.33,0.61975,-11.825,50.6275,0.53525,2.97,0.35225,-10.6575,-10.585,-10.1725,-2.2925,-0.737
1,0.75,393.88,394.19,394.6,394.88,394.35,394.83,396.93,397.9475,0.0695,-0.12275,-2.3575,-79.87,-87.1975,0.5695,-2,-2.49,-0.72,-0.06,-0.098,-2.68,0.4955,179.2325,262.675,-80.54,-0.005,-0.17675,69.395,-10.83,39.1875,0.70775,-12.02,43.06,0.607,-11.88,50.525,0.528,2.93,0.376,-10.71,-10.55,-10.245,-2.2925,-0.739
1,1.25,389.18,389.32,389.66,389.8925,389.44,390.11,392.035,394.1325,0.0365,-0.1005,-2.46,-79.315,-88.785,0.72175,-2,-2.235,-0.704,-0.07175,-0.091,-2.635,0.513,178.695,262.45,-80.51,-0.006,-0.179,69.38,-10.93,39.4825,0.714,-12.0175,42.2,0.61825,-11.96,50.7975,0.5205,3.06,0.394,-10.65,-10.59,-10.26,-2.31,-0.737
1,1.75,393.82,394.1475,394.58,394.78,394.3475,394.8275,396.85,397.985,0.04125,-0.117,-2.5,-82.79,-89.18,0.5515,-2.0025,-2.1775,-0.69,-0.12025,-0.097,-2.66,0.4965,178.1125,262.45,-80.09,-0.007,-0.17375,69.39,-10.97,39.135,0.7145,-12.0175,42.15,0.61,-11.9975,50.63,0.53275,3.03,0.382,-10.665,-10.6575,-10.175,-2.3025,-0.739
1,2.25,389.0325,389.115,389.66,389.77,389.3275,390.01,392.07,394.48,0.08,-0.111,-2.45,-85.2825,-89.415,0.5455,-2.01,-2.17,-0.67,-0.06,-0.09825,-2.69,0.48,176.8875,262.3075,-80.5075,-0.007,-0.171,69.4025,-11.0175,39.405,0.728,-12.03,41.2725,0.606,-12.0475,50.105,0.5265,3.06,0.388,-10.76,-10.845,-10.225,-2.3,-0.74425
1,2.75,393.695,394.1875,394.405,394.62,394.355,394.765,396.87,398.2,0.058,-0.09275,-2.505,-82.1425,-91.825,0.792,-2.01,-2.27,-0.642,-0.12,-0.09625,-2.6,0.4725,177.06,262.015,-79.9875,-0.007,-0.184,69.39,-10.925,39.4575,0.7295,-12.28,41.795,0.603,-12.24,50.19,0.502,2.94,0.397,-10.875,-11.0025,-10.345,-2.2925,-0.744
1,3.25,389.19,389.2525,389.7,389.885,389.3775,389.9725,391.755,394.6225,0.044,-0.11025,-2.67,-82.385,-92.36,0.513,-2.01,-2.1625,-0.658,-0.0715,-0.098,-2.7,0.497,176.79,262.5625,-80.27,-0.00725,-0.185,69.39,-11.025,39.0925,0.716,-12.28,41.83,0.5965,-12.255,49.94,0.498,3.02,0.3875,-10.98,-11.25,-10.4375,-2.29,-0.7435
1,3.75,393.75,394.135,394.51,394.64,394.29,394.795,396.815,397.99,0.0535,-0.1585,-2.6,-84.195,-95.8875,0.4645,-2.01,-2.1275,-0.7385,-0.06025,-0.08,-2.66,0.485,177.72,262.15,-79.685,-0.007,-0.17,69.37,-11.0025,38.635,0.72,-12.19,41.83,0.61625,-12.24,50.765,0.492,3.18,0.4285,-11,-11.065,-10.42,-2.29,-0.7455
1,4.25,389.065,389.165,389.605,389.79,389.2975,389.9125,391.88,394.5025,0.028,-0.09925,-2.5475,-80.885,-89.59,0.1355,-2.0125,-2.3325,-0.615,-0.16275,-0.099,-2.645,0.4885,176.875,262.185,-79.7325,-0.00625,-0.1675,69.38,-11.0175,38.22,0.727,-12.26,41.475,0.597,-12.21,49.9025,0.504,3.08,0.425,-10.98,-10.99,-10.53,-2.2825,-0.745
1,4.75,393.605,394.27,394.495,394.56,394.3325,394.7625,396.855,397.96,0.037,-0.093,-2.51,-82.975,-91.77,0.387,-2.01,-2.3775,-0.601,-0.18025,-0.098,-2.68,0.48,176.2575,262.205,-79.545,-0.00825,-0.1765,69.37,-10.9975,38.9325,0.7155,-12.2125,41.605,0.58575,-12.22,49.545,0.50075,3.1775,0.408,-11.01,-11.24,-10.5425,-2.2825,-0.74675
