DOY2,HR2,LE,H,FC,G_1_1_1,G_2_1_1,G_2_1_2,NETRAD,T_SONIC,TA,RH,VPD,PA,USTAR,WS,CO2,H2O,TS_1_1_1,SW_IN,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_3_1_1,TS_3_2_1,TS_3_3_1
1,0.25,-2.0015965485,-56.03327064,-0.33539414525,-22.182525,-27.400165,-7.6743346715,-81.970245,-13.239735,-13.8406775,48.22038649,0.305702411,65.3623525,0.55316665,7.456237,394.3792077,1.8744942035,-9.083879,0,-8.5625,-8.0975,-6.73625,-8.0675,-7.41825,-6.31
1,0.75,-2.551421937,-53.297815895,-0.3522272545,-22.31663,-27.241725,-7.88642530375,-81.4922375,-13.33647,-13.82378,48.589245185,0.300243752,65.36384,0.53630985,7.257894,394.3707653,1.908166685,-9.117444,0,-8.5525,-8.1075,-6.7285,-8.1075,-7.42625,-6.30075
1,1.25,-1.880801997,-51.55155169,-0.369764233,-22.38134,-27.0219525,-7.8191037295,-81.803095,-13.32667,-13.852455,48.19775284,0.3004849985,65.346695,0.567124825,7.2482065,394.3387008,1.89889398475,-9.130185,0,-8.495,-8.1575,-6.72925,-8.065,-7.449,-6.27825
1,1.75,-1.91352782475,-53.7075891,-0.2880135725,-22.11069,-27.03625,-7.52641019475,-81.283985,-13.280615,-13.7865575,47.303319825,0.293304159,65.346315,0.56424985,7.512276,394.00495095,1.8051774905,-9.165401,0,-8.4975,-8.1575,-6.72325,-8.0575,-7.44575,-6.2885
1,2.25,-2.898244005,-49.79636812,-0.396194498,-22.56258,-27.24697,-7.537522076,-82.081365,-13.191975,-13.8310925,46.15307882,0.284485948,65.35484,0.5542448,7.4374325,394.1592801,1.806207653,-9.18504,0,-8.5325,-8.135,-6.70575,-8.0775,-7.43425,-6.28025
1,2.75,-2.04022290975,-50.50357656,-0.3175335845,-22.1504,-26.7256525,-7.60633938975,-80.661605,-13.24718,-13.7863375,45.710060035,0.2940955935,65.3410775,0.539786575,7.527385,394.2117248,1.769805461,-9.187213,0,-8.56,-8.1275,-6.70525,-8.09,-7.431,-6.25525
1,3.25,-1.67425827325,-54.5885821375,-0.3273408245,-21.7730375,-26.0749525,-7.52232813625,-81.852865,-13.323305,-13.916675,44.9277265425,0.292200988,65.345525,0.589107025,7.75768875,394.30803455,1.759634241,-9.258464,0,-8.6075,-8.1475,-6.70675,-8.11675,-7.424,-6.2675
1,3.75,-2.026904556,-55.43067604,-0.341085042,-21.58099,-26.007005,-7.36688904925,-81.256965,-13.44497,-13.856625,48.00338257,0.28797183575,65.33653,0.5788403,7.532004,394.1673315,1.76018364275,-9.30539,0,-8.5975,-8.1325,-6.68975,-8.15,-7.43975,-6.27725
1,4.25,-2.3833652965,-51.72149046,-0.336510351,-21.732215,-25.32642,-7.18025722375,-81.5132,-13.50409,-13.84127,47.118686865,0.273837849,65.3330025,0.565649,7.723821,394.2557474,1.792789926,-9.326786,0,-8.62,-8.125,-6.75575,-8.16,-7.42925,-6.323
1,4.75,-1.62237933675,-55.449238405,-0.3213407025,-21.20556,-26.00513,-7.30255661325,-81.48534,-13.3698625,-13.9593025,49.2734435,0.2956052045,65.3065775,0.575616675,7.6835595,394.2677031,1.7818522145,-9.428568,0,-8.5925,-8.115,-6.76625,-8.19,-7.4475,-6.32875
1,5.25,-1.804082715,-56.2426981075,-0.443801842,-20.7032,-26.4361175,-7.2278664115,-81.1943675,-13.576785,-13.96245,49.15265905,0.2969298375,65.27459,0.5791694,7.6916945,394.474681225,1.7821237315,-9.440133,0,-8.605,-8.1225,-6.80125,-8.185,-7.45,-6.3645
1,5.75,-0.634968452,-56.28900285,-0.373850669,-20.95851,-26.37765,-7.21464519375,-81.7512275,-13.44405,-13.92987,50.67505221,0.2874965535,65.2951,0.565952,7.285167,394.2738052,1.77196939,-9.50134025,0,-8.6425,-8.1375,-6.8295,-8.1825,-7.45525,-6.36675
1,6.25,-1.37484609675,-57.0549199,-0.41852481,-19.66769,-26.00231,-7.03460368075,-81.6279275,-13.40817,-13.914735,49.6630375,0.2956469545,65.29876,0.536576675,7.430975,394.1632212,1.747903837,-9.55728075,0,-8.6675,-8.155,-6.856,-8.1525,-7.448,-6.42975
1,6.75,-0.8183029665,-59.90545236,-0.4902879395,-20.0189725,-26.52132,-7.12502413425,-81.092165,-13.27815,-13.739895,46.730183355,0.292491461,65.30605,0.5627885,7.59834875,394.199371725,1.710434801,-9.58524,0.09792183325,-8.685,-8.175,-6.89125,-8.17,-7.45125,-6.45525
1,7.25,-0.747970957,-56.6530599675,-0.38987254275,-19.9618625,-26.88011,-7.10476138375,-77.38402,-13.30095,-13.708465,45.66131406,0.28522768525,65.31918,0.5528296,7.155762,393.80849605,1.6984259785,-9.675964,5.05851974975,-8.715,-8.19,-6.86825,-8.1775,-7.45975,-6.44425
1,7.75,-0.274846815,-51.2912232725,-0.3381054615,-18.7908675,-25.03254,-6.7514966225,-65.433135,-13.5863275,-13.771865,46.4536053375,0.2922081785,65.3234425,0.5216576,6.79441225,394.5116203,1.749872651,-9.735734,29.2666049975,-8.765,-8.215,-6.88175,-8.195,-7.476,-6.4555
1,8.25,0.512822612,-33.8508798425,-0.2342503615,-13.9523475,-19.52147,-5.55993747325,-40.35773,-13.3786525,-13.66821,46.01504838,0.2985751305,65.3334625,0.508083325,6.69563,394.7006058,1.7415532245,-9.7350825,72.1718908325,-8.775,-8.2325,-6.8895,-8.1875,-7.4835,-6.4755
