DOY2,HR2,FC_1_1_1,SC_1_1_1,USTAR_1_1_1,LE_1_1_1,H_1_1_1,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,SW_IN_1_1_1,SW_OUT_1_1_1,NETRAD_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,WS_1_2_1,WS_1_3_1,WS_2_1_1,PA_1_1_1,NEE_1_1_1
1,0.5,0.6,0.1,0.3285,6.35,1.9,413.26,414.23,415.755,417.33,-0.58,-1.2375,-1.605,-2.165,93.6,93.9,92.9,95.875,-0.0175,0.06,0.13,0.3675,0.03,0.0175,0.18,0.405,1.16,0.7275,1.9425,2.49,0,0.3,-7.375,277.45,299.8,4.9675,4.1,4.45,98.41,0.6
1,1.5,0.63,0.1,0.332,5.9,1.075,412.8125,413.92,414.94,416.1725,-0.83,-1.53,-1.8325,-2.155,94,94.2,93.2,95.7,-0.03,0.06,0.1275,0.34,0,0.01,0.18,0.4,1.1425,0.73,1.9425,2.49,0,0.3,-6.7,277.7,299.4,4.99,4.16,4.505,98.3975,0.6
1,2.5,0.54,0.1,0.32,5.75,1.475,412.655,413.7525,415.0275,416.49,-1.05,-1.57,-2.0175,-2.44,93.875,94.375,93,95.8,-0.03,0.06,0.11,0.3375,-0.01,0.01,0.17,0.4,1.1325,0.73,1.9325,2.49,0,0.4,-5.9,278.675,297.1,5.0275,4.3025,4.605,98.44,0.585
1,3.5,0.53,0.1,0.321,5.7,1.7,412.3725,412.95,414.08,415.54,-1.24,-1.7025,-2.145,-2.5,93.9,94.6,93.3,95.8,-0.04,0.06,0.115,0.3375,-0.0225,0,0.17,0.395,1.1225,0.73,1.925,2.49,0,0.4,-5.8,276.475,297.3,4.94,4.16,4.4875,98.42,0.5
1,4.5,0.575,0.1,0.325,6.1,2.225,412.33,412.98,414.26,415.85,-1.33,-1.905,-2.0925,-2.5975,93.975,94.7,93.5,95.9,-0.0475,0.06,0.09,0.3375,-0.04,0,0.17,0.39,1.12,0.7275,1.9175,2.48,0,0.4,-5,277.1,296.6,5.04,4.2975,4.6375,98.41,0.6
1,5.5,0.56,0.1,0.333,6.4,2.2,411.785,412.71,413.6,415.0525,-1.55,-2.19,-2.43,-2.655,94.4,94.8,93.775,95.9,-0.0675,0.05,0.09,0.33,-0.0525,-0.0025,0.1575,0.39,1.1125,0.72,1.9175,2.48,0,0.4,-5.4,277.1,296.05,4.9475,4.34,4.445,98.42,0.6
1,6.5,0.55,0.1,0.33,6.65,3.175,411.9,412.61,413.6,415.24,-1.535,-2.1525,-2.5,-2.8375,94.6,94.7,93.8,96.1,-0.0875,0.04,0.0875,0.3275,-0.0525,-0.02,0.1575,0.39,1.11,0.7175,1.9075,2.4775,0,0.3,-4.5,277.275,295.825,4.895,4.14,4.42,98.43,0.52
1,7.5,0.59,0.1,0.317,5.725,1.5,412.0625,412.68,413.91,415.485,-1.685,-2.105,-2.31,-2.9,94.475,94.9,94,96.3,-0.11,0.04,0.0775,0.32,-0.08,-0.03,0.1575,0.38,1.1,0.7175,1.9,2.4775,3.2,2.7,-4.025,278.275,296,5.015,4.3,4.5525,98.45,0.6
1,8.5,0.62,0,0.33025,11.3,9.35,411.8525,412.2,412.7,414.18,-1.345,-1.7825,-1.6475,-2.07,93.7,93.3,92.8,95.7,-0.12,0.04,0.0775,0.32,-0.09,-0.03,0.15,0.36,1.09,0.71,1.89,2.475,83.85,42.8,10.4,279.275,300.875,5.28,4.49,4.84,98.49,0.6
1,9.5,0.82,0,0.3925,24.2,37.05,410.7175,410.8275,411.3,411.97,0.06,0.0275,0.09,0.12,90.975,90.6,89.5,93.2,-0.09,0.035,0.09,0.32,-0.0625,-0.0325,0.15,0.35,1.08,0.7075,1.88,2.4675,240.65,120.7,86.825,282.575,311.475,5.9875,5.05,5.455,98.52,0.7
1,10.5,0.9,0,0.425,33.375,77.1,409.51,409.62,409.575,410.6775,1.43,1.21,1.64,1.6525,86.8,86.95,86,91.1,-0.06,0.0375,0.1,0.32,-0.04,-0.02,0.15,0.34,1.075,0.7,1.87,2.46,380.9,193.3,178.3,280.2,321,6.51,5.53,6.04,98.515,0.8
1,11.5,0.91,0,0.44875,36.95,101.65,408.84,408.965,409.035,409.95,2.45,2.45,2.9,3.2725,83.2,83.9,82.9,88.7,-0.01,0.04,0.1,0.32,0.01,-0.01,0.15,0.34,1.075,0.7,1.88,2.46,477.675,238,237.85,280.9,329.9,6.7,5.65,6.3075,98.46,0.84
1,12.5,0.9,0,0.45225,38,115.8,408.1575,408.295,408.17,409.1575,3.56,3.52,4.12,4.025,81,82.025,80.25,87,0.04,0.04,0.1,0.32,0.07,0,0.15,0.33,1.07,0.7075,1.8775,2.46,513.55,264.8,254.7,283.3,336.8,6.7075,5.7275,6.2675,98.38,0.8
1,13.5,0.94,0,0.45525,37.7,109.25,407.725,407.94,407.86,408.5675,4.705,4.5,5.03,4.88,79.1,79.7,79.65,86,0.0825,0.0575,0.13,0.3,0.19,0.02,0.16,0.33,1.065,0.7075,1.88,2.46,488.2,248.1,239.5,285.7,339.9,6.8,5.8325,6.285,98.3,0.89
1,14.5,0.89,0,0.4415,32.9,80.2,407.74,407.78,407.9625,408.565,5.2225,4.92,5.28,5.345,79.5,80.4,79.2,86.5,0.1525,0.0775,0.12,0.3,0.3,0.07,0.16,0.34,1.07,0.7075,1.87,2.45,397.975,193.2,172.375,285.4,337.3,6.6325,5.68,6.23,98.265,0.9
1,15.5,0.75,0,0.421,25.4,37.2,408.015,408.1175,408.195,408.65,4.94,4.56,5.05,4.75,80.6,81,80.425,87,0.2275,0.0975,0.15,0.3,0.36,0.08,0.17,0.35,1.07,0.71,1.87,2.45,263.45,124.5,81.6,285.175,333,6.32,5.48,5.8875,98.26,0.8
1,16.5,0.67,0.1,0.35525,13.475,7,408.4575,408.565,408.8525,410.035,4.26,4.03,4.22,3.5325,82.8,83.3,83.3,88.8,0.1725,0.1075,0.15,0.32,0.28,0.09,0.18,0.36,1.075,0.71,1.87,2.45,106.3,49.7,7.775,280.75,322.475,5.66,4.87,5.22,98.28,0.7
1,17.5,0.57,0.2,0.31225,6.8,0.725,409.675,409.97,410.6925,412.95,2.88,2.42,1.78,0.75,84.7,85.8,87.05,92.1,0.0725,0.105,0.15,0.32,0.12,0.08,0.18,0.36,1.075,0.71,1.87,2.44,7.875,4.7,-15.2,279.4,312.65,4.73,4.05,4.2675,98.29,0.7
