DOY2,HR2,FC_1_1_1,USTAR_1_1_1,LE_1_1_1,H_1_1_1,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,SW_IN_1_1_1,SW_OUT_1_1_1,NETRAD_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,WS_1_2_1,WS_1_3_1,WS_2_1_1,NEE_1_1_1
1,0.5,0.2,0.182,1.1,-4.25,778,779.1,783.5,787.6,-4.91,-5.61,-5.99,-6.97,82.4,84.4,84.7,89.3,0,0.2,-32.45,245,278.7,3.02,2.545,2.565,0.2
1,1.5,0.21,0.192,1.1,-5.45,778.75,781.6,784.8,788.2,-5.06,-5.51,-6.26,-7.31,83,84.7,84.7,89.7,0,0.2,-31.7,246,277.3,3.11,2.73,2.775,0.2
1,2.5,0.25,0.192,1.4,-4.6,779,781.7,784.7,788.7,-5.31,-5.87,-6.47,-7.465,83.4,85.1,85.4,89.4,0,0.2,-27.8,246.4,277.1,3.13,2.715,2.775,0.2
1,3.5,0.19,0.1945,1.3,-5,778.65,782.2,786,789,-5.69,-6.295,-6.64,-7.36,83.6,85.2,85.5,90,0,0.2,-29.4,247.1,277.2,3.13,2.67,2.68,0.2
1,4.5,0.205,0.197,1.45,-4.5,779.4,783.2,785.55,789.2,-6.02,-6.56,-6.96,-7.8,83.6,85.1,85.8,90.1,0,0.2,-26.9,246.2,275.2,3.04,2.6,2.665,0.2
1,5.5,0.22,0.202,1.6,-4.8,778.85,782.3,783.9,786.7,-6.18,-6.74,-7.54,-8.04,83.7,85.5,85.4,90,0,0.2,-24.9,247.1,275.1,3.18,2.705,2.74,0.2
1,6.5,0.245,0.2005,1.4,-4.8,780.2,782.4,785.25,787.35,-6.37,-7.06,-7.48,-7.99,84,85.7,85.7,90.1,0,0.2,-25.3,247.7,275.2,3.07,2.66,2.71,0.245
1,7.5,0.215,0.2015,1.3,-3.4,781.1,783.5,785.1,789.2,-6.46,-7.275,-7.45,-8.11,84.1,85.9,85.5,90.5,1.85,1.8,-23.15,246.4,274.8,3.175,2.71,2.75,0.2
1,8.5,0.3,0.217,5.4,-0.05,780.45,781.3,782.6,783.15,-5.98,-6.595,-6.415,-6.7,82.8,84.4,84.4,89.4,60,28.4,1.3,247.9,279.9,3.32,2.92,2.965,0.3
1,9.5,0.33,0.262,12.3,10.3,776.5,777.2,775.6,775.8,-4.66,-5.11,-4.71,-4.495,79,81.1,79.8,85.5,179.9,64.25,49.35,246.6,291,4.14,3.67,3.775,0.2
1,10.5,0.39,0.3005,16.9,29.3,770.35,771.1,770,768.65,-3.27,-3.575,-3.04,-2.51,73.5,75.5,74.1,79.9,326.6,92.95,97.3,247.6,301.3,4.68,4.255,4.34,0.3
1,11.5,0.41,0.3125,19.9,37.35,765.3,765.8,764.25,762.6,-2.01,-2.215,-1.635,-1.19,69.5,71.8,69.9,76.3,415.5,112.9,132.9,248.8,309.65,4.72,4.295,4.385,0.3
1,12.5,0.5,0.326,21.5,40.9,760.65,761.2,758.75,756.6,-1.04,-1.1,-0.51,-0.15,67.1,69.55,67.85,73.8,447,117.75,153.3,251.5,313.4,4.9,4.46,4.55,0.4
1,13.5,0.5,0.317,19.5,40.3,756.9,757.1,755.7,754.1,-0.26,-0.52,0.08,0.25,64.6,67.55,66,72.4,420,108.9,141.9,253.2,314.85,5.06,4.555,4.655,0.4
1,14.5,0.445,0.316,16.3,29.1,754.2,754.9,754.1,753.4,0.01,-0.215,0.27,0.395,64.1,66.5,65.9,71.9,329.75,90.55,106.55,254.7,313.75,4.995,4.535,4.58,0.4
1,15.5,0.38,0.295,11.7,8.5,754.65,755.8,755.6,755.6,-0.01,-0.13,0.33,0.08,64.5,66.9,66.4,73,210.95,61.8,48.55,253.3,310.7,4.88,4.41,4.38,0.4
1,16.5,0.23,0.243,4.7,-4.5,757.3,758.55,759.5,760.2,-0.365,-0.42,-0.345,-0.58,66.75,69.05,69,75.35,74,27.2,-6,251.2,303.9,4.15,3.62,3.76,0.3
1,17.5,0.17,0.169,0.9,-7.3,762.2,764.3,767.7,770.55,-1.25,-1.7,-1.96,-3.12,71.2,73.95,74.85,81.8,3,2,-48.4,247.35,291.45,3.32,2.77,2.845,0.3
1,18.5,0.175,0.1585,0.5,-6.25,768.3,770.6,773,776.8,-2.045,-2.58,-3.32,-4.68,74.5,77.55,79,85.1,0,0.2,-45.35,246.15,286.05,3.11,2.51,2.575,0.3
1,19.5,0.205,0.176,0.5,-6.45,771.4,773.5,776.4,780.35,-2.74,-3.58,-4.06,-5.61,76.8,79.7,81.2,87.35,0,0.2,-42.7,244.7,282.5,3.17,2.595,2.66,0.2
1,20.5,0.22,0.173,0.9,-6.9,771.2,773.9,777.4,781.1,-3.15,-3.9,-4.65,-5.73,78.1,81.6,82.4,88.15,0,0.2,-41.4,243.2,281.5,3.1,2.6,2.62,0.2
1,21.5,0.235,0.177,0.7,-6.7,774.5,777.1,779.7,783.1,-3.515,-4.36,-5,-6.1,79.7,82.1,83.3,88.5,0,0.3,-40.7,245.2,280,2.99,2.555,2.575,0.3
1,22.5,0.225,0.173,0.5,-5.3,775,778.05,781.7,785.8,-4.22,-4.99,-5.515,-6.59,80.4,83.15,84,89.4,0,0.3,-37,244,279.45,2.93,2.4,2.435,0.2
1,23.5,0.22,0.172,0.7,-5.65,776.95,779.9,783.4,786.8,-4.49,-5.26,-5.79,-6.61,81.45,84.2,84.35,89.9,0,0.2,-35.6,246.45,279.6,2.99,2.545,2.58,0.2
2,0.5,0.22,0.189,1,-6.95,772.6,774.1,778.2,781.5,-3.65,-4.3,-4.65,-5.35,81.4,83.4,84.4,90.1,0,0.3,-37.6,247,284.1,3.26,2.745,2.825,0.265
2,1.5,0.22,0.189,1.2,-6.4,774.3,776.5,779.6,782.45,-4.09,-4.605,-5.2,-5.83,82.1,84,85,90,0,0.3,-36.25,246.9,283.3,3.14,2.67,2.77,0.2
2,2.5,0.24,0.1825,0.7,-6.45,774.95,777.8,779.5,782.5,-4.54,-5.02,-5.76,-6.04,82.5,84.5,85,90.2,0,0.3,-35.45,247,282.5,3.11,2.665,2.73,0.24
2,3.5,0.24,0.191,1.2,-5.8,776.6,779.2,781.3,784.2,-4.54,-5.255,-5.66,-6.205,83.4,85.2,85.6,90.15,0,0.3,-33.35,245.8,281.4,3.17,2.68,2.73,0.3
2,4.5,0.23,0.193,0.7,-6.6,776.95,779.2,781.3,785.4,-4.93,-5.655,-5.84,-6.36,84,85.8,85.5,90.5,0,0.3,-31.7,247.7,279.7,3.125,2.63,2.68,0.2
2,5.5,0.255,0.189,1.2,-4.4,778.1,780.35,783.2,785.9,-5.46,-5.96,-6.13,-6.76,84.5,86.5,85.9,90.8,0,0.3,-27.7,248.7,278.9,3.11,2.615,2.755,0.3
2,6.5,0.22,0.196,1.3,-5.15,778.75,780.55,784.5,787.5,-5.62,-6.065,-6.37,-6.73,85,86.7,86.5,91.1,0,0.3,-23.75,251.5,278.4,3.035,2.73,2.73,0.2
2,7.5,0.22,0.185,1.9,-4.55,779.6,781.65,783.6,787.5,-5.7,-6.25,-6.23,-6.425,84.7,86.5,86.2,91.1,15.4,8.8,-14.8,251.3,279.5,3.16,2.72,2.735,0.2
2,8.5,0.29,0.221,10.6,3.8,776.7,777.6,777.75,778.3,-4.84,-5.055,-4.65,-4.54,81.8,83.7,83.3,88.8,122.2,47.4,20.1,251,289.2,3.63,3.25,3.36,0.2
