DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,CH4,PPFD_IN,FC,SC,NEE,TS_1_1_1,FCH4
1,0.25,0.1425725,-6.785,0.7329425,-15.025,0.17125,63.01075,98.8430625,390.865,3.183475,1533.825,-13.139,-0.02509475,-0.46807,0.28326,2.830075,0.425025
1,0.75,0.15845,-6.7351,0.812525,-19.037,0.621895,63.082,98.839205,390.65,3.025725,1538.5,-13.04075,-0.5559475,-0.4517325,-0.123,2.824775,-0.6965
1,1.25,0.1628825,-7.0842,0.847375,-18.381,0.66805,63.5365,98.8206725,392.61,3.0341,1507.4,-13.46175,-0.0420305,-0.331505,0.0197,2.81735,1.0663
1,1.75,0.161,-7.233,0.82921,-18.68675,0.593,63.827,98.7624525,390.69,3.0253,1545.3,-13.06825,-0.186975,-0.5997375,-0.4054425,2.8068,1.15901
1,2.25,0.15418,-7.4034,0.732305,-16.5365,0.270505,63.98225,98.757,390.52,3.0151,1525.3,-13.01025,-0.315525,-0.428145,-0.172835,2.80345,-3.358075
1,2.75,0.139585,-7.4045,0.77708,-16.041,1.226375,64.23675,98.788045,390.76,3.02715,1502.25,-12.7665,-0.2989825,-0.4301,-0.27523,2.793825,0.27777
1,3.25,0.16181,-7.4959,0.82969,-14.198,0.54991,64.639,98.7558075,389.92,2.9968,1517.875,-13.03925,-0.2304375,-0.22634,-0.026692,2.7838,0.68052
1,3.75,0.133075,-7.4813,0.72158,-14.871,1.1833,65.35,98.74329,388.58,3.0056,1505.775,-13.08775,-0.274075,-0.40538,-0.075423,2.769775,-0.228955
1,4.25,0.1628725,-7.47,0.725535,-15.29425,0.72948,66.232,98.70018,390.03,2.983375,1498.9,-13.1045,-0.05335275,-0.2252425,-0.16046,2.75725,0.601775
1,4.75,0.163205,-7.57675,0.7460825,-13.37,1.371125,67.0025,98.684255,388.42,3.0166,1531.7,-13.3525,-0.068109,-0.40153,-0.1014825,2.7504,1.4757
1,5.25,0.1581725,-7.87615,0.74977,-18.632,0.7224925,66.573,98.72258,389.685,2.9721,1557.45,-13.4755,-0.13883,-0.17623,0.30544,2.755125,3.422225
