DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,CH4,PPFD_IN,FC,SC,NEE,TS_1_1_1,FCH4
1,0.25,0.47165,1.1261,2.3045,-0.915,8.67255,81.6355,100.1055,416.3425,5.800075,2264.075,1.066775,2.30355,0.4913175,2.453,4.651975,11.8365
1,0.75,0.477205,0.80181,2.39985,-2.016,8.4307,83.1735,100.09885,418.2625,5.629175,2271.3,1.068175,2.026925,0.4303425,2.2728,4.6415,9.359
1,1.25,0.47037,0.6674,2.183725,-2.325525,7.6403,82.231,100.095625,416.365,5.662725,2269.3,1.065575,2.11305,0.331285,2.5421,4.617825,11.678
1,1.75,0.47168,0.68946,2.2561,-2.416,8.4632,81.73375,100.102525,416.96,5.7978,2237.9,1.0668,1.762725,0.2594225,2.035625,4.594,10.03205
1,2.25,0.45629,0.67356,2.221575,-2.823075,7.368225,82.79775,100.099425,415.81,5.7744,2235.9,1.06765,1.52085,0.435665,1.7181,4.572125,12.935
1,2.75,0.4672025,0.70119,2.20275,-1.784,7.432125,82.402,100.09525,416.02,5.774425,2269.45,1.06785,2.021425,0.48972,2.0793,4.55535,12.075
1,3.25,0.46912,0.59643,2.214,-1.36,6.7605,83.33775,100.093425,414.47,5.54005,2278.875,1.066925,2.048675,0.36588,2.4217,4.54015,17.189
1,3.75,0.4746825,0.66037,2.28485,-2.188325,8.9426,85.1145,100.0754,415.02,5.4368,2278.9,1.066975,1.923575,0.51729,2.0161,4.5251,12.50925
1,4.25,0.4810225,0.534,2.1856,-1.7385,9.5232,84.794,100.052425,415.61,5.376025,2220.45,1.067725,2.070975,0.5821775,2.37205,4.5064,14.39325
1,4.75,0.484645,0.474175,2.261025,-1.3128,9.1799,85.3435,100.0487,415.57,5.261,2253.375,1.06635,2.07405,0.3310175,2.2771,4.4951,15.133
1,5.25,0.48969,0.448745,2.4496,-0.761,8.6386,85.205,100.079525,413.77,5.38955,2228.525,1.067325,2.0372,0.645245,2.23765,4.48105,10.6045
1,5.75,0.50125,0.46436,2.3946,-1.78795,8.64255,85.012,100.0978,414.7,5.556,2197.25,1.066775,2.395,0.71453,2.606125,4.4789,11.931
1,6.25,0.49119,0.525585,2.450275,-1.355675,8.754,84.753,100.1182,415.35,5.564625,2217.2,1.066875,2.6863,0.5281375,2.855125,4.4705,13.82525
1,6.75,0.5231875,0.502325,2.435175,-1.49475,10.333,84.6565,100.133825,416.43,5.4454,2221.5,1.06765,2.6618,0.85377,3.291175,4.4567,14.5415
1,7.25,0.52443,0.23997,2.50475,-1.2815,8.3754,85.518,100.15795,421.015,5.69915,2222.9,1.067875,2.2802,0.88656,2.6723,4.4393,10.267
1,7.75,0.527635,0.46647,2.503375,-1.497425,11.527,84.96725,100.159825,415.8,5.4286,2212.8,3.71015,3.3056,0.58837,3.2245,4.4246,11.256
1,8.25,0.5299875,0.66148,2.510825,3.0044,10.26375,84.9435,100.195725,417.9675,5.4533,2197.575,35.962,2.76645,0.4912375,2.83355,4.42965,13.1105
1,8.75,0.540335,0.99775,2.4608,15.582,11.7825,82.46525,100.2252,419.36,5.604775,2207.3,121.365,3.167875,0.50462,3.01815,4.413625,14.079
1,9.25,0.57246,1.2425,2.6376,33.9195,14.34125,81.1965,100.220225,415.97,5.733,2198.5,240.9425,2.6778,0.055406,2.61785,4.395575,20.981
1,9.75,0.57283,1.05725,2.659225,63.767,18.558,81.09925,100.221325,412.5925,5.6995,2194.625,331.355,2.7584,0.08101,2.2299,4.38465,25.336
1,10.25,0.59859,1.5527,2.730725,87.328,20.0105,79.427,100.2181,409.09,5.72095,2190.3,427.29,2.3479,-0.01334055,1.9169,4.3719,21.624
1,10.75,0.612595,2.0574,2.758825,93.139,22.2305,77.77,100.2051,407.1375,5.645775,2167.6,549.49,1.7699,-0.031271,1.4119,4.3902,25.7105
1,11.25,0.6255875,2.49365,2.8848,118.315,27.192,77.744,100.17,406.9175,5.702575,2159.4,622.31,2.24985,-0.031715,1.78465,4.3878,24.398
1,11.75,0.64775,2.9291,2.996175,128.035,26.5665,74.835,100.1557,407.155,5.822475,2154.45,675.65,1.9638,-0.0397,1.276,4.3939,20.95325
1,12.25,0.663815,3.52435,3.020875,125.04,29.68025,74.478,100.1167,406.7525,5.915425,2158.1,695.67,1.84875,0.06197725,1.5632,4.3976,19.42975
1,12.75,0.671395,3.7664,3.10085,125.855,26.9265,72.43,100.0708,405.3,6.09,2170.925,708.93,1.636525,-0.02588,1.4841,4.4051,21.612
1,13.25,0.6797175,4.0729,2.994475,124.33,28.80475,71.35125,100.0255,405.145,5.77875,2159.8,673.62,1.72265,0.08104375,1.36465,4.4392,23.971
1,13.75,0.6665,4.304225,3.0645,128.45,28.8935,71.21,99.99455,404.67,5.8284,2175.25,624.31,1.9756,0.060879,1.8882,4.4079,19.99325
1,14.25,0.6774,4.44395,2.9717,113.5325,27.221,71.551,100.0015,404.87,5.878,2182.475,551.42,1.749725,0.0877225,1.703325,4.4462,20.91675
1,14.75,0.6691275,4.660825,3.02055,98.089,23.811,71.104,99.99761,404.7975,5.8304,2184.6,523.3,1.886075,0.1099925,1.914425,4.4532,17.783
1,15.25,0.636,4.480475,3.0279,83.518,21.75,71.2825,100.04285,405.13,5.907725,2174.3,449.58,2.059475,0.19558,2.141525,4.5123,16.251
1,15.75,0.6566975,4.267625,2.973525,68.6895,20.581,70.171,100.031075,405.465,5.9336,2174.4,328.12,2.2349,0.302435,2.2761,4.5083,18.59625
1,16.25,0.62155,4.26555,2.8948,37.889,18.60575,70.86175,100.0961,405.9875,5.848775,2164.8,208.495,2.45325,0.31338,2.553175,4.53105,12.069
1,16.75,0.58807,4.4232,2.6085,18.3765,14.649,71.7205,100.070425,406.505,5.85325,2169.45,88.05875,2.02125,0.58062,2.684575,4.543775,11.117
1,17.25,0.56642,4.20785,2.583,3.796825,11.374,72.169,100.1261,408.15,5.849,2163.275,20.36075,2.742125,0.882025,3.4323,4.5719,6.4184
1,17.75,0.539,3.96785,2.4603,0.1873875,10.306,73.8795,100.118,410,5.897775,2173.1,1.5459,2.96965,0.8841825,3.5057,4.55675,11.4935
1,18.25,0.5164525,3.3503,2.487975,-2.2612,8.620525,73.54925,100.10865,411.43,5.93735,2172.9,1.063325,3.159375,1.1649,4.1386,4.53565,12.4
1,18.75,0.5066275,3.2249,2.345125,-2.48835,8.0998,72.8495,100.12815,413.165,5.934225,2162.4,1.0642,2.8309,0.71,3.3384,4.5823,10.29425
1,19.25,0.5183625,2.65195,2.337225,-1.7322,8.609475,73.51,100.12405,414.5725,5.96725,2190.85,1.0653,2.66135,1.1213,3.6302,4.6025,10.00925
1,19.75,0.50884,2.44695,2.405925,-1.24305,10.637,74.658,100.10895,414.655,5.9928,2191.4,1.06545,2.4879,0.674245,2.75365,4.62285,10.748
1,20.25,0.5054025,2.479775,2.36295,0.7169,10.06335,76.1025,100.094375,411.9225,5.854275,2189.2,1.064175,2.943,0.60438,3.4139,4.624,12.888
1,20.75,0.518665,2.0123,2.429475,-0.08356,8.6836,77.8675,100.105025,415.01,5.7646,2205.1,1.0651,2.429775,0.6214725,2.6488,4.6053,17.7415
1,21.25,0.5187,1.81435,2.2995,-0.0960975,8.477925,78.28375,100.110675,415.7225,5.7952,2206.65,1.0656,2.538975,0.61436,2.8098,4.6091,9.9557
1,21.75,0.5098625,1.57985,2.37825,-0.7292425,9.0658,78.12975,100.104025,417.2,5.742075,2212.1,1.0646,2.0963,0.616295,2.864575,4.627275,8.75155
1,22.25,0.49071,1.59295,2.2049,-2.375,8.17125,79.1065,100.124025,415.395,5.795825,2215.2,1.0652,2.3752,0.3992475,2.5437,4.613925,14.2795
1,22.75,0.5096975,1.69,2.260325,-1.04175,7.6397,79.9715,100.107075,414.2225,5.823325,2230.375,1.0679,2.0332,0.544375,2.5959,4.601675,8.105725
1,23.25,0.480965,1.509,2.214,-1.50165,9.4827,79.7185,100.09665,416.54,5.902,2249.2,1.0678,2.161675,0.4107225,2.5698,4.5751,11.337
