DOY2,HR2,FC_1_1_1,LE_1_1_1,H_1_1_1,SW_IN_1_1_1,VPD_1_1_A,RH_1_1_A,TA_1_1_A,USTAR_1_1_1,CO2_1_1_1,H2O_1_1_A,WS_1_1_1,PA,LW_IN_1_1_1,RH_1_1_1,VPD_1_1_1,H2O_1_1_1,TA_1_1_1
1,0.25,-0.266975,15.960775,22.352125,-1.37000025,0.963065225,90.937255,-1.053936,0.367204225,361.50145,3.16695475,4.312134,98.4120375,289.992525,85.347835,1.0889375,3.357837,-0.74
1,0.75,-0.238875,16.71161,21.3425275,-1.34583325,0.9143519,91.5739475,-1.24250025,0.345835125,361.832225,3.165704,5.1063705,98.3794275,289.9575,84.94733,1.1143815,3.226802,-0.7186667
1,1.25,-0.2988,18.05591,23.778165,-1.3525,0.914114875,92.5769075,-1.3690365,0.363467375,362.2793,3.1550785,4.805526,98.40323,290.409175,82.37334,1.079827,3.259521,-0.233
1,1.75,-0.422325,24.92405,38.7211925,-1.3391665,0.90580535,93.3495125,-1.31327975,0.342494875,361.5815,3.14780025,4.749893,98.432875,290.101675,81.20632,1.107761,3.183063,-0.53
1,2.25,-0.54585,22.32524,24.38681,-1.3566665,0.86420525,93.3175825,-1.3757435,0.37312805,362.276575,3.08976025,4.697725,98.453005,289.7391,82.40566,1.104112,3.242063,-0.4303333
1,2.75,-0.084,22.132705,23.1502975,-1.41583325,0.867827025,92.5937475,-1.4704935,0.316090575,362.055375,3.07120625,3.830065,98.4481725,288.46,84.20266,1.070799,3.243134,-0.6199999
1,3.25,-0.33545,21.94816125,25.92924375,-1.385,0.828530725,93.11389,-1.64708125,0.3379553,362.491125,3.00534975,4.490205,98.4380275,287.5917,83.125,1.064132,3.24478,-0.5303333
1,3.75,-0.5869,21.7636175,28.70819,-1.50416625,0.8091167,92.9489175,-1.80725025,0.3607255,363.02505,2.9970005,4.235314,98.42255,289.60085,83.37634,1.124085,3.258354,-0.7443334
1,4.25,0.048225,20.010865,27.95765,-1.55,0.790408575,92.6951525,-1.9720875,0.331492275,362.4291,2.956753,4.2451695,98.4307325,286.685075,83.497675,1.11521,3.3498065,-0.1035
1,4.75,-0.4835,15.96909,24.27117,-1.51583325,0.77733805,92.7,-2.06165075,0.34541365,362.368,2.89217325,4.2129425,98.44494,286.934175,84.057505,1.0246125,3.301109,-0.24466665
1,5.25,-0.076575,15.2442,24.99717,-1.39499975,0.756952625,92.930795,-2.333678,0.31748485,362.5457,2.86307225,4.016938,98.4324275,288.66335,84.828495,0.937147,3.2439225,0.0473334
1,5.75,-0.12865,13.7638,18.238995,-1.4374995,0.762017075,93.0014,-2.43939675,0.3487775,362.73685,2.838601,3.7976435,98.4248075,287.2967,86.04768,0.89228005,3.2047235,-0.04883325
