DOY2,HR2,TAU_1_1_1,H_1_1_1,LE_1_1_1,FC_1_1_1,WS_1_1_1,USTAR_1_1_1,T_SONIC_1_1_1,CO2_1_1_1,H2O_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,PA_1_1_1,TA_1_1_1,RH_1_1_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,SW_IN_1_1_1,LW_IN_1_1_1,SW_OUT_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,TS_1_3_1,TS_1_1_1,TS_1_2_1,NETRAD_1_1_1
1,0.25,-0.23652545,-61.38808,-17.775095,-2.2706745,0.24002845,0.022686445,2.3146305,422.947125,4.50551375,0.1567142,0.148965425,0.0255261725,0.05863225,99.935,1.658947,43.10227,-8.550221,-10.46168,-12.780035,-3.671872,-4.189036,247.6185,0.27460885,308.654,-40.6487,-0.1035981,8.514245,6.335044,7.0647285,-87.997875
1,0.75,-0.30127595,-65.8486925,-8.4849465,-2.609996,0.086721625,0.023777685,1.14691875,422.8552,4.581378,0.159895725,0.1758951,0.023863835,0.051988505,99.935,1.1798655,46.69305,-8.7780645,-10.647155,-12.824345,-3.7269795,-4.476391,247.31645,0.2196999,307.54705,-43.59301,-0.10732345,8.5098855,6.2935205,7.0839555,-85.573085
1,1.25,-0.286452875,-70.58239,-10.3019,-1.525259,0.213478,0.0256980175,0.7585536,422.516425,4.60080325,0.1684715,0.173186,0.02503801,0.05454027,99.995645,0.76079355,46.69213,-9.0260155,-10.878945,-12.954695,-3.788735,-4.508649,246.55205,0.3276,306.71095,-44.8914,-0.11136855,8.505251,6.2542395,7.102986,-88.5063
1,1.75,-0.296886575,-76.03061,-9.751925,-2.364835,0.13630825,0.0253795125,0.69376995,422.792,4.733058,0.1672315,0.137528,0.031349875,0.0598429275,100,0.44491155,47.7527975,-9.26743,-11.177755,-13.12821,-3.8753105,-4.169821,248.11605,0.290077,305.7715,-45.95551,-0.1089299,8.5021855,6.212345,7.108365,-88.09553
1,2.25,-0.271467825,-78.051775,-5.5151745,-3.156025,0.208307,0.02587186,0.7927146,423.669725,4.510186,0.175155925,0.119065,0.02542229,0.05090289,99.909,0.53304855,47.191155,-9.4741855,-11.53086,-13.32381,-4.2788545,-4.068009,246.948,0.2911099,306.163,-42.98378,-0.101973105,8.4972355,6.169446,7.1129145,-87.18092
1,2.75,-0.2121594,-72.45366,-8.72957875,-2.26409,0.139342125,0.0408544,0.71820075,423.7047,4.622213,0.1875068,0.186031925,0.0267325175,0.0540525225,99.926845,0.47627145,48.809805,-9.62223,-11.78555,-13.33746,-4.661665,-4.577319,245.24595,0.284028,306.5569,-46.69791,-0.10097855,8.4920655,6.1229505,7.1148255,-84.08092
1,3.25,-0.32759535,-78.0623,-11.64321525,-5.052092,0.10733208,0.04124478,0.877264,423.92445,4.71224125,0.1897498,0.1630994,0.03072336,0.06626654,99.8805,0.1245,54.98291,-9.74013,-12.0474,-13.089395,-4.971735,-4.09483,244.79,0.29838855,306.12345,-41.89771,-0.099260205,8.487149,6.07252,7.116655,-88.026025
1,3.75,-0.31987125,-80.665315,-14.141696,-1.301634,0.1990312,0.0294989375,0.16534816,423.941525,3.63447,0.1776784,0.1440854,0.02649274,0.05435424,99.849,-0.2807901,51.740045,-9.9120655,-12.2332,-12.52101,-5.048605,-4.21156,244.7905,0.2821499,305.9739,-36.9129,-0.090733345,8.4845655,6.025745,7.1178205,-87.000365
1,4.25,-0.263688,-74.267725,-7.2125175,-0.88684155,0.1017118025,0.031725685,0.516945825,423.88,4.5421805,0.152924475,0.13109515,0.0243859475,0.0546429225,99.87,-0.271236655,47.8036725,-10.0394295,-12.32534,-12.492145,-5.108505,-4.31954,244.02195,0.1909801,305.27755,-36.57231,-0.09706001,8.4767845,5.975554,7.10241,-87.32685
1,4.75,-0.3557198,-90.635315,-5.955,-2.41176975,0.1581708,0.031123895,0.82139945,422.8745,4.56113775,0.155141075,0.168224775,0.02837942,0.0574014075,99.8568,-0.151677,45.8014975,-10.211605,-12.43895,-13.02564,-5.20398,-4.25796,244.603,0.142102,305.1591,-46.69544,-0.089721645,8.4705645,5.923635,7.0847455,-85.94756
