DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,LE,SLE,G,TS_1,TS_2,TS_3,RH,PA,CO2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1
1,0.25,0.205772,-1.353,1.94796,0.63251866665,0.6190165,0.0001161111,-25.1851,2.788995,-0.034651975,-3.661490663,0.268,0.103,0.027,72.694072527,83.775,405.77453384,-45.866,0.021,0,1.201,256.1,298.6,4.7733485745,-0.054991,0.8766344734,0.767646403,0.2156123837,-1.388445,0.38447220105,0,0.4,1.3,2.9,4.3
1,0.75,0.217495,-1.375,2.03959,0.631595,0.623235,-0.003947778,-23.5168,5.744565,-0.0223567365,-3.619039517,0.254,0.103,0.023,72.969291884,83.7359,404.769489,-45.339,0.018,0,1.126,255.9,297.9,4.8356559008,-0.039231,0.88707887585,0.7310668993,0.2033177013,-1.237,0.3686190445,0,0.4,1.3,2.9,4.3
1,1.25,0.208218,-1.612,1.8607523548,0.5734702222,0.589861,0.0036575,-21.031,3.10108,-0.025146651,-3.32981018,0.248,0.104,0.022,73.752926812,83.7631,404.6540874,-47.228,0.016,0,1.0025046,251.1,298.40661,4.8780363464,-0.04544515,0.780528667,0.7386189816,0.1902022608,-1.461052,0.39827887165,0,0.4,1.3,2.9,4.3
1,1.75,0.19042222455,-1.462,1.86144,0.4587796667,0.4626645954,-0.000116111,-22.01955,3.01833,0.0305770807,-3.936466351,0.237,0.098,0.022,74.088973816,83.76163,405.52623936,-47.5755922,0.018,0,1.269,251.4,298.7,4.8686421849,-0.05058515,0.84147926485,0.7732884677,0.1909695668,-1.498,0.4132305611,0,0.4,1.3,2.9,4.3
1,2.25,0.1961835,-1.555,2.1265,0.4605417222,0.437865,0.0013933333,-20.686,2.84199,-0.024382824,-3.65793699,0.216,0.091,0.009,74.192130346,83.7881,405.04260105,-45.917,0.016,0,1.182,254.5,297.8,4.8069036395,-0.0707424,0.7823119582,0.8037331647,0.2072003861,-1.537,0.3991169485,0,0.4,1.3,2.9,4.3
1,2.75,0.196794,-1.555,1.98362,0.5286494444,0.5338255,0.0051088889,-19.9288,2.666425,-0.029570764,-4.101387754,0.21,0.0845,0.009,74.41385457,83.8175,404.704927665,-45.85971465,0.016,0,1.09000425,255.08655,297.2,4.67355348415,-0.0562758,0.7818414161,0.7522054241,0.2077828193,-1.706252,0.3676260328,0,0.4,1.3,2.9,4.3
1,3.25,0.185559,-1.524,1.9593629347,0.513842,0.5215445,0.0023222222,-18.2517,3.46859,-0.026598298,-4.414383499,0.21,0.09,0.007,73.301540781,83.8317,404.99718272,-42.004,0.013,0,1.146,257.9046,296.2539,4.73458208675,-0.05037775,0.7550251651,0.7432247305,0.2092113764,-1.5845745,0.3601263667,0,0.4,1.3,2.9,4.3
1,3.75,0.1746626414,-1.581,1.82166,0.5734492222,0.581364,0.0061538889,-19.8661,3.05956,-0.0062365955,-4.070891238,0.229,0.072,-0.002,73.782953203,83.8044,405.07232322,-43.807,0.016,0,1.153,251.4,295.74135,4.7487339534,-0.0452322,0.8141927791,0.67397211825,0.197055269,-1.734,0.3678382797,0,0.4,1.3,2.9,4.3
1,4.25,0.1802535,-1.679,1.82687,0.5329277778,0.533124,0.0012772222,-20.35305,3.292325,0.0017845598,-3.78751434,0.223,0.0755,-0.001,74.4306716055,83.8048,405.42092394,-39.4985,0.015,0,1.13,257.05,295.75,4.6715056838,-0.0364939,0.7806458864,0.7495872197,0.2008930063,-1.748,0.349316924,-0.025,0.4,1.3,2.9,4.3
1,4.75,0.194768,-1.792,1.81065135795,0.568998,0.587113,0.00359944445,-18.6485,4.66829,-0.026257649,-4.162520079,0.1955,0.074,0.0045,73.9931929,83.7857,405.22577355,-41.344,0.013,0,1.0155,257.95965,295.6,4.6363434084,-0.0452484,0.8375888013,0.7674933224,0.2132906468,-1.756,0.3490186241,-0.05,0.4,1.3,2.9,4.3
1,5.25,0.1917795,-1.9465,1.9659447411,0.5325413333,0.5283,0.0001161111,-21.2593,3.43362,-0.017405586,-3.7009343445,0.184,0.082,-0.003,74.7375203985,83.7647,405.25907848,-44.453,0.016,0,0.98,255.35,296.05,4.66843868315,-0.051985371,0.8745530287,0.7651594605,0.226368284,-2.009,0.352309523,-0.075,0.4,1.3,2.9,4.3
1,5.75,0.191584,-2.011,1.87036542885,0.60525627775,0.6024685,0.00723500705,-23.06515,2.822245,-0.0240639155,-4.288621498,0.1635,0.078,-0.006,75.027594273,83.7644,405.2803204,-40.344,0.013,0,0.9285,256.4,295.8,4.6639449671,-0.062374,0.9338338711,0.7766455746,0.24179986565,-2.069,0.3430553891,-0.1,0.4,1.3,2.9,4.3
1,6.25,0.204714,-2.018,2.1070650901,0.54518038885,0.534565,0.0049927778,-23.2498,3.60418,-0.031268892,-4.0149535925,0.1965,0.078,-0.009,74.729108264,83.7789,405.407973325,-45.0750773,0.02,0,1.093,258.85,295.85,4.7628042827,-0.0621581,0.88315428865,0.79448961035,0.2447858276,-2.0525,0.3517598613,-0.05,0.4,1.275,2.9,4.3
1,6.75,0.21152991625,-2.183,2.05787,0.7169546111,0.7207295,-0.000406389,-26.9288,4.605375,-0.0344764095,-4.4025965415,0.1525,0.07,-0.0025,73.941817862,83.7917,404.701122,-44.9086657,0.016,0,1.0005,255.2229,296,4.69149454745,-0.084655858,0.9191904046,0.821217389,0.2622201365,-2.2795,0.34159130685,0,0.4,1.25,2.9,4.3
1,7.25,0.227726,-2.312,2.08142,0.62032805555,0.634399,0.0061538889,-22.7621,7.14259,-0.035451736,-4.025387722,0.125,0.065,-0.016,74.177785409,83.82855,404.79291931,-40.237,0.014,0,1.056,261.2,296.1,4.633624537,-0.08429625,0.9130235484,0.7708209909,0.2701651347,-2.263175,0.3593786304,0,0.4,1.25,2.9,4.3
1,7.75,0.199956,-2.221,2.12694,0.5552688333,0.5667,0.0082438889,-23.5977,4.65969,-0.0280139035,-3.78044722,0.133,0.063,-0.01,75.27425737,83.84605,405.95441152,-39.641,0.2785,0,1.188,254.3,295.4,4.67477555405,-0.0627453,0.9149836921,0.8110666997,0.24077203685,-2.3665,0.3562402964,0,0.4,1.25,2.9,4.3
1,8.25,0.191747,-2.4245,1.98946,0.47434,0.460675,0.00580555555,-20.28295,5.947035,-0.008711312,-3.9088557885,0.129,0.0695,-0.0245,73.9402276625,83.8588,406.26315061,-40.53436215,10.73,3.662,3.1575,252.65,295.3,4.6291725545,-0.0677878,0.852557657,0.71974309365,0.2438926186,-2.399,0.3287187247,-0.05,0.4,1.25,2.9,4.275
1,8.75,0.195851834,-2.174,1.82388,0.5266955556,0.523035,0.0001161111,-19.4427,5.81677,0.0350040519,-4.889151164,0.131,0.052,-0.04,74.341052428,83.8778,405.53597864,-27.463,51.67,20.65,9.62,255.4,295.5,4.6723778049,-0.0621288,0.8307543509,0.82513440695,0.2258890091,-2.2625,0.3356054231,-0.1,0.4,1.25,2.9,4.25
1,9.25,0.218428,-1.94,1.9424,0.3966695556,0.409502,-0.005573333,-15.83665,10.63555,0.034286635,-5.177056061,0.086,0.034,-0.048,73.644518636,83.8931,406.12131756,-3.36,130.6,57.06,23.98,254.8,298.8,4.6989829243,-0.0579909,0.91030982685,0.82810626845,0.23672483795,-2.071,0.3303645713,-0.1,0.4,1.25,2.9,4.225
