DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,LE,SLE,G,TS_1,TS_2,TS_3,RH,PA,CO2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1
1,0.25,0.452491,-1.004,5.839555,1.75823444445,1.74629,0.0211458333,-10.140020635,14.43105,0.26013406205,0.4155045872,0.679,0.2625,0.407,97.631195253,79.13297,409.617573345,-6.2255,1.775,0,1.12,284.75,299.35,5.0577725923,-0.00020238375,1.29467542435,1.1804421593,0.5009850638,-0.5175,0.57942258075,0.6285,0.5,1.2,2,3.283875
1,0.75,0.4186387227,-1.0035,5.63303,1.399290834675,1.3988452666,0.0276388889,-5.52915786675,11.3111,0.177381964225,-0.42601530625,0.664,0.272,0.4005,97.596366506,79.12695,409.292478945,-5.108,1.753,0,1.123,285.5,299,5.1919545005,-0.000853302,1.2027634846,1.1707006449,0.4961874646,-0.776351075,0.5080049212,0.6285,0.49925,1.2,2,3.27575
1,1.25,0.4249499417,-1.084,5.6710479822,1.503556944475,1.5233725,0.0155555556,-5.370655097,13.13605,0.2850047041,-0.6341729335,0.638,0.267,0.3815,97.4577717575,79.124585,409.1635561525,-5.6405,1.747,0,1.2075,288.95,297.85,5.2571996758,-8.39705e-05,1.2258708441,1.1044219201,0.485766615975,-0.4015,0.5466010135,0.63,0.49925,1.2,2,3.26875
1,1.75,0.436179,-1.0205,5.630756168,1.65594209135,1.642005,0.0348611111,-5.14576,9.52307,0.2049632736,-0.516389338,0.632,0.2695,0.4005,97.4473597855,79.1096575,409.9273279325,-4.619,1.773,0,1.0695,287.3,298.65,5.2692109998,-0.00398714,1.165196841725,1.17846178155,0.4958250503,-0.637,0.5557394738,0.62425,0.4985,1.2,2,3.2665
1,2.25,0.454817,-0.949,5.783175,1.4664105556,1.49955,0.021493055575,-7.615244146,8.64286,0.212061732025,0.7055811164,0.6555,0.2815,0.4035,97.4646479345,79.114055,408.92727522,-4.8595,1.74,0,1.161,287.6,298.1,5.16813159735,-0.00730239,1.203504082875,1.107608435225,0.491100812625,-0.63025,0.5708717895,0.62825,0.4985,1.2,2,3.25325
1,2.75,0.422011,-1.115,5.925495974175,1.590363888875,1.588316712225,0.0288444545,-5.22627447525,11.32775,0.17623569125,-0.236568852,0.6745,0.283,0.4075,97.4941799855,79.11624,409.198023135,-4.993,1.746,0,1.1345,287.6,298.85,5.2669633137,-0.00164585,1.2186045751,1.23571983985,0.47855371,-1.26975,0.529798064125,0.62575,0.49925,1.2,2,3.261
1,3.25,0.41992926125,-1.0075,5.565825,1.55962333335,1.60811,0.02690984055,-7.5946957925,11.147175,0.201505889375,-0.042477992,0.651,0.279,0.3775,97.329818456,79.10325,409.30508437,-5.0965,1.74,0,1.1805,287.45,299.6,5.1508410191,-0.003450442,1.2629306834,1.1646972891,0.519907435,-0.9365,0.54678371975,0.6275,0.49925,1.2,2,3.27425
1,3.75,0.4397069201,-0.992,5.6572215858,1.7224613889,1.70230017825,0.0318055556,-9.34411807275,10.563218412,0.221111038675,-0.45391426325,0.632,0.26775,0.39,97.78456897875,79.090945,409.908478345,-5.4605,1.76775,0,1.1015,287.025,300.45,5.10553532055,-0.001940531,1.16712984205,1.067379108525,0.47143314355,-0.9825,0.55715053775,0.624125,0.4985,1.2,2,3.2675
1,4.25,0.44269797745,-1.09675,5.808804394025,1.5553177778,1.566615,0.02458333335,-8.50497,10.606177994,0.216041380025,0.035936989825,0.63125,0.2735,0.39525,97.55987982025,79.0974925,409.359961705,-6.86475,1.73925,0,1.0585,287.525,299.95,5.098628256225,-0.00297669925,1.3173091556,1.206942154125,0.52487570795,-1.22225,0.519394064025,0.6265,0.4985,1.2,2,3.249375
1,4.75,0.4681485642,-0.9875,5.6730225,1.764009444425,1.8491675,0.02721761465,-7.426335,13.0014401645,0.2640160158,0.04672274215,0.648,0.28675,0.391,97.45278379725,79.103525,409.90557988,-6.6695,1.74725,0,1.10325,286.85,300.525,5.013944653125,-0.0030897125,1.34813544265,1.2446350987,0.4995878071,-0.9025,0.572412520475,0.625,0.499625,1.2,2,3.252
1,5.25,0.465653149675,-0.82825,5.7732,1.531275833325,1.5244,0.0315277778,-7.6405941645,11.8998,0.185232807825,-0.12789714075,0.66125,0.28775,0.39675,97.42362728975,79.0924425,409.7146499925,-5.31475,1.73575,0,1.0745,286.825,300.875,4.93400167255,-0.000469664,1.272748630775,1.152333233625,0.48734312965,-0.692,0.5635244212,0.623,0.4985,1.2,2,3.262375
1,5.75,0.437711,-0.771,5.28409650065,1.5991891667,1.54906,0.0369097222,-8.7774489435,10.77925,0.22666378235,-0.782023762,0.653,0.27675,0.38675,97.0490900415,79.08275,411.489505935,-4.1355,1.783,0,1.1665,288.8,300.325,4.97904367555,-0.001804339,1.296314865325,1.167384790125,0.469161251725,-0.521,0.5792450772,0.623125,0.4985,1.2,2,3.25
1,6.25,0.4501095223,-0.88925,5.7487975,1.6118070628,1.6457725,0.02635416665,-9.88728,13.09995094025,0.196828863775,0.04746002175,0.63875,0.26725,0.3645,97.29537166475,79.0942,411.1964464425,-3.75025,1.73675,0,1.17875,289.7,300.275,4.9655338577,-0.000784656,1.3118345932,1.1234366916,0.5084643547,-0.709843575,0.5517173189,0.62725,0.4985,1.2,1.999,3.2545
1,6.75,0.500105,-0.844,5.21191,1.6300561111,1.6147,0.0256362506,-10.1329,11.486750097,0.210838117225,-0.4488903335,0.6285,0.27225,0.3845,96.94678884625,79.1086775,410.2844436,-3.7155,1.688,0,1.1635,288.7,299.2,4.899674945675,-0.000644446,1.32276311525,1.1994230148,0.5186298756,-0.64888985,0.57763621055,0.622,0.497,1.2,1.99925,3.237375
1,7.25,0.478562047575,-0.821,5.34494221165,1.5881888889,1.60209,0.0333333333,-9.97954306,11.940182317,0.2011003651,-0.34041871325,0.6505,0.26525,0.38375,96.9460815255,79.10217,409.19333372,-3.8925,1.71275,0,1.08475,287.25,297.1,4.8457437614,-0.000767737,1.258787571175,1.167432592375,0.49086605335,-0.606,0.567545295425,0.619625,0.498125,1.2,1.99925,3.24875
1,7.75,0.50804768075,-0.719,5.57302,1.6174233333,1.6205425,0.0434729086,-9.564841444,11.26605,0.177522562475,-0.294515759,0.6485,0.26975,0.37775,97.02409846625,79.10487,409.09182622,-4.7075,2.28975,0,1.2305,288,297.475,4.9144125176,-0.00022404875,1.2872208994,1.2093259989,0.4854084391,-0.639608325,0.61190420395,0.62325,0.4985,1.2,1.99925,3.254375
1,8.25,0.508482547625,-0.73775,5.2740359957,1.5651966667,1.5731843796,0.03332441015,-9.08412,14.26627936325,0.14670041265,-0.3633688095,0.63775,0.26025,0.376,97.16657651675,79.1441,408.99101598,-3.24525,17.2,5.3335,6.531,286.45,297.5,5.084744941625,-0.00027153825,1.315166009025,1.3225528689,0.48179626305,-0.112306775,0.58628590715,0.62525,0.5,1.2,1.99925,3.25475
1,8.75,0.4537815,-0.82675,5.418949860325,1.60121527775,1.58398,0.035520833325,-8.777165,13.51925,0.2126626616,-1.15131876175,0.606,0.2505,0.36975,97.32482205575,79.1392,409.075227,-0.73225,67.9475,27.5225,24.24,287.375,298.525,5.155098863,-0.0007135795,1.3234056569,1.200250971975,0.504245071375,-0.9944705,0.5735156587,0.623375,0.4985,1.2,2,3.25
1,9.25,0.464793555,-0.7365,5.27998,1.646535,1.64804,0.0290277778,-7.269,15.49105,0.2048995024,-1.4823685985,0.56575,0.21375,0.3505,97.26005551725,79.1642,409.1992075,9.7375,169.65,86.05,54.49,288.925,299.2,5.1998032623,6.92013e-05,1.2426068769,1.17221271535,0.4800405139,-0.655,0.5522904752,0.623375,0.4985,1.2,1.997,3.248625
1,9.75,0.4518585,-0.55625,5.54254,1.465335555575,1.4700925,0.0186111111,-3.659507812,17.95075,0.23984241375,-1.591684388,0.365,0.15925,0.318,96.89602803125,79.189305,409.4227842975,81.3,362.75,231.75,97.925,289.575,302.075,5.111934699,-0.001730322,1.43497663405,1.273169109775,0.5148223074,-0.292,0.51624250485,0.6245,0.499625,1.2,1.99925,3.26025
1,10.25,0.444371840975,-0.46175,5.61857,1.39235572815,1.381275595175,0.016250402375,-2.502406047,17.292775,0.3682747857,-0.96798374775,0.33225,0.142,0.30475,96.9653562515,79.191,408.446619615,111.875,501.7,307.35,141.6,286.65,303.55,5.135896827,-0.005639723,1.350549180325,1.263717272525,0.547583955625,-0.48925,0.51902924525,0.63525,0.499625,1.2,1.99825,3.27875
1,10.75,0.45256275,-0.299,5.65176,1.296917773,1.33339,0.018449358075,-2.9135191155,19.419674139,0.3931602848,-0.0827228315,0.3705,0.12825,0.295,96.97843182025,79.2049375,409.164614915,127.325,620.2,373.125,186.45,285.45,305.075,5.3728652824,-0.005735189,1.3196087583,1.137563987925,0.506442892225,-0.1273078,0.478319668925,0.634125,0.4985,1.2,2,3.2855
1,11.25,0.457979297675,-0.0625,5.5718325,1.2380738889,1.25409,0.01083333335,-1.63956,19.84412871475,0.3685659734,-0.05372167,0.416,0.135,0.302,96.484209469,79.2195,410.24077186,140.1,759.5,428.75,227.2,286.3,306.3,5.339925739975,-0.011204372,1.382665506575,1.1759562075,0.5374795719,-0.1095,0.4483338819,0.65,0.499625,1.2,2,3.2885
1,11.75,0.458641,-0.0705,5.6758866101,1.264675,1.3193625,0.012276992,3.0289056743,24.495821874,0.5493663758,1.00456665575,0.492,0.1385,0.307,96.6474213765,79.20535,410.72693982,142.45,847,473.65,264.45,283.9,307.6,5.412335104125,-0.015671,1.3837660428,1.2107387579,0.5643584142,-0.249,0.3821583441,0.65525,0.4985,1.2,2,3.2675
1,12.25,0.477596586025,0.277,6.1261109534,1.365466666675,1.38381,0.0023958333,0.318822,25.755988044,0.446982322925,1.3482882535,0.5165,0.1465,0.3365,96.566763259,79.1795,411.133360095,140.25,899.75,496,286.95,286.2,309.2,5.36506426425,-0.00776503925,1.482574078025,1.350003140525,0.576029506025,0.071,0.3705966766,0.6575,0.49925,1.2,2,3.29075
1,12.75,0.48683275865,0.476,6.13361,1.3164433333,1.34325,0.00125,-2.00057005,26.5448,0.4128185152,1.84861961455,0.547,0.181,0.3385,96.2081299155,79.1631,410.12639277,130.95,916.75,496.45,298.55,285.65,310.1,5.45874996295,-0.01209213375,1.382197839875,1.297445531725,0.5611106761,0.108,0.3844562394,0.6565,0.4985,1.2,2,3.29425
1,13.25,0.4763575,0.6075,6.1452025,1.206965,1.22095,0.00673611115,2.3966997312,27.0552,0.329537364625,1.9077145226,0.55375,0.1805,0.3655,94.86954915725,79.1583,410.8098138975,117.575,914.5,488.875,300.825,288,310.225,5.5265680835,-0.0142592215,1.4023014028,1.27947843,0.5389358251,-0.00825,0.3576492695,0.652875,0.498875,1.2,2,3.29775
1,13.75,0.455765,0.70875,5.8863375,1.2533988889,1.2497425,0.00840277775,3.095155,29.21175,0.38607092845,1.310792416975,0.56475,0.19975,0.381,95.25226133825,79.1563,410.7811930825,101.05,880.5,472.65,293.875,288.65,310.625,5.6392268128,-0.024641525,1.3126614186,1.2728904116,0.5050405924,0.2526016,0.3535128157,0.654875,0.5,1.2,2,3.292125
