DOY2,HR2,USTAR,NEE,FC,SC,H,SH,LE,SLE,CO2,H2O,TA,G,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,NETRAD,RH,VPD,WS,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_IN,PA,T_CANOPY
1,0.25,0.028314,-1.04321301505,-1.048849455875,-0.1722075,-35.04636405,-1.297192859,-5.936622,-0.487999125,387.635057175,0.361364,-24.57835475,-39.139721,-8.975843125,-8.365376775,-7.729617875,-7.160803375,-74.28026,60.25094,0.0047402844,0.53365866,-1.805840375,-0.0318565525,152.0023175,205.782275,0,96.9353905,-27.079251
1,0.75,0.034471,-1.0341467528,-1.1394245195,-0.150717375,-34.657452,-1.437208225,-4.815182,-0.4346668,385.60773547,0.41846145,-24.663851,-40.122939625,-9.049649525,-8.441754125,-7.80238595,-7.2196913,-74.6251,62.173486,0.0047450292,0.42251636,-2.0760544,-0.198193275,151.307095,204.689975,0,96.917831,-27.02063025
1,1.25,0.036626875,-1.631956588125,-1.62893698085,-0.11307085,-37.239476075,-1.4620388,-4.70795645,-0.4973834,387.55840028,0.451917,-25.106151,-40.57792825,-9.160202325,-8.544452875,-7.86481695,-7.292303675,-74.32756,62.36148475,0.005958953275,0.399103325,-2.26863775,-0.16258265,149.423925,205.68605,0,96.8822385,-27.2589995
1,1.75,0.0444635,-1.478007666,-1.4281694155,-0.12724105,-35.95724275,-1.28499115,-4.6997126,-0.48518045,385.756593575,0.4229555,-25.041381,-40.5606755,-9.33174715,-8.701070575,-8.0154353,-7.39807805,-74.44452,62.600695,0.006063688,0.58418928,-1.96878415,-0.156308825,148.8189225,205.0308,0,96.8516211,-27.65841535525
1,2.25,0.032688775,-1.1724665417,-1.11808472255,-0.129522275,-39.317198625,-1.42927725,-5.6371986,-0.36802185,385.751986475,0.42043525,-25.35907175,-40.116579,-9.451688575,-8.81952745,-8.053964,-7.470587775,-74.40792,62.3608885,0.00600129655,0.36541829,-2.97410655,-0.1321917975,149.461815,203.765025,0,96.837806,-27.8536965
1,2.75,0.041791,-0.84850790575,-0.821751706325,-0.170785375,-34.3208909,-1.112335925,-5.0518316,-0.411628,383.9113204625,0.4273046,-25.584244,-40.007429875,-9.555968,-8.8978344,-8.142666,-7.5361914,-75.8649285,61.86197375,0.00595391635,0.430756125,-3.498819225,-0.2279053,150.490645,203.3532,0,96.85616585,-28.2470895
1,3.25,0.0371901,-0.976917112175,-0.930438023075,-0.11990275,-36.535875675,-1.0636767,-6.4002374,-0.3392309,385.807908295,0.4361379,-25.8891235,-40.3447545,-9.6455072,-8.9925654,-8.1962156,-7.6074136,-75.10584325,61.91988025,0.006019653525,0.368866975,-3.472742575,-0.176521,149.88466,201.830975,0,96.87997725,-29.016907309
1,3.75,0.04305,-0.95938266385,-0.8613777148,-0.1079735,-33.644932325,-1.223833925,-5.022822675,-0.4177746,385.8252075725,0.340774675,-26.0958075,-41.091031375,-9.7948032,-9.1166436,-8.2678358,-7.6843666,-74.37888675,62.63661925,0.005999393225,0.3619994,-3.55482915,-0.285153775,148.90985,199.8079,0,96.8252675,-28.92998806775
1,4.25,0.035939725,-1.44261641825,-1.45029738685,-0.120398,-32.56881145,-1.30666475,-5.94162175,-0.4092744,385.12862776,0.3566465,-26.1716205,-41.78356275,-9.8126444,-9.175745,-8.256727,-7.7110206,-74.55045325,63.41149275,0.005986978675,0.40167162,-3.5668803,-0.243085875,148.8430275,196.449475,0,96.769808,-29.41210825
1,4.75,0.035057,-1.0572277289,-1.205666096675,-0.1751887,-32.575644625,-1.170848875,-5.02078825,-0.3814984,384.5219027375,0.30241,-26.1421665,-41.782079125,-9.8342612,-9.1574164,-8.3803466,-7.7938574,-74.37664675,63.70743275,0.006013623075,0.307421525,-3.6345363,-0.146094625,149.156325,195.644525,0,96.7295485,-29.28441375
1,5.25,0.03708165,-1.336977045,-1.36159638725,-0.2932544,-39.99729,-0.99803627585,-4.4070704,-0.299306825,384.469654825,0.266091025,-26.37040025,-41.642671375,-9.8636564,-9.1881018,-8.4570044,-7.8575706,-73.30197825,64.79631775,0.00615970555,0.3195609375,-3.62664905,-0.286610325,149.0511875,194.968075,0,96.6682215,-29.68784925
1,5.75,0.03553775,-1.388095282975,-1.426098455375,-0.1863228,-40.32810555,-1.307512375,-4.4406851,-0.371271975,385.81387306,0.2418225,-26.348119,-41.38719,-10.0758156,-9.3596952,-8.573034,-7.9634822,-72.611953,64.66759475,0.0061734624,0.4163237125,-3.700862,-0.14066665,149.2519125,194.7884,0,96.6305765,-30.3244495
1,6.25,0.0341141,-2.154085392025,-2.27288967765,-0.214038875,-30.101935,-1.0059636,-4.849394,-0.39864885,386.7824223525,0.1603776,-26.31867975,-39.292836375,-10.150328,-9.4570592,-8.6829868,-8.0677486,-75.50900675,63.530244,0.006178565925,0.4506645875,-3.753740975,-0.0994263175,150.54828,195.8004,0,96.6096625,-30.44381425
1,6.75,0.032962125,-1.7804662859,-1.876132437,-0.194644775,-36.248423325,-0.982681821725,-4.0571718,-0.2610148,387.104642945,0.21960795,-26.70881625,-38.240781875,-10.14278,-9.4150188,-8.6687994,-8.0407416,-75.03449575,64.2066265,0.0061257481,0.4666985,-3.650148075,-0.0929885575,151.5403325,195.92335,0,96.5960495,-30.5753461315
1,7.25,0.03873665,-1.702607694375,-1.74766098635,-0.2092143,-33.557382,-1.1146984,-4.169931125,-0.2918575,387.3410406375,0.2710849,-27.4502395,-38.147287875,-10.218964,-9.4516564,-8.7650214,-8.1247054,-72.61890475,64.407914,0.0059329431,0.513508455,-2.7764137,-0.0908283775,151.2035575,195.0416,0.0105924202,96.61236695,-30.7481957705
1,7.75,0.036052,-1.3493248745,-1.434698854375,-0.1061405,-31.6318725,-0.8788208,-4.301659675,-0.253247625,387.7409576,0.2451997,-27.50335625,-37.72691975,-10.293062,-9.5033968,-8.8581852,-8.212477,-71.27464925,65.270039,0.0061736885,0.442471305,0.356391585,0.575474175,151.40914,196.98205,2.61401915,96.6447077,-30.50088591375
1,8.25,0.048300825,-1.94026404015,-2.1958545611,-0.138990625,-33.5356605,-0.88646233275,-4.282263575,-0.306688,388.285037745,0.262988,-27.29143975,-36.86927875,-10.278954,-9.5282728,-8.9384012,-8.280495,-57.352839,65.71406475,0.0175748179,0.5194650375,5.257940425,1.88903425,152.559455,200.090325,12.82279825,96.6161254,-28.745267428
1,8.75,0.047865,-1.41208710865,-1.3883067164,-0.3193062,-34.3471415,-0.9583994,-3.883198575,-0.2095743,387.73876828,0.3552238741,-25.255894,-36.61362425,-10.21122,-9.5043168,-8.8589224,-8.268991,-48.500623,64.11877175,0.0456484582,0.540562075,12.3957125,4.434078,155.602595,205.822775,31.3188495,96.6193659,-26.14505225
1,9.25,0.059704,-2.179480467575,-2.191030389925,-0.24470065,-25.845258,-0.882990423225,-2.7229992,-0.25325575,389.32375504,0.2838195,-24.147452,-34.726672875,-9.9852608,-9.2883126,-8.8310222,-8.2767952,-39.2389845,60.76675275,0.039987355625,0.53725789,21.616565,7.7103455,154.3322,213.780325,54.04614775,96.6792252,-23.99320930375
1,9.75,0.059470175,-2.5356431445,-2.5826863387,-0.188980092,-22.807734525,-0.91136873975,-2.8668869,-0.3530681,389.252505055,0.30985285,-22.90643475,-30.668989625,-9.51347,-8.9524568,-8.5556094,-8.056141,-30.42684425,59.25348875,0.04959851705,0.736640855,34.77293275,10.49589975,151.706555,219.729325,93.38225625,96.73295115,-21.928733
1,10.25,0.057330525,-2.6566387015,-2.6975654216,-0.24694925,-24.109397375,-0.7687121628,-1.10165105,-0.21894935,388.753711825,0.32245585005,-22.2445915,-27.28958275,-9.0283396,-8.5621024,-8.3169614,-7.9037772,-29.619126,57.34342925,0.049170505425,0.770829,48.4851565,12.9786725,151.5955425,225.009025,116.1507825,96.72212405,-20.84807275
1,10.75,0.070399,-2.7193341795,-2.7305214958,-0.1617182,-24.677107525,-0.74243975,-2.31617825,-0.24930725,388.31769028,0.34379225,-21.90127075,-24.4821245,-8.4965146,-8.2363616,-8.069087,-7.7523554,-33.390797,55.4604995,0.059151829225,0.707239015,60.2264155,15.668195,153.2025975,227.609225,147.2675725,96.7048153,-20.06443075
1,11.25,0.070442925,-3.11603842,-3.1830441103,-0.1539709,-19.796052875,-0.67393255,-1.2174776,-0.32855365,388.422840445,0.360744125,-21.59745375,-21.75733525,-7.8760392,-7.7851352,-7.765698,-7.5038996,-27.102343,54.60432075,0.076462935375,0.60953638,62.4621585,18.345115,155.3001125,230.4891,144.5526,96.708620375,-19.42133125
1,11.75,0.07801415,-3.680708230725,-3.6414814054,-0.14760605,-21.9012703,-0.9958908684,-1.63054675,-0.2812022,387.8917470375,0.4169664,-21.20756725,-19.7174955,-7.4178252,-7.5176094,-7.3743414,-7.212399,-24.0872475,53.8276075,0.086978314525,0.57861708,60.67022825,19.9002775,156.5150225,234.72415,144.5016,96.6543037,-18.3700325
1,12.25,0.08358375,-2.6222271175,-2.5639374408,-0.136402915775,-26.0459019,-1.1260011674,-0.725816,-0.40306575,386.382340715,0.4500673,-20.576027,-17.926434,-7.351776,-7.3547696,-7.2861842,-7.1156416,-32.0070045,52.1768695,0.0843584507,0.7741764125,67.16402125,21.3465375,157.8128275,237.503975,154.650285,96.6550908,-17.7730025
1,12.75,0.0847897,-2.933683107275,-2.93968793285,-0.177013675,-24.0395131,-1.003052023975,-0.182478,-0.261452775,386.0905045875,0.37285595,-19.82347,-16.916922125,-7.18913495,-7.2602977,-7.221064075,-7.05062825,-24.72281,50.709858,0.088618574,0.798834285,63.23404025,21.1808975,159.03274,238.962325,148.3515175,96.63546835,-17.43003425
