DOY2,HR2,USTAR,TA,WS,FC,SC,H,LE,SLE,G,TS,RH,PA,CO2,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA
1,0.25,0.24458641,-4.136,4.959143721,0.152395502,0.000585324,-27.30742146,7.586555716,0.0120404935,-2.978,0.305,87.81,79.131495715,372.2751247,-27.115,0,0.695,242,277.55,4.8809498345,-0.059890529,0.918965465,0.9639640355,0.4244188515,-3.845423365,0.246481519
1,0.75,0.284484896,-4.139,4.836220657,0.219408916,0.001533019,-25.51141858,5.375675853,-0.105640229,-3.064,0.3075,87.55,79.12745715,372.20521665,-33.98,0,0.707,242.65,276.65,4.818267,-0.079184295,1.040981716,0.984416443,0.424855736,-3.481515346,0.259504709
1,1.25,0.2899445135,-4.302,5.003716881,0.236436843,-0.004747003,-26.28424105,2.88288475,0.070595446,-2.877,0.3105,87.43,79.080159275,372.25892315,-38.025,0,0.784,240,274.8,4.956845471,-0.0869467195,1.0492441735,0.9433660225,0.4525821575,-3.7008825815,0.248852413
1,1.75,0.281944261,-4.121,4.928013741,0.183250945,-0.0035263795,-25.25458483,4.669409542,0.022679661,-3.116,0.3095,87.99,79.11529685,372.8602845,-28.17,0,0.6295,243,277.05,5.060076901,-0.083528863,0.940780071,0.986514387,0.452697545,-3.497080538,0.256463408
1,2.25,0.317728032,-4.255,4.78790389,0.193649149,-0.002991489,-30.39813684,2.774252911,0.096274401,-3.008,0.31,87.87,79.12061687,372.7482149,-24.915,0,0.4675,247.6,275.35,4.969500515,-0.10545689,0.947589092,0.889802482,0.451573781,-3.86571538,0.270765737
1,2.75,0.272846738,-4.376,4.726510381,0.235409688,-0.004876758,-26.57316243,3.322289462,0.0105603875,-2.893,0.3115,88.24,79.15627774,372.3709709,-22.315,0,0.5295,251.8,275.85,4.7960550755,-0.075985008,1.011431562,0.900205723,0.431985771,-3.626049199,0.262059351
1,3.25,0.249835165,-4.427,5.029823856,0.160310867,-0.001173902,-29.07656406,3.479272413,0.036011567,-3.003,0.31,88.7,79.16710167,372.26021045,-23.335,0,0.691,250.1,277.35,4.801395124,-0.062541587,0.992516877,0.908209871,0.461145012,-3.74057274,0.239752754
1,3.75,0.301502511,-4.382,5.021858895,0.225005376,-0.001397498,-25.48542755,1.241453273,0.136870087,-2.943,0.309,89.28,79.15402679,371.91421745,-24.355,0,0.7305,247,276.6,4.788742566,-0.090810522,1.052095569,0.926225144,0.493936915,-3.819401835,0.264475339
1,4.25,0.308769082,-4.611,5.127150513,0.172037478,0.0043513745,-25.71109546,2.129455409,0.0763910575,-2.917,0.31,89.98,79.129154265,372.4418443,-17.47,0,0.5575,254.85,276.25,4.836266814,-0.0974813795,1.0931961835,1.0051334185,0.470857583,-4.140593362,0.2456947655
1,4.75,0.296261388,-4.653,5.3415607475,0.282369218,0.004722931,-25.427762075,3.22415354,0.063837497,-2.902,0.32,88.7,79.116661565,372.4140188,-21.17,0,0.5515,252.5,276.75,4.7275529135,-0.089931522,1.0492324895,0.9977749805,0.4592213505,-4.235225922,0.234658117
