DOY2,HR2,USTAR,TA,WS,FC,SC,H,LE,SLE,G,TS,RH,PA,CO2,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA
1,0.25,0.4409193085,-0.906,7.397267263,0.55286314,0.014207486,-10.72789478,16.355420975,0.35716714125,-2.415,0.4755,94.965,79.6662542175,375.930496525,-5.411,0,1.545,279.7,294.9,6.407399506,-0.03500112625,1.4438910375,1.39648143125,0.70892994025,-0.15869571025,0.3105721355
1,0.75,0.4607404,-0.9255,7.755532387,0.565076569,0.018063918,-10.900351915,18.4427286225,0.346012109,-2.325,0.48075,94.9,79.66540841,374.061336675,-6.3205,0,1.6555,278.9,294.5,6.217574641,-0.029839368,1.301980354,1.357276869,0.675876524,0.016886481,0.349090992
1,1.25,0.423458158,-1.1085,7.851915327,0.543688126,0.00654693025,-11.28209333,14.87223461,0.532327326,-2.291,0.47875,94.43,79.6543222875,375.983179025,-5.5195,0,1.53675,273.85,293.1,6.064064803,-0.02318597,1.38518467625,1.26741127125,0.72716738675,-0.238986357,0.3453410565
1,1.75,0.430116535,-1.3305,7.691141123,0.458924708,0.02018793625,-8.75169661,19.91192913,0.478215932,-2.4975,0.48025,94.56,79.67805875,376.6432465,-5.58325,0,1.58425,280.4,293.175,6.334467302,-0.031039033,1.459877019,1.470453301,0.756257252,0.038375121,0.345528295
1,2.25,0.443432448,-1.062,7.7067787,0.60423192825,0.0178484365,-12.07426736,16.64709516,0.335991433,-2.3355,0.47625,94.515,79.68439385,376.9762681,-6.7365,0,1.3105,275.05,292.725,6.3058865195,-0.023924665,1.442554231,1.401874997,0.744357987,0.24366418,0.379778733
1,2.75,0.43467232,-1.26,7.526585164,0.5786820575,0.006700111,-13.585350225,12.21117284,0.4392066945,-2.33,0.472,94.34,79.70042798,374.499047625,-5.89275,0,1.31,276.75,292.275,5.96149439125,-0.021639512,1.400642114,1.471653753,0.705222019,0.364587181,0.351651521
1,3.25,0.459237882,-1.3575,8.238926807,0.45847984875,0.009615625,-10.549323665,16.08536716,0.41943722125,-2.4595,0.474,94.36,79.70300582,374.496828875,-5.95375,0,1.73325,271.7,293.225,5.8161607545,-0.02083715,1.426246497,1.411105683,0.741421074,0.612089662,0.346704342
1,3.75,0.465115675,-1.193,7.680731307,0.66153796,0.016003774,-6.1312523015,11.153499035,0.497220605,-2.4275,0.47175,94.39,79.6935269,374.119196725,-4.82425,0,1.56325,277.8,292.7,6.037791763,-0.028408604,1.488507517,1.574031843,0.748272326,1.06724603,0.349712146
1,4.25,0.47211415575,-0.7895,8.75751298,0.468930983,0.02062859125,-5.697298091,13.68346629,0.32530798225,-2.345,0.4755,94.725,79.70087824,375.7289355,-6.3885,0,1.38475,280.775,293.8,6.119743714,-0.035486243,1.41456301625,1.47880613725,0.74417330225,1.0460964965,0.36125238825
1,4.75,0.43005461275,-1.001,8.50877216075,0.56107483,0.0145347,-4.81208265025,11.066770355,0.490280339,-2.28,0.47125,94.795,79.705721145,375.53430585,-6.86225,0,1.35775,277.9,293.475,6.0966941335,-0.0341102105,1.47819904125,1.44769840825,0.748611129,1.6532533015,0.324366715
