DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,LE,SLE,G,TS_1,TS_2,TS_3,RH,PA,CO2,NETRAD,PPFD_IN,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC,T_SONIC_SIGMA,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1
1,0.25,0.367919,1.67,2.67527,0.872055972,0.8967475,0.02901319475,-11.558,11.4143,0.12105054925,0.32534750925,0.34,0.1695,0.141,83.51629274,86.3768,412.36727095,-16.102,0.7035,0,0.811,288.8,315.3,6.173435968,0.0225786,1.10804442,0.9445279165,0.4043497335,1.349,0.627068183,-0.15,0,0.9,2.8,4.6,8,-0.1,0.3,1.1,2.9,5,8.4
1,0.75,0.38156925,1.593,2.59035,0.961448111,0.9801335,0.0328569445,-10.90985,11.7795,0.105993363,-0.63816954075,0.33025,0.14975,0.13125,84.295501365,86.37165,412.4911001,-15.35775,0.715,0,0.845,290.475,315.314175,6.055243728,0.029461875,1.076026844,0.942349983,0.408448737,1.279,0.66559719675,-0.2,0,0.9,2.75,4.6,8,-0.1,0.3,1.1,2.9,5,8.4
1,1.25,0.38192625,1.52625,2.60782,0.984188611,0.967699,0.032913889,-9.415877327,11.16975,0.100336456,-0.5074278685,0.326,0.16,0.1265,84.42338211,86.3629,412.2428478,-12.48975,0.69,0,0.787,293.225,314.975,6.039710821,0.03145585,1.077455336,0.886646491,0.405468864,1.166,0.65362674,-0.15,0,0.9,2.7625,4.6,8,-0.1,0.3,1.1,2.9,5,8.4
1,1.75,0.374579,1.514,2.72556,0.912539028,0.91954875,0.0314902775,-10.557975,12.0856,0.1067917765,-1.019704287,0.32425,0.14675,0.1305,83.97282901,86.377725,412.23904445,-14.866,0.7625,0,0.929,294.7,315.1,5.97983903025,0.022932,1.078416654,0.94442978925,0.41616699875,1.1455,0.6470510815,-0.15,0,0.9,2.8,4.6,8,-0.1,0.3,1.1,2.9,5,8.4
1,2.25,0.39051125,1.463,2.8921875,0.9510159445,0.950435,0.034963889,-9.5120325,14.0758,0.08313391425,-0.762334138,0.3375,0.16325,0.116,84.19592416,86.36195,412.630274775,-14.294,0.73,0,0.849,291.4,314.6,6.055570947,0.01972855,1.12944928175,0.959481984,0.44008007575,1.19175,0.6582439545,-0.15,0,0.9,2.7625,4.6,8,-0.1,0.3,1.1,2.9,5,8.4
1,2.75,0.3854225,1.4595,2.598465,1.02204505575,1.10355,0.035191667,-10.88492508,12.6983,0.0999893005,-1.35711654625,0.274,0.116,0.1015,83.9046811675,86.370525,412.02474835,-14.52975,0.774,0,0.87675,292.475,314.825,5.92191890425,0.0283117,1.1727530555,0.9786544185,0.408671528,1.18978075,0.65228803775,-0.15,0,0.9,2.7625,4.6,8,-0.1,0.3,1.1,2.9,5,8.4
1,3.25,0.405664,1.37275,2.74553,0.958159444,0.9574095,0.026536111,-9.05831,14.1507,0.08732871025,-0.92602308575,0.284,0.121,0.0995,83.73602152,86.382825,412.05366045,-15.347,0.8105,0,0.8725,293.575,315.1,6.041360098,0.020209175,1.07925404325,0.920888101,0.42734299025,1.275335,0.63954203,-0.1875,0,0.9,2.7625,4.6,8,-0.1,0.3,1.1,2.9,5,8.4
1,3.75,0.4137,1.532,2.6586755655,0.950887278,0.9472235,0.0247708335,-10.9858,12.33675,0.143965661,-0.9590116645,0.287,0.125,0.10175,83.8170820575,86.3511,412.0328997,-13.91625,0.7385,0,0.858,294.55,315.05,6.0090345015,0.029805325,1.128392662,1.02096523,0.419063241,1.289,0.66093832525,-0.2,0,0.9,2.75,4.6,8,-0.1,0.3,1.1,2.9,5,8.4
1,4.25,0.391914,1.373,2.78639,0.8565145835,0.85119975,0.021154861,-10.2622575,12.28905,0.1404795115,-1.008624334,0.27,0.1345,0.107,83.357103745,86.342485,411.9862755,-14.258,0.7725,0,0.8385,294.55,314.75,5.949801014,0.0196991,1.178329326,0.985212667,0.452684217,1.13425,0.6336889645,-0.1875,0,0.9,2.7125,4.55,8,-0.1,0.3,1.1,2.9,5,8.4
1,4.75,0.393544,1.1875,2.81723,0.927803889,0.916774,0.025169444,-9.817062009,13.302175,0.105224984,-0.465515425,0.26375,0.1075,0.122,83.69441019,86.33135,412.16845885,-13.0225,0.731,0,0.8315,290.5,314.2,5.897475588,0.02464365,1.232894967,1.041388496,0.447638247,0.987,0.643116988,-0.1875,0,0.9,2.75,4.6,8,-0.1,0.3,1.1125,2.9,5,8.4
