DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,H,LE,FC,TS
1,0.25,0.26,3.055,16.125,16.435,42.805,-4.185,-0.0575,-58.4,-10.6,4.265,0.375,14.81
1,0.75,0.26,3.13,16.075,16.51,43.34,-4.3275,-0.11,-60.2575,-10.8425,3.66,0.33,14.6
1,1.25,0.235,3.02,15.885,16.24,43.12,-4.2575,-0.09,-59.4,-10.905,4.205,0.345,14.39
1,1.75,0.24,3.035,15.59,16.07,41.42,-4.235,0.03,-59.14,-9.66,4.405,0.325,14.17
1,2.25,0.26,3.01,15.6,15.97,42.685,-4.26,-0.0375,-59.425,-13.1,4.3075,0.34,13.98
1,2.75,0.25,3.0875,15.545,16.0075,41.965,-4.335,-0.135,-58.9675,-13.1975,4.04,0.3525,13.83
1,3.25,0.26,3.1375,15.65,16.105,42.43,-4.2775,-0.1575,-60.24,-11.38,3.8075,0.335,13.69
1,3.75,0.24,3.0575,15.475,15.84,42.615,-4.055,-0.05,-59.64,-12.43,3.885,0.365,13.57
1,4.25,0.22,3.08,15.365,15.7675,42.99,-4.2575,-0.19,-59.9725,-10.64,3.86,0.33,13.48
1,4.75,0.22,3.01,15.02,15.59,42.11,-4.2125,-0.0875,-59.27,-11.47,3.5725,0.3275,13.38
1,5.25,0.25,3.1175,15.04,15.63,42.325,-4,0.0725,-60.465,-14.135,4.4,0.375,13.19
1,5.75,0.26,3.15,15.06,15.53,42.845,-4.205,-0.13,-58.7525,-12.4225,4.36,0.335,13.05
1,6.25,0.26,3.06,15.01,15.5,43.855,-4.065,-0.115,-57.4675,-12,3.9625,0.34,12.93
1,6.75,0.25,3.05,14.945,15.49,44.35,-0.1175,0.83,-54.795,-11.3,3.63,0.36,12.83
1,7.25,0.24,3.01,14.9,15.54,44.69,27.5425,10.88,-36.2975,-10.85,4.7975,0.29,12.73
1,7.75,0.23,2.78,15.445,15.93,42.915,133.3575,55.9325,14.675,-4.57,7.27,0.18,12.67
1,8.25,0.24,2.33,16.375,16.64,41.14,233.2175,73.1425,68.7675,5.2,12.2525,0.1075,12.71
1,8.75,0.25,1.87,17.275,17.47,37.465,326.1975,81.305,127.2725,31.7775,15.2,0.14,12.82
1,9.25,0.26,1.315,18.41,18.2975,34.235,411.3375,99.66,182.265,51.3425,19.68,0.1,13.11
1,9.75,0.28,1.67,19.645,19.23,32.885,484.8575,117.8,230.83,72.4,22.605,0.18,13.48
1,10.25,0.3,1.93,20.035,19.72,32.935,548.005,131,269.76,94.91,24.7275,0.21,13.98
1,10.75,0.32,2.19,20.315,20.02,33.41,593.55,140.5175,298.3925,116.31,28.8625,0.3,14.55
1,11.25,0.31,2.24,20.765,20.55,32.515,627.535,148.285,316.6325,129.65,29.2125,0.25,15.23
1,11.75,0.33,2.37,21.155,20.84,30.72,644.18,151.0025,326.4525,143.67,30.88,0.3175,15.95
1,12.25,0.34,2.4675,21.5,21.0975,31.21,641.825,149.5875,323.1775,148.76,31.4725,0.27,16.72
1,12.75,0.3475,2.3875,21.76,21.3475,29.87,626.27,146.615,313.9925,148.4,29.855,0.22,17.3
1,13.25,0.35,2.4775,22.085,21.55,29.355,590.3025,137.9425,285.89,142.245,29.535,0.255,18.06
1,13.75,0.35,2.68,22.22,21.835,28.71,536.8775,125.3075,251.63,129.845,26.7825,0.2,18.68
1,14.25,0.34,2.76,22.435,21.8675,28.305,471.1225,109.49,206.565,113.965,24.325,0.19,19.24
1,14.75,0.33,2.805,22.295,21.925,28.555,394.3825,93.1575,151.085,93.03,22.2725,0.1225,19.54
1,15.25,0.325,2.74,22.175,21.92,29.68,305.5,77.1175,91.8975,70.25,19.4525,0.11,19.9
1,15.75,0.3,2.715,21.93,21.75,31.49,200.845,54.9525,26.04,39.62,15.5025,0.14,19.96
1,16.25,0.27,2.435,21.11,21.095,32.695,49.635,11.7975,-40.9475,7.62,7.1825,0.2,19.73
1,16.75,0.235,2.18,20.145,20.395,35.73,11.7375,3.4925,-66.8225,-2.36,5.4575,0.24,19.51
1,17.25,0.21,2.175,19.38,19.875,36.005,-3.4,0.38,-71.61,-5.035,4.3225,0.34,19.16
1,17.75,0.235,2.305,18.91,19.345,37.225,-5.58,-0.02,-70.765,-7.645,5.1925,0.42,18.76
1,18.25,0.27,2.57,18.5,18.895,38.56,-5.28,0.1125,-69.275,-10.125,5.2625,0.3875,18.39
1,18.75,0.27,2.605,18.235,18.635,39.01,-4.915,0.1,-65.8075,-11.42,4.8875,0.3925,17.93
1,19.25,0.28,2.615,17.94,18.17,40.615,-4.9525,0.0125,-65.1975,-8.83,4.3125,0.41,17.56
1,19.75,0.275,2.64,17.67,17.8,41.14,-4.77,-0.06,-62.68,-9.61,5.7,0.405,17.26
1,20.25,0.26,2.65,17.245,17.7,40.965,-4.94,0.025,-62.9175,-8.6825,3.94,0.41,16.92
1,20.75,0.25,2.63,17.015,17.58,41.825,-4.5675,-0.05,-61.61,-9.715,4.9125,0.455,16.6
1,21.25,0.275,2.785,16.815,17.53,41.35,-4.7275,-0.0775,-61.92,-11.61,4.8175,0.38,16.25
1,21.75,0.25,2.86,16.635,17.16,41.845,-4.5325,-0.0075,-60.5375,-11.4,4.64,0.4025,15.92
1,22.25,0.265,2.915,16.5,16.93,43.435,-4.3225,0.0425,-60.56,-10.665,4.11,0.38,15.74
1,22.75,0.255,2.975,16.575,16.85,43.975,-4.235,0.09,-60.2425,-11.23,4.3575,0.4525,15.49
1,23.25,0.3,3.04,16.43,16.77,43.16,-4.215,0.0575,-59.5675,-9.095,4.3075,0.4425,15.28
1,23.75,0.3,2.995,16.28,16.625,42.46,-4.3275,-0.055,-58.365,-11.6675,4.545,0.43,15.06
2,0.25,0.3,2.745,16.4325,16.615,53.005,-4.5375,0.2025,-62.8825,-10.86,7.1175,0.62,15.89
2,0.75,0.28,2.7625,16.2975,16.36,52.745,-4.34,0.175,-61.87,-8.595,7.0025,0.6,15.6475
2,1.25,0.2725,2.8175,16.1775,16.415,54.14,-4.705,0.125,-61.4125,-9.6975,8.235,0.58,15.3975
2,1.75,0.28,2.8225,16.1225,16.2775,54.8975,-4.415,0.1425,-61.9675,-8.9425,6.7925,0.5,15.1875
2,2.25,0.2725,3.0125,15.9125,16.3725,55.52,-4.5,0.215,-61.16,-6.3675,6.8825,0.5675,14.9825
2,2.75,0.27,2.8925,15.6675,15.9925,54.93,-4.57,0.1325,-61.1775,-7.0675,7.1975,0.58,14.7275
2,3.25,0.27,2.8975,15.6725,15.965,53.875,-4.4075,0.2,-61.3875,-8.19,6.8925,0.58,14.5
2,3.75,0.2825,2.9425,15.7125,15.935,53.105,-4.3375,0.14,-60.59,-7.77,6.715,0.63,14.295
2,4.25,0.27,2.9,15.75,15.945,53.1225,-4.16,0.1725,-60.9825,-10.485,7.3975,0.62,14.16
2,4.75,0.28,2.905,15.485,15.9125,53.1175,-4.215,0.205,-61.075,-9.9625,6.54,0.5375,14.04
2,5.25,0.2425,2.8325,15.4575,15.7725,54.2775,-4.275,0.01,-59.855,-11.63,6.2225,0.475,13.915
2,5.75,0.24,2.8,15.225,15.4975,55.7325,-4.285,0.0625,-59.7975,-9.8575,7.335,0.6075,13.795
2,6.25,0.25,2.98,15.0475,15.445,55.06,-2.505,0.54,-58.005,-9.435,6.26,0.48,13.63
2,6.75,0.24,2.905,15.0625,15.32,54.6675,14.06,4.1825,-48.9725,-9.735,7.64,0.35,13.465
2,7.25,0.24,2.6625,15.2225,15.24,55.4475,79.925,24.6325,-13.275,-3.6775,6.8975,0.34,13.3175
2,7.75,0.27,2.31,15.9925,16.1425,53.7975,220.3925,72.2925,63.2775,7.9975,12.0725,0.17,13.26
