DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,G,H,LE,FC,TS
1,0.25,0.13,0.9325,3.95,4.6175,11.615,-7.16,-0.21,-90.4825,-14.2025,-52.11,-0.99,-0.07,2.03
1,0.75,0.14,0.8825,3.6,4.63,11.335,-7.13,-0.27,-90.265,-13.1025,-56.9,-1.42,-0.03,1.99
1,1.25,0.13,0.91,3.8975,4.4625,11.68,-7.105,-0.2,-89.3525,-14.455,-58.32,-1.48,-0.08,1.98
1,1.75,0.13,0.885,4.1525,4.7375,11.295,-7.085,-0.27,-89.54,-14.23,-67.37,-2.155,-0.07,2
1,2.25,0.14,0.9725,4.26,4.7425,11.08,-7.165,-0.29,-90.37,-16.2525,-68.05,-1.375,-0.05,1.895
1,2.75,0.12,0.92,4.19,4.79,11.09,-7.18,-0.28,-89.78,-13.2975,-73.8075,-1.43,-0.08,1.885
1,3.25,0.13,0.92,3.92,4.72,11.15,-7.115,-0.24,-89.3,-14.0375,-60.855,-1.135,-0.08,1.88
1,3.75,0.13,0.95,4.095,4.66,10.99,-7.17,-0.27,-89.9675,-15.27,-62.95,-1.575,-0.0325,1.865
1,4.25,0.13,0.9025,4.0725,4.3875,10.93,-7.065,-0.27,-88.565,-14.2,-59.85,-2.37,-0.0475,1.855
1,4.75,0.13,0.86,4.1575,4.64,10.73,-7.01,-0.19,-89.865,-15.015,-74.42,-1.82,-0.02,1.845
1,5.25,0.13,0.86,4.23,5.0275,10.61,-7.095,-0.25,-90.5525,-17.8575,-65.525,-1.6675,-0.04,1.8
1,5.75,0.14,0.915,4.66,5.095,10.62,-7.17,-0.21,-89.79,-13.6625,-80.1025,-1.6425,-0.05,1.775
1,6.25,0.13,0.83,4.1825,4.9225,10.27,-7.075,-0.28,-89.815,-15.405,-73.17,-1.89,-0.05,1.76
1,6.75,0.13,0.91,4.3875,5.415,10.47,-4.425,0.04,-88.0725,-13.655,-71.61,-1,-0.06,1.75
1,7.25,0.13,0.79,4.195,5.34,10.16,6.965,1.07,-78.4925,-15.9325,-72.8075,-1.375,-0.05,1.745
1,7.75,0.13,0.765,3.9925,5.48,10.56,19.15,2.02,-67.895,-16.7525,-63.25,-0.585,-0.1825,1.735
1,8.25,0.13,0.5,4.19,5.38,10.5,93.735,6.79,-3.6775,-15.3975,-50.14,-1.0175,-0.24,1.73
1,8.75,0.1425,0.34,4.5775,6.4825,10.66,247.25,16.54,94.645,-15.22,-22.88,1.68,-0.96,1.725
1,9.25,0.17,0.4,4.7875,6.06,11.82,327.795,23.74,143.0125,-6.1425,-5.74,9.5575,-2.555,1.73
1,9.75,0.22,0.6625,4.93,6.3375,12.54,403.01,29.44,195.3475,-6.0675,13.645,28.1025,-4.34,1.745
1,10.25,0.28,0.93,5.0425,6.56,12.62,455.285,38.43,234.9775,1.7825,51.06,37.5175,-5.07,1.77
1,10.75,0.35,1.15,5.0575,6.805,13.47,467.64,44.33,251.945,-3.42,75.5675,31.7525,-5.395,1.805
1,11.25,0.36,1.29,5.815,7.13,13.6,507.36,47.76,278.495,6.21,105.27,42.48,-5.82,1.845
1,11.75,0.4,1.4,5.9625,6.83,14.01,500.005,48.73,279.6775,1.6175,124,40.49,-6.275,1.91
1,12.25,0.4,1.42,6.125,6.87,14.33,493.8375,47.53,281.77,5.8875,136.57,43.745,-5.89,1.975
1,12.75,0.415,1.36,5.5425,6.625,14.2,435.5425,45.89,232.87,-20.7525,129.81,39.52,-5.77,2.025
1,13.25,0.39,1.305,5.5125,6.28,14.8725,387.3725,36.7,221.5,15.18,131.405,39.2025,-5.7175,2.09
1,13.75,0.37,1.24,5.65,6.21,14.855,344.84,34.93,205.3475,18.6825,116.09,33.29,-5.1975,2.165
1,14.25,0.38,1.31,5.625,6.39,14.68,322.64,30.87,162.8225,13.7675,93.715,31.1,-5.0725,2.225
1,14.75,0.34,1.19,5.4175,6.1775,14.91,258.155,26.36,120.34,8.7425,78.2875,31.8325,-4.15,2.26
1,15.25,0.31,1.11,5.1875,5.98,15.33,192.07,20.22,77.115,6.445,41.5075,21.615,-3.2975,2.295
1,15.75,0.2675,0.91,4.9025,5.9475,16.37,115.395,11.83,28.1925,5.725,17.69,15.94,-2.9925,2.305
1,16.25,0.195,0.655,4.605,5.63,17.19,53.535,5.1075,-18.52,7.5,-2.03,7.135,-1.64,2.325
1,16.75,0.16,0.5,4.1025,4.97,17.9975,8.31,1.5225,-66.09,3.52,-14.825,0.1775,-0.555,2.335
1,17.25,0.12,0.605,3.2975,4.815,17.7475,-8.5925,-2.025,-89.81,-2.5725,-25.625,-1.965,-0.2525,2.33
1,17.75,0.12,0.7875,3.2975,4.5,16.4325,-8.1775,-0.75,-91.94,-7.6675,-28.565,-2.4325,-0.13,2.31
1,18.25,0.11,0.8125,3.325,4.7,15.4625,-7.3425,-0.0925,-90.86,-15.8375,-45.04,-1.99,-0.1,2.3
1,18.75,0.12,0.8,3.575,4.63,14.7375,-7.0175,-0.02,-91.58,-16.9825,-39.325,-2.7675,-0.08,2.29
1,19.25,0.13,0.83,3.6625,4.66,15.27,-6.9875,-0.02,-91.01,-15.7,-48.57,-1.655,-0.06,2.275
1,19.75,0.14,0.83,3.5375,4.6125,14.2825,-7.13,-0.09,-91.06,-14.3,-54.195,-2.86,-0.065,2.2325
1,20.25,0.14,0.88,3.685,4.785,13.46,-7.025,-0.0425,-91.91,-15.25,-70.4525,-1.5575,-0.035,2.2075
1,20.75,0.14,0.88,3.4,4.3425,13.7625,-7.1075,-0.04,-92.5,-15.48,-55.0825,-1.9825,-0.075,2.19
1,21.25,0.14,0.88,3.5325,4.9,13.6425,-6.9875,-0.05,-92,-14.53,-58.81,-1.66,-0.04,2.18
1,21.75,0.14,0.88,3.4125,4.64,13.0175,-7.13,-0.1525,-92.01,-13.71,-63.96,-2.67,-0.095,2.1625
1,22.25,0.15,0.8325,3.665,4.79,12.255,-7.1725,-0.1425,-92.16,-13.55,-61.5025,-2.415,-0.03,2.13
1,22.75,0.14,0.8625,3.365,4.8425,12.265,-6.94,-0.1,-93.19,-13.35,-75.38,-3.12,-0.045,2.11
1,23.25,0.14,0.8875,3.45,4.56,12.1675,-7.19,-0.185,-91.77,-15.84,-57.22,-3.07,-0.12,2.08
1,23.75,0.13,0.8925,3.6,4.6675,11.89,-7.1525,-0.1775,-90.03,-13.27,-55.3975,-1.69,-0.085,2.0625
