DOY2,HR2,USTAR,WS,TA,T_SONIC,RH,SW_IN,SW_OUT,NETRAD,G,H,LE,FC,TS
1,0.25,0.784499999999999,4.4275,21.766,22.16375,93.8485,0.4,3.573,-3.93375000000001,7.81174999999999,40.8142499999998,39.69,7.51774999999995,14.18
1,0.75,0.74,4.643,21.6485,22.189,93.9195,0.502999999999997,3.542,-4.998,4.94675,34.5789999999997,38.85375,6.61799999999997,14.139
1,1.25,0.807499999999999,4.34999999999999,21.6955,22.066,93.712,0.50049999999999,3.95525,-5.19075,5.109,21.0035,36.3822499999997,3.299,14.119
1,1.75,0.74925,4.60125,21.7835,21.9525,93.892,0.612999999999997,3.8645,-4.41750000000002,16.49075,40.43525,39.1955,3.98,14.0905
1,2.25,0.835499999999999,4.346,21.80975,22.03225,93.93425,0.536249999999999,4.279,-5.03050000000001,14.7985,36.16,42.7912499999999,6.645,14.03425
1,2.75,0.74,4.7995,21.858,22.426,93.89775,0.6805,3.673,-5.73725000000003,3.55399999999999,34.3739999999999,32.4725,3.89275,14.01425
1,3.25,0.73,4.518,21.40425,21.882,93.53125,0.417249999999998,3.75175,-5.15675000000001,-0.916750000000015,36.9795000000001,57.2215,7.18299999999997,13.987
1,3.75,0.73,4.47,21.247,21.66375,93.714,0.145999999999995,3.58375,-5.69925,-1.46075,33.444,41.835,6.35149999999999,13.94525
1,4.25,0.716999999999999,4.566,21.20825,21.64925,93.72525,0.415749999999999,3.7915,-3.40550000000001,11.8175,25.0214999999999,37.71225,6.9585,13.907
1,4.75,0.779,4.604,20.94975,21.4165,93.544,0.1205,3.49225,-3.51850000000001,11.42675,37.5139999999998,42.6592499999999,5.56575,13.856
1,5.25,0.739249999999999,4.754,21.30975,21.752,93.55275,0.466249999999999,3.683,-2.638,2.06474999999999,35.2845000000001,48.353,10.39,13.8295
1,5.75,0.74925,4.62449999999999,21.31425,21.784,93.62525,0.366749999999998,3.4215,-3.66275000000001,11.864,38.76,48.1529999999999,9.717,13.80575
1,6.25,0.75,4.478,21.0325,21.516,93.5525,0.326749999999998,3.2615,-2.79275,11.2135,25.3127499999999,44.4125,4.98450000000001,13.7785
