DOY2,HR2,NETRAD,G,LE,H,FC,USTAR,CO2,H2O,T_SONIC,PA,TA_1_1_1,RH_1_1_1,WS_1_1_1,SW_IN,SW_OUT,LW_IN,LW_OUT,PPFD_OUT,PPFD_IN,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_3_1_1,TS_3_2_1,TS_4_1_1,TS_4_2_1
1,0.25,-115.0232525,-50.5639625,-5.49959,-88.370275,-0.2685875,0.066475,376.80801,2.3016425,-1.0654225,86.51497,-1.97925,12.53655,0.3680975,-2.8978,0,211.718945,289.4693775,-0.18984,-3.737925,0.157885,1.75265,2.899875,3.8767475,5.8696925,7.24398,0.843185,2.4381,8.03,8.9845,6.35485,9.249
1,0.75,-114.3373225,-51.40772,-5.564695,-88.1895,-0.281225,0.068045,376.50729,2.121885,-1.243745,86.50175,-1.9981,11.87793,0.47668,-2.686775,0,211.88581,290.173255,-0.1956,-4.08089,0.0482900000000001,1.68045,2.86315,3.9127,5.8515675,7.171125,0.81186,2.3782,8.0245,8.97675,6.382275,9.249
1,1.25,-115.4445725,-49.66948,-5.09351,-86.5090025,-0.312625,0.06888,376.327,2.1427475,-1.560115,86.5140925,-2.1018,12.0417,0.47222,-2.79966,0,210.5081625,286.686695,-0.1926,-4.0397675,-0.014635,1.6175,2.8349,3.9135,5.84139,7.169575,0.62168,2.3379,8.02125,8.97675,6.3996,9.249
1,1.75,-116.3758275,-54.70222,-6.7529075,-86.15307,-0.3082225,0.06475,376.549385,1.92712,-1.313,86.5689,-2.058,11.68311,0.4349875,-2.905985,0,210.52594,287.3191575,-0.18756,-3.7976075,-0.13711,1.624175,2.84115,3.9249,5.8234425,7.164925,0.452935,2.297425,8.02575,8.969,6.426725,9.249
1,2.25,-115.052675,-51.2498,-6.3646,-88.1773875,-0.2446375,0.066,376.485875,1.73435,-1.36225,86.5599725,-1.884,11.82327,0.46862,-2.71804,0,211.143955,289.3871275,-0.19944,-3.8301775,-0.137585,1.529825,2.80985,3.947875,5.8234425,7.040925,0.412965,2.252275,8.016375,8.96125,6.4496,9.249
1,2.75,-114.736005,-57.2166,-6.405625,-80.504025,-0.268255,0.0667475,376.6207775,1.938125,-1.51663,86.5627475,-1.9556,11.7335,0.4943325,-2.772625,0,211.162135,288.7862225,-0.19368,-3.6037425,-0.37197,1.4838,2.77585,3.969,5.803885,7.0218,0.50606,2.24255,8.013975,8.9535,6.473275,9.249
1,3.25,-115.0525675,-53.9615,-6.1829,-81.4408875,-0.27458,0.0665475,376.6256,1.957,-1.6629875,86.5700225,-2.1506,11.62762,0.3581175,-2.71938,0,212.00311,288.0600125,-0.18552,-3.7722225,-0.38887,1.49495,2.74465,3.9908,5.802585,6.94665,0.416065,2.2091,8.008475,8.95575,6.481625,9.249
1,3.75,-113.03491,-52.88124,-6.07576,-82.14194,-0.30402,0.073615,375.967535,1.791815,-1.789035,86.5766,-2.2383,11.16493,0.44498,-2.67329,0,211.77118,289.5473525,-0.1866,-3.72146,-0.604425,1.504,2.7478,4.0385,5.795635,6.83215,0.228315,2.1817,8.006075,8.948,6.4824,9.249
1,4.25,-113.2048075,-48.45964,-5.6759575,-91.79824,-0.2807,0.068115,376.4550375,1.7828425,-1.6049825,86.5682,-2.1764,11.43886,0.4860975,-2.783305,0,211.0499375,288.815725,-0.18132,-3.6464475,-0.872,0.72285,2.4793,4.0268,5.817565,6.74085,0.017475,1.41345,8.00205,8.94025,6.483725,9.24675
1,4.75,-114.6155625,-51.23604,-5.81392,-88.238145,-0.364275,0.07702,376.8254,1.73681,-1.5094,86.5544175,-2.1074,11.73737,0.49368,-2.81947,0,210.575245,288.623845,-0.18216,-3.347275,-0.92125,1.01135,2.5148,4.0391,5.818065,6.76005,0.00547500000000002,1.4444,7.995775,8.94025,6.480725,9.24675
