DOY2,HR2,H,SH,LE,SLE,FC,SC,TAU,CO2,CO2_SIGMA,H2O,H2O_SIGMA,U_SIGMA,V_SIGMA,W_SIGMA,WS,USTAR,T_SONIC,T_SONIC_SIGMA,TA,RH,PA,VPD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,G_1_1_1,G_1_2_1,SW_IN,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT
1,0.25,-32.266325,-2.60757,0.43769075,-0.864014,0.1454275,-0.0345781,-0.0933,386.875,0.66189196125,5.45722,0.047045262,0.451029,0.383085,0.151941,2.0216,0.128307,6.80927,0.339773,5.24425,28.1325,88.6,3.1449568915,2.38525,6.632,6.27375,4.03625,-18.38399,-8.84873875,0,0,-67.43,0,0
1,0.75,-32.18775,-2.4058725,0.666007,-0.9552135,0.19013025,-0.0507915,-0.122335,386.69775,0.6489064405,5.4465425,0.044821204,0.43713875,0.3660215,0.15389275,1.88955,0.13547675,6.6505,0.3041405,4.8655,28.3275,88.6,3.083656531,2.137,6.33225,6.09725,4.24725,-18.5868375,-9.23215875,0,0,-67.96,0,0
1,1.25,-36.40775,-2.135395,0.187394,-0.6062885,0.1653,-0.051359125,-0.10217,386.6405,0.651718909,5.4417675,0.04340193725,0.44324775,0.37289175,0.1531915,1.9035325,0.1310625,6.137705,0.328397,4.79625,28.6825,88.5625,2.92901648,1.96,6.025,5.98125,3.96225,-18.9611125,-10.00579675,0,0,-67.3,0,0
1,1.75,-35.8319,-1.6561475,0.3280365,-0.553103,0.2290915,-0.0393091,-0.0949,386.418,0.657776746,5.39538,0.039939832,0.436312,0.38106,0.154298,1.9438,0.12276,5.88442,0.329148,4.53125,28.305,88.515,2.86133947275,1.92625,5.80225,5.83625,3.81175,-19.00629,-10.392675,0,0,-67.15,0,0
1,2.25,-34.4538,-1.81869,0.37319925,-0.61491,0.167129,-0.0493383,-0.12095125,386.38125,0.613051244,5.3476025,0.0424217265,0.440069,0.379738,0.1531895,1.89514,0.12352125,5.5139575,0.319387,4.38225,27.965,88.5,2.69260111425,1.93075,5.65275,5.68325,4.102,-19.003245,-10.6006175,0,0,-66.46,0,0
1,2.75,-37.2612,-1.72869,0.5076225,-0.71595825,0.20141625,-0.0524345,-0.116105,386.719,0.5824937065,5.334215,0.0394061315,0.46062225,0.382525,0.16065025,2.00509,0.14078825,5.6330475,0.29797125,4.23075,27.5575,88.5,2.726839606,1.65,5.44475,5.53325,3.902,-19.2916875,-10.7592225,0,0,-66.99,0,0
1,3.25,-39.981525,-1.8298,0.753566,-0.64596325,0.238867,-0.044720375,-0.10586625,386.42925,0.62052083975,5.409125,0.039886954,0.4482755,0.38843325,0.16979725,2.0074075,0.13507175,5.67029,0.31779475,4.61,28.295,88.5,2.70573997025,1.566,5.20525,5.37625,4.1585,-19.36572,-11.0690775,0,0,-67.255,0,0
1,3.75,-38.3617,-1.57384,0.909688,-0.6012325,0.19737875,-0.0379321,-0.09745,386.71975,0.629346077,5.45849,0.04380706275,0.44919675,0.39586,0.16082625,1.8272975,0.13158175,5.7915075,0.3081445,4.457,27.88,88.5,2.811161811,1.52575,5.02825,5.24375,3.324,-18.82515,-11.28279,0,0,-66.99,0,0
1,4.25,-38.2981,-1.40716,1.13509,-0.783182,0.18730675,-0.0366959,-0.102454,387.197,0.663609541,5.40714,0.046918124,0.456967,0.385096,0.161859,1.74537,0.126206,5.88696,0.342268,4.195,28.83915286,88.51,2.87568855575,1.40725,4.99625,5.12025,3.24775,-18.4412275,-11.392335,0,0,-65.65,0,0
1,4.75,-38.0484,-2.21261,0.311284,-0.754177,0.24033,-0.0441518,-0.1037635,386.7665,0.646525689,5.3665075,0.0422548225,0.46384625,0.37608025,0.15795475,1.805915,0.1396315,5.7770075,0.31549125,4.2585,28.3825,88.5,2.84621630575,1.32125,4.8325,4.9635,3.33825,-18.4675275,-11.40297,0,0,-65.45,0,0
1,5.25,-37.9153,-1.8664225,0.661416,-0.52684375,0.2285735,-0.050545475,-0.093675,386.23575,0.664431457,5.38439,0.04538126425,0.48225925,0.3873685,0.159707,1.855095,0.1314375,5.81378,0.322728,4.2975,28.055,88.5,2.72236241275,1.21075,4.652,4.81625,2.96925,-18.593845,-11.570525,0,0,-66.05,0,0
1,5.75,-39.868775,-1.481385,0.59408025,-0.87165825,0.19590625,-0.047185025,-0.097075,386.18775,0.67963443725,5.346595,0.0454612165,0.46090575,0.3720785,0.15899625,1.8070675,0.15346125,6.001405,0.3345315,4.05456145,27.95303249,88.5,2.8182159505,1.27025,4.47575,4.7075,3.38625,-18.7956725,-11.56918,0,0,-65.915,0,0
