DOY2,HR2,H,SH,LE,SLE,FC,SC,TAU,CO2,CO2_SIGMA,H2O,H2O_SIGMA,U_SIGMA,V_SIGMA,W_SIGMA,WS,USTAR,T_SONIC,T_SONIC_SIGMA,TA,RH,PA,VPD,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,G_1_1_1,G_1_2_1,SW_IN,SW_OUT,NETRAD,PPFD_IN,PPFD_OUT
1,0.25,-18.8309,-0.858934,1.86386,-0.13545,0.3073645,0.0029599,-0.0365,396.89,0.981256857,6.78272,0.071072813,0.566909,0.541106,0.194134,2.52926,0.189576,10.1076,0.471838,8.5291645,42.31603168,88.8,6.1458900485,5.7415,8.775,8.1,7.8425,-13.51722,-8.2494365,0,0,-60.95,0,0
1,0.75,-20.22495,-0.7686475,2.425655,-0.08859375,0.3113185,-0.00695532,-0.03855,396.801,1.026974817,6.742875,0.0709804055,0.5674975,0.5557995,0.2040345,2.52786,0.200429,10.1231,0.460576,8.165,43.47603118,88.8,6.170602048,5.585,8.555,7.9165,7.752,-14.06755,-8.620408,0,0,-60.17,0,0
1,1.25,-20.00995,-0.396192,2.146648343,-0.1162475,0.280079854,-0.00535687,-0.04245,396.48,0.908489316,6.673465,0.0763052945,0.5629105,0.492678,0.2079775,2.627955,0.2013271,10.2063,0.455436,8.305,44.065,88.8,6.0485583105,5.431,8.295,7.801,7.696,-14.17264,-8.762498,0,0,-60.09,0,0
1,1.75,-21.26851355,-0.4599935,2.29599,-0.0629279,0.356299,-0.000234956,-0.0405,396.67,0.965076636,6.81438,0.069737743,0.555795,0.482353,0.208406,2.49074,0.2030255,10.2024,0.474618,8.189461,43.965,88.8,5.96298584,5.0865,7.958,7.647,7.609,-14.12287,-9.0092545,0,0,-59.9,0,0
1,2.25,-17.461482595,-0.471539,2.10692,-0.0497235,0.316738,-0.0120985,-0.0414,396.6855,0.947474759,6.825905,0.06627007,0.590863,0.5317385,0.2126245,2.541895,0.21092205,10.0781,0.428706,8.085,44.315,88.8,5.730226625,4.8605,7.734,7.5045,7.412,-14.14184,-9.205411,0,0,-60.04,0,0
1,2.75,-19.2799,-0.2642995,2.21774,-0.114216,0.329578,-0.00769314,-0.0444,396.8065,0.8282923575,6.86617,0.062945761,0.583341,0.5179125,0.214599,2.67776,0.2100705,9.65563,0.3989625,7.9535,45.435,88.8,5.760991425,4.596,7.5455,7.3515,7.2325,-14.330485,-9.3304755,0,0,-59.79,0,0
1,3.25,-20.2492,-0.271532,2.47109,-0.113892,0.361142,-0.00231267,-0.0429,396.5925,0.9272399745,6.871,0.071490974,0.5644755,0.5346575,0.2130435,2.6151,0.202843,9.726855,0.4435045,8.045,43.96,88.8,5.879457871,4.4995,7.382,7.218,7.1055,-14.46824,-9.7064685,0,0,-59.39,0,0
1,3.75,-22.542792745,-0.2272965,2.507617613,-0.10246,0.332978,-0.00428942,-0.04275,396.708,0.9620546405,6.71507,0.0734580695,0.590132,0.560968,0.2125545,2.452945,0.200457,9.92306,0.4610615,7.922992,44.395,88.8,5.6717602985,4.12,7.247,7.054,6.9835,-14.89034,-10.0164975,0,0,-59.16,0,0
1,4.25,-20.11725,-0.301885,2.31585,-0.152484,0.3482925,-0.000562839,-0.0416,396.534,1.013542819,6.75289,0.075101355,0.582333,0.498053,0.202783,2.48534,0.198958,9.93286,0.49799,7.8488859,44.42094454,88.79,5.4548981205,3.8605,7.1535,6.972,6.911,-15.127805,-10.381025,0,0,-59.2,0,0
1,4.75,-19.17865,-0.464659,2.03349,-0.0554733,0.3336465,-0.00562989,-0.0397,396.529,0.9223284985,6.902095,0.075671339,0.6149005,0.5413415,0.2151065,2.509365,0.205016,9.631535,0.4815565,7.7135,45.18,88.79,5.4831015195,3.8015,7.0065,6.847,6.7,-15.10711,-10.58955,0,0,-58.85,0,0
