DOY2,HR2,USTAR,TA_1_1_1,WS,NEE,FC,SC,H,LE,G_1_1_1,TS_1_1_1,TS_1_2_1,RH_1_1_1,PA,CO2,VPD,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,H2O,TAU,FCH4,SH,SLE,SCH4,T_SONIC,CH4
1,0.25,0.4412465,20.2605,2.112,3.286,3.39382,0.6145,-14.382,20.185,-1.2805,21.2965,20.7657500025,94.951666665,102.2,410.43025,7.64791,-33.894,0,2.3235,377.079999975,416.0866667,19.284425,-0.057225,3.995809,0.296109366,3.14,8.1181105,28.88,2133.0011995
1,0.75,0.44169975,20.2665,2.138,3.3135,3.394,0.69025,-13.59125,21.0375,-0.876,21.2700833325,20.7562499975,95.225,102.2,409.259,7.07,-31.25625,0,2.31675,377.0666667,415.85416665,19.11115,-0.0581,2.77387225,0.316853,2.81785,4.82,28.5825,2143.3284285
1,1.25,0.4419075,20.2073333325,2.135,2.6915,3.195,0.814499,-12.98175,20.95,-0.3345,21.2515,20.7438333325,95.571666665,102.19,409.5635,8.31272,-29.84975,0,2.2865,375.28,415.2425,19.0597,-0.07435,4.975,1.1097825,0.016895,8.3897985,28.159,2147.68938725
1,1.75,0.4535020915,20.1832499975,2.08278,2.8685,3.0700725,1.061585,-12.5411,21.477975,0.5315,21.2295,20.7269999975,95.43083333,102.17,409.206,8.2402,-31.607,0,2.217,376.9366667,414.2733333,18.4067468475,-0.063944517,7.295,0.816725,0.41918,8.315,28.079,2154.24727575
1,2.25,0.444,19.96466667,2.136,2.696,3.2855,0.7685,-12.585,20.02075,0.495,21.241,20.6880833325,95.5149999975,102.1375,407.86925,7.38578,-28.6645,0,2.23575,378.768333325,414.327500025,18.948,-0.065425,4.13,0.4743003005,3.563822354,2.21,27.7505,2142.21
1,2.75,0.44375,19.996,2.14125,2.825,3.318,0.92425,-9.306535,18.9935,0.1165,21.22125,20.7116666675,95.5625,102.12,410.9592393,8.035945,-27.152,0,2.2305,381.175000025,413.7775,18.428729025,-0.05645,14.6,-0.4318325,1.40916,3.54,27.4805,2157.358364
1,3.25,0.454697,19.961,2.1883,2.8405,3.411575,0.898,-8.8446,19.63225,0.298,21.20425,20.7135,95.675166665,102.1075,413.187,7.2474,-26.881,0,2.232,380.852500025,413.892499975,17.968976425,-0.0536,5.435,0.23650325,3.6727025,6.7825,27.3785,2139.88019875
1,3.75,0.442148,19.847,2.146618626,3.10975,3.409921691,0.511414,-9.74465,20.84425,0.364,21.235166665,20.702166665,95.875,102.1,412.226,7.30613,-24.131,0,2.1962833335,379.858333325,413.77,17.7953,-0.054843306,12.0887565,1.73529,0.80238275,18.85252,27.4485,2136.9165265
1,4.25,0.445552,19.774,2.106,3.08425,3.619,0.54,-9.7705,20.20975,-0.15325,21.255083335,20.67325,96.0625,102.1,413.04,7.26053,-22.36075,0,2.16822499975,379.5525,413.01833335,17.804609625,-0.0549,6.015,0.3627175,2.179715,2.27,27.3465,2125.96
1,4.75,0.467457,19.791,2.225,3.0695,3.714,0.6,-11.136,20.749,-0.59175,21.267666665,20.637,96.3035,102.1,413.5855,6.95192,-23.76,0,2.1085,381.17,412.2,17.798,-0.05615,20.325,1.363705,2.66297,3.215,27.0665,2129.149193
1,5.25,0.483179,19.684,2.105,2.795,3.675,0.72786875,-11.8663,20.50575,-1.54325,21.26416667,20.605,96.4424999975,102.1,411.81,6.64,-23.27575,0,2.15995,381.36416665,411.6675,17.2997,-0.064,9.425,-0.2625665,2.71782,3.77104125,27.394,2149.372693
1,5.75,0.44218677,19.56833333,2.262,2.965,3.104,0.641486,-9.95809,17.83,-1.4855,21.245666665,20.57675,96.46333333,102.1225,413.9515,6.572995,-21.36,0,2.132,381.72,411.6833333,17.4929,-0.04815,6.04057875,0.2748385,2.61387,5.48,27.3045,2155.8365105
1,6.25,0.448235,19.5625,2.179,2.957,3.32795,0.9090255,-11.81655,19.71765,-1.771,21.2985,20.56425,96.62575,102.185,414.418,8.194105,-20.922,0,2.147,382.925,410.71,17.4215,-0.049975,14.95,1.90576,4.68345,3.415,27.235,2150.88459975
