DOY2,HR2,USTAR_1_1_1,TA_1_1_1,WS_1_1_1,NEE_1_1_1,FC_1_1_1,SC_1_1_1,H_1_1_1,LE_1_1_1,G_1_1_1,TS_1_1_1,RH_1_1_1,PA_1_1_1,CO2_1_1_1,VPD_1_1_1,NETRAD_1_1_1,PPFD_IN_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1
1,0.25,0.165,-5.489,1.1445,0.384,0.16807,-0.3085,-37.8815,-0.438,-8.202,1.684,56.93,100.801,397.2445,0.7875,-59.3425,-0.0065,-0.071,0.521,226.8,285.4
1,0.75,0.156,-5.3955,1.1445,0.446,0.24242,-0.35825,-35.416,-0.1805,-8.26875,1.685,57.915,100.801,397.18725,0.785,-60.215,0,-0.066,0.62,226.6,285
1,1.25,0.15225,-5.527,1.14525,0.4045,0.242,-0.3285,-36.9195,-0.584,-8.3795,1.673,59.075,100.82575,397.646,0.7375,-60.1875,0,-0.1,0.6135,226.275,285.125
1,1.75,0.1685,-5.5765,1.16675,0.401,0.194,-0.236,-33.50525,-0.857,-8.4815,1.66975,59.2725,100.9,397.03,0.7275,-60.1125,0,-0.1,0.54,228.65,285.2
1,2.25,0.1585,-5.58275,1.14775,0.5485,0.173,-0.223,-33.29,-0.609,-8.60375,1.66325,59.3075,100.9,397.846,0.7125,-59.7725,0,-0.1,0.505,230.75,284.65
1,2.75,0.164,-5.62175,1.18525,0.487,0.224,-0.228,-35.786,-0.6575,-8.68525,1.638,59.0575,100.9,398.2355,0.6775,-59.2075,0,-0.1,0.5,231.05,283.425
1,3.25,0.163,-5.65825,1.2265,0.5535,0.21275,-0.15475,-35.469,-0.252,-8.76075,1.60525,60.435,100.9,398.177,0.6675,-59.0175,0,-0.1,0.5,228.675,283.075
1,3.75,0.181,-5.7985,1.19275,0.4775,0.22217,-0.1745,-34.52925,-0.46425,-8.83925,1.584,60.7225,100.9,398.191,0.63,-59.0375,0,-0.1,0.5595,229.15,282.875
1,4.25,0.175,-6.08125,1.187,0.523,0.213,-0.207,-36.01625,-0.46775,-8.9325,1.56875,60.28,100.9,397.727,0.6,-59.27,0,-0.1,0.5625,229.45,282.775
1,4.75,0.1675,-6.02625,1.242,0.4325,0.212,-0.224,-36.942,-0.7,-9.0375,1.56175,61.9275,100.9,397.597,0.6,-59.51,0,-0.1,0.54375,230.5,283.325
1,5.25,0.1505,-6.05425,1.15,0.491,0.177,-0.187,-32.929,-0.814,-9.0365,1.538,61.98,100.9,397.744,0.5975,-57.955,0,-0.1,0.5,231.425,282.95
1,5.75,0.158,-6.2485,1.161,0.56975,0.2155,-0.2995,-32.6925,-0.4425,-9.02025,1.52925,62.13,100.9,397.932,0.595,-58.285,0,-0.1,0.644,229.925,282.7
1,6.25,0.1535,-6.21275,1.202,0.58,0.1785,-0.197,-32.424,-0.4885,-9.041,1.539,62.4975,100.9,398.0615,0.56,-57.27,0,-0.1,0.5625,229.925,282.625
1,6.75,0.155,-6.29075,1.21675,0.587,0.171135,-0.244,-33.4145,-0.4885,-9.076,1.5435,62.9025,100.9,398.0345,0.5375,-58.155,0,0,0.59625,228.75,281.375
1,7.25,0.16,-6.39125,1.18075,0.608,0.211,-0.16425,-25.5615,-0.364,-9.031,1.5535,62.9975,101,398.729,0.54,-54.41,4.372,1.9,1.0175,227.6,282.725
1,7.75,0.183,-6.2745,1.19,0.62325,0.299,-0.33975,-16.119,-0.283,-9.06675,1.557,62.3725,101,398.96525,0.56,-28.36,28.65,13.225,3,225.325,284.45
1,8.25,0.244,-5.518,1.20425,0.21475,0.4825,-0.733,-5.93,0.429,-9.08,1.57575,60.3675,101,398.40875,0.5675,3.358,67.715,32.075,5.725,227.55,286.725
1,8.75,0.30675,-4.702,1.31975,-0.1595,0.44075,-1.32325,4.663,2.30225,-9.016,1.60575,56.565,101,398.907,0.6675,21.3175,114,51.96,8.375,229.65,290.425
1,9.25,0.36,-3.93925,1.48175,-0.5395,0.431,-1.6125,21.56375,4.6,-8.96225,1.64775,53.4125,101,399.011,0.85,35.52,172.9,81.925,12.6,229.55,295.125
1,9.75,0.4005,-3.02,1.65525,-0.67475,0.3315,-1.597,35.736,9.3605,-8.8375,1.712,50.535,101,397.7765,0.97,56.1125,231.825,107.375,18,232.725,300.825
1,10.25,0.454,-2.3855,1.82275,-0.6285,0.242,-1.382,49.324,10.351,-8.71625,1.81525,48.665,101,396.8875,1.235,71.085,289.4,133.075,22.85,237.25,306.225
1,10.75,0.4915,-2.07525,1.9015,-0.8565,0.06825,-1.073,59.2645,12.04575,-8.45375,1.86525,46.27,100.9,396.56,1.3175,83.35,308.075,147.775,24.925,238.275,309.725
1,11.25,0.4915,-1.782,1.96975,-0.553,0.0045,-1.03,62.87175,15.774,-8.06925,1.88975,43.545,100.87525,396.0735,1.5175,84.05,309.925,150.1,24.98,241.4,311.55
1,11.75,0.51125,-1.3155,1.96025,-0.6805,0.022,-0.9775,82.67075,15.732,-7.713,1.89925,41.6675,100.80075,396.2255,1.7575,87.625,312.15,149.25,25.525,242.125,312.575
1,12.25,0.5175,-1.001,2.09675,-0.672,-0.011,-0.75525,68.545,13.82025,-7.463,1.92175,39.8375,100.8,395.81425,1.905,83.925,301.925,143.425,24.23,241.15,314.6
1,12.75,0.51825,-0.8265,2.0865,-0.2155,0.097,-0.552,70.2285,14.1695,-7.23125,1.93325,38.0775,100.8,395.625,2.0975,78.6,276.075,134.3,23.3,243.325,315.15
1,13.25,0.50025,-0.56375,2.01775,-0.2385,0.1365,-0.59975,71.15575,14.4365,-7.04,1.943,37.4275,100.8,395.564,2.21,87.625,290.75,142.475,27.1,242.85,315.125
1,13.75,0.5145,-0.51825,1.9385,-0.1625,0.02,-0.50875,55.7545,13.921,-6.9725,1.94775,36.58,100.7,394.958,2.2875,71.025,268.45,130.45,24.825,241.375,315.975
1,14.25,0.4925,-0.34875,1.96375,0.073,0.164,-0.37025,40.88025,9.84,-6.802,1.94725,36.1,100.7,394.646,2.35,56.1275,220.975,105.9,18.52,242.95,315.75
1,14.75,0.4715,-0.412,1.8485,0.268,0.20575,-0.2845,32.532,8.21375,-6.6805,1.966,35.99,100.7,395.15025,2.28,42.035,179.65,86.275,15.2,245.125,314.35
