DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1,TS_2,TS_3,TS_4,TS_5,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,391.62793475,4.856644,1968.9192524,-0.93548675,-22.97286255,-36.618924275,-39.55728575,-3.88177535,0.21855095,0.039377925,-0.2852065,0.1667072,0.035117425,100.633775,62.888,2.4959,0.1708046,5.0372107,0.1085511,1.1262875,7.16095,7.9933,8.20725,9.519625,-92.8926598,0,0,-4.680315875,0.064612275,251.920922825,317.295728825
1,0.75,403.1626947,5.1630835,1970.59227555,-2.1482844,-30.603534,-35.9945109,-43.7816088,0.58277475,0.21524825,0.044256625,-0.29672495,0.171650375,0.050206975,100.6384,63.093,1.8353,0.1425769,5.6617782,0.1170138,1.291975,7.1292125,7.9583375,8.2265,9.519625,-93.551606675,0,0,-4.820401925,0.132538,250.29925725,316.6821761
1,1.25,401.827967375,5.11316025,1951.3799526,-3.25489815,-34.616765075,-36.484878375,-40.46218725,0.14772725,0.216195825,0.03660445,-0.42009935,0.1905461,0.049381875,100.567525,62.656,2.3203,0.1440479,5.246994175,0.089115325,1.6512125,7.04755,7.94155,8.2165,9.539,-93.000404175,0,0,-4.47377875,0.066269,254.356090575,314.4340781
1,1.75,400.54690215,5.12931825,1974.9743014,-0.789983,-48.4481446,-35.884899075,-42.72321945,-0.241688600000001,0.267191625,0.04199375,-0.300279775,0.180572325,0.045490525,100.4626,61.527,2.6007,0.1289756,5.1075537,0.09733855,1.1465625,6.9681375,7.916475,8.217,9.5435,-92.45390715,0,0,-4.599496975,0.064612275,253.065307675,315.875665275
1,2.25,401.1627834,5.35458255,1980.9091119,-1.798511,-81.4190941,-35.497808775,-42.355706,-0.3897885,0.23605915,0.04210205,-0.25388515,0.173761725,0.051330575,100.396475,59.715,1.88,0.1215961,4.945520825,0.09081125,-0.2401875,6.9446875,7.903275,8.2365,9.538625,-93.72132185,0,0,-4.60129295,0.132538,251.872247325,314.047651175
1,2.75,399.9122266,4.64908885,1975.9632651,-1.370889,-10.150007925,-35.5276939,-42.14832295,0.437286425,0.1142968,0.037314825,-0.280306,0.186903175,0.055185975,100.39465,59.941,1.9578,0.1159147,4.318526,0.0847352,0.0292750000000001,6.905575,7.8793,8.25625,9.5435,-92.690301325,0,0,-4.312140975,0.197150275,249.0361136,314.550998775
1,3.25,397.48699415,4.879967075,1983.493001825,-1.091162125,-22.77038705,-35.11910235,-39.9695141,-0.078709675,0.33888345,0.0415088,-0.2516745,0.1814351,0.04686685,100.389925,66.783,1.2312,0.1091433,4.7351616,0.0897164,-0.2449,6.8459625,7.846625,8.2565,9.538625,-92.51360005,0,0,-4.45761495,0,252.52506875,314.37410365
1,3.75,400.537722525,4.116299225,1966.1084704,-0.34017,-14.45117085,-35.306809175,-42.48164175,1.318919225,0.254500375,0.03018685,-0.2131539,0.161329775,0.043796625,100.36785,69.509,1.1829,0.1042944,4.77554105,0.09882085,-0.0889374999999999,6.799125,7.8232125,8.2755,9.538375,-93.2522997,0,0,-4.527657975,0.130881275,252.4721484,317.263324
1,4.25,401.2062706,4.3411835,1964.25404555,-1.6401935,-13.806544,-35.980173075,-41.024556,-2.0299191,0.228921225,0.036334275,-0.294979175,0.17541745,0.048007675,100.365775,68.723,0.9547,0.0977065,3.797926925,0.102711975,0.1061375,6.7468375,7.790375,8.285,9.52875,-93.595352075,0,0,-4.312140975,0.132538,254.982780525,315.345475675
1,4.75,400.974219,4.678916375,1966.576146,-0.639428,-68.60064185,-35.324465575,-38.0377323,1.990870425,0.302202175,0.0380756,-0.467908875,0.1805283,0.051794425,100.3583,69.724,1.0955,0.087898,2.68557045,0.090075075,0.0884875000000002,6.7196125,7.7729375,8.29475,9.533625,-92.9568411,0,0,-4.312140975,0.132538,254.036900725,316.038050175
