DOY2,HR2,CH4,CO2,FC,FCH4,H2O,SC,SCH4,H,LE,SH,SLE,PA,RH,T_SONIC,TA,VPD,NETRAD,PPFD_IN,PPFD_OUT,TS_1_3_1,TS_1_2_1,TAU,U_SIGMA,USTAR,V_SIGMA,W_SIGMA,WS,NEE
1,0.25,1950.659909,402.5658809,0.303579038,17.9,5.423477489,0.0237,0.3,-15.10971661,-0.147016252,-0.122663446,0.0113,101.6586889,82.75,8.2993682,-0.4,1.788996229,-20.28969333,0,1.417373333,4.10615622619768,1.58030865153074,-0.107120682,0.665840958487836,0.290406072,0.590198307351012,0.362015009357347,1.973481874,0.327279038
1,0.75,1960.832555,402.9175891,0.203146397,15.2,5.449068606,-0.00782,0.1185,-10.68451886,-0.0396,0.00705,-0.0302,101.7,83.5,8.36173380000002,-0.775,1.920965955,-18.86449333,0,1.41075,3.81841591952676,1.35719436000266,-0.0784,0.696108072069273,0.244960354,0.567811149943359,0.360166486503117,1.930369315,0.203925593
1,1.25,1964.3358825,402.9864373,0.167846601,8.09,5.472160559,0.0118,0.123,-11.80101,0.272174398,-0.0624,0.0809,101.7,84.25,7.90525830000001,-0.825,1.792325596,-18.06364333,0,1.412074667,3.6745457661913,1.15425181917586,-0.0996,0.827964545738524,0.274438954,0.638256800198791,0.350576515186057,1.994358858,0.292562733
1,1.75,1963.707809,403.4547461,0.409937205,8.33,5.434373378,0.025,0.214,-8.213033605,0.3154815,-0.382928882,0.0235,101.7,83.5,8.07665450000002,-0.45,2.119605118,-16.299947,0,1.408100333,3.57863233063432,1.2939629189321,-0.099,0.768880332691635,0.276542698,0.579511546908256,0.381195983714414,1.829611488,0.415047205
1,2.25,1956.601258,404.1209525,0.246710633,2.65,5.438063796,0.0175,-0.142,-10.07983894,-0.101839652,-0.162591766,0.0682,101.7,85.5,8.10283510000002,-0.65,2.031845741,-18.54957,0,1.409425333,3.60885358367183,1.13678793170633,-0.0906,0.749327111480694,0.266237586,0.535916266780548,0.337627118282877,1.940237423,0.260610633
1,2.75,1962.3757815,405.2577201,0.213030434,8.8,5.442500574,0.00999,-0.03225,-9.119499237,0.50736546,-0.428302773,-0.0291,101.7,85.25,8.15940650000001,-0.275,2.217665877,-25.27729667,0,1.393528667,3.54666118544866,1.10719854887435,-0.0852,0.681313510067135,0.253735256,0.565982323928937,0.337064465644185,1.91768609,0.322783903
1,3.25,1964.076249,405.0710792,0.205966087,11.5,5.429718212,0.000124,0.256,-11.92496153,0.355076326,-0.114204993,-0.0556,101.7,86,7.75791615000003,-0.525,2.391754108,-20.40535,0,1.39088,3.6745457661913,1.10169716231945,-0.0787,0.648302482642169,0.246056456,0.514849739244374,0.339194753791977,1.793195823,0.176470259
1,3.75,1958.690551,404.1252088,0.42522577,13,5.538658597,0.00457,0.223,-3.793473367,0.34800652,-0.0158,0.0318,101.75,86.5,7.48477610000003,-0.5,2.200059044,-20.94661333,0,1.389555333,3.88235820989807,1.3222665850636,-0.0931,0.743249520686021,0.270194923,0.605945606469756,0.359812799939079,1.977696017,0.390876266
1,4.25,1963.9186035,404.0596715,0.204496624,10.2,5.658004325,0.0142,0.335,-4.746427818,0.358670702,-0.0205,0.0888,101.8,87.75,7.46878880000003,-0.575,1.816297379,-16.18812,0,1.400152333,4.00346897789709,1.69609474945771,-0.0961,0.728157404686651,0.278571163,0.632775434889819,0.355169487709741,2.068277406,0.277079559
1,4.75,1962.956829,405.4322779,0.193595004,14.7,5.40125751,0.0313,0.435,-5.168481715,0.976024825,-0.119107815,0.0421,101.8,87,7.02639960000005,-0.275,1.720507044,-18.34647233,0,1.388230667,4.00287551485585,1.70184479055182,-0.105476198,0.708504194059569,0.284916887,0.608650730715079,0.36963764553952,1.957835176,0.149293653
