DOY2,HR2,USTAR,TA,WS,NEE,FC,SC,H,SH,LE,SLE,G,TS_1_1_1,TS_1_2_1,RH,CO2,VPD,NETRAD,H2O
1,0.25,0.1475,18.8225,1.6195,3.5885,3.796,-0.0215,-32.052,-0.4115,12.746,-0.3415,-10.877,20.564,21.3215,73.017,342.7385,6.07,-42.0405,15.219
1,0.75,0.1635,18.7495,1.626,3.203,3.458,-0.027,-27.557,-0.129,9.225,-0.506,-10.5655,20.494,21.2655,72.178,341.8755,5.7,-41.719,14.7525
1,1.25,0.172,18.612,1.719,3.2475,3.441,0.0025,-30.551,-0.222,11.1645,-0.9745,-10.668,20.346,21.2575,72.891,342.0875,5.81,-43.397,14.4825
1,1.75,0.185,18.521,1.716,3.574,3.781,0.012,-32.312,-0.397,10.357,-0.5185,-11.249,20.193,21.228,71.37,341.5005,5.79,-44.725,14.315
1,2.25,0.1705,18.3565,1.7325,3.52,3.691,0.045,-32.947,-0.367,9.6115,-1.3305,-11.1985,20.0565,21.2105,71.998,342.9835,5.74,-45.016,14.077
1,2.75,0.1795,18.403,1.729,3.4505,3.652,0.033,-32.844,-0.554,12.595,-0.098,-12.236,19.895,21.215,72.8815,342.0855,5.785,-46.115,14.093
1,3.25,0.163,18.2285,1.6495,3.3595,3.4115,0.021,-32.692,-0.1815,8.873,-0.168,-13.038,19.762,21.195,73.9655,342.534,5.665,-45.8695,14.212
1,3.75,0.172,18.2015,1.6865,3.607,3.858,-0.004,-38.693,-0.3055,10.838,0.1665,-12.957,19.6385,21.1875,74.2835,342.652,5.655,-43.862,14.435
1,4.25,0.182,18.055,1.718,3.872,3.7565,-0.0085,-37.98,-0.072,13.191,-0.118,-13.3385,19.569,21.158,76.74,342.3635,5.41,-45.9015,14.14
1,4.75,0.184,17.943,1.809,3.522,3.599,0.008,-33.524,-0.434,10.629,-0.892,-13.5615,19.4445,21.1195,75.5805,342.507,5.39,-45.979,13.9975
1,5.25,0.173,17.902,1.784,3.2635,3.6315,-0.005,-33.425,-0.4085,9.033,-0.5745,-13.167,19.36,21.096,74.6945,341.0045,5.51,-47.004,14.0275
1,5.75,0.173,18.011,1.766,3.676,3.685,-0.036,-37.621,-0.256,9.782,-1.037,-13.8335,19.2755,21.093,73.464,340.984,5.7,-47.949,13.6445
1,6.25,0.158,17.906,1.716,3.512,3.688,0.0665,-34.5345,-0.3785,9.15,-0.2375,-13.964,19.236,21.089,73.7895,340.992,5.7,-48.3815,13.2265
1,6.75,0.175,18.13,1.8115,3.51,3.633,0.0215,-35.884,-0.3535,7.258,-0.78,-14.2995,19.2115,21.0975,74.04,341.499,5.325,-48.741,13.4095
1,7.25,0.194,18.106,1.781,3.273,3.449,-0.042,-37.78,0.149,9.926,-1.2115,-14.631,19.1435,21.065,74.939,340.7775,5.76,-47.506,13.5175
