DOY2,HR2,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CO2_1_5_1,CO2_1_6_1,CO2_1_7_1,H2O_1_1_1,H2O_1_2_1,H2O_1_3_1,H2O_1_4_1,FC_1_1_1,SC_1_1_1,G_1_1_1,H_1_1_1,LE_1_1_1,SH_1_1_1,SLE_1_1_1,WS_1_1_1,WS_1_2_1,USTAR_1_1_1,PA_1_1_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,TA_1_7_1,TA_1_8_1,TA_1_9_1,TA_1_10_1,TA_1_11_1,TA_1_12_1,TA_1_13_1,TA_1_14_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,NETRAD_1_1_1,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,NEE,RH_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,RH_1_3_1,RH_1_2_1,TS_2_1_1,TS_2_2_1
1,0.25,407.7067,419.003275,409.7125,392.895975,392.7915,392.876,392.928,1.4166375,1.6878495,1.5443215,1.544011,0.6678899,0.1785402,-3.9207,-3.035829,3.0446985,1.9995845,0.939390675,3.989981,0.89,0.75642585,95.206345,-5.8610005,-4.659875,-4.54388875,-4.2975,-4.607,-5.12375,-4.455,-5.06625,-5.17325,-4.862,-5.1565,-4.7955,-1.5875,0.12875,0.6738637,0.928937925,0.923,2.139,3.023,-4.4585,0,0.1378573,0.11755575,1.604,0.64890265,88.441665,-0.3531817,0.3100885,280.9288,291.3354,96.17334,96.05666,0.42522145,0.7059059
1,0.75,406.40935,419.1134,409.725325,392.75325,392.9465,393.0085,392.905,1.4491025,1.7049365,1.5508455,1.5464965,0.597395,0.2324724,-3.92019725,-3.7849885,3.40211625,2.1279675,0.701939025,4.034,0.9245,0.7374935,95.1969725,-5.825557,-4.703621,-4.59615,-4.339,-4.776,-5.315,-4.639,-5.161,-5.205,-4.868,-5.19275,-4.69725,-1.6065,0.118,0.67645665,0.92767155,0.9335,2.12675,3.02525,-4.481354,0,0.1304676,0.1196356,1.50375,0.654805,88.04333,-0.3632387,0.2845628,280.7553,290.6291,95.91,96.43666,0.42506605,0.70544035
1,1.25,406.375475,419.151425,409.460075,392.8715,393.1775,392.978,392.6955,1.387591,1.7117705,1.5670005,1.5601655,0.671384125,0.20461995,-3.926433,-3.76380725,2.9407735,1.942556,0.696857125,4.03575,0.931,0.7582416,95.2110725,-5.879,-4.6772,-4.77643975,-4.3355,-4.67,-5.257,-4.754,-5.1445,-5.181,-5.002,-5.163,-4.7445,-1.59,0.1415,0.68158245,0.932,0.9425,2.1395,3.0345,-4.31134,0,0.1270303,0.120075875,1.948,0.712344825,87.78095,-0.3398451,0.274899,282.2211,291.3217,96.10998,95.67666,0.42394555,0.7061414
1,1.75,403.3287,419.2031,409.759425,393.15225,393.131,393.037,392.8825,1.39131875,1.708664,1.5629615,1.5545735,0.67466355,0.2178858,-3.92873725,-3.2073115,2.2826495,2.53009725,0.7300017,3.967,0.947,0.734,95.204235,-5.745224,-4.6675,-4.598,-4.166,-4.601,-5.117,-4.742,-4.9695,-5.012,-4.909,-4.995,-4.845,-1.626,0.1225,0.6780067,0.9271371,0.94,2.147,3.026,-4.346434,0,0.12370825,0.12123525,1.57125,0.7230008,87.9549025,-0.3461458,0.2867738,282.7132,290.4905,96.08668,95.52333,0.42317555,0.7060761
1,2.25,404.9581,418.881175,409.36465,393.283,393.049,393.1645,392.6515,1.37904725,1.6968585,1.5567485,1.551467,0.58106065,0.20735655,-3.909045,-3.9377875,2.27050075,1.80409875,0.7629406,3.84235425,0.9225,0.74482505,95.1987,-5.736667,-4.842,-4.62375,-3.9915,-4.826,-5.088,-4.907,-5.038,-5.1265,-4.992,-5.168,-4.8105,-1.626,0.1195,0.677705525,0.9327112,0.9415,2.1545,3.016,-4.049,0,0.132638875,0.122881525,1.5555,0.639902875,87.96547,-0.2943296,0.2634184,283.2505,290.4499,96.08669,95.67996,0.4242671,0.7053161
1,2.75,405.1375,419.157125,409.57995,393.3606,393.1355,393.212,392.5715,1.383707,1.6878495,1.549292,1.542147,0.615,0.17600825,-3.90479725,-2.5058425,2.2549845,1.652993,0.815259675,3.9168315,0.9045,0.75475,95.207,-5.949,-4.852,-4.97275,-4.092,-4.722,-5.1845,-4.799,-5.0525,-5.144,-4.831,-5.147,-4.81,-1.6675,0.13,0.677549975,0.9303383,0.9375,2.1485,3.0155,-4,0,0.13225,0.129667625,1.37825,0.6409881,88.334095,-0.2652776,0.2432482,284.1501,291.1049,95.94334,96.27998,0.42352745,0.7053619
1,3.25,403.921,419.273375,409.380425,393.47265,393.529,393.4195,393.047,1.38557125,1.68319,1.5353125,1.546807,0.6466825,0.206694325,-3.92705925,-2.89418875,2.2197645,1.8932775,0.994960825,4.019909,0.866,0.716040575,95.19925,-6.06293575,-4.9968875,-5.007,-4.3435,-5.004,-5.419,-4.863,-5.267,-5.45,-5.077,-5.4465,-4.8395,-1.7435,0.14,0.676843875,0.927443,0.93,2.143,3.0175,-3.9813645,0,0.143662125,0.1623282,1.7295,0.70516215,88.82166,-0.2718693,0.2363558,283.4164,291.6235,95.77334,96.33334,0.42369415,0.70634955
1,3.75,406.05675,418.36725,409.682025,393.788,393.9805,393.961,392.926,1.37842575,1.685985,1.550535,1.554884,0.57377635,0.2559244,-3.918591,-3.036735,2.1858925,2.85406825,0.9661298,3.907475,0.8705,0.7015,95.1993,-6.0894755,-5.0985,-4.932,-4.5765,-5.176,-5.583,-5.193,-5.4925,-5.575,-5.322,-5.5655,-4.934,-1.761,0.1175,0.67547435,0.9338744,0.9275,2.136,3.0055,-4.08294225,0,0.149169825,0.17075,1.38875,0.7079595,89.322595,-0.3125758,0.2227503,283.6177,291.5168,96.18665,95.87334,0.42201915,0.7031944
1,4.25,403.9347,418.870575,409.448875,393.80625,394.2985,394.112,392.923,1.374698,1.6856745,1.5483605,1.553331,0.606,0.2443773,-3.9342425,-2.27,2.24974275,2.714991,0.708212525,3.9597115,0.844,0.7370415,95.22,-6.072,-5.14,-5.06152625,-4.6985,-5.073,-5.769,-5.256,-5.6395,-5.717,-5.236,-5.7045,-5.038,-1.7155,0.121,0.6728602,0.9271261,0.927,2.129,3.0015,-4.0066145,0,0.138349125,0.19475,1.61275,0.7046,89.06562,-0.3635977,0.2451957,285.1498,291.355,96.72999,95.79001,0.4236626,0.70428575
1,4.75,404.2033,419.073525,409.5514,393.988425,394.425,393.6905,392.2765,1.368795,1.682257,1.557059,1.558302,0.69359785,0.218633425,-3.92624975,-2.6612655,1.82208225,1.9355705,0.8377066,3.94252775,0.9045,0.71279625,95.209595,-6.0771385,-5.41075,-5.24825,-4.7985,-5.367,-5.824,-5.387,-5.7245,-5.803,-5.52,-5.8045,-5.111,-1.7265,0.111,0.674482175,0.931,0.93,2.134,3.007,-3.761192,0,0.13734405,0.205,1.709,0.81852885,88.847105,-0.3479821,0.2594072,283.1157,291.1006,96.39334,95.69332,0.4209328,0.7031796
