DOY2,HR2,FC_1_1_1,CO2_1_1_1,CO2_SIGMA_1_1_1,SC_1_1_1,LE_1_1_1,H2O_1_1_1,H2O_SIGMA_1_1_1,H_1_1_1,T_SONIC_1_1_1,T_SONIC_SIGMA_1_1_1,WS_1_1_1,USTAR_1_1_1,W_SIGMA_1_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,TA_1_1_1,VPD_1_1_1,RH_1_1_1,PA,TS_1_1_A,TS_1_2_A,TS_1_3_A,TS_1_4_A,TS_1_5_A,G_1_1_A,NETRAD_1_1_1,SW_IN_1_1_1,PPFD_IN_1_1_1,PPFD_OUT_1_1_1,SW_IN_1_1_2,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_DIF_1_1_1,FC_1_2_1,CO2_1_2_1,CO2_SIGMA_1_2_1,LE_1_2_1,H2O_1_2_1,H2O_SIGMA_1_2_1,H_1_2_1,T_SONIC_1_2_1,T_SONIC_SIGMA_1_2_1,WS_1_2_1,USTAR_1_2_1,W_SIGMA_1_2_1,U_SIGMA_1_2_1,V_SIGMA_1_2_1,TA_1_2_1,VPD_1_2_1,RH_1_2_1,TAU_1_1_1,TAU_1_2_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_5_1_1,G_6_1_1,G_7_1_1,PA_1_2_1,PPFD_IN_1_1_2,PA_1_1_1,LW_IN_1_2_1,LW_OUT_1_2_1,NETRAD_1_2_1
1,0.25,-9.4669,358.5790034,0,-4.74524805,-11.299275,3.5242716,0.00891508375,-77.8708,7.23705845,0.0747963725,0.5029,0.0429,0.063246,0.2416166,0.202485,1.801875,0,36.556,98.1585,5.4393,6.0903,6.8816,7.7745,8.8065,-31.3926,-83.8516,-1.9,0,0,0,0,228.77,307.545,0.67525,-4.95417,387.0690517,0.8382484,-4.33686,5.188842,0.0289689,-16.896225,3.891302,0.05808865,0.1048725,0.013566875,0.023186375,0.093638625,0.088592125,-0.7038,0.037846,57.604,-1.9180275,-0.07917169,8.99725,9.12725,9.47725,10.02725,10.84725,8.38,8.83725,9.28175,10.008,10.76175,8.77175,9.06425,9.439,9.9445,10.77625,8.89725,9.21725,9.538,10.07,10.9,-24.61212,-24.566735,-22.8046,-16.0258425,-12.322595,-30.706105,-40.80723,98.14725,0.676,98.01725,257.6495,302.9255,-57.3815
1,0.75,-8.757,358.276761525,0,-2.30283825,-15.6333678,3.518560425,0.01020785,-76.657,7.099575,0.0863219,0.5282,0.0494,0.063246,0.2517916,0.2092712,1.652375,0,37.294,98.19,5.415775,6.0295,6.82065,7.75015,8.8143,-29.572,-83.83,-1.9,0,0,0,0,226.059975,306.2542,0.676,-4.06823,389.0355182,0.71639385,-4.237575,5.126288,0.026933565,-19.5371075,3.832675,0.0581504,0.103762825,0.014854375,0.0232145,0.0969178,0.088635825,-0.7467,0.029065,57.197,-1.6513965,-0.060545005,8.96625,9.08,9.45725,10.02,10.84725,8.32175,8.789,9.22625,9.98525,10.7645,8.71175,9.00625,9.40525,9.93175,10.77625,8.86625,9.18625,9.51075,10.06,10.90725,-24.8566375,-24.6543925,-23.1807825,-16.6151425,-12.683155,-30.307875,-41.07152,98.159,0.676,98.03625,257.6225,301.9545,-59.872
1,1.25,-5.7772,355.9243123,0,-5.146776475,-11.4242,3.2718798,0.0094993675,-74.974885,6.701875,0.08568795,0.4649,0.0553,0.063246,0.2451905,0.2063693,1.64085,0,34.38875,98.19,5.3494,5.9266,6.7625,7.7251,8.8236,-30.01032,-83.2425,-1.8,0,0,0,0,226.67585,305.13,0.676,-4.107945,384.92230225,0.706118,-4.7903313,5.022765525,0.02676991,-21.0812,3.5408255,0.0602832275,0.08211635,0.015197115,0.024079325,0.0926517,0.089625125,-0.89725,0.027291,57.956,-1.79493725,-0.063886475,8.948,9.0645,9.44,10.01,10.84725,8.22725,8.74,9.18075,9.958,10.7645,8.6145,8.97175,9.3525,9.9145,10.77625,8.7845,9.11,9.48075,10.04725,10.91,-24.96021,-24.8815375,-23.1740975,-17.131635,-12.8449275,-30.06621,-41.08144,98.1345,0.676,97.99,256.559,301.41,-61.2655
1,1.75,-11.89545,362.1018622,0,-6.1298542,-10.27885,3.505372,0.01044324,-74.421615,6.6575,0.07947695,0.5611,0.041,0.063246,0.22660305,0.192354,1.491125,0,34.796,98.1875,5.25025,5.85675,6.68725,7.68825,8.82225,-30.8736,-83.4795,-1.8,0,0,0,0,227.250425,305.24385,0.67145,-3.58442025,387.68439425,0.79427135,-8.73062,4.7816755,0.026568725,-20.772972,3.60952085,0.058428125,0.082509925,0.01475765,0.02237315,0.089027135,0.09173785,-1.279825,0.02916,58.3725,-1.57033325,-0.0484778,8.928,9.0445,9.40725,10,10.84,8.1445,8.6645,9.13075,9.93075,10.7745,8.5445,8.92725,9.2925,9.89,10.769,8.70625,9.07175,9.46175,10.03725,10.91,-24.8948425,-25.0219225,-23.2464475,-17.587065,-12.9151675,-30.050965,-41.036625,98.13725,0.669,98.00725,256.623,301.1165,-59.259
1,2.25,-8.571275,354.8229089,0,-3.8870754,-22.7374,3.6229693,0.0111281,-69.7096,6.603413375,0.0853991,0.5091355,0.04325,0.066805625,0.248998,0.214476,1.25425,0,36.056,98.175,5.1905,5.763,6.6105,7.65625,8.83025,-31.19864,-84.498,-1.8,0,0,0,0,225.675775,305.7503,0.676,-4.77062,389.632772725,0.85082075,-5.64995,5.106165,0.02244765,-20.8634134,3.2652935,0.06004919,0.0994019,0.01460895,0.0248986,0.09476605,0.0861838,-1.063625,0.03337625,59.9125,-1.43277675,-0.0517814775,8.91975,9.00725,9.36,10,10.84725,8.0445,8.5745,9.0845,9.9035,10.77175,8.46725,8.8645,9.259,9.8845,10.779,8.6145,9.019,9.43725,10.0245,10.91725,-24.61333,-25.506215,-23.4963375,-18.012765,-12.9517075,-30.70953,-41.017695,98.1545,0.676,98.03175,255.538,300.735,-61.357
1,2.75,-5.882655,360.798084625,0,-1.826772575,-17.02055,3.341857875,0.0107308,-69.01075,6.08927395,0.094868,0.415093175,0.05,0.063246,0.24383095,0.219943025,0.940625,0,35.312,98.175,5.09875,5.69025,6.538,7.62875,8.8325,-29.2672,-81.344,-1.8,0,0,0,0,225.6814,303.779975,0.676,-4.4811275,385.140717625,0.802849375,-4.8916081,4.848042,0.024146025,-21.1905175,2.92925,0.0542483,0.09130395,0.0158342825,0.026453275,0.095697025,0.09038465,-1.23175,0.034375,59.3025,-1.51318775,-0.0427395275,8.8925,8.98725,9.33725,9.98725,10.84725,7.96725,8.519,9.05175,9.87625,10.77175,8.3945,8.80725,9.23175,9.8645,10.779,8.5525,8.978,9.399,10.00725,10.91725,-24.8434525,-25.503715,-23.659615,-18.3814575,-12.9563275,-30.781985,-41.15875,98.19525,0.676,98.068,254.7505,299.5375,-59.889
1,3.25,-6.3002,361.2563648,0,-5.11945595,-13.85192975,3.4494654,0.0109147,-72.5823,5.64989,0.0918899,0.54725,0.049822615,0.070711,0.27525075,0.2141379,0.816925,0,34.5945,98.185,5.011075,5.6358,6.466425,7.596075,8.83125,-29.1052,-83.7284,-1.8025,0,0,0,0,225.48455,304.0383,0.676,-6.0194075,390.1391675,0.8987583,-5.9530264,4.7633538,0.0237083,-18.64565,2.918494,0.06306204,0.1065505,0.0154066075,0.024660625,0.100603,0.09116145,-0.9435,0.04372,56.55,-1.910585,-0.044517485,8.8335,8.96175,9.30725,9.98725,10.85,7.88725,8.4535,8.98725,9.8545,10.77725,8.309,8.73,9.21075,9.85175,10.779,8.457,8.88175,9.34725,9.99725,10.92725,-25.02046,-25.6992475,-23.67729,-18.71745,-12.860495,-31.083525,-41.15719,98.19525,0.676,98.07525,253.825,298.6995,-57.393
1,3.75,-10.13245,359.329354875,0,-6.44453825,-13.815575,3.374576625,0.013649,-73.862,5.8250505,0.0846515575,0.41095,0.049,0.07746,0.249148,0.214476,0.5344,0,35.48,98.185,5.009625,5.60825,6.44135,7.5663,8.83745,-31.17236,-82.288,-1.605,0,0,0,0,224.5366,303.671,0.676,-4.488554,386.58132625,0.86795075,-4.07984,4.68661775,0.02246895,-17.732,2.552832,0.0651023,0.101674,0.0169342,0.0256058,0.09316734,0.091463,-1.05615,0.031894,59.798,-1.11016105,-0.05721475,8.77725,8.93075,9.2745,9.98175,10.85,7.80725,8.3635,8.9345,9.82725,10.77725,8.21175,8.63725,9.15075,9.8245,10.779,8.368,8.81725,9.31075,10.00175,10.9245,-25.118075,-25.74901,-23.81912,-19.006,-12.848315,-30.82005,-41.13678,98.15,0.676,98.02725,255.291,299.002,-57.0835
1,4.25,-6.3718,364.4313906,0,-3.261,-13.971062375,3.6979384,0.014819,-67.5446,5.5618345,0.083666,0.576025,0.056025,0.07746,0.26091025,0.214476,0.5521,0,34.3355,98.2,4.9294,5.621,6.4316,7.5382,8.837,-31.811455,-84.798625,-1.9,0,0,0,0,223.96125,302.4,0.67045,-4.30834175,393.73925525,0.9051831,-5.25141,4.6893835,0.02689845,-18.82303275,2.3887365,0.071050625,0.10411585,0.01531605,0.02533265,0.09743825,0.09370645,-1.19725,0.0278895,59.19725,-1.459637,-0.075582775,8.7345,8.8925,9.2545,9.97175,10.85725,7.73175,8.2845,8.88625,9.78725,10.7745,8.14175,8.57,9.1045,9.79725,10.77175,8.28175,8.7745,9.298,9.98175,10.919,-25.14654,-25.714445,-23.8224625,-19.2679275,-12.9823675,-30.710395,-41.48683,98.1335,0.671175,98.01075,253.015,298.4315,-58.1745
1,4.75,-10.38385,362.2996427,0,-4.35087055,-9.70655,4.0659218,0.0121478075,-66.2883,5.532735,0.083666,0.5683,0.054125,0.073241875,0.248488,0.206736375,0.6645,0,34.2405,98.255,4.82735,5.573,6.428075,7.507875,8.835875,-29.69337,-82.08275,-1.9,0,0,0,0,223.253,300.98175,0.676,-4.865148,386.9972324,0.8165189,-6.37939375,4.8600731,0.02604715,-18.700587425,2.1285925,0.065992575,0.08645575,0.0149598,0.025730175,0.0957212,0.094493675,-1.361675,0.0326115,59.5695,-1.188825725,-0.0474412875,8.67175,8.87425,9.24625,9.959,10.85725,7.649,8.22175,8.84625,9.75,10.759,8.069,8.50725,9.08175,9.78,10.77175,8.19725,8.7,9.24725,9.94725,10.91075,-25.70005,-25.9302475,-23.726485,-19.50161,-13.0462075,-30.52088,-41.809625,98.17075,0.676,98.03525,252.4875,298.449,-59.3725
