DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1,TS_2,TS_3,TS_4,TS_5,NETRAD,PPFD_IN,PPFD_OUT,SW_IN,SW_OUT,LW_IN,LW_OUT
1,0.25,425.647754,7.529394,2155.0777435,0.47365425,3.14705925,-3.74008,-17.6239355,-2.813928,0.6503645,0.060368,-0.0639585,0.272717,0.0478465,101.76575,82.9,4.12475,0.339991,10.5521455,0.21661725,7.487083,3.6928335,7.86899975,8.356667,9.163333,-41.0235015,0,0,-3.071895,0.441176,298.48681,328.937842
1,0.75,426.327928,7.634222,2198.661418,0.3163605,-0.064938,-3.72211675,-17.71155975,-2.3169715,0.674894,0.0628015,-0.06972725,0.26205225,0.054745,101.7635,83.8,3.94425,0.2894825,10.05062025,0.214735,7.49191675,3.28416675,7.85091675,8.3541665,9.16249975,-40.20359675,0,0,-2.875817,0.441176,297.2293715,327.5993195
1,1.25,426.6084195,7.27068975,2198.3293095,0.33229575,2.82798,-3.75203075,-18.324803,-1.9654995,0.62798,0.058133,-0.066266,0.2582105,0.054878,101.77425,84.4,3.82425,0.232718,9.8963905,0.20691975,7.49775025,3.04025,7.83583325,8.346667,9.16,-39.4791755,0,0,-2.875817,0.367647,298.72779,327.123832
1,1.75,426.0941865,7.39581675,2182.7522515,0.57355125,3.7539535,-3.73200725,-19.442449,-2.285992,0.713769,0.058389,-0.063661,0.2625715,0.05131975,101.78,84.4,3.5455,0.228416,9.4286695,0.219732,7.504417,2.96474975,7.8501665,8.34249975,9.15750025,-38.1120585,0,0,-2.941176,0.294118,301.768042,326.736485
1,2.25,425.664991,7.89438,2174.84558775,0.34528775,-2.821176,-3.7159765,-19.744536,-2.976536,0.656646,0.056323,-0.06723725,0.267829,0.050285,101.782,85.85,3.3595,0.22481975,9.2933595,0.21422575,7.491,2.62275025,7.842167,8.343333,9.156667,-37.1089905,0,0,-2.810458,0.367647,302.1128665,325.737568
1,2.75,425.96946375,6.932818,2196.50304775,0.200161,1.555942,-3.7068005,-17.8180805,-1.19199425,0.6818045,0.052919,-0.067796,0.26585175,0.051763,101.796,85.75,3.0435,0.1921595,9.0686575,0.199842,7.48874975,2.5339165,7.85525025,8.34750025,9.1616665,-33.39123525,0,0,-2.794118,0.367647,301.9068795,325.4177765
1,3.25,426.0173525,7.1388955,2169.5582145,0.4132825,3.720583,-3.692027,-17.290306,-1.10571425,0.651031,0.0559955,-0.06419075,0.26115725,0.05260575,101.78425,85.55,2.9385,0.1737695,9.08607975,0.195169,7.48783325,2.30366675,7.863417,8.35,9.14916675,-33.189534,0,0,-2.794118,0.441176,302.43774,324.3972535
1,3.75,425.19029575,7.5052445,2181.619238,0.49946475,-0.475403,-3.66865775,-16.473168,-1.843193,0.65246625,0.0561295,-0.066332,0.282021,0.053812,101.77375,85.7,2.84075,0.1767915,8.730669,0.19265,7.4933335,2.161083,7.83175,8.33166675,9.15249975,-33.0766585,0,0,-2.679739,0.367647,301.6262155,324.4502795
1,4.25,425.571049,7.374799,2176.5398025,0.46805875,2.90232975,-3.68847275,-15.913019,-2.0888265,0.65152025,0.05805225,-0.0646405,0.30311875,0.05690725,101.7505,85.4,2.80175,0.178738,8.757303,0.1896835,7.510333,1.938833,7.83925,8.33,9.1558335,-29.88268325,0,0,-2.679739,0.367647,302.7941295,323.1483795
1,4.75,425.42310375,7.14423425,2217.32902675,0.3425765,5.3475025,-3.68560825,-15.1855255,-2.235414,0.68249225,0.05527725,-0.05507275,0.262291,0.0515955,101.74525,86.65,2.69725,0.166649,8.41996375,0.194098,7.50524975,1.65191675,7.789833,8.3025,9.156667,-29.56681125,0,0,-2.810458,0.3308825,302.6340165,323.3796295
