DOY2,HR2,CO2,H2O,CH4,FC,FCH4,G,H,LE,WS,USTAR,TAU,V_SIGMA,W_SIGMA,PA,RH,TA,VPD,T_SONIC,T_SONIC_SIGMA,TS_1,TS_2,TS_3,TS_4,TS_5,NETRAD,PPFD_IN,PPFD_OUT,SW_IN
1,0.25,511.9156202,13.013306875,4262.58991,4.252277325,157.48112675,3.5008715,20.6426906999999,28.2604707,6.497109525,0.472197025,0.013352675,0.988227425,0.517163975,102.871,99.3633,10.53755,3.701564975,16.171642125,1.1554531,13.042633175,13.057874825,12.904575,12.590933175,12.47479165,-4.22427805,0,0,-0.267499999999999
1,0.75,516.5837041,12.649106,4432.044998,3.2839471,275.531421,2.807867425,53.3345005,51.182403175,6.70385675,0.486261775,0.00567049999999999,1.022087,0.5744004,102.871,99.4172,10.480175,3.53183135,16.1628195,1.073758575,12.990066825,12.999916825,12.897016825,12.602174825,12.480508175,-3.529823625,0,0,-0.3095
1,1.25,500.4479165,12.5857729,5062.98008,7.35683159999999,204.2479986,2.311384375,35.3586197,30.4310488,7.2098605,0.515051499999999,0.01186785,1.0732557,0.6039905,102.88675,99.6772,10.183525,3.163523225,16.016531375,1.400904975,12.926258,12.93758335,12.840324825,12.616016825,12.4875125,-3.724436425,0,0,-0.31475
1,1.75,504.3759137,12.5604714,4942.55704795,4.00726804999999,199.786405075,1.7410707,24.2923489999999,28.437906075,7.156423675,0.538426025,0.00796,1.1616327,0.634176375,102.88625,99.7331,10.13102,3.11723125,16.3200988,1.023517125,12.858717,12.877025,12.801150175,12.629942,12.493295675,-3.418679575,0,0,-0.256999999999999
1,2.25,506.835708625,12.696275375,5087.05369255,2.528313475,358.394257125,1.426343425,29.932065,27.86176095,7.7151591,0.548374849999999,0.0041242,1.1646035,0.6443801,102.9015,99.9914,10.0360725,2.904175,16.186371,1.376922,12.797624825,12.807191825,12.763308,12.63815835,12.497241825,-3.522975575,0,0,-0.122249999999999
1,2.75,502.0157073,12.63341635,4351.9235048,3.297172,268.043656375,0.673841999999996,16.6593033,30.203862,7.17678669999999,0.553960799999998,0.00670127499999998,1.19500195,0.71400895,102.906,100.069,9.76509,2.8214892,15.939262,1.311641,12.694133,12.782133,12.755867,12.6402002,12.5068,-4.079841375,0,0,-0.120000000000001
1,3.25,506.69943945,12.34664345,4680.52080375,4.048179325,124.003668,-0.1165896,26.2119575,16.26734285,7.06354715,0.532530175,0.010088525,1.203503975,0.681675075,102.904,100.16975,9.6301,2.796104,16.10824845,1.808105,12.5688666,12.7317334,12.732267,12.634733,12.5083,-3.8470422,0,0,-0.154
1,3.75,522.26707715,12.3766003,4920.60932075,3.061779,134.963946,0.230489900000005,11.8060012,36.0127082,6.954135125,0.45658775,0.00123245,1.24916495,0.634735749999997,102.926,100.25,9.728725,3.176426875,16.129011025,1.2273652,12.4238,12.68768345,12.72468355,12.630633,12.5213,-3.9280633,0,0,-0.06
1,4.25,518.7649281,12.3331399,5092.0298646,2.130265,192.8454159,0.251498000000007,13.874567975,34.12890535,6.79679915,0.43831055,0.004352,1.1390646,0.626304999999999,102.933,100.37,9.622575,3.14923435,15.753493,1.112593675,12.267167,12.620733,12.70218345,12.63925,12.523517,-4.24904895,0,0,-0.08
1,4.75,506.285359,12.585515,4595.87856725,2.22154724999999,235.114412525,0.193751274999985,12.542023325,22.842303125,7.26789279999998,0.48849855,0.00779525,1.2121768,0.641198,102.94675,100.41075,9.8472525,3.05785165,16.172514775,1.1594063,12.176566775,12.531191775,12.66404155,12.63290845,12.519345725,-3.37028200000001,0,0,-0.0732500000000002
1,5.25,527.207726,12.569480475,4278.9717438,7.4536816,212.912252375,0.0473371499999915,16.1606168,27.3529048,7.25275917499999,0.508713524999999,0.00747839999999999,1.326372675,0.693472825,102.95025,100.4465,10.0704575,2.97397325,16.11909955,1.45140175,12.095508,12.42604155,12.64091655,12.633508,12.525741775,-2.87239465000001,0,0,-0.139500000000001
1,5.75,513.4841916,11.775417375,4389.2584186,5.3324269,272.837622925,-0.155362400000001,20.5929476499999,36.11518615,7.79832924999999,0.51696015,0.00739779999999998,1.2043954,0.645849599999999,102.9645,100.619,9.67617999999999,3.0653744,15.84876145,1.0242644,11.9726331,12.3312331,12.6203668,12.6321999,12.5345331,-3.360141125,0,0,-0.0837500000000003
