DOY2,HR2,TAU,H,LE,FC,SH,SLE,SC,WS,USTAR,T_SONIC,PA,CO2,H2O,U_SIGMA,V_SIGMA,W_SIGMA,T_SONIC_SIGMA,TA_1_1_1,RH_1_1_1,NETRAD_1_1_1,SW_IN_1_1_1,SW_OUT_1_1_1,LW_IN_1_1_1,LW_OUT_1_1_1,PPFD_IN_1_1_1,TS_1_1_1,TS_2_1_1,G_1_1_1,G_2_1_1,T_CANOPY_1_1_1
1,0.25,-0.0289,-4.05523,3.158315,0.780948,-0.3552185,-0.137273,0.00814,2.06537,0.168426,0.442906,97.6734,402.584,4.46906,0.649114,0.575621,0.214951,0.170724,-0.707099,81.2723,-19.4559,-1.00984,0.6379705,288.8175,307.6215,0.1110665,0.514445,0.463436,-7.571005,-8.079125,-1.889
1,0.75,-0.0316,-4.280055,3.17893,0.660766,-0.253318,-0.0271,-0.00886,1.78692,0.185551,0.3054665,97.66485,402.548,4.450935,0.71272,0.6269,0.252837,0.174166,-0.790666,81.1402,-18.7906,-1.101795,0.5022875,289.3285,307.863,0.116017,0.506026,0.4533905,-7.62854,-8.040995,-1.9595
1,1.25,-0.03,-3.19395,4.36631,0.7308,-0.2524285,-0.1268085,0.0049,1.96796,0.16923,0.341229,97.6446,402.1985,4.42081,0.673232,0.607927,0.270791,0.172682,-0.913993,81.2431,-19.61495,-1.06499,0.583963,285.79,306.5875,0.1129815,0.50126,0.4468005,-7.698865,-8.07525,-2.2705
1,1.75,-0.0373,-5.91902,4.89517,0.7540965,-0.4075,-0.04945,0.01855,1.96689,0.176149,0.436266,97.6489,402.0095,4.383225,0.684965,0.583484,0.24906,0.181869,-0.925491,81.70105,-17.0464,-0.976508,0.566591,288.8375,306.2405,0.108953,0.4923775,0.441671,-7.73544,-8.04342,-2.2215
1,2.25,-0.0355,-5.81534,4.60986,0.697854,-0.26073,-0.01665,-0.002395,2.09002,0.17149,0.209454,97.6647,403.53,4.37896,0.678763,0.586041,0.236771,0.170418,-1.144645,80.6295,-18.4979,-1.050005,0.512419,288.635,306.789,0.1101065,0.4876915,0.4342615,-7.745535,-8.027625,-2.23
1,2.75,-0.0275,-4.41631,4.07262,0.575073,-0.324517,-0.0402,0.0166,2.09724,0.179629,-0.0289,97.6776,402.879,4.38456,0.65325,0.616493,0.228732,0.171164,-1.236235,80.61095,-18.67815,-1.056885,0.5091455,283.8605,306.286,0.1060255,0.5054175,0.4286955,-7.72277,-7.89794,-2.2295
1,3.25,-0.0278,-3.77837,4.64085,0.698661,-0.196007,-0.0278,0.007915,1.90339,0.155295,-0.126202,97.6699,401.3885,4.40248,0.637769,0.596905,0.201879,0.166471,-1.22336,80.1927,-17.1099,-0.980466,0.5341445,288.743,306.7895,0.1087945,0.495055,0.4231555,-7.73514,-7.824,-2.081
1,3.75,-0.0285,-3.86051,4.7077,0.719878,-0.267856,-0.0651,0.00859,2.07754,0.175258,-0.0703,97.6658,403.2175,4.395715,0.666234,0.629434,0.2079,0.160153,-1.320905,81.22475,-16.1401,-0.893815,0.540767,291.1945,306.947,0.107752,0.487244,0.417787,-7.75578,-7.92884,-2.11
1,4.25,-0.0333,-4.44036,4.887795,0.720724,-0.124226,-0.03745,-0.012,2.24564,0.171571,0.0296,97.64,403.542,4.39276,0.693246,0.616547,0.227589,0.161616,-1.28834,81.2708,-15.02675,-0.947915,0.4428175,290.2095,307.0565,0.106653,0.478602,0.40917,-7.751625,-7.941635,-2.1015
1,4.75,-0.0336,-4.246,4.9922,0.638887,-0.1645835,0.0196,0.01065,2.110935,0.1734875,-0.015855,97.6596,403.41,4.39876,0.7061675,0.57879,0.2303375,0.150786,-1.21424,81.9256,-15.0729,-0.972218,0.552274,290.012,307.065,0.109265,0.482424,0.425086,-7.77138,-7.99771,-1.994
1,5.25,-0.03995,-4.83249,5.722975,0.657189,-0.3432225,-0.018,0.0003425,2.217275,0.1850115,-0.172695,97.651,401.8965,4.38119,0.6027835,0.5966415,0.2382735,0.151295,-1.22544,82.2508,-14.9114,-1.05602,0.504906,290.082,306.913,0.107619,0.478686,0.420447,-7.89064,-8.00156,-2.252
1,5.75,-0.03585,-5.29666,5.2902,0.648716,-0.321739,-0.0811,0.004045,2.07332,0.1816925,-0.1682725,97.648,401.927,4.34168,0.6598455,0.6427365,0.2312255,0.1706315,-1.14631,81.5715,-15.9844,-1.07901,0.515513,288.154,306.185,0.106917,0.481032,0.412376,-7.82237,-7.97451,-2.309
1,6.25,-0.03445,-5.39879,4.79267,0.669318,-0.2217095,-0.0544,3.22e-05,2.1347,0.183109,-0.2230465,97.65985,401.62,4.319565,0.687816,0.6015245,0.2177525,0.1719855,-1.16857,81.4433,-17.1463,-1.05341,0.505844,285.504,305.324,0.0998,0.483101,0.403483,-7.74381,-7.96505,-2.563
1,6.75,-0.0365,-4.71279,4.67989,0.7845025,-0.290551,-0.0589,0.00517,2.18282,0.190407,-0.235419,97.6878,401.437,4.34062,0.683152,0.676044,0.252842,0.15229,-1.32454,82.2511,-19.0844,-1.08301,0.510733,287.143,304.965,0.1,0.48696,0.403059,-7.84377,-8.05816,-2.556
1,7.25,-0.04025,-4.82832,4.61669,0.609606,-0.273973,-0.0214,0.007225,2.18861,0.1947275,-0.447144,97.7128,401.607,4.29057,0.749172,0.6341245,0.234636,0.15423,-1.45582,82.615,-16.5855,-0.610307,0.692643,288.184,305.128,1.00587,0.490379,0.405244,-8.09484,-8.08617,-2.538
1,7.75,-0.03625,-4.567695,4.68678,0.55267,-0.0932,-0.0296,0.01,2.032095,0.174436,-0.5582845,97.6946,403.136,4.27537,0.6987465,0.648105,0.2139725,0.147426,-1.4119,82.2434,-12.902,6.32725,3.08337,286.346,306.476,13.5414,0.488985,0.383565,-8.0348,-8.12756,-2.47
1,8.25,-0.0391,-2.92575,8.14308,0.58472,0.226487,0.0329,0.00651,2.19199,0.197975,-0.672276,97.7053,403.289,4.24125,0.803951,0.664665,0.246064,0.144755,-1.38218,81.5541,-4.59134,29.6179,13.0832,281.839,306.963,50.5777,0.495772,0.377547,-8.1324,-8.27841,-2.235
1,8.75,-0.0437,-0.788376,8.999115,0.411168,0.513687,0.14198,-0.00171,2.19129,0.204874,-0.48928,97.7339,403.284,4.331305,0.843965,0.722497,0.266254,0.16849,-1.27276,80.9887,12.0699,62.6946,24.1214,284.187,308.546,104.836,0.499281,0.379239,-7.90319,-8.15271,-1.734
1,9.25,-0.05255,0.2568305,13.1927,0.5231705,0.961218,0.1471495,-0.0223,2.42798,0.2103165,-0.2970575,97.7408,401.865,4.34156,0.8069515,0.7290445,0.3017195,0.162836,-1.2625,78.4636,32.0231,109.137,36.7249,287.059,310.493,174.415,0.502069,0.381132,-7.71052,-8.00164,-1.235
1,9.75,-0.0613,3.38183,15.3169,0.296566,0.950783,0.0771,-0.03025,2.78715,0.225073,-0.104691,97.7713,400.957,4.34402,0.916473,0.871708,0.331189,0.182042,-1.18963,76.364,53.7071,156.162,47.618,286.005,313.304,242.81,0.505599,0.381468,-7.6647,-7.74503,-0.641
1,10.25,-0.06925,4.62578,20.7809,0.143291,1.091245,0.134972,-0.01145,3.051275,0.2418475,0.3676835,97.7923,400.095,4.40527,1.04058,0.899248,0.351583,0.1819115,-0.7015375,75.18565,77.0956,186.3405,58.6679,285.1395,314.377,284.065,0.506158,0.3832995,-7.325325,-7.528225,-0.3905
1,10.75,-0.0643,8.278685,23.0856,-0.0677,0.959715,0.1476795,0.00983,3.140245,0.246306,0.7841715,97.78495,399.911,4.45378,1.06865,0.9686135,0.382075,0.196738,-0.111586,73.6433,86.39525,212.5855,72.2262,286.4395,315.805,340.6055,0.5095215,0.3855115,-7.01002,-7.26801,-0.059
1,11.25,-0.0883,7.18265,26.51375,0.0627,0.9897545,0.141847,0.0018,3.17209,0.282116,1.22854,97.7345,399.9765,4.53799,1.18354,1.04929,0.401991,0.191029,0.09815,71.283,90.9329,227.434,83.55265,285.663,317.2705,378.4975,0.5121145,0.386169,-6.889685,-7.07891,0.142
1,11.75,-0.0969,8.40846,28.9903,-0.104041,0.8455805,0.149672,0.00174,3.373995,0.2811475,1.29348,97.6839,400.117,4.491195,1.10382,1.010935,0.397368,0.204534,0.214737,70.0616,99.03085,239.13,81.4175,286.6245,318.127,365.318,0.512961,0.388595,-6.7572,-6.89304,0.3925
1,12.25,-0.0928,9.09926,30.4588,0.020045,0.840479,0.1200195,0.023,3.32486,0.280458,1.51517,97.6726,400.5835,4.57255,1.11656,1.02211,0.395736,0.208624,0.4998635,68.9941,110.023,255.7925,78.72505,288.2065,319.1955,392.9545,0.5162195,0.392502,-6.638415,-6.66003,0.446
1,12.75,-0.0984,8.02822,30.208,0.114759,0.688993,0.0817,-0.034,3.47101,0.289272,1.54921,97.6192,400.306,4.49853,1.12153,1.07948,0.395999,0.191323,0.5813665,68.9018,109.576,234.1775,78.6103,286.36,319.8755,385.3955,0.5304085,0.3933315,-6.470915,-6.51407,0.5535
1,13.25,-0.105458,6.58159,29.6694,0.0611,0.632518,0.03385,-0.02035,3.45096,0.292932,1.86469,97.6008,400.455,4.497895,1.16431,1.08268,0.394795,0.185923,0.9079905,67.1329,108.3835,207.2685,64.91065,289.523,320.358,337.7,0.5322285,0.4146535,-6.423735,-6.43071,0.541
1,13.75,-0.0885,7.81792,30.2165,0.155642,0.548293,0.0309,0.00383,3.28188,0.270136,2.15177,97.6044,400.673,4.486635,1.10701,1.11074,0.384425,0.181565,1.07514,66.55855,101.8215,193.498,60.2532,289.965,319.599,312.9615,0.5345255,0.41479,-6.376875,-6.427625,0.6785
1,14.25,-0.0909,5.20175,26.95515,0.125146,0.434193,0.04175,0.00163,3.23468,0.271841,2.21784,97.5902,400.905,4.56435,1.09324,1.04014,0.364707,0.17861,1.2173,65.17825,78.56045,172.302,58.86975,291.9555,319.8305,283.5715,0.537142,0.4195065,-6.34373,-6.42401,0.604
1,14.75,-0.0921,4.6561,29.2238,0.300799,0.282298,0.00544,0.0132,3.0707,0.274525,2.51302,97.588,400.798,4.539205,1.03118,1.05771,0.383768,0.164829,1.295265,64.99105,62.32135,152.83,52.5157,290.8395,319.868,232.9235,0.540171,0.4200415,-6.322625,-6.345805,0.5165
1,15.25,-0.0869,-1.27836,23.529,0.425196,0.262386,-0.089,-0.00637,2.97297,0.278585,2.59552,97.5968,400.756,4.5264,1.02074,0.921313,0.362024,0.132836,1.22551,66.02845,43.22725,106.932,38.45335,289.691,318.8555,184.349,0.542001,0.4219835,-6.245,-6.293025,0.4475
1,15.75,-0.0629,-2.97153,19.36795,0.44179,-0.116129,0.00405,0.0012785,3.05325,0.232959,2.53095,97.6011,400.631,4.53162,0.941921,0.854357,0.334058,0.117432,1.20711,66.65505,21.5969,72.2039,25.43975,290.782,316.734,122.1075,0.5486995,0.425377,-6.31426,-6.28324,0.0245
1,16.25,-0.06345,-5.660095,14.8004,0.470992,-0.4337145,-0.031,-0.00243,2.821735,0.232389,2.482035,97.6241,400.281,4.47597,0.8656075,0.784819,0.3141605,0.116047,1.113015,67.3478,1.91851,47.84645,14.2928,289.2145,315.6395,74.88265,0.554726,0.427813,-6.31002,-6.26314,-0.157
1,16.75,-0.0486,-8.10516,10.1463,0.5303465,-0.812737,0.007945,-0.01435,2.48391,0.199505,2.28489,97.6454,400.017,4.49595,0.80755,0.697079,0.267341,0.12437,0.9975065,68.7459,-12.30185,16.42765,5.65673,287.5855,313.6355,28.88975,0.5554115,0.4306185,-6.34713,-6.421285,-0.885
1,17.25,-0.0392,-8.36554,7.40913,0.715781,-0.693216,-0.0621,-0.00402,2.2291,0.185719,1.94977,97.6657,400.154,4.4951,0.72461,0.572684,0.253134,0.168348,0.671975,69.88745,-17.5142,0.6901055,1.21732,287.4305,311.9615,4.237565,0.559239,0.448353,-6.34774,-6.4855,-1.1815
1,17.75,-0.04155,-7.805085,6.02771,0.8053865,-0.632033,0.09055,0.0181,2.20258,0.1854535,1.703105,97.69295,400.943,4.442015,0.6878525,0.6239655,0.247246,0.1697565,0.539352,70.8114,-20.44325,-1.207195,0.4856665,288.228,311.6995,0.2421315,0.5557435,0.4454015,-6.42902,-6.61578,-1.2305
1,18.25,-0.0352,-7.041965,5.512745,0.78264,-0.612551,-0.01595,0.00795,2.003905,0.17345,1.512015,97.71645,400.7455,4.485075,0.655878,0.5334625,0.229988,0.161238,0.2342125,72.9997,-20.60845,-1.17593,0.4590035,284.436,310.852,0.1098085,0.5531305,0.439813,-6.547135,-6.732535,-1.365
1,18.75,-0.0294,-6.15667,5.13922,0.8692065,-0.512762,0.00316,0.00437,2.06419,0.183647,1.42066,97.7047,400.5685,4.50504,0.63607,0.552828,0.232019,0.167346,0.04455,73.7519,-21.22,-1.20418,0.472508,283.005,310.75,0.1068865,0.551593,0.43788,-6.660065,-6.889385,-1.468
1,19.25,-0.03295,-6.01113,5.576165,0.718137,-0.4411715,0.0631,-0.002875,2.26462,0.170492,1.228475,97.72675,401.021,4.49605,0.6419905,0.499874,0.206291,0.1788555,-0.10918,75.5864,-20.23545,-1.170575,0.5077725,283.727,310.408,0.1113865,0.5495415,0.4382685,-6.724525,-7.05496,-1.556
1,19.75,-0.031,-4.246965,5.14121,0.5480195,-0.6868945,0.0272,0.0172,1.99593,0.1687065,1.037605,97.7599,401.9235,4.52916,0.698417,0.5726325,0.2105405,0.2109415,-0.385374,77.1277,-20.12265,-1.20628,0.560998,287.31,310.3365,0.111625,0.548271,0.43826,-6.85044,-7.330585,-1.636
1,20.25,-0.0225,-6.32147,4.77519,0.7818115,-0.421837,-0.0596,-0.001985,1.80018,0.139303,0.846743,97.7729,401.7,4.493175,0.635986,0.520791,0.20791,0.197999,-0.5089235,78.01065,-19.59135,-1.056445,0.51538,289.109,310.031,0.1100985,0.542549,0.4392775,-7.07002,-7.518385,-1.646
1,20.75,-0.02605,-4.72181,3.03994,0.7164545,-0.2894095,-0.03815,0.000633,2.002555,0.1510975,0.6629635,97.7762,402.634,4.48305,0.6546815,0.4831005,0.202799,0.18547,-0.542926,79.4737,-18.1777,-1.164245,0.581362,289.7845,309.648,0.111906,0.533464,0.4439805,-7.372405,-7.592565,-1.7415
