DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,PPFD_IN,PPFD_DIF,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,FC,SC,NEE,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TA_1_1_1,RH_1_1_1
1,0.25,1.1872825,3.6382575,7.3381075,13.78845,10.4127525,99.094675,100.2,430.52875,7.2616375,1.78336,1.83528,0.74193325,0.0921597999999995,1.87365,322.48,327.61175,1.723525,1.2704,2.02011,1.9685,1.2828,1.5498,1.8419925,2.915325,3.7,5.7826,7.35,1.17173975,99.2835
1,0.75,1.175575,3.6337625,7.10494,15.4252,12.103525,99.55815,100.2,430.625,7.20639999999999,1.78798,1.844415,0.624681749999996,0.110115,2.01189,322.294,327.39975,1.87089,1.3181,2.37704999999999,1.8801525,1.2735,1.5460575,1.885175,2.9,3.7,5.8,7.3674825,1.18771225,99.2335
1,1.25,1.139745,3.7481975,7.120155,19.629275,12.019675,99.7211,100.2,430.528,7.1512375,1.7867175,1.8463875,0.86626,0.169154,1.88326,322.90225,327.3,1.7307025,0.960935,2.023765,1.8649525,1.30315,1.570435,1.92645,2.9242,3.7,5.8,7.38185,1.21223725,99.1335
1,1.75,1.13078,3.7056525,7.12416,23.6064,12.07495,99.5982,100.2,430.816,7.03153,1.7881825,1.8338325,0.640104249999998,0.16798275,2.0320675,323.2195,326.478,1.593675,1.200725,2.0037,1.8427025,1.3,1.55,1.894875,2.91955,3.7,5.8,7.3412325,1.181825,99.3
1,2.25,1.15848,3.814705,7.12362,9.07250249999998,12.030675,98.941225,100.2,431.099,7.13582999999999,1.80461,1.85156,1.0603,0.12831625,1.7791375,322.28,326.228,2.713325,0.966590499999999,2.7488,1.83135,1.3242,1.56125,1.91205,2.91485,3.7,5.8242,7.3725,1.1742775,99.6835
1,2.75,1.16518,3.980775,7.22588,14.0775,9.296925,99.40045,100.2,431.252,7.18235999999999,1.78908,1.847545,1.068395,0.141627499999999,1.8704275,322.08725,325.73375,2.1211875,1.10554,2.3975125,1.84127,1.308,1.565815,1.91205,2.9242,3.7,5.8,7.3725,1.1818225,99.825175
1,3.25,1.158755,3.97673,7.33825,13.7499,8.17516749999999,99.132875,100.2,431.009,7.20556499999999,1.8097575,1.8500375,1.3456,0.210570999999999,1.9213675,320.5,326.15,1.743675,1.4333475,2.04327,1.83375,1.2956,1.55,1.9,2.9019,3.7,5.8,7.324335,1.0973525,99.597325
1,3.75,1.0721325,3.846405,7.1792425,9.16832000000004,7.69359749999999,99.8127,100.208,430.71,7.23905,1.784175,1.8409,1.9844375,0.193579749999999,1.98177999999999,321.47,326.1055,1.8271,1.1294225,2.3828075,1.81567,1.31205,1.55,1.917,2.9242,3.7,5.8,7.3725,0.974247500000001,99.685
1,4.25,1.0905,3.8303675,7.2762,10.67605,11.7368499999999,99.09685,100.2,430.698,7.290305,1.79036,1.84597,1.7067725,0.17386725,1.8827375,319.6925,326.17875,2.02394249999999,1.3471,2.111725,1.806,1.283,1.554,1.8835,2.896,3.7,5.775,7.3415,0.994037250000001,99.877675
1,4.75,1.08803,3.689055,6.98337,8.42226,12.2848,99.628975,100.224,430.789,7.18919499999999,1.785465,1.8458525,1.4831,0.1303415,1.8672325,319.01,326.24,1.913045,1.1177425,2.01944,1.8173375,1.3286,1.558,1.8992,2.933,3.7,5.8,7.36315,0.997675000000001,99.9475
