DOY2,HR2,USTAR,TA,WS,H,LE,RH,PA,CO2,H2O,PPFD_IN,PPFD_DIF,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,FC,SC,NEE,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TA_1_1_1,RH_1_1_1,TA_1_2_1,RH_1_2_1,RH_1_3_1,USTAR_1_1_1,WS_1_1_1,H_1_1_1,LE_1_1_1,PA_1_1_1,CO2_1_1_1,H2O_1_1_1,FC_1_1_1,SC_1_1_1,H2O_1_2_1,USTAR_1_2_1,WS_1_2_1,LE_1_2_1,FC_1_2_1,CO2_1_10_1,CO2_1_9_1,CO2_1_8_1,CO2_1_7_1,CO2_1_6_1,CO2_1_5_1,CO2_1_4_1,CO2_1_3_1,CO2_1_2_1
1,0.25,0.66873,-2.151,4.83635,-3.8965,1.1009,88.82325,99.2635,416.5025,4.651975,1.6007,1.74225,-5.686,-0.20769,0.7953625,289.36,304.6925,0.70907,0.30071,0.825485,1.0533,0.95,1.275,1.581,2.4583,3.066667,5.166925,6.8,-1.75444166675,90.8,-3.4626584165,86.02111167,84.9166666675,0.817259675,5.19157462,-4.6818803805,0.707243294,99.20299667,424.586086225,3.98509323275,0.1202647135,0.366362312,3.872125281,0.78862376675,4.0474592775,1.05285582725,0.078123065,342.630833325,342.5469583,342.3906667,342.578499975,342.39666665,342.669874975,342.85583335,345.344083325,423.776818925
1,0.75,0.66931,-2.2214,4.80475,-3.317375,1.16015,89.23175,99.207,416.55,4.6011,1.60915,1.7474,-5.5137,-0.1908475,0.770035,289.63,304.09,0.72194,0.2534,0.863525,1.05125,0.9645025,1.26925,1.575,2.45,3,5.183225,6.833,-1.93655833325,89.95,-3.59149074975,85.91251333,85.54166667,0.746897016,4.859901895,-5.509958188,0.23425175925,99.2110524975,424.628436325,3.937654676,0.152905605,0.17003331825,3.82177183125,0.79042809725,3.78013301475,0.21346328325,0.1376414725,342.82714585,342.36954165,342.37070835,342.3912083,342.38658335,342.46472225,342.77491665,345.4957292,423.88172355
1,1.25,0.6647675,-2.2963,4.7642,-3.0117,1.09005,89.0935,99.219,416.395,4.628325,1.60565,1.75215,-5.566825,-0.183265,0.735245,290.91,304.37,0.7184525,0.24911,0.82314,1.05165,0.95,1.275,1.583,2.45,3.05,5.1833,6.833,-1.92260833325,90.0335,-3.61729483325,84.1835074975,85.475,0.72597483475,5.03402180725,-1.48814140775,0.5155392055,99.15347583,424.51845775,3.9163861085,0.14248319675,0.213769472,3.8015355005,0.76030368775,3.898000571,0.43444647825,0.23800692825,342.6647917,342.39204165,342.38970835,342.379388925,342.3914722,342.619916675,342.79589585,345.4373125,423.83026775
1,1.75,0.655135,-2.2779,4.78465,-3.38425,0.9101725,89.41825,99.213875,416.37,4.5567,1.6058,1.739375,-5.23045,-0.17288,0.752615,290.665,304.005,0.6714,0.2542575,0.7960925,1.055,0.96025,1.269,1.583,2.458075,3,5.183075,6.833075,-1.95160833325,90.500166665,-3.91277358325,84.016840835,86.458333335,0.77845306825,4.65013793175,-3.57441283925,0.42999684675,99.109404165,424.512630775,3.975424268,0.057930347,0.20481169075,3.904015809,0.74138959925,3.650202672,0.3348916675,0.12764609525,342.613645825,342.3729167,342.359388875,342.378458325,342.5280208,342.6131042,342.744937525,345.05070835,423.874923475
1,2.25,0.678305,-2.377,4.87195,-2.8684,0.898675,89.2785,99.2445,416.31,4.5394,1.6206,1.7556,-5.415825,-0.1514525,0.7890725,290.38,303.4475,0.68901,0.2990975,0.8096475,1.04985,0.958,1.283,1.583,2.4667,3.01665,5.1833335,6.833,-2.06392499975,90.6165,-3.96713850025,84.9018883325,87.708333335,0.710472951,4.77748164425,-2.89165675425,0.462789561,99.1639049975,424.7768477,4.190706039,0.07871489325,0.202438835,4.0428228105,0.6913009745,3.6270827265,0.13913698275,0.14081755975,342.66802775,342.396041675,342.399687475,342.425625,342.4969583,342.588291675,342.811374975,345.60816665,424.193474
1,2.75,0.671905,-2.362,4.81005,-2.94475,1.0325,89.816125,99.245375,416.475,4.5182,1.62475,1.7611,-5.5166,-0.166525,0.7783425,290.485,303.3975,0.7254625,0.28071,0.849555,1.0529,0.96667,1.267,1.583,2.458,3.05,5.167,6.817,-2.11957499975,90.5914166675,-3.93896183325,87.067296665,85.916666665,0.618501291,4.822679518,-5.58453277675,0.346099225,99.1514325025,425.206686425,4.0289646065,0.10545602975,0.125935028,3.707322847,0.669213463,3.48841154925,0.67215036275,0.17871540525,342.513354175,342.43572915,342.455250025,342.437291675,342.48835415,342.6461667,342.806583325,346.185937475,424.633146575
1,3.25,0.6719,-2.4499,4.8514,-2.63605,0.994575,89.779,99.3,416.53,4.5171,1.6242,1.75585,-5.42605,-0.15035,0.7603775,289.59,303.41,0.7031,0.29045,0.849965,1.0527,0.967,1.267,1.575,2.458,3.02515,5.1833,6.8167,-2.16849999975,90.7499999975,-3.9100166665,85.08941,86.408333335,0.67474805025,4.67648708975,-2.35698313175,1.86853172375,99.1004250025,425.56774765,3.7701630255,0.09339703625,0.20350995525,3.64603736975,0.69337594875,3.3812358805,1.34651710725,0.15314282125,342.628791675,342.4355417,342.453562475,342.465611125,342.457083325,342.658958325,342.903937475,345.959395825,424.849982
1,3.75,0.6647,-2.4716,4.8036,-3.3471,0.8534,89.5235,99.253625,416.45,4.5194,1.6019,1.7494,-5.1382,-0.15785,0.8113075,289.9575,303.265,0.70763,0.279945,0.80539,1.046425,0.967,1.275,1.575,2.45,3.01665,5.183,6.8167,-2.3402,90.48325,-4.09639283325,84.17575333,86.28333333,0.676986479,4.808740188,-5.6185932055,0.49867830375,99.2485024975,425.73721285,3.738203563,0.0825975775,0.125316762,3.66348352625,0.6814269655,3.644709269,0.93568993125,0.13776448025,342.6522292,342.448083375,342.45844445,342.463729175,342.5343125,342.7872292,343.0374375,346.758208325,424.992954225
1,4.25,0.65349,-2.5329,4.777975,-2.943825,1.0615,89.22875,99.2325,416.41,4.5097,1.61995,1.7536,-5.10535,-0.16826,0.8187675,288.9625,302.705,0.714925,0.27304,0.8348,1.044,0.9665,1.27085,1.579,2.454,3,5.18331675,6.825,-2.29125000025,90.4165,-4.33706558325,84.9500150025,86.05,0.69699804125,5.06354752925,-4.214084061,1.07702235675,99.2018891675,425.71849755,3.72648638375,0.1170635815,0.17650957775,3.6547768535,0.746894259,3.71727669375,1.36194874675,0.20225227775,342.7350556,342.434999975,342.468104175,342.499437525,342.640416675,342.823437475,343.044604175,345.82630555,424.985638975
1,4.75,0.6406,-2.6354,4.7236,-3.32565,0.71997,89.48525,99.211625,416.585,4.4318,1.606925,1.74245,-5.07885,-0.16555,0.8454525,288.42,302.52,0.7219,0.2729375,0.854255,1.04,0.96667,1.275,1.575,2.45,3.01665,5.167,6.8333,-2.369,90.1917500025,-4.48823200025,85.485053335,86.8750000025,0.69190032325,5.0473288235,-7.254146461,1.1681268705,99.1104725025,425.679225825,3.70160879175,0.1089191145,0.1564585355,3.62189376175,0.700485628,3.9027229185,1.64201218725,0.21961599025,342.65177085,342.456937525,342.475458325,342.53839585,342.59935415,342.746000025,342.882916675,346.2806875,424.949729275
