DOY2,HR2,CO2,CO2_SIGMA,H2O,H2O_SIGMA,FC,LE,H,G,SG,WS,USTAR,TAU,U_SIGMA,V_SIGMA,W_SIGMA,PA,TA_1_1_1,RH_1_1_1,VPD,T_SONIC,T_SONIC_SIGMA,TS_1_1_1,NETRAD,SW_IN,SW_OUT,LW_IN,LW_OUT,TA_1_2_1,RH_1_2_1,TA_1_3_1,RH_1_3_1,TA_1_4_1,TS_2_1_1
1,0.25,410.5815,1.201419,2.80647,0.0567073,0.2628472,-0.63785165,-3.297648,-5.9576195,-2.4752015,1.4254405,0.1025859,-0.0092712095,0.51452305,0.4229134,0.079200805,83.764865,-4.804907,57.8965,1.809806,-3.788496,0.45769805,-0.8574235,-31.62988,0,1.125551,231.1932,281.7858,-4.072778,54.96207,-5.8624,86.72903,0.4004113,-0.7258186
1,0.75,410.6517,1.2302855,2.7092905,0.06106382,0.28416705,-0.7574358,-5.404078,-6.8617895,-5.1091235,1.385454,0.1207302,-0.013902795,0.47417765,0.4258444,0.092146315,83.75084,-5.0805895,57.760125,1.838928,-3.856423,0.47061295,-0.8097243,-36.31578,0,0.93568235,227.8555,280.2766,-4.270308,55.322025,-6.4077915,85.862435,0.3354249,-0.7935323
1,1.25,409.9105,1.307669,2.725749,0.06771883,0.3872595,-1.2793295,-5.423279,-6.8951955,-4.5826415,1.3464215,0.11628905,-0.013281835,0.4558873,0.5080764,0.08971461,83.746655,-4.864754,58.71389,1.960818,-3.6705495,0.46978885,-0.9091914,-32.54644,0,0.846541,232.0956,278.1787,-3.9608845,55.73268,-6.188297,85.768025,-0.3881201,-0.9016975
1,1.75,410.7436,1.407284,2.812347,0.06546927,0.2756405,-0.6419443,-4.055466,-7.5666845,-4.9135885,1.4303135,0.10871245,-0.012158705,0.4831799,0.4285645,0.07906862,83.754095,-5.401492,59.22705,1.776163,-4.274799,0.46708025,-0.9390397,-30.15603,0,0.6403462,229.0552,279.3997,-4.607682,56.49247,-6.657894,86.568765,-0.60445885,-0.9654942
1,2.25,410.2072,1.320912,2.746419,0.07419312,0.2862068,-0.5900284,-3.596701,-9.007452,-6.8091625,1.3140155,0.11273115,-0.012041675,0.5212448,0.4454608,0.075774245,83.75931,-5.542087,59.37069,1.927984,-4.2225535,0.5109789,-1.002931,-29.98287,0,0.92844055,224.1785,275.9931,-4.491358,55.92701,-6.567536,86.53049,-0.5565396,-1.00289
1,2.75,411.7495,1.261437,2.6879755,0.06404321,0.2022274,-0.5667111,-3.312662,-8.577713,-3.6151595,1.4524495,0.12091685,-0.01299636,0.46281525,0.44728915,0.08025785,83.76929,-5.837496,59.11037,1.857669,-4.903323,0.41448765,-1.086111,-32.25564,0,1.103394,229.23395,274.0248,-5.13566,55.31524,-7.195758,87.30627,-0.9809079,-1.1467765
1,3.25,411.547,1.38769,2.4947885,0.08090145,0.2307225,-0.8627279,-4.165471,-13.25537,-8.601193,1.347829,0.1023487,-0.010755235,0.47738125,0.40561615,0.07715221,83.77774,-6.082893,57.66898,1.879928,-4.9835715,0.45097395,-1.2587525,-25.48509,0,1.172678,230.7488,273.5241,-5.160653,53.98902,-7.169713,86.96045,-1.1800283,-1.2561065
1,3.75,410.8494,1.1640865,2.540392,0.061185455,0.1643241,-0.7250762,-2.9085355,-6.6927625,-3.316539,1.1930465,0.08471975,-0.01050723,0.42095615,0.41681705,0.07361078,83.756615,-6.4115185,57.85637,1.8089295,-5.2730445,0.4778732,-1.303148,-29.19868,0,1.1514725,237.74685,274.7493,-5.745481,55.05767,-6.766478,86.57759,-1.290982,-1.393788
1,4.25,411.29235,1.4638215,2.5850275,0.06516632,0.2505355,-0.8403362,-3.880255,-10.4016695,-6.9291025,1.3562335,0.09246545,-0.0082558185,0.4265726,0.43815735,0.076142155,83.73188,-6.200839,58.69881,1.8600305,-5.417568,0.4734518,-1.4237115,-26.18727,0,1.096737,233.24175,274.6775,-5.631328,55.82822,-7.1701485,86.62909,-1.6531,-1.501664
1,4.75,411.34705,1.253103,2.590223,0.0677039,0.2911011,-1.00616035,-4.472513,-8.194746,-4.5732745,1.445697,0.100603655,-0.01039948,0.435567,0.43138575,0.077775775,83.746865,-6.325873,57.19125,1.78818,-5.154875,0.4619257,-1.530619,-32.016155,0,0.8966222,228.9943,275.8164,-5.863307,53.58994,-7.300047,87.45022,-2.0254025,-1.6908345
