DOY2,HR2,WS_1_1_1,WS_1_2_1,WS_1_3_1,TA_1_1_1,TA_1_2_1,TA_1_3_1,TA_1_4_1,RH_1_1_1,RH_1_2_1,RH_1_3_1,RH_1_4_1,PA,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,SW_IN,SW_OUT,LW_IN,LW_OUT,USTAR,H,LE,WS_2_1_1,U_SIGMA_1_1_1,V_SIGMA_1_1_1,W_SIGMA_1_1_1,T_SONIC_SIGMA_1_1_1,FC,SCH4,CO2_1_1_1,CO2_1_2_1,CO2_1_3_1,CO2_1_4_1,CH4_1_1_1,CH4_1_2_1,CH4_1_3_1,CH4_1_4_1,CH4_1_1_2
1,0.25,0.5193974185,0.20798672875,0.142892864,-15.409,-15.57052014,-16.87514166,-16.341823105,84.481932015,86.12842322,84.72927071,84.82356888,100.0766527,-1.86908450625,-1.8514575575,-1.414998267,-1.74637224,0,0.14148425,246.5168498,250.0594863,0.172946921,0.99206014125,0.6042122725,1.056653,0.5301605,0.4336045,0.2283285,0.624104,0.512300686,1.43832705175,411.28,473.28,415.84,473.3,2113.7737225,1968.0699785,2118.26094525,1972.738525,2085.75
1,0.75,0.556888026,0.21390889575,0.145983454,-15.4840005,-15.298300635,-16.6575,-16.90808727,84.60794049,86.14269785,84.6595005,85.01608848,100.05128135,-1.83873753,-1.8626159085,-1.416137534,-1.74036806025,0,0.15494012,245.16356675,249.62437695,0.167682985,1.090309361,0.71181868,1.034384,0.54610825,0.43338225,0.234998,0.61596925,0.434919981,1.47183075325,409.76,473.42,416.16,473.44,2102.772368,1970.02,2101.615832,1974.27,2096.25
1,1.25,0.5082206185,0.22826572025,0.152314784,-15.69362042,-15.69841338,-16.884322095,-17.27172751,84.561745765,86.06960903,84.581313375,85.075,100.0771219,-1.835655,-1.88444058875,-1.41097738825,-1.705362776,0,0.085329341,244.0423331,248.0597176,0.1673077695,1.14231530825,0.26432198775,0.99746525,0.524785,0.41885975,0.2222005,0.6073385,0.360859834,1.2872895045,411.36,473.58,414.08,473.58,2102.5686165,1967.9585035,2104.4855885,1972.7,2100.75
1,1.75,0.522897793,0.22159845975,0.137550022,-15.78254906,-15.87354385,-17.09636159,-17.127104935,84.678447225,86.133002,84.80739498,84.8499125,100.1018791,-1.848216,-1.88928986625,-1.424505,-1.7095807575,0,0.124251497,244.6943933,249.0651127,0.18139701075,1.14670556675,0.2696906445,0.96643625,0.525107,0.43568275,0.212996,0.587567,0.485102764,1.190661878,415.32,473.68,413.04,473.7,2119.732192,1963.20393425,2098.793861,1971.405,2101.75
1,2.25,0.491616518,0.233156468,0.11728391,-16.10987434,-16.101,-17.225,-17.26786512,84.946370975,85.67836276,84.883606095,85.05936143,100.10329635,-1.8561,-1.87903667225,-1.529795481,-1.723777918,0,0.118263473,245.83994665,248.0216225,0.164305846,1.69535461375,0.42983546375,0.9295075,0.493604,0.4048125,0.214737,0.6010135,0.524511572,2.18970949775,418.72,473.78,419.16,473.86,2110.8006495,1976.795,2107.1342705,1980.765,2113
1,2.75,0.5065435775,0.22521896025,0.156493963,-16.15366677,-16.2360768575,-17.193,-17.09275,84.72142009,85.9832652,84.759995065,84.925,100.1084948,-1.95154795875,-1.88499874775,-1.452994622,-1.71173470025,0,0.106287425,246.54002125,250.24634705,0.180589792,1.170554201,0.286037077,0.90802,0.518485,0.4186385,0.218879,0.627093,0.29457148125,0.7962781635,418.64,473.9,418.76,473.9,2105.402865,1977.01523675,2119.1815665,1982.045,2121.5
1,3.25,0.5101766995,0.22374767125,0.153315785,-15.85130184,-15.7895938925,-16.9982991275,-16.771636695,84.431175215,86.05205987,84.582340585,85.00038885,100.1303991,-1.947114,-1.9107790365,-1.501785,-1.710410095,0,0.093562874,247.5260494,251.6308441,0.16394707,0.8175255445,0.267523323,0.998389,0.513055,0.396109,0.222262,0.528675,0.4702312285,0.21271510075,413.24,473.92,417.96,473.9,2112.5459435,1976.12299725,2099.686531,1980.78264575,2123.5
1,3.75,0.472140796,0.2166522555,0.127627602,-15.428,-15.559651145,-16.92149925,-16.65053571,84.55639625,85.9891476,84.75582511,85.27288653,100.12751075,-1.9262055,-1.841830048,-1.45978125,-1.731144795,0,0.081586826,245.94468295,249.29516695,0.158651108,0.88144646775,0.3399387295,0.952328,0.513948,0.400499,0.208708,0.563859,0.532103303,0.1833484885,411.2,473.8,418.56,473.88,2103.874292,1972.847664,2099.285828,1975.44155,2114.25
1,4.25,0.43481285075,0.20208,0.123873849,-15.74274948,-15.449439535,-16.88408528,-16.97644821,84.541058575,85.678,84.77174503,84.77464305,100.11843955,-1.9954004775,-1.82469356575,-1.40844247025,-1.727891167,0,0.11919910175,246.63243185,248.18927505,0.15879528675,1.1585489265,0.798558366,1.04569575,0.5395725,0.418598,0.21366475,0.49574625,0.555926711,1.0340646805,410.52,474.2,416.52,474.26,2103.5157945,1974.0086695,2097.854564,1976.78471675,2109.5
1,4.75,0.468380787,0.213006714,0.113446749,-15.488952955,-15.581160035,-17.131,-17.00952971,84.516994875,86.0626776,84.96422548,84.78875033,100.09853075,-1.99785937875,-1.8526427505,-1.487985,-1.7519102525,0,0.09172898225,246.432864,247.74143445,0.17087268925,0.7055515675,0.246022269,0.97136625,0.53384225,0.42443425,0.23255775,0.55382,0.384102677,1.52909503125,412.28,474.62,414.2,474.02,2098.1817605,1977.96598375,2090.074236,1979.96850925,2126
