DOY2,HR2,CO2,FC,G_1_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TAU,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD,V_SIGMA,WS,W_SIGMA,G_2_1_1,TA_1_1_3,TA_1_1_2,TS_1_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1
1,0.25,370.781508,-0.360384961,-7.86125,-23.629005705,2.4388927715,-0.924805455,214.925,269.8,-68.205,98.584765,-0.086,-0.0775,73.52,-0.0650451985,-0.87720324575,-0.2807652345,-2.0045,0.17825,-0.287,-8.3525,-0.5,-0.2,0.5,2.1,4.57475,-0.425,-0.17825,0.3365,1.8665,3.38725,-10.205,-8.592109251,0.1989606135,0.438144452716135,0.27573620325,0.334935968417836,1.33759215975,0.198311489259968,-7.932,-6.714,-9.3168,3.863,1.125,1.64225,2.18225,2.6955,3.22625,3.91425,4.483,5.22275,6.487
1,0.75,369.68631375,-0.275655416,-9.1225,-24.996298025,2.4153456575,-1.087,215.875,269.7,-68.6,98.5637075,-0.089,-0.082,73.9975,-0.041464456,-0.7285946205,-0.23558768725,-1.9895,0.23375,-0.295,-8.51,-0.5,-0.2,0.5,2.1,4.596,-0.5555,-0.19575,0.296,1.8455,3.3745,-10.235,-8.412884319,0.182744739,0.432781803803102,0.260690875,0.319085351167275,1.3596434845,0.203974413875898,-7.9685,-6.95325,-9.8143825,3.86225,1.144,1.62325,2.18225,2.7005,3.2215,3.9145,4.483,5.23775,6.487
1,1.25,369.55367785,-0.27745496625,-9.21476,-27.81167262,2.372372413,-0.97833737275,212.575,268.375,-66.5475,98.552703055,-0.0805,-0.073,73.9275,-0.076576108,-0.87093235925,-0.270126661,-2.0835,0.2215,-0.29062728225,-8.79,-0.5,-0.2,0.5,2.1,4.579,-0.6,-0.19575,0.304,1.87175,3.383,-10.605,-8.85952550425,0.1960091605,0.434690891892937,0.2809159705,0.324,1.353080314,0.199851399847661,-8.0825,-7.2865,-10.2702675,3.87075,1.163,1.64225,2.173,2.7155,3.2365,3.90025,4.483,5.21775,6.487
1,1.75,369.9831813,-0.328686126,-9.29924,-26.9217336725,2.40731900325,-1.137377833,211.025,268.975,-65.07,98.5580002,-0.08025,-0.07,73.945,-0.0395550605,-0.753026825,-0.25214156875,-2.10225,0.19975,-0.289285171,-9.07,-0.5,-0.2,0.5,2.1,4.6,-0.636,-0.2,0.292,1.8865,3.376,-10.465,-8.9771166975,0.224081271,0.464809314665702,0.2675,0.330700140610796,1.291496447,0.199281084,-8.1525,-7.3685,-10.58506,3.875,1.13925,1.628,2.153,2.7155,3.22625,3.8995,4.478,5.21775,6.487
1,2.25,371.12368435,-0.362532008,-9.37292,-25.4868709575,2.39055042425,-0.73940482175,214.275,268.775,-62.92,98.5576752325,-0.07975,-0.0705,74.585,-0.079845441,-0.7504438085,-0.262,-2.088,0.19375,-0.262233287,-9.13,-0.5,-0.2,0.5,2.1,4.58275,-0.60625,-0.2,0.28775,1.85825,3.38725,-10.185,-8.965484534,0.1987912305,0.469479691772045,0.266644968,0.354158292719398,1.25720988675,0.20578063610816,-8.2025,-7.37325,-10.592815,3.846,1.1635,1.64225,2.14825,2.7155,3.2265,3.90425,4.478,5.21775,6.48175
1,2.75,370.034276175,-0.348,-9.404765,-26.3392559325,2.368077582,-1.243645999,214.05,268.4,-60.99,98.57042792,-0.081,-0.07125,74.5075,-0.045894742,-0.6099938785,-0.24382789075,-2.001,0.186,-0.2652559925,-9.325,-0.5,-0.2,0.5,2.1,4.567,-0.649,-0.21275,0.275,1.85875,3.3745,-10.37,-9.15830691,0.204,0.43216593773624,0.269,0.335703113482376,1.28203858275,0.208873117852788,-8.34,-7.3065,-10.762205,3.858,1.15875,1.6525,2.134,2.72025,3.2415,3.8995,4.478,5.21775,6.48675
1,3.25,370.548965925,-0.369983902,-9.3986175,-24.82779751,2.3767151755,-1.4269029575,213.8,268.9,-63.8475,98.570203605,-0.07,-0.075,74.835,-0.040423206,-0.615432592,-0.2810032245,-2.0755,0.18775,-0.282022731,-9.4625,-0.5,-0.2,0.5,2.1,4.57775,-0.625,-0.2,0.275,1.85,3.371,-10.185,-9.41742749,0.20135825675,0.417488804655739,0.2405,0.326295707596347,1.32125,0.186371406883866,-8.3825,-7.15075,-10.8633275,3.85025,1.14375,1.66175,2.14325,2.7155,3.2265,3.8995,4.463,5.21775,6.48175
1,3.75,370.00617835,-0.28334001675,-9.4073175,-24.403685445,2.3063022845,-1.228389057,210.6,268.95,-65.47,98.5885516825,-0.0745,-0.073,75.0325,-0.05833804025,-0.6771015605,-0.2871713845,-2.03625,0.1905,-0.273505062,-9.4,-0.53,-0.2,0.49975,2.1,4.56475,-0.625,-0.23825,0.28775,1.8745,3.355,-10.24,-9.3853543445,0.1998777405,0.417,0.24676626825,0.309093469681907,1.298987284,0.160293658639386,-8.4025,-7.30225,-11.0084925,3.846,1.202,1.66175,2.12425,2.70525,3.2265,3.89,4.463,5.21775,6.48175
1,4.25,369.7451828,-0.2585520605,-9.4338975,-23.95225016,2.29241533525,-1.61822169125,214.475,268.4,-61.375,98.57619803,-0.079,-0.079,75.3575,-0.04490442,-0.702732738,-0.302548967,-2.10025,0.168,-0.25760737725,-9.555,-0.596,-0.2,0.492,2.1,4.5785,-0.5995,-0.28775,0.275,1.84975,3.37525,-10.5,-9.6939205815,0.189985181,0.376037661651556,0.23732546075,0.279383400552031,1.2991836645,0.177856295500094,-8.3825,-7.51075,-10.8677525,3.83325,1.2215,1.657,2.14325,2.70525,3.2265,3.88925,4.458,5.21775,6.48175
1,4.75,370.2159127,-0.2251711295,-9.4511175,-25.8726414675,2.253236941,-1.223,213.55,267.9,-62.6675,98.5957678075,-0.08175,-0.081,75.86,-0.059174117,-0.7001771345,-0.237423855,-2.13675,0.15075,-0.2555558655,-9.6975,-0.6,-0.2,0.4915,2.1,4.5505,-0.55,-0.225,0.275,1.85,3.3865,-10.6,-9.68915980175,0.19389563425,0.387623275874914,0.240353757,0.28420499115955,1.298916613,0.170465852,-8.49,-7.563,-11.01656,3.854,1.1825,1.672,2.1385,2.68625,3.2415,3.8845,4.458,5.21275,6.46675
1,5.25,370.1666917,-0.34067079275,-9.5,-26.060900065,2.258456054,-1.51789377025,212.85,267.95,-61.87,98.554179095,-0.0835,-0.0755,75.66,-0.07065278625,-0.649,-0.195804529,-2.07475,0.16575,-0.27159313075,-9.9975,-0.6,-0.2,0.48275,2.1,4.57425,-0.55,-0.2785,0.275,1.85,3.376,-10.6,-9.683337105,0.2203336825,0.437458498939438,0.253468379,0.329112810495364,1.32619541125,0.197761752394989,-8.5,-7.899,-11.226535,3.854,1.1925,1.68625,2.11925,2.6855,3.2415,3.8845,4.458,5.21275,6.47675
1,5.75,370.330107425,-0.278,-9.5075,-25.76666207,2.222778617,-1.06024786275,214.25,267.4,-58.68,98.53093805,-0.0725,-0.07425,75.5975,-0.04649401275,-0.765394873,-0.25300867,-2.1055,0.16075,-0.2575,-9.895,-0.61275,-0.2,0.46775,2.1,4.575,-0.55,-0.26275,0.275,1.87025,3.367,-10.67,-9.6375160655,0.2221232895,0.425340304932415,0.254271264,0.32289440224321,1.393,0.198267097,-8.5125,-7.873,-11.1948475,3.8375,1.163,1.667,2.1385,2.67125,3.2415,3.89425,4.463,5.20775,6.47675
1,6.25,369.259258325,-0.2565946025,-9.555,-24.942665065,2.228159238,-1.3063251715,215.85,267.75,-59.95,98.5441286,-0.073,-0.073,75.695,-0.0415,-0.553352976,-0.21830635925,-2.0975,0.1965,-0.248942193,-10.04,-0.62925,-0.2,0.48375,2.1,4.58275,-0.5755,-0.2675,0.275,1.87075,3.4,-10.93,-9.489560264,0.214,0.461888747431687,0.257133114,0.346261188209692,1.45900511725,0.199502523723135,-8.59,-7.73825,-11.824745,3.82475,1.115,1.667,2.1385,2.661,3.2415,3.87525,4.453,5.192,6.47675
1,6.75,370.5063192,-0.264,-9.5425,-25.16477571,2.2674719585,-1.21692686175,215.075,268,-57.86,98.5716279475,0.065,-0.02425,75.85,-0.036332646,-0.56731586275,-0.20916914925,-1.73475,0.24175,-0.25425310425,-9.915,-0.666,-0.2,0.46775,2.1,4.5705,-0.6265,-0.272,0.25,1.849,3.349,-10.78,-9.49475810125,0.213276796,0.466069906773651,0.270324752,0.338831182154181,1.418,0.210604598715223,-8.5925,-7.90675,-11.3315675,3.80025,1.0955,1.64275,2.1335,2.661,3.24625,3.87025,4.458,5.197,6.46175
1,7.25,370.5347994,-0.34655299,-9.51265,-21.98848262,2.4103478405,-0.976661036,216.375,268.75,-50.925,98.56966951,5.60875,0.9575,75.6875,-0.0385,-0.2605,-0.12,2.90775,1.032,-0.2726193535,-9.9525,-0.6595,-0.2,0.483,2.1,4.567,-0.72175,-0.2875,0.275,1.85825,3.376,-10.16,-9.4255798645,0.21834913975,0.465948940032779,0.278552146,0.342758638230313,1.356250234,0.202324806735389,-8.58,-7.69825,-11.6615025,3.84125,1.0475,1.62775,2.1335,2.637,3.23125,3.88,4.458,5.197,6.46175
1,7.75,371.25834995,-0.39032038425,-9.5651,-16.271247365,2.543,0.587887629,213.125,270,-15.185,98.5926693675,27.8925,5.06575,75.34,-0.013640164,-0.0700842805,-0.0657058735,15.555,4.354,-0.27689958275,-9.5875,-0.646,-0.2,0.46775,2.1,4.57825,-0.74125,-0.31275,0.275,1.871,3.3655,-9.64,-9.0756484985,0.205017256,0.460888080167893,0.30781678975,0.34381031963654,1.371213461,0.202590759956585,-8.6125,-7.56225,-11.150845,3.8085,1.028,1.6085,2.1335,2.65625,3.21225,3.87525,4.453,5.192,6.46175
1,8.25,374.22557255,-0.65192372,-9.6376375,-5.9900049885,2.619934336,2.6660074355,213.3,274.25,12.7025,98.660044205,64.2475,11.48,73.275,-0.0032726235,0.405,0.0630388415,38.1925,8.8175,-0.31259283575,-9.09,-0.6785,-0.2,0.46775,2.1,4.57825,-0.688,-0.3845,0.275,1.84625,3.364,-8.835,-8.511691893,0.242235416,0.504840256913016,0.361427953,0.379,1.541,0.240604326644389,-8.6275,-7.14025,-10.507065,3.80825,0.98975,1.57925,2.12875,2.637,3.2265,3.865,4.443,5.192,6.4715
1,8.75,376.4999631,-1.0345,-9.645,3.338407882,2.73856422325,5.71956505,209.875,279.55,35.425,98.69,101.15,18.62,71.4075,-0.029888196,0.71634313325,0.2024144295,63.73,14.48,-0.3611022155,-8.3225,-0.662,-0.2,0.48375,2.1,4.575,-0.6065,-0.3295,0.275,1.88225,3.32475,-8.215,-8.443548395,0.268453926,0.589935616,0.429721889,0.444250129994354,1.638,0.269836848855007,-8.645,-6.603,-11.112285,3.8085,1.0185,1.565,2.1335,2.637,3.21225,3.865,4.453,5.20675,6.4615
1,9.25,376.33714885,-1.383816624,-9.655,11.4317358675,2.853519365,9.390521811,208.275,281.575,53.1025,98.689984945,142.925,23.885,69.095,-0.0523966045,0.84575,0.23325,85.15,19.1125,-0.36127386125,-7.81575,-0.6515,-0.2,0.463,2.1,4.53275,-0.529,-0.39875,0.275,1.867,3.32025,-7.55,-7.5381939985,0.3079026315,0.67246452244675,0.580710015,0.508785350186747,1.8689173715,0.295107797,-8.6625,-6.1415,-10.1693575,3.8085,1.05725,1.565,2.12875,2.65125,3.202,3.85,4.433,5.177,6.46175
1,9.75,376.2012065,-1.88665007,-9.66135,19.88407469,3.08531794,11.7155921025,210.425,285.275,70.55,98.72297721,174.85,30.3625,67.11,-0.050295216,0.799410059,0.113037956,106.175,24.18,-0.4181961235,-7.09375,-0.62425,-0.20075,0.483,2.1,4.567,-0.508,-0.32925,0.28325,1.85425,3.38725,-7.055,-6.85049999,0.297,0.664,0.63106767275,0.539907073485799,1.859,0.298,-8.72,-5.51275,-9.1534175,3.783,1.11525,1.589,2.12875,2.65125,3.202,3.85,4.433,5.19175,6.4565
1,10.25,376.6671914,-1.837572612,-9.641955,26.248139975,3.110255443,14.4099453675,210.5,287.75,84.475,98.7605614875,201.325,36.5575,65.8675,-0.08813479175,0.466646323,0.001900709,125.65,28.905,-0.4474825495,-6.90125,-0.56675,-0.2,0.44975,2.1,4.54575,-0.5,-0.3325,0.296,1.8575,3.35425,-6.28475,-6.619123403,0.314170355,0.699824345,0.7249201325,0.567358042156802,1.928082623,0.325821474123484,-8.66,-4.65725,-8.79369775,3.78325,1.17325,1.589,2.1335,2.65125,3.202,3.85,4.418,5.187,6.4615
