DOY2,HR2,CO2,FC,G_1_1_1,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SC,SH,SLE,SW_IN,SW_OUT,TAU,TA_1_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_6_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_6_1,T_CANOPY,T_SONIC,USTAR,U_SIGMA,VPD,V_SIGMA,WS,W_SIGMA,G_2_1_1,TA_1_1_3,TA_1_1_2,TS_1_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1
1,0.25,417.2235606,0.7033454955,5.3859,-1.16480145,5.1058713105,7.7505178335,300.725,312.125,-4.75725,99.991873335,-0.00825,0,90.7,0.064708804,0.292517488,0.133828369,-0.293,1.65375,-0.043783071,0.15825,2.2,1.97425,4.7585,5.36575,5.28725,2.6,2.2,4.117,5.7,4.083,-0.19,0.85001789125,0.486860729,1.06075,1.07050381875,0.819473601274001,3.3261957205,0.537685117033923,-4.2815,-0.40775,0.36051945,5.946,2.838,3.153,3.84975,4.438,4.81925,5.5415,5.9795,6.58525,7.572
1,0.75,417.05755485,0.761271887,-4.7585,-1.56465932775,5.10392656375,8.557743707,300.6,312.1,-4.37675,99.92649988,-0.005,5e-04,90.725,0.06608274725,0.217330057,0.16956707025,-0.23225,1.71725,-0.0351002825,0.05175,2.217,1.92475,4.7335,5.351,5.3,2.6,2.2,4.1,5.7,4.09575,-0.2405,0.886705319,0.480355626,1.05524295658714,1.017718388,0.801723941,3.2505096535,0.505500677617477,-4.29375,0.067,0.39624905,5.94575,2.823,3.138,3.825,4.438,4.78425,5.5265,5.9795,6.58525,7.55625
1,1.25,417.6176521,0.75177804425,-5.29625,-0.9951384595,5.090164135,7.811595961,301.35,312,-4.27125,99.9512902425,-0.006,0.001,90.425,0.0429023265,0.1657888855,0.10169985275,-0.259,1.76075,-0.0400951645,0.13125,2.22475,1.9,4.7335,5.3665,5.30025,2.6,2.2,4.10425,5.7,4.09975,-0.2735,0.60464842825,0.482551953,1.0492978185,0.991597248,0.756,3.2153129,0.500472731238135,-4.33575,0.22075,0.394971025,5.94175,2.784,3.118,3.78575,4.453,4.75425,5.4915,5.9745,6.60025,7.57125
1,1.75,418.13509225,0.713670239,-5.403,-1.035639608,5.31017109425,7.6672221875,301.7,311.575,-4.47125,99.946,-0.006,-0.0015,90.525,0.08043977325,0.2804339815,0.19575,-0.21725,1.788,-0.0445492675,-0.0135,2.2665,1.9,4.717,5.3545,5.283,2.6,2.2,4.10425,5.7,4.096,-0.36,0.629471536,0.4724242835,1.03892846048224,1.033410476,0.72761794645267,3.084049134,0.47950342,-4.42125,0.2155,0.17954487,5.9375,2.764,3.113,3.77575,4.448,4.73925,5.44075,5.95925,6.60025,7.55625
1,2.25,417.91618185,0.642519482,-5.4005,-1.07592173175,5.20033063425,7.58851065175,300.95,311.325,-4.487,99.93225,-0.006,0,90.85,0.055458807,0.316946875,0.1765943965,-0.2125,1.7275,-0.044517509,-0.10025,2.229,1.89575,4.7415,5.349,5.283,2.6,2.2,4.10425,5.7,4.1,-0.459,0.69,0.4547952245,0.97108317162376,0.981,0.729412988017874,3.029020377,0.476,-4.45725,0.39175,0.08801622,5.92925,2.759,3.113,3.721,4.458,4.72925,5.44475,5.95425,6.595,7.556
1,2.75,417.398582,0.621101836,-5.41125,-1.41673781275,5.133,7.579049608,300.325,311.2,-4.367,99.96087239,-0.008,0,90.625,0.058706922,0.381075594,0.16367981825,-0.1865,1.72475,-0.0470866555,-0.109,2.24575,1.8915,4.768,5.33375,5.291,2.6,2.2,4.10425,5.7,4.09975,-0.4645,0.6986503955,0.462108041,0.99704842539529,1.00316189375,0.729362426107383,2.968171387,0.482819069203671,-4.50125,-0.52475,0.099103745,5.93325,2.759,3.113,3.696,4.448,4.7385,5.43,5.944,6.60025,7.55625
1,3.25,417.51642985,0.6950030415,-5.41125,-0.406,5.16243871575,7.4927824515,300.925,311.35,-4.45575,99.97043827,-0.00725,0,90.825,0.082495459,0.3945,0.195948765,-0.20875,1.6855,-0.04617694,-0.0715,2.2585,1.82475,4.754,5.317,5.2745,2.567,2.2,4.133,5.7,4.08375,-0.507,0.620026694,0.46825,1.0155,0.9874476925,0.734817023042253,3.032450669,0.511418696057859,-4.47975,-0.4695,0.076039805,5.9505,2.74475,3.093,3.676,4.443,4.72425,5.43,5.939,6.595,7.55025
1,3.75,417.47944695,0.68150461525,-5.41625,-0.30985953275,4.9955,8.4392412905,301.225,310.8,-3.88275,99.9359107275,-0.005,0,91.05,0.05870816775,0.31296590625,0.1617909615,-0.2035,1.73725,-0.041856885,-0.125,2.233,1.8,4.721,5.3,5.27475,2.525,2.17925,4.1,5.7,4.092,-0.4955,0.49275,0.4647869365,1.019,0.96230595675,0.759621280639241,3.100353025,0.505,-4.48725,-0.31925,0.13279755,5.93325,2.71,3.07875,3.65175,4.43825,4.7335,5.43,5.939,6.595,7.551
1,4.25,417.998,0.6480533895,-5.405,-0.074210744,5.12475,8.77472567875,301.125,310.65,-3.743,99.91686161,-0.006,0,91.4,0.0983126985,0.372,0.198,-0.1815,1.757,-0.0398496705,-0.15375,2.21275,1.83825,4.71675,5.317,5.27125,2.52075,2.17925,4.1,5.6875,4.083,-0.5825,0.56975177975,0.449403401,0.990671106255683,0.97129891775,0.757711314443851,3.104235815,0.474707722260469,-4.541,-0.68225,0.05382949,5.925,2.7005,3.059,3.617,4.41825,4.7485,5.415,5.92325,6.595,7.551
1,4.75,418.05708025,0.6976563925,-5.4035,-1.24336373725,5.03017690375,7.841144089,301.5,310.45,-3.665,99.9687585775,-0.00525,0.00125,91.8,0.065,0.291958149,0.1595,-0.17375,1.71925,-0.04466902475,-0.25325,2.229,1.8615,4.7125,5.3,5.28725,2.50825,2.175,4.1,5.7,4.09975,-0.619,0.3863292495,0.4615,1.01391529626493,0.951,0.754047629132272,3.124355978,0.484710366095053,-4.52925,-0.67725,0.0583774925,5.92925,2.671,3.059,3.597,4.413,4.74925,5.41,5.918,6.595,7.551
