DOY2,HR2,CO2,FC,G,H,H2O,LE,LW_IN,LW_OUT,NETRAD,PA,PPFD_IN,PPFD_OUT,RH,SW_IN,SW_OUT,T_SONIC,TA,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,USTAR,VPD,WS
1,0.25,411.2955,-0.0875403822439873,-16.8157448615162,-9.46753,3.18687497905809,3.40369280540271,229.8,287.6,-70.7175,99.1213,0.057,0.074,76.8518763162416,-3.3205,0.134,-5.36708770975376,-6.8085,-1.0415,-0.5,1.683,1.997,3.647,-0.5,-0.3,1.1525,2.7,3.564,-1.8115,-0.3815,0.547,1.18775,1.783,2.7,3.10325,4.094,5.45,-4.04,-1.6465,-0.03775,0.696,1.357,2.095,2.61725,3.7855,5.288,0.149860505223305,0.279825079705113,2.34065489628899
1,0.75,411.5595,-0.0557920680067002,-17.2660327781335,-10.9731,3.09608827689268,2.82055,228.35,287.85,-69.605,99.0074,0.057,0.074,77.2174170098517,-3.3055,0.1425,-5.71334004420004,-7.4105,-1.067,-0.5,1.6915,2.00675,3.6765,-0.5,-0.2415,1.2,2.7,3.577,-1.81675,-0.4205,0.547,1.221,1.80775,2.661,3.098,4.104,5.481,-3.7065,-1.622,-0.07175,0.71525,1.376,2.10925,2.622,3.78525,5.31325,0.146016646930692,0.29590506528753,2.316755
1,1.25,412.365,0.0660826275427531,-18.9202152075943,-9.51717,3.0146108919008,2.41323696927615,225.65,286.725,-69.205,99.005325,0.058,0.073,76.663542879521,-3.23475,0.11675,-5.45853734575294,-6.98150000000001,-1.1,-0.5,1.7,2.02175,3.6915,-0.675,-0.2335,1.2,2.7,3.577,-1.9345,-0.449,0.5565,1.1775,1.80775,2.661,3.118,4.114,5.471,-3.1,-1.62675,-0.0575,0.739,1.38075,2.12425,2.61275,3.761,5.278,0.13443975,0.289116542794281,2.3769275
1,1.75,412.41725,0.22095725,-18.1943883337295,-9.55367360961312,2.94659613908059,3.24050692141581,228.5,286.6,-68.3575,99.0329739965277,0.05775,0.073,76.7519610804815,-3.245,0.11425,-5.51756760458085,-7.18725,-1.1,-0.5,1.6835,2.00675,3.6765,-0.6665,-0.2415,1.2,2.7,3.57925,-2.233,-0.4395,0.54225,1.202,1.80775,2.676,3.118,4.099,5.491,-3.345,-1.641,-0.067,0.70575,1.4,2.10925,2.603,3.751,5.31325,0.137844,0.294033355541376,2.24369441557634
1,2.25,412.33425,-0.0200436265759743,-19.2808266672473,-10.90965,2.97148445170043,3.221,231.475,286.3,-66.0175,99.0476,0.057,0.07325,78.3954986018574,-3.01,0.14075,-5.65445724900238,-7.104,-1.1,-0.5,1.7,2.017,3.6715,-0.7085,-0.2085,1.2,2.68725,3.577,-2.119,-0.44425,0.59925,1.202,1.79275,2.676,3.118,4.099,5.476,-3.533,-1.61325,-0.0575,0.701,1.3665,2.10925,2.622,3.78525,5.278,0.15131925,0.268701259185154,2.34617
1,2.75,412.6175,-0.0216396493760857,-18.9331374989387,-8.51241,2.97549105964638,3.32892,230.65,286.375,-64.9925,99.06905,0.057,0.074,78.8699764699543,-2.973,0.1245,-5.83890601593952,-7.238,-1.1,-0.5,1.7,2.017,3.6715,-0.8,-0.209,1.18725,2.7,3.6,-2.24225,-0.43,0.6235,1.2115,1.80775,2.676,3.098,4.104,5.471,-3.721,-1.599,-0.05725,0.7295,1.3855,2.129,2.632,3.80525,5.3085,0.1565235,0.28298334730414,2.5841925
1,3.25,411.9745,-0.25407075,-18.0678705562209,-5.376835,2.86924991158959,5.4839325,227.225,286.65,-66.32,98.9506469576823,0.057,0.073,78.6023558415232,-3.0735,0.1345,-6.37724641649435,-7.158,-1.1,-0.5,1.693,2.017,3.6715,-0.8,-0.2225,1.17225,2.68725,3.6,-2.3555,-0.396,0.6235,1.202,1.79275,2.642,3.113,4.119,5.476,-3.796,-1.69325,-0.05725,0.74375,1.395,2.129,2.6125,3.79525,5.298,0.16800575,0.25201379833064,2.53392
1,3.75,412.3855,-0.118190548978653,-16.7289666674748,-6.18717,3.17424468247905,3.92499,229.2,287.475,-66.23,99.0157067710216,0.05775,0.073,78.7578452902156,-3.103,0.1305,-4.89234027638401,-6.6625,-1.1,-0.5,1.692,2.02175,3.6715,-0.80425,-0.22725,1.158,2.7,3.6,-2.27525,-0.4395,0.633,1.202,1.80775,2.661,3.093,4.119,5.476,-3.815,-1.7835,-0.06225,0.7295,1.376,2.129,2.6225,3.77525,5.288,0.144714,0.264110994162135,2.38278
1,4.25,412.549,0.0169718999901521,-17.4385130548258,-9.19869416881869,3.00431739035392,4.48473407950868,227.275,287.475,-64.8025,98.9695607284613,0.057,0.07325,79.244276904388,-3.107,0.132,-5.82898093536858,-6.758,-1.133,-0.5,1.665,2.02175,3.6565,-0.83325,-0.244,1.158,2.6915,3.583,-2.2275,-0.4395,0.643,1.183,1.788,2.65625,3.093,4.119,5.476,-3.702,-1.869,-0.0525,0.739,1.376,2.129,2.6125,3.77525,5.278,0.152750271297382,0.21998886783881,2.48346508728916
1,4.75,412.325,-0.00478316135399105,-17.2421591670284,-8.88838671685655,2.82859812889475,1.86835714150322,224.4,287.15,-67.4575,98.9837670720486,0.057,0.073,79.4858638263207,-3.0975,0.12275,-6.45081323628096,-6.481,-1.283,-0.5,1.6555,2.00675,3.6715,-0.917,-0.24975,1.14375,2.682,3.6,-2.26075,-0.41575,0.643,1.183,1.80775,2.65625,3.093,4.099,5.476,-3.57,-1.9205,-0.067,0.74375,1.347,2.134,2.593,3.76025,5.278,0.146981368105399,0.227171167573321,2.6044
