DOY2,HR2,FC,CO2,CO2_SIGMA,LE,H2O,H2O_SIGMA,H,T_SONIC,T_SONIC_SIGMA,WS,USTAR,W_SIGMA,U_SIGMA,V_SIGMA,TA,VPD,RH,PA,TS_1_1_A,TS_1_2_A,TS_1_3_A,TS_1_4_A,TS_1_5_A,G_1_1_A,NETRAD,SW_IN_1_1_1,PPFD_IN,PPFD_OUT,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,PPFD_DIF,TAU,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_4_2_1,G_4_3_1,G_4_4_1,G_4_5_1,NETRAD_1_1_2
1,0.25,-5.27352,383.957450125,0.55898555,-8.595939,3.692865325,0.01739625,-54.28455,5.2915745,0.072687925,0.3238815,0.039304485,0.0442075,0.1650924,0.1738878,-0.0838175,0,44.483625,98.6152,3.9088,4.7974,6.223425,7.567025,8.90005,-28.3683,-78.763325,-3.34968,0,0,0,0,235.574,308.95525,0.332,-0.3193194,6.714,7.671325,8.83,9.94725,11.0145,6.7724,7.37065,8.63625,9.79625,10.71075,7.62915,8.2625,9.079,10.02,10.869,-15.27969,-25.08559,-21.66022,-4.0723,-3.982175,-2.622625,-1.155275,-1.087,-81.117
1,0.75,-8.4973,381.73461645,0.548363975,-10.80535,3.9488009,0.018763475,-54.4233,5.41896,0.0793685,0.298134,0.046493025,0.047057425,0.1641326,0.167704575,-0.24053875,0,43.7945,98.6065,3.7415025,4.68363,6.1288725,7.54233,8.893935,-28.396375,-78.963375,-3.34968,0,0,0,0,236.238,307.971,0.332,-0.356993975,6.58905,7.554025,8.77625,9.9035,11.02175,6.64985,7.258075,8.5645,9.77725,10.71075,7.5324,8.159,9.01,9.99725,10.88625,-15.249495,-25.6915175,-22.159635,-4.0934,-4.0865,-2.675075,-1.1922,-1.087,-81.06975
1,1.25,-5.258655,385.2753905,0.544607075,-13.294625,3.6791735,0.01757317,-52.583975,5.493325,0.0791995,0.298164,0.047968575,0.0500088425,0.182954775,0.180609475,-0.467375,0,44.69825,98.6,3.59583,4.5989325,6.03066,7.50201,8.9143525,-27.5515,-79.338,-3.34968,0,0,0,0,233.919,307.7455,0.332,-0.35297955,6.39245,7.417175,8.72975,9.86975,11.01175,6.576,7.198825,8.48,9.77,10.71625,7.470525,8.1,8.9745,9.9745,10.8935,-15.423585,-26.4104125,-22.0107975,-4.1294,-4.03605,-2.753825,-1.2297,-1.088925,-80.69725
1,1.75,-5.4258535,383.6190698,0.5581889,-10.16099,3.55288695,0.0183994,-50.58115,5.332225,0.07817375,0.2859925,0.04215595,0.0455025,0.1777865,0.178805,-0.4387975,0,44.260725,98.6065,3.523835,4.520755,6.00783,7.4638,8.887715,-27.576,-79.066,-3.34968,0,0,0,0,236.688,307.94,0.332,-0.2714681,6.25885,7.2955,8.676,9.82525,11.00175,6.380625,7.1168,8.38,9.74725,10.698,7.439975,8.06525,8.92625,9.92725,10.8835,-16.2952675,-26.414885,-22.2458425,-4.254425,-3.963325,-2.814575,-1.25165,-1.12155,-81.06975
1,2.25,-4.5987575,383.0991069,0.554447775,-16.256625,3.162135975,0.0191092775,-57.792005,5.006307,0.0734051,0.263881225,0.04310315,0.04915538,0.17999775,0.1823864,-0.6546,0,44.8176,98.6,3.35997,4.352315,5.9765225,7.4394125,8.84773,-27.7922,-77.6258,-3.34968,0,0,0,0,235.413,307.7355,0.332,-0.269104275,6.133375,7.1846,8.60775,9.79175,10.999,6.273775,7.03805,8.30725,9.72725,10.7035,7.349675,8.01425,8.85,9.909,10.8835,-16.3313,-26.9747275,-22.6467125,-4.23115,-3.991425,-2.855375,-1.2913,-1.155,-82.6465
1,2.75,-6.195835,384.050663525,0.54843565,-8.79939275,2.81740085,0.019230325,-55.8766125,4.933445,0.0678359,0.3202182,0.0467454,0.049371,0.1812832,0.1788908,-0.7773,0,45.0604,98.59625,3.16456,4.22666,5.88954,7.41252,8.86855,-27.657,-76.77685,-3.34968,0,0,0,0,233.18675,307.94,0.332,-0.2508555,6.04765,7.066775,8.55225,9.7745,10.989,6.2275,6.90585,8.24725,9.69,10.69625,7.29585,7.969575,8.76,9.889,10.88625,-16.4378175,-28.56734,-23.1683075,-4.42105,-4.002875,-2.91185,-1.325275,-1.155,-80.54175
1,3.25,-4.4968125,381.8628571,0.521415575,-7.65073125,3.148515375,0.0208425075,-54.061525,5.00002375,0.0764315125,0.32538875,0.04719825,0.04975475,0.169799375,0.1780445,-0.93167725,0,44.85125,98.59625,3.1036725,4.1345175,5.770015,7.3737025,8.83684,-27.479,-75.7408,-3.34968,0,0,0,0,232.169,307.5275,0.332,-0.3794228,5.88205,6.915225,8.4895,9.768,10.98175,6.16935,6.827,8.1745,9.65,10.69075,7.217175,7.877375,8.68725,9.86175,10.889,-16.584165,-28.7243275,-22.9235275,-4.409925,-4.053925,-2.981375,-1.359125,-1.155,-81.50475
1,3.75,-4.380425,379.3753373,0.5019695,-8.466806,3.3208208,0.01693225,-53.32655,4.807602,0.072093975,0.25465865,0.048019295,0.04848255,0.17670635,0.1844534,-1.0324,0,43.9358,98.58875,3.10051,4.06672,5.67142,7.33241,8.82139,-27.986025,-77.5038,-3.34968,0,0,0,0,232.214,306.11925,0.332,-0.560474,5.775875,6.82415,8.39775,9.7425,10.97625,6.0693,6.749575,8.10175,9.62,10.68075,7.09435,7.713125,8.64175,9.829,10.88625,-16.641335,-27.69604,-22.7827825,-4.210675,-4.065975,-3.05355,-1.374675,-1.155,-79.59975
1,4.25,-6.9888565,383.83191835,0.53026515,-6.44296,3.42756925,0.0176643,-57.40465,4.63143,0.0894929075,0.26533515,0.0481672,0.0517394775,0.180679725,0.18540575,-1.042075,0,44.44035,98.564,3.02869,4.09939,5.6629,7.29321,8.79524,-27.51785,-78.15695,-3.34968,0,0,0,0,232.397,306.057,0.332,-0.4495029,5.66645,6.7434,8.29875,9.699,10.959,5.953525,6.628325,8.02625,9.59725,10.68075,7.016225,7.60985,8.54725,9.78625,10.88075,-17.3746,-27.7542875,-23.976525,-4.23995,-4.0573,-3.080525,-1.4172,-1.165125,-79.38975
1,4.75,-6.31947,379.9836774,0.51697,-15.34575,2.7339454,0.020151,-55.232425,4.64873,0.07959665,0.290692025,0.051574875,0.0484422,0.173659375,0.1817616,-1.03745,0,43.63945,98.585,2.9309,3.86126,5.5392,7.23478,8.83602,-28.342325,-77.0556,-3.34968,0,0,0,0,232.26725,305.1905,0.332,-0.27090175,5.58685,6.658775,8.197,9.66725,10.94175,5.7966,6.56475,7.974425,9.56725,10.65625,6.91475,7.59175,8.4645,9.739,10.878,-17.4587,-27.8901,-24.3309975,-4.252125,-4.04655,-3.145375,-1.496925,-1.204475,-79.6
