DOY2,HR2,FC,CO2,CO2_SIGMA,LE,H2O,H2O_SIGMA,H,T_SONIC,T_SONIC_SIGMA,WS,USTAR,W_SIGMA,U_SIGMA,V_SIGMA,TA,VPD,RH,PA,TS_1_1_A,TS_1_2_A,TS_1_3_A,TS_1_4_A,TS_1_5_A,G_1_1_A,NETRAD,SW_IN_1_1_1,PPFD_IN,PPFD_OUT,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,PPFD_DIF,TAU,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,G_1_1_1,G_2_1_1,G_3_1_1,G_4_1_1,G_4_2_1,G_4_3_1,G_4_4_1,G_4_5_1,NETRAD_1_1_2
1,0.25,2.63494,439.451813,4.230162,2.8587,9.65590325,0.1609505,-3.901625,13.11675,0.5087215,1.5781,0.1591275,0.192428,0.48606,0.4510085,8.354375,1.966275,96.80025,100.45,10.1365,10.392,11.001,11.6865,12.2385,-7.15931,-7.407325,0,0,0,0,0,340.37,353.34,0.677,-0.00422933,10.405,10.835,11.41,12.005,12.72,10.295,10.705,11.41,11.98,12.56,10.75,11.0375,11.545,12.1275,12.675,-6.57397,-10.564825,-9.498155,-1.426,-1.69825,-1.12125,-0.476,-0.4255,-20.98
1,0.75,2.573,438.8841375,4.605217,3.25085,9.58166225,0.17405175,-3.6697,13.01,0.516812,1.5887,0.1617425,0.19667275,0.49327975,0.4686045,8.38555,1.932625,97.09375,100.445,10.08625,10.323,10.963225,11.657,12.22175,-6.9782025,-7.909,0,0,0,0,0,340.99,352.485,0.677,-0.0034063,10.3275,10.7775,11.375,11.985,12.7275,10.23,10.6225,11.3875,11.9875,12.55,10.6125,10.9875,11.48,12.11,12.685,-6.49936,-10.5199,-9.523745,-1.408,-1.74375,-1.15425,-0.4895,-0.4585,-16.5725
1,1.25,2.5509,439.899,4.0926275,2.1993025,9.38094,0.157773,-5.0907,12.9485,0.4953375,1.54995,0.157755,0.18920575,0.4768395,0.44396775,8.2273,1.939075,97.13875,100.435,10.065,10.303,10.92075,11.63925,12.225,-7.0781,-8.1301,0,0,0,0,0,340.81,352.405,0.677,-0.003688085,10.35,10.765,11.37,11.98,12.7175,10.1625,10.5725,11.3175,11.985,12.5475,10.5525,10.885,11.3975,12.095,12.6925,-6.59055,-10.33645,-9.438445,-1.43675,-1.716,-1.15425,-0.516,-0.475,-19.975
1,1.75,2.456395,439.7885,4.294515,3.4707425,9.40727525,0.1432035,-2.967525,12.8635,0.4943115,1.582295,0.15958,0.1950295,0.47879,0.4556865,8.20025,2.0001,96.712,100.44,10.0145,10.29325,10.87875,11.6185,12.2405,-7.335075,-7.7041,0,0,0,0,0,341.21,352.33,0.677,-0.00485413,10.295,10.7075,11.3875,11.9825,12.7175,10.1275,10.51,11.265,11.9825,12.555,10.545,10.8475,11.3375,12.07,12.6975,-6.205065,-10.1122,-9.131365,-1.46575,-1.6845,-1.2075,-0.54575,-0.48025,-19.1375
1,2.25,2.60615,439.3595,3.8713825,3.932725,9.3470375,0.13892675,-4.100925,12.8275,0.4821185,1.6043975,0.1603225,0.1922445,0.4862885,0.45870125,8.2115,1.958,96.6,100.47,9.938625,10.24075,10.82,11.5795,12.228325,-7.3363,-7.43105,0,0,0,0,0,342.28,352.62,0.677,-0.00360809,10.285,10.61,11.3325,11.96,12.7225,10.065,10.4175,11.2175,11.975,12.555,10.485,10.7925,11.3,12.0475,12.69,-6.18434,-9.7982325,-8.69207,-1.3915,-1.64,-1.22375,-0.55875,-0.509,-14.3075
1,2.75,2.663125,440.069,4.26631,3.8165025,9.269485,0.14063,-4.216825,12.74125,0.4995625,1.5901,0.159457,0.192669,0.486642,0.469542,8.145,1.89335,96.4475,100.47,9.86667,10.229,10.762,11.563,12.2267,-7.2156,-8.184575,0,0,0,0,0,342.235,352.13,0.677,-0.00444223,10.2775,10.5575,11.255,11.9475,12.715,10.0825,10.3775,11.185,11.9675,12.56,10.445,10.78,11.2875,12.01,12.6925,-6.188485,-9.4598,-8.593975,-1.39575,-1.69725,-1.222,-0.59675,-0.509,-13.205
1,3.25,2.47305,440.183,4.1744065,4.0456475,9.15991,0.14074725,-2.9584,12.72975,0.490981,1.578905,0.15574325,0.19431275,0.46970975,0.4661935,8.0575,1.9631,96.2285,100.47,9.84015,10.158775,10.7255,11.53775,12.22075,-7.25035,-7.4781,0,0,0,0,0,341.5325,352.2275,0.677,-0.00345416,10.2225,10.48,11.235,11.92,12.715,10.0875,10.37,11.1325,11.9225,12.5275,10.4075,10.735,11.22,11.9775,12.685,-6.18434,-9.41087,-8.338075,-1.35575,-1.65425,-1.222,-0.6125,-0.5175,-16.6725
1,3.75,2.450155,439.586832,3.92974775,3.7071,9.123973,0.14086575,-4.643495,12.779,0.484754,1.5728,0.156039,0.1925745,0.4744225,0.4643825,8.0799,1.9636,96.475,100.46,9.8223,10.128,10.707,11.524,12.207,-7.24085,-7.06725,0,0,0,0,0,341.3125,352.12,0.677,-0.00286847,10.0925,10.4625,11.2125,11.8975,12.7075,10.0275,10.3475,11.0825,11.8875,12.54,10.3325,10.6625,11.1475,11.975,12.67,-6.18434,-9.4149475,-8.68354,-1.359,-1.66375,-1.22625,-0.63525,-0.53475,-14.0375
1,4.25,2.449955,441.590847,4.216142,3.771575,9.09834825,0.1329685,-4.040675,12.646,0.5091195,1.5974125,0.160395,0.18781825,0.478996,0.4619555,7.98425,1.9993,96.1325,100.45,9.78,10.11,10.687,11.491,12.203,-7.3569,-7.17585,0,0,0,0,0,340.985,352.35,0.677,-0.003655455,10.055,10.4575,11.175,11.875,12.7,9.9925,10.3,11.0425,11.885,12.555,10.3125,10.63,11.1075,11.96,12.67,-6.18434,-9.4801875,-8.68354,-1.405,-1.67225,-1.29,-0.65075,-0.543,-16.575
1,4.75,2.52444,440.700755,4.707358,3.9821,8.977429,0.149583,-3.9669,12.4595,0.50485475,1.579075,0.15498075,0.190461,0.47475175,0.452908,7.92,2.085125,96.49075,100.44,9.73,10.067,10.663,11.487,12.197,-7.55938,-7.09715,0,0,0,0,0,340.4775,351.86,0.677,-0.0036648475,9.9975,10.435,11.1225,11.86,12.69,9.9425,10.2725,10.9925,11.855,12.515,10.3175,10.6025,11.08,11.9475,12.655,-6.188485,-9.5861925,-8.721925,-1.43425,-1.65425,-1.263,-0.6535,-0.577,-19.775
1,5.25,2.48233,438.94146375,4.192901,4.365015,8.870558,0.14863775,-4.281625,12.35425,0.516653,1.5508,0.157267,0.184617,0.467279,0.465306,7.893,2.0028,96.172,100.445,9.687775,10.0355,10.6585,11.4505,12.19925,-7.624625,-7.3621,0,0,0,0,0,339.9225,350.4275,0.677,-0.004614785,9.96,10.3725,11.0875,11.8275,12.6875,9.8275,10.2,10.955,11.8275,12.505,10.29,10.5925,11.0625,11.9375,12.6525,-6.205065,-9.44349,-9.080185,-1.35825,-1.69175,-1.292,-0.67825,-0.5855,-17.14
1,5.75,2.4362,439.17040375,4.038285,4.785575,8.79819,0.149496,-3.52495,12.25725,0.4955955,1.5577,0.158291,0.188574,0.471339,0.459188,7.8,2.04245,96.343,100.45,9.655825,9.9956,10.5925,11.4185,12.19975,-7.975,-6.65545,0,0,0,0,0,339.8925,350.345,0.677,-0.00356159,9.845,10.305,11.045,11.8125,12.68,9.82,10.1475,10.925,11.7975,12.49,10.25,10.5975,11.045,11.9375,12.63,-6.188485,-10.2019,-8.77737,-1.4265,-1.6755,-1.3185,-0.67,-0.61025,-15.7125
