DOY2,HR2,TS_1_1_1
1,0.25,-3.875725
1,0.75,-3.890025
1,1.25,-3.90105
1,1.75,-3.911175
1,2.25,-3.92175
1,2.75,-3.938675
1,3.25,-3.964675
1,3.75,-3.9982
1,4.25,-4.034075
1,4.75,-4.076575
1,5.25,-4.1217
1,5.75,-4.16955
1,6.25,-4.206325
1,6.75,-4.241575
1,7.25,-4.276625
1,7.75,-4.31095
1,8.25,-4.34455
1,8.75,-4.373225
1,9.25,-4.389725
1,9.75,-4.388125
1,10.25,-4.3597
1,10.75,-4.29825
1,11.25,-4.2137
1,11.75,-4.093775
1,12.25,-3.976675
1,12.75,-3.907475
1,13.25,-3.83375
1,13.75,-3.753475
1,14.25,-3.67055
1,14.75,-3.5896
1,15.25,-3.527725
1,15.75,-3.500725
1,16.25,-3.49335
1,16.75,-3.506775
1,17.25,-3.5331
1,17.75,-3.570675
1,18.25,-3.611525
1,18.75,-3.65085
1,19.25,-3.683825
1,19.75,-3.710275
1,20.25,-3.7293
1,20.75,-3.739975
1,21.25,-3.744025
1,21.75,-3.74445
1,22.25,-3.7755
1,22.75,-3.8061
1,23.25,-3.83345
1,23.75,-3.85835
2,0.25,-4.94275
2,0.75,-4.990325
2,1.25,-5.0378
2,1.75,-5.08365
2,2.25,-5.1186
2,2.75,-5.148675
2,3.25,-5.1821
2,3.75,-5.212525
2,4.25,-5.243675
2,4.75,-5.274375
2,5.25,-5.303075
2,5.75,-5.3324
2,6.25,-5.360275
2,6.75,-5.389875
2,7.25,-5.41965
2,7.75,-5.4467
2,8.25,-5.4733
2,8.75,-5.4978
2,9.25,-5.5143
2,9.75,-5.5137
2,10.25,-5.490575
2,10.75,-5.44255
2,11.25,-5.369875
2,11.75,-5.27875
2,12.25,-5.181625
2,12.75,-5.07995
2,13.25,-4.975075
2,13.75,-4.882025
2,14.25,-4.794875
2,14.75,-4.70365
2,15.25,-4.62095
2,15.75,-4.565575
2,16.25,-4.53325
2,16.75,-4.506025
2,17.25,-4.48445
2,17.75,-4.468425
2,18.25,-4.454875
2,18.75,-4.472875
2,19.25,-4.505675
2,19.75,-4.5403
2,20.25,-4.57975
2,20.75,-4.62075
2,21.25,-4.6624
2,21.75,-4.707675
2,22.25,-4.754225
2,22.75,-4.799425
2,23.25,-4.84935
2,23.75,-4.896
3,0.25,-3.511725
3,0.75,-3.5431
3,1.25,-3.578925
3,1.75,-3.616375
3,2.25,-3.659175
3,2.75,-3.70405
3,3.25,-3.7492
3,3.75,-3.79425
3,4.25,-3.8392
3,4.75,-3.88515
3,5.25,-3.930825
3,5.75,-3.972775
3,6.25,-4.01725
3,6.75,-4.058
3,7.25,-4.094475
3,7.75,-4.12885
3,8.25,-4.16095
3,8.75,-4.186425
3,9.25,-4.200925
3,9.75,-4.206075
3,10.25,-4.18905
3,10.75,-4.15115
3,11.25,-4.0957
3,11.75,-4.028425
3,12.25,-3.954425
3,12.75,-3.887375
3,13.25,-3.822675
3,13.75,-3.765975
3,14.25,-3.708275
3,14.75,-3.6348
3,15.25,-3.570775
3,15.75,-3.517025
3,16.25,-3.46845
3,16.75,-3.42625
3,17.25,-3.39405
3,17.75,-3.365675
3,18.25,-3.3423
3,18.75,-3.32665
3,19.25,-3.314
3,19.75,-3.3059
3,20.25,-3.30805
3,20.75,-3.33505
3,21.25,-3.36025
3,21.75,-3.386725
3,22.25,-3.4132
3,22.75,-3.438325
3,23.25,-3.461275
3,23.75,-3.4967
4,0.25,0.00943749999999977
4,0.75,-0.0232999999999999
4,1.25,-0.0572125000000003
4,1.75,-0.087075
4,2.25,-0.1214875
4,2.75,-0.155775
4,3.25,-0.187725
4,3.75,-0.2150625
4,4.25,-0.242575
4,4.75,-0.270975
4,5.25,-0.3081375
4,5.75,-0.3599875
4,6.25,-0.39815
4,6.75,-0.42945
4,7.25,-0.4599625
4,7.75,-0.486925
4,8.25,-0.508075
4,8.75,-0.5216125
4,9.25,-0.5230625
4,9.75,-0.5132875
4,10.25,-0.487025
4,10.75,-0.4483375
4,11.25,-0.39735
4,11.75,-0.337937500000001
4,12.25,-0.2500875
4,12.75,-0.1875875
4,13.25,-0.140925
4,13.75,-0.0870875
4,14.25,-0.0382750000000001
4,14.75,0.0154999999999998
4,15.25,0.0589874999999997
4,15.75,0.1026375
4,16.25,0.1458375
4,16.75,0.177225
4,17.25,0.1970375
4,17.75,0.215975
4,18.25,0.21125
4,18.75,0.217775
4,19.25,0.212275
4,19.75,0.219575
4,20.25,0.2002125
4,20.75,0.180375
4,21.25,0.156675
4,21.75,0.1312375
