DOY2,HR2,FC,H,LE,TAU,TA,RH,NETRAD,SW_IN,SW_OUT,PPFD_IN,WS,USTAR,PA,G,TS_1_1_1
1,0.25,-1.63,-64.5775,-9.74,-0.3516,-13.675,34.9325,-69.02,0,0,0,0.572,0.04,95.73625,-30.41,0.1225
1,0.75,-2.04,-63.555,-8.56,-0.3618,-13.93,34.56,-68.6325,0,0,0,0.254,0.0385,95.7295,-30.4875,0.1225
1,1.25,-0.98,-62.92,-8.2075,-0.2814,-14.34,36.0075,-69.01,0,0,0,0.522,0.0385,95.74375,-30.155,0.1225
1,1.75,-1.5,-59.91,-10.83,-0.3387,-14.7725,36.965,-68.6075,0,0,0,0.326,0.03,95.7605,-29.5975,0.1225
1,2.25,-1.0275,-60.75,-13.035,-0.3201,-15.2275,38.185,-67.8925,0,0,0,0.344,0.04,95.76825,-29.84,0.1
1,2.75,-1.1175,-58.35,-8.7825,-0.312,-15.66,39.7775,-66.2375,0,0,0,0.474,0.0485,95.76375,-28.95,0.1
1,3.25,-0.575,-62.065,-4.74,-0.315,-16.0475,40.6175,-65.91,0,0,0,0.412,0.03875,95.7505,-28.265,0.1
1,3.75,-0.915,-60.78,-4.9675,-0.3168,-16.27,40.68,-66.3875,0,0,0,0.522,0.04,95.756,-27.8075,0.0225
1,4.25,-0.945,-70.58,-6.7175,-0.294,-16.105,41.0125,-63.41,0,0,0,0.494,0.04,95.7815,-27.42,0.0225
1,4.75,-1.045,-63.8725,-4.4875,-0.336,-16.1525,41.79,-64.9825,0,0,0,0.65,0.04,95.817,-26.51,-0.055
1,5.25,-2.65,-58.6,-5.115,-0.3363,-15.9775,42.7775,-61.92,0,0,0,0.604,0.03,95.8535,-26.83,-0.0775
1,5.75,-1.015,-59.77,-4.445,-0.3372,-15.955,43.53,-62.4325,0,0,0,0.35,0.04,95.8645,-27.1525,-0.0775
1,6.25,-0.9,-62.84,-4.97,-0.3489,-16.12,46.165,-64.365,0,0,0,0.186,0.04,95.92225,-25.9875,-0.155
1,6.75,-1.28,-56.79,-5.1725,-0.3522,-15.92,47.6975,-64.1175,0,0,0,0.36,0.04,95.93,-25.91,-0.155
1,7.25,-1.575,-58.0375,-3.45,-0.4107,-15.91,48.265,-56.8875,0,0,0,0.528,0.04,95.94225,-26.0975,-0.2325
1,7.75,-0.68,-63.33,-3.61,-0.4632,-16.52,47.925,-56.845,1,0.1,0.8,0.386,0.0305,95.9345,-25.865,-0.2325
1,8.25,-0.9375,-38.7,-0.8,-0.3924,-15.355,46.15,-29.655,6.0025,0.945,15.4175,0.522,0.043,95.9545,-25.41,-0.31
1,8.75,-1.1925,-27.0975,0.605,-0.3825,-14.2725,42.625,-0.102499999999999,15.1625,2.4675,31.015,0.764,0.08,95.98225,-24.67,-0.31
1,9.25,-1.77,-12.72,-4.765,-0.408,-13.44,40.025,14.815,28.6775,4.645,59.88,0.824,0.12,95.979,-23.04,-0.2325
1,9.75,-1.7875,2.34,0.7125,-0.519,-12.9175,36.5725,30.5575,43.3725,6.135,71.4525,0.858,0.1045,95.99675,-22.475,-0.2325
1,10.25,-1.275,7.415,1.8,-0.5364,-12.2175,32.59,32.29,56.9925,8.2525,94.34,1.1995,0.113,95.9935,-21.2625,-0.21
1,10.75,-1.2,2.655,0.72,-0.5124,-11.0875,28.6575,48.3875,81.98,15.18,135.3125,1.3835,0.12,95.93475,-20.01,-0.1325
1,11.25,-1.4925,15.8375,1.45,-0.4665,-10.3,25.5725,52.9225,78.96,13.915,148.295,1.3095,0.15625,95.88275,-18.4775,-0.055
1,11.75,-1.3625,17.905,1.1,-0.5076,-9.7425,24.6575,54.68,82.8025,12.775,145.6825,1.33475,0.16,95.815,-19.7725,-0.055
1,12.25,-1.08,9.495,1.1825,-0.621,-9.01,21.0325,56.505,87.345,13.18,161.33,1.25275,0.1325,95.73275,-18.235,-0.0325
