DOY2,HR2,FC,SC,LE,SLE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_5_1_1,TS_5_2_1,TS_5_4_1,TS_5_5_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,0.301305875125581,0.025392497732234,1.50582135126959,-0.0241855935245336,0.166417736593058,-15.1593297604206,-1.33123390054656,0.514668892610226,418.572183161263,5.50670661962191,431.179501050845,5.67247353338621,417.96435388961,431.154445199648,5.73161350286972,418.143168111111,431.340129461427,5.73515514644486,418.546722363636,431.374110862851,5.68263365020622,418.603754711877,3.62667399426346,2.57992344957444,0.250090129181396,2.9,2.17,0.885,2.55265,2.749,2.0718,1.8926,0.5142,95.82328,72.87,1.8796,1.795,2.025,1.745,0.9,-3.165,2.35,-0.095,257.35,324.4,259.05,321.55,0.11,0.03,0.065,0.11,0.21,-0.155,-0.07,-0.1,3.28,4.446,5.8795,6.8795,7.3825,3.724,4.433,5.976,6.528,7.159,3.468,4.6545,5.8605,6.6605,6.996,2.832,4.1265,5.7145,6.291,6.988,3.1805,4.318,6.57,6.987,-15.619,-17.288,-16.602,-64.65
1,0.75,0.317402501181354,0.0685671398170231,0.505948858168635,-0.674204646818245,0.1561928476352,-12.2037217444049,-1.1008309220568,0.483166769213856,418.769136628544,5.48279421859855,430.573830284323,5.77996873325048,417.649552229391,430.456780790957,6.09252861186547,417.891366105085,430.729307849055,5.65421417188024,417.9183013,430.806226674509,5.61401957549835,418.244771849285,3.53184126174346,2.19616951827288,0.235742625241892,3.005,2.33,0.89,2.0793,2.4155,1.72115,1.63495,0.6618,95.78985,73.74,1.6689,1.715,2.015,1.75,0.85,-3.42,2.2,-0.045,257.5,323.75,257.95,320.85,0.1,0.02,0.065,0.11,0.21,-0.15,-0.07,-0.1,3.2025,4.3865,5.838,6.879,7.3855,3.6975,4.265,5.909,6.53,7.161,3.3385,4.565,5.8115,6.6485,7.004,2.685,3.9055,5.6725,6.26,6.9805,3.15,4.2055,6.5425,6.993,-15.859,-17.9885,-16.9015,-66.965
1,1.25,0.324063679657182,-0.00611496468845548,1.12712909357139,-0.0351372226569781,0.168591409727268,-14.7147792772668,-1.04876041817371,0.43636008907181,418.438237295617,5.47777680975664,431.05511292878,5.54952055721471,418.031168583333,431.119489740435,5.58424584418771,418.414575362637,431.211850258103,5.57695173767885,419.083473835526,431.478555103349,5.59092623487076,418.667885247791,3.56772732543395,1.96370268884823,0.22393887955503,2.83,2.28,0.9,1.877,2.2075,1.4101,1.29295,0.5653,95.76111,74.205,1.61555,1.52,1.83,1.625,0.65,-3.06,2.1,-0.055,257.45,322.8,259.15,320.2,0.1,0.02,0.075,0.11,0.2,-0.16,-0.07,-0.1,3.188,4.3035,5.768,6.876,7.384,3.567,4.264,5.879,6.524,7.172,3.2265,4.5085,5.774,6.6325,7.0265,2.563,3.761,5.5945,6.226,6.978,2.979,4.09,6.5405,7.001,-17.146,-19.168,-18.363,-63.62
1,1.75,0.269425921019922,0.0777351802575961,0.653291635613409,-0.818841650973519,0.160727868671848,-14.8520990501832,-1.61145427367169,0.522824660830881,418.062107775376,5.28083739101117,429.372528488734,5.63983367683004,418.249819636364,429.059175195389,5.66280288863206,418.585984594116,429.707528900404,5.650433704637,418.037210931818,430.42662300197,5.66347581586997,418.997584855318,3.42637671301018,2.0224212961003,0.254107016814041,2.835,2.18,0.93,1.6531,1.9255,1.2552,1.1898,-0.02,95.76969,75.07,1.6235,1.39,1.745,1.62,0.8,-3.12,2.15,-0.005,257.9,321.55,261.55,320.15,0.095,0.02,0.07,0.11,0.2,-0.16,-0.07,-0.1,3.119,4.25,5.717,6.8655,7.3815,3.489,4.186,5.845,6.504,7.174,3.0735,4.365,5.7185,6.6095,7.035,2.495,3.6615,5.508,6.202,6.9705,2.8785,3.9965,6.521,7.013,-16.7625,-19.484,-18.705,-64.23
1,2.25,0.281864250498414,0.0397349018499456,0.729390545145626,-0.540345750066543,0.180486237596793,-15.3866846228707,-0.39376391666037,0.488345012227378,418.276843071819,5.3882468173814,427.230184911952,5.61654383615256,418.315635,428.019878062235,5.63152247377037,418.463253279768,428.101298450538,5.62399365967955,419.123781573826,428.573380500699,5.58482202694615,419.296041635173,3.48172660641584,1.98092966810151,0.245338185977263,2.81,2.16,0.905,1.54675,1.8485,1.1702,0.9489,-0.2203,95.759255,75.36,1.5653,1.27,1.53,1.62,0.8,-3.02,2.25,0.04,259.85,323,263,320.45,0.1,0.02,0.08,0.11,0.2,-0.16,-0.07,-0.1,3.0105,4.1655,5.6825,6.8545,7.3795,3.334,4.085,5.812,6.47,7.175,2.961,4.2125,5.666,6.589,7.042,2.388,3.5815,5.46,6.17,6.9675,2.7335,3.894,6.5005,7.0205,-16.485,-18.535,-18.823,-63.63
1,2.75,0.280032457275686,0.0129305589898331,0.551365823778248,0.0464048509186019,0.15058105327803,-16.4933034680438,-0.997457585744616,0.462976383252145,418.287134494347,5.24979153183274,427.375712894529,5.63297185599439,417.640614467626,427.766602523876,5.62324800101389,417.705802317406,427.69965096091,5.62531398453969,418.027842594549,428.111455706744,5.62189126604116,417.930116199486,3.42332298784688,1.83871827938674,0.260944442922186,2.715,2.15,0.91,1.3992,1.693,1.11355,1.02045,0.132,95.750965,75.73,1.5066,1.385,1.73,1.615,0.9,-2.9,2.25,-0.03,259.8,322.05,261.05,319.65,0.11,0.03,0.075,0.115,0.2,-0.16,-0.07,-0.1,2.9325,4.097,5.6395,6.84,7.3705,3.33,4.033,5.773,6.466,7.175,2.873,4.0795,5.6335,6.561,7.048,2.333,3.495,5.4275,6.1375,6.963,2.632,3.827,6.478,7.0145,-17.846,-19.811,-19.481,-59.88
1,3.25,0.278376152059042,0.0252323287308453,0.647342548375001,-0.0399445227830428,0.161389574272349,-13.6839396149483,-1.29036591882061,0.482092824542971,418.130362376098,5.40027864552676,432.018433288814,5.7235106225441,418.00665640318,431.853111467965,5.76923298167505,418.081639964286,432.165823119318,5.76836735823024,418.774166269103,432.194943286543,5.814843926659,418.22738064918,3.59293156859519,1.83856476200793,0.251012472538022,2.925,2.27,0.94,1.26845,1.5875,0.99965,0.7941,0.1029,95.764215,77.245,1.4085,1.11,1.455,1.485,0.9,-3.04,2.15,0.04,258.7,322.15,258.35,320.05,0.12,0.02,0.075,0.11,0.2,-0.16,-0.07,-0.1,2.8665,4.0425,5.6005,6.8225,7.359,3.307,4.005,5.737,6.464,7.174,2.8015,3.94,5.6005,6.537,7.0535,2.24,3.3745,5.372,6.1045,6.9535,2.5705,3.783,6.4535,7.0035,-16.477,-18.761,-18.307,-60.685
1,3.75,0.359667392425825,-0.00961012501319413,-0.368370558323209,-0.341010551827413,0.150657280841788,-14.6620722869122,-0.539681267894061,0.467812921708395,418.326518333568,5.54289916017812,430.022563856328,5.30948628954089,418.629871110701,430.341630136591,5.24163543980436,418.47570482623,430.396128082733,5.21387311470567,418.591513193811,430.739563932487,5.33770217995801,419.000383701303,3.39785599668129,1.35930717225432,0.252417762045067,2.79,2.1,0.945,1.05655,1.2875,0.5709,0.35375,-0.2038,95.782485,78.025,1.3324,0.97,1.195,1.245,0.8,-3.125,2.3,-0.05,257.45,320.1,258.8,318.55,0.09,0.02,0.065,0.11,0.21,-0.16,-0.07,-0.1,2.8545,3.966,5.554,6.791,7.3505,3.22,3.955,5.711,6.446,7.173,2.751,3.8895,5.5415,6.5125,7.0515,2.122,3.2805,5.3705,6.0755,6.9485,2.5435,3.7315,6.4245,7,-17.747,-19.635,-19.343,-61.985
1,4.25,0.346870041537101,-0.0063309413174379,-0.299393361848259,-0.78167357040717,0.155149681063389,-14.7470852991095,-1.11491351828419,0.474306395308647,418.141849946723,5.66296259451653,430.042147795162,5.26814548408299,418.778041573883,430.244090174966,5.23747550086205,419.043959831502,430.381460748053,5.14304346366044,419.274843674384,430.700559840284,5.05853848778327,418.992087636364,3.45177888217719,1.44650499136975,0.242765613264698,3.035,2.2,0.9,1.0078,1.2955,0.61585,0.33415,-0.3868,95.76937,76.26,1.4089,0.815,1.31,0.98,0.8,-3.21,2.25,0.035,258.3,320.05,259,318.25,0.09,0.02,0.07,0.115,0.2,-0.16,-0.07,-0.1,2.817,3.9155,5.514,6.765,7.3475,3.0775,3.8705,5.6735,6.412,7.172,2.6345,3.8295,5.4555,6.4885,7.049,1.956,3.1525,5.3115,6.045,6.9445,2.4955,3.6715,6.403,6.995,-18.133,-19.937,-20.167,-64.32
1,4.75,0.277088950073269,0.00105408049599502,0.10102983573361,-0.380921735925168,0.165481128459675,-16.9735598756956,-0.482853067718642,0.552613735828797,419.007730777587,5.58158671804384,429.848607236297,5.24044954942924,418.100901082508,429.474113525118,5.15691607931093,419.140881823529,430.109219271327,5.22800503056394,418.977321046571,430.179598023793,5.2115085602832,418.54036825093,3.81760789028076,1.19631509107268,0.233584973779468,3.175,2.48,1,0.8899,1.1025,0.45965,0.0581,-0.4587,95.781115,77.7,1.33045,0.86,0.94,0.875,0.75,-3.17,2.2,0.1,254.7,319.6,256.8,316.3,0.1,0.02,0.07,0.11,0.2,-0.16,-0.075,-0.11,2.6695,3.854,5.4765,6.7535,7.348,2.9555,3.732,5.6365,6.392,7.155,2.523,3.7455,5.3965,6.473,7.0455,1.818,3.0705,5.234,6.0235,6.9325,2.3065,3.5985,6.3785,6.9835,-18.668,-21.095,-21.0915,-63.22
