DOY2,HR2,USTAR,H,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_3,H2O_1_1_3,CO2_1_2_3,H2O_1_2_3,CO2_1_3_3,H2O_1_3_3,CO2_1_4_3,H2O_1_4_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,NETRAD
1,0.25,0.357872422205701,-4.87990183578562,0.757826617016346,423.448942648322,0.939782092527631,417.4706812375,1.12448227165897,417.341054601891,1.03878884680151,417.230357607029,1.21086204918804,419.405274097521,1.02833548613475,9.67381332417764,-15.8461953627107,0.312992706500286,5.9125,5.555,-15.9947,-17.75725,-16.370375,-17.4975,102.518265,83.13,0.2983,-15.335,-15.6475,-10.69,1.8,-0.47,3.2,0.0025,232.675,239.625,254,261.4,0.095,0.59,0.78,-0.04,0,-0.1,0.09,-0.21,-7.92925,-7.5685,-6.83875,-5.871,-5.12875,-4.35075,-3.3605,-3.217,-7.87475,-7.18125,-4.379,-3.57275,-2.53525,-2.033,-5.67125,-5.4765,-6.58425,-6.3375,-3.224,-3.26025,-2.53325,-2.27425,-2.1595,-9.5855,-9.53375,-8.052,-7.63675,-6.73,-5.93225,-4.639,-4.47,-10.55875,-9.5645,-8.729,-7.6655,-7.2665,-5.533,-4.32975,-3.74425,-3.5825,-1.899,-0.995
1,0.75,0.333037667300347,-5.26471800865674,0.83539413862656,423.941937389732,0.950375617046006,417.292404861453,1.04378285078842,417.064668890675,1.04167270599487,417.613407589172,1.01355929076507,419.492790336634,0.979267944353361,9.50370898579369,-15.9622966673252,0.349382241784908,5.84,5.84,-16.0047,-17.5835,-16.220925,-18.166,102.5297,83.1375,0.3048,-15.405,-15.245,-10.7375,1.825,-0.4775,3.2,-0.02,230,239.325,252.825,261.225,0.095,0.59,0.775,-0.04,0,-0.1,0.09,-0.2,-7.92425,-7.56925,-6.8425,-5.874,-5.1605,-4.35525,-3.3635,-3.22,-7.88275,-7.181,-4.383,-3.576,-2.5395,-2.03325,-5.67375,-5.4915,-6.5805,-6.3425,-3.228,-3.26425,-2.53625,-2.2365,-2.16025,-9.5975,-9.5395,-8.053,-7.636,-6.7315,-5.93675,-4.64125,-4.4715,-10.53825,-9.5625,-8.7215,-7.66325,-7.2545,-5.53525,-4.33275,-3.74625,-3.4525,-1.7205,-1.0275
1,1.25,0.321730331502424,-5.38717830329969,0.671719218421323,423.219410863399,0.959475215911492,417.659520432848,1.11307155823072,417.496854566469,1.01188713302371,417.821213698143,1.02140008728319,419.601131076506,0.957466032625068,9.30300796815714,-16.1138347845831,0.330600149542675,5.79,5.735,-16.4336,-17.921,-16.2129,-18.2503,102.5380075,83.07,0.2884,-15.215,-15.2625,-10.7075,1.9,-0.455,3.2,0.01,232.75,239.5,252.9,261.05,0.1,0.5825,0.77,-0.04,0,-0.1,0.09,-0.21,-7.91975,-7.57025,-6.84525,-5.87675,-5.19225,-4.36075,-3.36675,-3.22275,-7.89,-7.1805,-4.3875,-3.57975,-2.5365,-2.03325,-5.676,-5.507,-6.57675,-6.349,-3.23275,-3.26825,-2.5385,-2.239,-2.1895,-9.61,-9.5435,-8.05325,-7.6355,-6.732,-5.94025,-4.64225,-4.4735,-10.52925,-9.56,-8.714,-7.66025,-7.255,-5.53675,-4.33575,-3.748,-3.467,-1.6245,-1.155
1,1.75,0.317801396979625,-2.8320546695722,0.685107471305367,423.081524382138,0.972252777923954,417.693278784483,1.25507350923939,417.563612995995,1.23591809231029,418.237060647436,1.29767712275053,419.616496470779,1.25090845128079,8.91668102609378,-16.0300214417204,0.347255548219141,6.0525,5.8675,-16.6834,-18.08775,-16.082575,-17.9541,102.51468,83.11,0.28665,-15.05,-15.5475,-10.7125,1.9,-0.4875,3.3,-0.06,232.5,239.2,252.975,260.925,0.1025,0.59,0.775,-0.04,0,-0.1,0.09,-0.21,-7.914,-7.57175,-6.849,-5.87975,-5.19675,-4.36525,-3.3705,-3.22575,-7.90225,-7.1785,-4.3915,-3.583,-2.54625,-2.034,-5.67825,-5.52175,-6.57375,-6.35475,-3.236,-3.272,-2.5415,-2.20725,-2.1895,-9.6185,-9.54825,-8.0535,-7.6355,-6.7335,-5.94475,-4.64575,-4.4755,-10.522,-9.572,-8.7095,-7.6645,-7.255,-5.539,-4.3395,-3.75,-3.961,-1.82025,-1.12
1,2.25,0.319234768913363,-2.09752714752046,0.685442078770512,423.028154395961,0.983948834889502,417.368160912157,1.23589432762937,417.594301848008,1.35767480403858,418.623278441583,1.28059809342009,419.538328370892,1.27669117561046,9.0506113705967,-16.3461782929011,0.305617667220404,5.9,6.25,-15.9481,-18.5135,-16.10105,-17.4262,102.5051375,83.24,0.2839,-15.335,-15.425,-10.6625,2,-0.505,3.3,-0.03,230.95,238.375,252.925,260.975,0.1025,0.59,0.775,-0.04,0,-0.1,0.09,-0.2075,-7.908,-7.5725,-6.85175,-5.88275,-5.201,-4.36975,-3.3735,-3.2285,-7.89725,-7.17275,-4.396,-3.587,-2.55,-2.034,-5.679,-5.53675,-6.571,-6.3605,-3.24,-3.275,-2.54475,-2.21,-2.1905,-9.6255,-9.55325,-8.0545,-7.635,-6.73475,-5.949,-4.64625,-4.477,-10.5135,-9.5935,-8.71025,-7.6695,-7.26425,-5.54125,-4.342,-3.751,-3.956,-1.7795,-1.15
1,2.75,0.316276393811654,-2.47170483614771,0.657807453964302,423.910942427206,0.981661794331027,417.434531003874,1.2358739901542,417.435802439412,1.17165184265752,417.781326589744,1.2444390466884,419.551956132029,1.04736147144843,8.84586498135939,-16.2884021516735,0.304711341709152,5.935,6.15,-15.5712,-18.5545,-15.5298,-17.1687,102.5114175,83.16,0.2829,-15.315,-15.6725,-10.635,1.9,-0.47,3.2,0.04,233.425,237.5,252.55,260.925,0.1,0.59,0.78,-0.04,0,-0.1,0.09,-0.21,-7.9075,-7.574,-6.8545,-5.885,-5.20525,-4.37525,-3.37675,-3.23225,-7.8905,-7.165,-4.39975,-3.59,-2.55225,-2.034,-5.68075,-5.5525,-6.56725,-6.36625,-3.24475,-3.27975,-2.54775,-2.212,-2.16375,-9.633,-9.55725,-8.05475,-7.6345,-6.736,-5.9525,-4.649,-4.47825,-10.5065,-9.5985,-8.7145,-7.66925,-7.26325,-5.5435,-4.345,-3.75225,-3.8595,-1.59425,-1.19
1,3.25,0.327290632359685,-3.52489047169073,0.666763503938618,423.906177512841,0.949784796151599,417.540113252155,1.28111981710735,417.364719145833,1.29754812745499,418.110102944868,1.28710100266635,419.543439995622,1.17674259191223,9.15535422650062,-16.3558329011122,0.281567459133853,6.26,6.115,-15.2798,-18.44525,-15.32985,-15.85835,102.51669,83.2175,0.3173,-15.24,-15.6675,-10.67,1.9,-0.435,3.3,-0.0175,233.725,239.325,252.7,260.75,0.1025,0.58,0.78,-0.04,0.0025,-0.1,0.09,-0.21,-7.90775,-7.57525,-6.8575,-5.888,-5.20975,-4.37975,-3.3805,-3.23525,-7.88275,-7.16,-4.4045,-3.59325,-2.555,-2.034,-5.6825,-5.563,-6.5645,-6.37225,-3.2485,-3.28375,-2.55,-2.21475,-2.165,-9.6405,-9.56225,-8.05475,-7.63375,-6.73675,-5.957,-4.65125,-4.48025,-10.502,-9.58675,-8.70575,-7.66825,-7.263,-5.546,-4.348,-3.754,-3.5665,-1.679,-1.225
1,3.75,0.324326664412554,-3.70781201778232,0.672234283054729,423.66310486692,0.955943031909501,417.281675853103,1.25517487494128,417.152360389835,1.2513199989046,418.249348337876,1.23627722071735,419.666125788937,1.17284122971492,9.25458602221083,-16.4535631252975,0.265601603517308,5.46,6.275,-15.66435,-18.41,-15.7337,-17.3666,102.52757,83.21,0.3037,-15.4025,-15.66,-10.77,1.9,-0.4575,3.3,-0.03,232.6,240,252.3,260.5,0.1,0.58,0.77,-0.04,0,-0.1,0.09,-0.21,-7.913,-7.603,-6.899,-5.91,-5.246,-4.39,-3.389,-3.238,-7.892,-7.166,-4.458,-3.597,-2.558,-2.035,-5.782,-5.659,-6.612,-6.456,-3.2745,-3.3,-2.576,-2.233,-2.173,-9.663,-9.5755,-8.062,-7.634,-6.755,-5.981,-4.665,-4.483,-10.541,-9.584,-8.71,-7.66725,-7.27,-5.572,-4.384,-3.773,-3.707,-1.6145,-1.3125
1,4.25,0.324281133745671,-2.95325217410204,0.616492840844601,423.85102308317,0.969789601775444,417.302387902897,1.29599507341758,417.316317447265,1.34708371752666,417.39580906383,1.30433739937764,419.600026558768,1.33177126579683,9.04722615847788,-16.7304832648787,0.278675091026057,5.765,6.05,-15.5948,-18.345,-15.8354,-19.0768,102.514005,83.34,0.27695,-15.515,-15.75,-10.665,1.9,-0.53,3.3,-0.05,231.7,239.7,252.2,260.325,0.1025,0.59,0.78,-0.04,0,-0.1,0.09,-0.2075,-7.90825,-7.57725,-6.86425,-5.89425,-5.2185,-4.38975,-3.3875,-3.241,-7.86775,-7.17275,-4.413,-3.60025,-2.56175,-2.03525,-5.6855,-5.56775,-6.56075,-6.38475,-3.258,-3.2915,-2.55525,-2.21975,-2.1665,-9.654,-9.571,-8.0545,-7.6335,-6.7395,-5.965,-4.65475,-4.48375,-10.51875,-9.56525,-8.69975,-7.66775,-7.2625,-5.55075,-4.354,-3.757,-3.498,-1.53325,-1.305
1,4.75,0.306536264242374,-2.31273763373542,0.639404237959615,423.787678982484,1.02440447931078,417.372040423611,1.30903948688763,417.442981607757,1.3019309517421,418.111636020158,1.29879366741151,419.60407951934,1.26459014558688,8.61019912610661,-17.0598382624425,0.306927368812897,6.28,6.19,-15.8532,-18.4075,-16.2633,-18.98215,102.4957,83.5525,0.2669,-15.345,-15.64,-10.6,1.9,-0.505,3.3,-0.055,230.8,238.95,252.35,260.35,0.105,0.59,0.78,-0.04,0,-0.1,0.09,-0.21,-7.9075,-7.5465,-6.832,-5.8785,-5.1895,-4.3875,-3.385,-3.221,-7.859,-7.177,-4.3665,-3.561,-2.542,-2.035,-5.595,-5.4805,-6.5155,-6.312,-3.242,-3.283,-2.5355,-2.206,-2.16,-9.6485,-9.564,-8.0495,-7.633,-6.724,-5.9475,-4.646,-4.484,-10.5105,-9.5525,-8.6985,-7.659,-7.258,-5.5305,-4.324,-3.74,-3.707,-1.51,-1.37
