DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,424.401,0.432,414.27375,0.413,2017.6835,424.401,0.419,414.27475,0.3995,2017.31925,424.23925,0.483,414.163,0.4045,2015.36825,424.5555,0.34775,414.83,0.33475,2018.95775,4.4895,-24.76825,0.09675,418.409,0.54075,-0.012,-0.029,-0.006,-0.39925,-0.165,0.1725,-27.29,-1.2055,0.37275,2.44,1.88,-23.8525,-26.71125,-24.775,-25.3135,100.908,76.32,0.193,-24.6475,-24.32,-16.96,0.2,-2.04,1,-0.99,166.4,203.7,-44.55,223.7,233.3,-0.06,0.04,-0.11,-0.39,-0.2425,-0.18,-0.2,-0.29,-11.964,-11.363,-9.613,-9.526,-8.858,-7.989,-6.497,-6.186,-13.154,-11.774,-7.46725,-7.197,-6.048,-4.087,-11.115,-10.885,-10.0885,-9.825,-8.04275,-7.93,-6.706,-5.603,-4.544,-12.569,-11.7145,-10.736,-10.074,-9.465,-8.61,-7.064,-6.57,-14.401,-13.016,-11.618,-10.48775,-9.974,-8.136,-6.7585,-5.7305,-9.49475,-8.625,-4.392
1,0.75,424.45275,0.414,414.236,0.428,2016.495,424.57875,0.411,414.11225,0.418,2017.15,424.301,0.4825,414.22475,0.434,2016.9125,424.54075,0.3575,416.9925,0.312,2020.172,3.716,-25.1215,0.095,418.426,0.5355,-0.017,-0.03125,-0.0515,-0.4525,-0.193,0.151,-21.741,-0.723,0.361,2.2,1.9725,-23.8515,-26.70575,-24.64875,-25.53725,100.899,76.5075,0.1955,-24.4125,-24.47,-16.98,0.2,-2.01,1,-0.99,165.5,203.5,-45.11,223.7,233.2,-0.06,0.05,-0.11,-0.38,-0.24,-0.19,-0.2,-0.29,-11.972,-11.373,-9.61425,-9.528,-8.88525,-7.993,-6.501,-6.188,-13.156,-11.77,-7.468,-7.199,-6.05075,-4.1005,-11.107,-10.882,-10.0905,-9.821,-8.05375,-7.935,-6.71,-5.6035,-4.547,-12.561,-11.709,-10.736,-10.074,-9.467,-8.612,-7.066,-6.573,-14.376,-13.006,-11.622,-10.4935,-9.9745,-8.11575,-6.7385,-5.70625,-9.3945,-8.574,-4.191
1,1.25,424.5115,0.41225,414.39275,0.4395,2015.97475,424.626,0.36175,414.064,0.4305,2016.2875,424.198,0.46125,414.268,0.41525,2016.511,424.445,0.328,416.704,0.349,2019.031,4.01625,-24.88725,0.09025,418.29175,0.53625,0.0065,-0.0465,-0.041,-0.40925,-0.1035,0.162,-25.84,-0.563,0.3535,2.51,1.91,-23.9795,-26.62475,-24.4255,-25.703,100.917,76.61,0.194,-24.5525,-24.43,-16.97,0.4,-2.04,1.2,-0.9625,163.3,202.6,-45.5275,223.1,233.4,-0.06,0.04,-0.12,-0.38,-0.24,-0.18,-0.21,-0.295,-11.981,-11.375,-9.61625,-9.53,-8.896,-7.997,-6.504,-6.191,-13.17,-11.775,-7.471,-7.20175,-6.053,-4.115,-11.1,-10.892,-10.09925,-9.82575,-8.06475,-7.939,-6.714,-5.60625,-4.56175,-12.552,-11.703,-10.734,-10.074,-9.468,-8.613,-7.067,-6.575,-14.398,-13.002,-11.631,-10.5,-9.97475,-8.11675,-6.742,-5.709,-9.6975,-8.654,-4.43325
1,1.75,424.7145,0.398,414.466,0.4425,2014.47175,424.5215,0.4235,414.2695,0.4375,2016.333,424.4065,0.4685,414.382,0.429,2014.36725,424.59475,0.337,418.434,0.3625,2016.162,3.802,-24.705,0.088,418.5105,0.54,0.000750000000000001,-0.0355,-0.004,-0.459,-0.161,0.143,-28.143,-1.16,0.34,2.38,1.835,-24.4565,-26.66775,-24.8265,-25.77,100.935,76.5325,0.19675,-24.5425,-24.53,-16.87,0.2,-2.03,0.9,-0.97,166.1,203.2,-46.025,222.9,233.4,-0.06,0.05,-0.1125,-0.38,-0.24,-0.19,-0.21,-0.29,-11.997,-11.378,-9.61775,-9.533,-8.896,-8.002,-6.507,-6.193,-13.183,-11.775,-7.474,-7.20375,-6.0265,-4.1175,-11.118,-10.902,-10.108,-9.83075,-8.07575,-7.944,-6.718,-5.608,-4.5645,-12.543,-11.698,-10.732,-10.074,-9.469,-8.614,-7.069,-6.578,-14.421,-12.998,-11.639,-10.50575,-9.97625,-8.11825,-6.7445,-5.71175,-9.423,-8.42825,-4.352
1,2.25,424.765,0.411,414.347,0.4505,2016.1635,424.697,0.38525,414.466,0.437,2015.4075,424.31,0.47375,414.31475,0.445,2014.3,424.66225,0.34,418.451,0.372,2016.1295,3.796,-24.85725,0.0885,418.8025,0.542,5e-04,-0.0415,-0.0315,-0.3755,-0.2295,0.12525,-20.45,-1.25375,0.32825,2.4375,1.985,-24.15225,-26.74875,-25.406,-25.819,100.946,76.39,0.1975,-24.4125,-24.67,-16.81,0.3,-2.16,1,-0.94,166,204,-46.81,223.1,233.5,-0.06,0.05,-0.11,-0.39,-0.24,-0.18,-0.21,-0.29,-11.998,-11.382,-9.61975,-9.535,-8.897,-8.006,-6.511,-6.196,-13.187,-11.775,-7.47325,-7.2055,-6.029,-4.108,-11.094,-10.913,-10.1165,-9.83675,-8.08675,-7.949,-6.721,-5.61,-4.56725,-12.552,-11.697,-10.731,-10.075,-9.47,-8.615,-7.07,-6.58,-14.445,-12.994,-11.644,-10.5115,-9.979,-8.119,-6.74725,-5.7145,-9.8125,-8.679,-4.42
1,2.75,424.638,0.48525,414.335,0.453,2014.6055,424.535,0.443,414.506,0.44,2015.45,424.234,0.538,414.31325,0.43,2013.40775,424.571,0.34375,418.244,0.386,2017.231,3.5615,-24.9615,0.0905,418.404,0.53875,0.023,-0.034,-0.003,-0.414,-0.2315,0.14075,-24.608,-1.1375,0.3465,2.37,1.83,-23.999,-26.6965,-24.1955,-25.7435,100.868,76.4175,0.19475,-24.285,-24.84,-16.83,0.2,-2.01,0.8,-0.9125,166.6,204.4,-45.4075,223,233.5,-0.06,0.05,-0.12,-0.38,-0.24,-0.18,-0.21,-0.29,-12.003,-11.39,-9.622,-9.533,-8.897,-8.01,-6.514,-6.198,-13.19,-11.776,-7.4755,-7.208,-6.031,-4.11025,-11.079,-10.921,-10.12575,-9.84175,-8.0975,-7.953,-6.725,-5.613,-4.559,-12.563,-11.6895,-10.73,-10.075,-9.471,-8.616,-7.072,-6.582,-14.467,-12.998,-11.653,-10.518,-9.982,-8.12075,-6.7505,-5.7165,-9.37,-8.8335,-4.2825
1,3.25,424.2195,0.4665,414.597,0.47075,2015.02,424.455,0.43725,414.5025,0.4635,2015.36625,424.2135,0.5825,414.2225,0.44325,2013.731,424.2835,0.34675,418.703,0.412,2017.17775,4.397,-24.954,0.088,418.3475,0.544,-0.018,-0.03925,-0.015,-0.402,-0.15875,0.166,-22.948,-1.061,0.339,2.5125,2.02,-23.90425,-26.615,-23.90625,-25.049,100.894,76.65,0.19125,-24.2275,-24.95,-17,0.3,-2.08,1,-0.97,163.6,203.9,-44.19,222.9,233.3,-0.06,0.05,-0.1125,-0.38,-0.24,-0.19,-0.21,-0.29,-12.006,-11.407,-9.62325,-9.531,-8.897,-8.014,-6.517,-6.2,-13.192,-11.775,-7.477,-7.21075,-6.034,-4.11325,-11.072,-10.921,-10.134,-9.847,-8.1085,-7.958,-6.729,-5.616,-4.562,-12.573,-11.682,-10.729,-10.076,-9.472,-8.618,-7.073,-6.585,-14.474,-13.003,-11.656,-10.52375,-9.984,-8.1215,-6.754,-5.71925,-9.838,-8.703,-4.439
1,3.75,424.356,0.51225,414.198,0.4795,2014.6885,424.195,0.49525,414.075,0.47,2015.6895,423.9935,0.613,414.3365,0.463,2013.4975,424.436,0.38325,418.5375,0.44,2017.158,3.774,-23.95,0.09,418.3265,0.5475,-0.02025,-0.032,-0.03075,-0.281,-0.153,0.152,-21.895,-1.06625,0.345,2.5625,1.885,-23.96025,-26.666,-24.451,-24.8865,100.90375,76.625,0.1955,-24.44,-24.3875,-16.895,0.2,-1.9875,1.125,-1.0375,165.1,202.55,-45.5275,223.05,233.275,-0.06,0.05,-0.12,-0.38,-0.24,-0.1875,-0.21,-0.29,-12.0065,-11.4095,-9.624,-9.532,-8.89375,-8.00975,-6.518,-6.203,-13.1535,-11.816,-7.479,-7.21275,-6.0365,-4.1155,-11.12,-10.93575,-10.234,-10.05,-8.2975,-7.96275,-6.81075,-5.6195,-4.59725,-12.63325,-11.70025,-10.779,-10.10625,-9.4865,-8.62325,-7.081,-6.6285,-14.45925,-12.98675,-11.66725,-10.5295,-9.9865,-8.151,-6.775,-5.75,-9.4095,-8.8615,-4.34775
1,4.25,424.315,0.505,414.282,0.475,2015.6425,424.468,0.496,414.20375,0.4615,2016.123,423.98,0.6045,414.2555,0.4565,2013.83125,424.455,0.417,414.5605,0.415,2017.077,4.215,-24.319,0.084,418.396,0.55,-0.009,-0.02025,-0.028,-0.453,-0.22075,0.155,-22.11625,-1.73725,0.36,2.4375,2.235,-24.4425,-26.81625,-24.305,-24.844,100.90625,76.585,0.188,-24.075,-24.38,-16.94,0.2,-2.05,1,-1.07,165.1,203.1,-45.13,223.5,233.2,-0.06,0.05,-0.1125,-0.39,-0.24,-0.19,-0.21,-0.29,-12.011,-11.422,-9.62625,-9.532,-8.899,-8.023,-6.524,-6.206,-13.141,-11.77,-7.4785,-7.21475,-6.0385,-4.11775,-11.104,-10.918,-10.15225,-9.85675,-8.13025,-7.965,-6.736,-5.621,-4.568,-12.595,-11.6675,-10.728,-10.077,-9.474,-8.62,-7.077,-6.591,-14.46,-12.985,-11.668,-10.53625,-9.984,-8.125,-6.75925,-5.72475,-9.7055,-8.65575,-4.4315
1,4.75,424.352,0.457,414.451,0.48075,2015.64525,424.437,0.417,414.4865,0.4725,2016.057,423.8375,0.5485,414.336,0.45,2013.7985,424.406,0.328,417.995,0.399,2018.473,4.315,-24.0345,0.0805,418.66575,0.547,-0.011,-0.0495,-0.03725,-0.52725,-0.1805,0.1515,-24.43,-1.47175,0.356,2.4375,2.1325,-24.264,-26.916,-24.11975,-24.55575,100.8915,76.39,0.19,-23.61,-24.45,-16.9075,0.2,-2.0575,1,-1.0025,171.525,204.275,-43.5125,223.8,233.2,-0.06,0.05,-0.115,-0.39,-0.24,-0.19,-0.21,-0.29,-12.01675,-11.417,-9.6275,-9.5325,-8.907,-8.0355,-6.53825,-6.218,-13.128,-11.7905,-7.48,-7.486,-6.07125,-4.159,-11.09775,-10.834,-10.056,-9.7435,-8.135,-7.9675,-6.7655,-5.62425,-4.58125,-12.566,-11.63075,-10.722,-10.07275,-9.48075,-8.623,-7.08025,-6.606,-14.425,-12.963,-11.66475,-10.516,-9.98525,-8.136,-6.778,-5.738,-9.358,-8.80625,-4.42
