DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,425.985,0.8235,423.0555,0.651,2029.979,426.119,0.8,422.991,0.628,2031.117,425.838,0.825,419.085,0.6935,2026.589,426.151,0.7755,423.539,0.6315,2034.4355,7.3975,-19.9305,0.1495,421.563,0.722,0.062,0.014,0.01,-0.1625,-0.003,0.264,-11.747,-0.364,0.523,4.54,4.15,-19.855,-21.9095,-19.8585,-20.014,101.824,79.77,0.228,-19.945,-18.86,-13.72,0.8,-1.25,2.3,-0.36,204.2,224.2,-14.75,240.4,249,0.02,0.34,0.425,-0.05,-0.01,-0.11,0.15,-0.24,-10.312,-9.762,-7.4615,-7.717,-6.829,-6.056,-4.839,-4.605,-11.078,-10.272,-5.328,-4.6055,-4.015,-2.74,-9.113,-9.129,-7.944,-7.5955,-5.8275,-6.1,-4.985,-4,-3.277,-11.161,-10.498,-9.446,-8.862,-7.938,-7.221,-5.787,-5.433,-12.823,-11.559,-10.096,-8.208,-8.268,-6.581,-5.365,-4.517,-7.16,-7.995,-3.3105
1,0.75,425.991,0.819,422.956,0.684,2029.8485,425.96,0.794,422.642,0.659,2030.4,425.67,0.815,418.9635,0.676,2025.409,426.0395,0.804,423.73,0.6065,2033.616,7.214,-19.77,0.144,421.648,0.708,0.046,-5e-04,0.023,-0.174,-0.0285,0.253,-13.57,0.331,0.532,4.28,4.105,-19.766,-21.9525,-19.7685,-20.1215,101.825,80.025,0.228,-19.7,-18.92,-13.71,0.8,-1.24,2.4,-0.37,201.1,225.8,-18.15,239.2,248.5,0.02,0.335,0.425,-0.04,-0.01,-0.11,0.14,-0.24,-10.315,-9.766,-7.465,-7.727,-6.862,-6.058,-4.843,-4.607,-11.087,-10.253,-5.3325,-4.608,-4.02,-2.7405,-9.126,-9.125,-7.957,-7.6065,-5.833,-6.103,-4.989,-3.9975,-3.279,-11.157,-10.512,-9.446,-8.865,-7.94,-7.223,-5.789,-5.435,-12.821,-11.569,-10.109,-8.214,-8.2625,-6.5535,-5.3315,-4.5125,-6.924,-7.992,-3.3205
1,1.25,425.905,0.81,423.019,0.703,2029.1465,426.052,0.77,421.625,0.666,2031.152,425.5335,0.813,419.062,0.6725,2026.2,425.927,0.757,423.681,0.628,2034.204,7.296,-19.59,0.144,421.439,0.7075,0.039,0.001,-0.028,-0.1765,0.037,0.255,-14.202,0.366,0.517,4.34,3.88,-19.668,-22.3095,-19.677,-19.999,101.837,79.98,0.229,-19.36,-18.71,-13.64,0.8,-1.27,2.4,-0.38,203.1,226.3,-20.83,239.3,248.5,0.02,0.32,0.44,-0.04,-0.01,-0.11,0.15,-0.24,-10.319,-9.768,-7.469,-7.737,-6.894,-6.061,-4.847,-4.609,-11.088,-10.238,-5.337,-4.6095,-4.025,-2.746,-9.14,-9.12,-7.9705,-7.617,-5.838,-6.102,-4.993,-4,-3.295,-11.153,-10.517,-9.447,-8.867,-7.943,-7.224,-5.791,-5.438,-12.815,-11.577,-10.121,-8.2205,-8.269,-6.5555,-5.335,-4.5145,-7.1255,-7.983,-3.292
1,1.75,425.8105,0.8315,422.982,0.6595,2028.5015,425.905,0.813,422.7835,0.655,2030.412,425.342,0.8275,419.176,0.679,2026.2275,425.9255,0.7495,423.598,0.6155,2029.8,7.219,-19.76,0.151,421.384,0.705,0.036,0.012,0.054,-0.139,0.037,0.25,-16.104,0.006,0.479,4.19,4.16,-19.746,-22.197,-19.579,-20.024,101.843,79.725,0.229,-19.215,-18.7,-13.61,0.8,-1.3,2.4,-0.405,203.7,225.2,-17.945,239.1,248.9,0.02,0.33,0.44,-0.04,-0.01,-0.12,0.15,-0.24,-10.321,-9.771,-7.4735,-7.746,-6.899,-6.064,-4.85,-4.611,-11.064,-10.249,-5.341,-4.6115,-4.02,-2.747,-9.153,-9.116,-7.984,-7.6275,-5.844,-6.106,-4.998,-3.998,-3.297,-11.15,-10.521,-9.447,-8.87,-7.945,-7.225,-5.793,-5.44,-12.837,-11.58,-10.133,-8.2255,-8.2745,-6.558,-5.338,-4.5165,-7.1345,-7.8795,-3.267
1,2.25,425.7525,0.8085,423.074,0.682,2029.073,425.8905,0.779,423.0795,0.651,2030.022,425.482,0.8335,419.335,0.656,2024.034,425.9335,0.723,423.602,0.611,2030.117,7.3055,-19.9255,0.163,421.271,0.7035,0.035,-0.006,0.0385,-0.119,-0.064,0.24,-8.51,-0.0585,0.49,4.2,4.14,-19.742,-22.315,-19.901,-19.993,101.843,79.79,0.2325,-19.225,-18.7,-13.69,0.9,-1.28,2.4,-0.42,202.2,225.1,-17.98,239,248.8,0.02,0.33,0.44,-0.04,-0.01,-0.11,0.14,-0.24,-10.325,-9.77,-7.4785,-7.756,-6.904,-6.066,-4.856,-4.613,-11.067,-10.236,-5.3455,-4.6135,-4.025,-2.7475,-9.165,-9.111,-7.9975,-7.6385,-5.849,-6.111,-5,-4.001,-3.299,-11.147,-10.521,-9.448,-8.872,-7.947,-7.227,-5.795,-5.442,-12.86,-11.6,-10.146,-8.227,-8.288,-6.559,-5.3415,-4.5185,-7.1675,-7.953,-3.339
1,2.75,425.852,0.8495,423.081,0.673,2030.009,425.807,0.805,422.936,0.661,2030.791,425.415,0.83,419.276,0.651,2023.647,425.902,0.7595,423.5795,0.615,2029.438,7.1835,-19.882,0.16,421.096,0.7095,0.04,-0.005,0.033,-0.15,-0.011,0.2415,-9.78,0.121,0.4605,4.48,4.46,-19.733,-22.2595,-19.7485,-20.324,101.845,79.885,0.228,-19.355,-18.77,-13.68,0.8,-1.24,2.4,-0.31,202.3,225.4,-19.22,238.7,248.8,0.02,0.34,0.435,-0.04,-0.01,-0.12,0.15,-0.24,-10.327,-9.766,-7.483,-7.765,-6.908,-6.069,-4.86,-4.615,-11.078,-10.214,-5.3495,-4.6155,-4.03,-2.7495,-9.176,-9.106,-8.01,-7.649,-5.8545,-6.112,-5.007,-4.003,-3.286,-11.143,-10.522,-9.449,-8.875,-7.95,-7.227,-5.797,-5.445,-12.857,-11.607,-10.158,-8.228,-8.299,-6.5605,-5.345,-4.5205,-7.129,-7.943,-3.195
1,3.25,425.921,0.8275,423.034,0.6625,2030.327,425.809,0.79,422.658,0.647,2030.3415,425.398,0.798,419.16,0.6645,2023.205,425.846,0.7395,423.621,0.622,2030.4915,7.462,-19.862,0.15,421.129,0.704,0.038,0.0055,0.014,-0.136,-0.004,0.268,-6.302,0.043,0.478,4.365,3.97,-19.842,-22.153,-19.9815,-20.405,101.852,79.99,0.222,-19.245,-18.85,-13.71,0.8,-1.25,2.4,-0.33,203.25,225.05,-18.185,238.9,248.6,0.02,0.33,0.44,-0.04,-0.01,-0.11,0.14,-0.24,-10.329,-9.762,-7.488,-7.775,-6.913,-6.072,-4.864,-4.617,-11.06,-10.195,-5.3545,-4.6175,-4.035,-2.752,-9.188,-9.102,-8.023,-7.66,-5.86,-6.112,-5.011,-4.005,-3.289,-11.14,-10.523,-9.45,-8.878,-7.952,-7.228,-5.798,-5.447,-12.877,-11.613,-10.171,-8.2295,-8.31,-6.5625,-5.348,-4.5225,-7.19,-7.742,-3.221
1,3.75,425.545,0.8585,422.611,0.666,2029.825,425.367,0.8255,419.8635,0.644,2030.6415,425.084,0.87,419.067,0.6635,2022.952,425.577,0.805,423.5695,0.623,2031.632,7.633,-19.759,0.142,421.138,0.704,0.0325,-0.007,0.011,-0.143,0.045,0.25,-8.229,0.17,0.526,4.395,4.225,-19.8995,-22.208,-20.116,-20.431,101.83,80.18,0.224,-19.28,-18.685,-13.67,0.8,-1.31,2.4,-0.38,203.6,225.3,-17.27,239.6,248.8,0.02,0.32,0.44,-0.04,-0.01,-0.11,0.15,-0.24,-10.3405,-9.769,-7.519,-7.795,-6.937,-6.085,-4.8865,-4.619,-11.0655,-10.2285,-5.4,-4.62,-4.04,-2.754,-9.248,-9.144,-8.228,-7.793,-5.988,-6.117,-5.021,-4.0105,-3.304,-11.168,-10.5335,-9.458,-8.913,-8.028,-7.233,-5.8105,-5.475,-12.8765,-11.626,-10.2115,-8.231,-8.316,-6.604,-5.378,-4.531,-7.115,-7.747,-3.3215
1,4.25,425.694,0.844,423.261,0.664,2030.153,425.598,0.841,423.106,0.645,2029.904,425.091,0.905,419.512,0.653,2023.411,425.692,0.801,423.682,0.631,2034.727,7.475,-20.042,0.146,421.366,0.7165,0.029,0.0085,0.016,-0.172,-0.054,0.248,-9.5005,-0.3695,0.481,4.56,4.55,-20.0925,-22.6195,-19.9895,-20.5195,101.8195,80.03,0.222,-19.5,-18.79,-13.64,0.8,-1.33,2.3,-0.38,203.2,225.2,-18.3,240.1,248.7,0.02,0.33,0.44,-0.04,-0.01,-0.12,0.15,-0.23,-10.333,-9.757,-7.4975,-7.793,-6.922,-6.078,-4.873,-4.621,-11.047,-10.188,-5.364,-4.622,-4.045,-2.7565,-9.21,-9.101,-8.049,-7.681,-5.8705,-6.112,-5.019,-4.01,-3.292,-11.134,-10.524,-9.455,-8.882,-7.957,-7.229,-5.803,-5.452,-12.859,-11.621,-10.197,-8.2315,-8.312,-6.5655,-5.3545,-4.5265,-7.162,-7.713,-3.3265
1,4.75,425.824,0.862,423.218,0.6645,2029.5125,425.837,0.826,423.1455,0.634,2030.667,424.908,0.858,419.032,0.6655,2024.8145,425.811,0.824,423.702,0.62,2032.476,7.367,-19.704,0.148,421.2775,0.72,0.028,0.003,0.0095,-0.1375,-0.024,0.251,-11.0205,-0.3315,0.492,4.785,4.57,-19.85,-22.242,-19.9825,-20.444,101.767,80.14,0.228,-19.47,-18.92,-13.595,0.8,-1.33,2.4,-0.355,205.65,225.5,-18.835,239.8,248.9,0.02,0.33,0.44,-0.05,-0.01,-0.12,0.14,-0.225,-10.3245,-9.755,-7.481,-7.7365,-6.901,-6.039,-4.8685,-4.615,-11.041,-10.1945,-5.323,-4.572,-4.0375,-2.76,-9.169,-9.101,-7.868,-7.568,-5.754,-6.1055,-4.987,-4.003,-3.2885,-11.089,-10.501,-9.459,-8.856,-7.9595,-7.2175,-5.783,-5.449,-12.8395,-11.631,-10.124,-8.228,-8.295,-6.527,-5.335,-4.523,-7.125,-7.7075,-3.164
