DOY2,HR2,FC,SC,LE,USTAR,H,SH,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,1.20937923535651,0.266830786155867,5.28133363638298,0.321460844195798,-1.30059527398488,-0.160171419629196,0.809540362700737,441.520736250726,5.97795830059801,435.126493278253,5.70781087226652,440.196222744262,436.553092754578,5.84070386983023,444.894741557377,440.530737850066,6.06974244756831,448.179876020161,443.720857330607,5.99144452580554,450.90505412143,1.88344414281373,3.5930274122276,0.395062909936502,0.68,0.4,0.4075,3.526425,3.353,4.43965,2.34415,1.94065,100.444635,84.58,2.7985,3.5825,5.04,2.9025,2.2,-1.08,3.6,1.185,310.1,332.525,313.75,327.6,0.0725,0.29,0.11,0.24,0.1,0.0975,0.115,0.22,1.819,1.95425,2.3335,2.97325,3.5055,5.56525,6.9405,8.255,9.84875,2.17525,2.12575,2.79275,3.27425,3.352,4.909,6.428,7.72625,9.31275,2.8955,3.7745,4.7525,5.3755,5.9225,6.145,6.71125,7.9795,9.16325,2.697,2.53625,3.42325,4.4565,4.75175,2.3645,7.062,7.37975,8.8215,2.85725,3.32825,3.80325,4.40225,4.75575,5.9885,7.59325,8.58975,10.3185,-0.42575,-1.939,-2.234,-12.64
1,0.75,1.0163805190404,0.421498777341868,3.36560191392743,0.299762780027704,-0.922847212267693,-0.113715136758525,0.813023088767146,438.841993463547,5.72970393783643,433.841413753808,5.87865280774657,439.982579146019,440.19917390276,5.88712675991501,448.102303976296,445.792084256108,5.99612076490276,453.212779856102,446.590654129995,5.79881648837864,457.072540395498,1.7698891587541,3.63842839386456,0.466737296085646,0.665,0.3625,0.3275,3.6644,3.39675,3.778275,2.37145,1.62125,100.42703,85.04,2.719875,3.605,4.9925,3.045,2.2,-0.9675,3.6,1.2625,311.5,331.6,315.7,328.175,0.065,0.29,0.11,0.24,0.1,0.09,0.1075,0.22,1.7055,1.8505,2.302,2.93725,3.4945,5.55775,6.93675,8.254,9.84875,2.13425,2.07975,2.7545,3.26525,3.343,4.91775,6.42575,7.7265,9.31075,2.9685,3.672,4.7275,5.351,5.9195,6.146,6.7145,7.9795,9.16075,2.66425,2.49325,3.41225,4.451,4.743,2.36375,7.062,7.3805,8.82075,2.77825,3.27875,3.75725,4.38625,4.74875,5.986,7.59275,8.589,10.3165,-0.1625,-2.245,-1.04,-13.8625
1,1.25,1.20471988656239,0.173861672621331,3.61969661598001,0.293872510603078,-1.96211385336222,0.169301448331864,0.765985953518958,439.22013495467,5.74052899008087,435.495183828745,5.52933377891382,438.849899313666,439.373493167391,5.60097761323927,446.588140129412,442.850002520131,5.73969815988627,453.453561974367,446.406776929094,5.63258728389958,456.095658749183,1.84328418517071,3.48964675387751,0.448013637838325,0.6525,0.355,0.33,3.1401,3.2195,2.0332,1.787875,1.6601,100.4265225,85.21,2.58945,3.3225,4.8125,3.1175,2.125,-0.9275,3.6,1.0175,308.25,330.55,313.925,327.075,0.0825,0.29,0.1,0.24,0.1,0.0925,0.1,0.22,1.65975,1.78075,2.26875,2.912,3.484,5.55,6.933,8.2525,9.8485,2.02975,1.99675,2.7235,3.25925,3.34,4.9095,6.42275,7.72725,9.3095,2.973,3.6545,4.708,5.342,5.917,6.146,6.72,7.97925,9.159,2.6405,2.522,3.4045,4.4455,4.7395,2.363,7.06275,7.37675,8.8195,2.79425,3.315,3.69625,4.37675,4.74275,5.98475,7.59125,8.58875,10.3155,-0.448,-3.3775,-1.32925,-18.22
1,1.75,1.09948668545562,0.194248507956765,4.46068746663483,0.325878927433621,-1.54302578412346,-0.294616314059517,0.735229398280497,437.788354933848,5.84847533393513,433.35435207967,5.65024502787243,437.907920788079,437.051552321438,5.58655213515234,446.261038510386,441.323258684109,5.73136296432046,451.818811197292,444.72373307152,5.69471290196132,453.915673647059,1.82273712095452,3.36179489988506,0.472345336480722,0.6925,0.34,0.3275,3.13925,2.8585,1.365975,1.61125,1.554825,100.424075,87.1875,2.502625,3.475,4.5575,2.8325,2.2,-0.745,3.6,1.175,310.1,329.725,315.325,326.825,0.065,0.2825,0.11,0.24,0.09,0.09,0.0975,0.22,1.58425,1.70725,2.24375,2.8935,3.47325,5.5425,6.93025,8.2515,9.84575,2.054,1.95925,2.68475,3.25075,3.33625,4.90125,6.4205,7.7275,9.30825,2.889,3.6805,4.6835,5.335,5.914,6.146,6.712,7.979,9.15725,2.5675,2.5865,3.39875,4.4325,4.76,2.36225,7.06275,7.376,8.81825,2.802,3.2695,3.64375,4.3775,4.73925,5.98375,7.59,8.588,10.3135,-3.3715,-5.321,-3.147,-15.7125
1,2.25,0.979293149498524,0.25580265603258,3.77993610046577,0.269611792717327,-0.578586596595437,0.51517702757639,0.771568728338542,439.15665837157,5.86424692945556,435.787303669158,5.80210852238804,441.095192934417,440.028145121902,5.79209833813826,445.756083199263,443.739623891339,5.78864238799647,447.912916968137,446.048920785995,5.78519166672519,450.931774668389,1.67986894973543,2.80152873237678,0.466862987455732,0.5875,0.3225,0.32,3.0514,2.7965,0.708475,1.5913,1.685975,100.40948,85.8,2.4367,3.415,4.425,2.47,2.2,-0.895,3.6,1.0925,312.525,330.725,316.25,324.075,0.0725,0.28,0.11,0.2425,0.1,0.09,0.09,0.21,1.5575,1.72725,2.21675,2.86825,3.46075,5.535,6.9265,8.24975,9.8465,2.145,1.92475,2.649,3.237,3.333,4.89325,6.4175,7.723,9.30625,2.886,3.6515,4.6445,5.3285,5.911,6.142,6.7155,7.9735,9.15525,2.4665,2.5365,3.3815,4.418,4.7735,2.36175,7.0605,7.3745,8.81675,2.812,3.2305,3.652,4.37275,4.73225,5.9825,7.5885,8.58775,10.31075,-1.4165,-5.393,-3.812,-15.27
1,2.75,1.31905619691993,0.469879535674166,4.07927312763172,0.272129006624411,-0.859577751385008,0.52530234908465,0.730921648659572,441.51017422362,6.07373086263538,436.531674301654,5.88367009576504,441.2740411106,441.315289406175,5.75392661439101,444.842305839117,441.81774667137,5.81408080633973,449.635073429448,447.447579959186,5.85598694934406,451.7882037738,1.51918592018802,2.74964490064596,0.492538032343437,0.595,0.325,0.3225,2.9058,2.5515,0.459,1.8216,1.796275,100.39739,84.7775,2.38885,3.55,4.6425,2.635,2.2,-0.56,3.7,1.18,313.75,331.6,316.9,326.15,0.0625,0.28,0.11,0.25,0.09,0.09,0.09,0.21,1.60375,1.6695,2.2345,2.84125,3.44875,5.5265,6.923,8.248,9.84625,2.06825,2.00125,2.61225,3.206,3.33,4.88525,6.41525,7.7235,9.305,2.856,3.5965,4.6045,5.322,5.909,6.138,6.71325,7.974,9.1535,2.436,2.56775,3.356,4.3965,4.7825,2.36025,7.05825,7.37075,8.81475,2.76325,3.112,3.6205,4.32975,4.71875,5.98125,7.588,8.587,10.3095,-0.134,-5.12775,-0.676,-6.75
1,3.25,1.36722847900161,0.334476353886864,2.79758735294916,0.226389939052116,-0.844440001659542,0.08821053245211,0.684383959445102,439.566943047928,6.18841316823945,434.40281260133,5.69904071963243,439.140337190717,438.683154098924,5.59338894143638,445.147875776488,443.882856447057,5.59536838122431,448.405811855217,445.368547675129,5.60876270028139,450.23199953377,1.56540653809387,2.8804860862728,0.477400587463266,0.5825,0.31,0.295,2.9931,2.62775,0.2057,2.0193,1.510725,100.3852125,84.7525,2.2774,3.4575,4.735,2.5625,2.1,-0.47,3.6,1.27,312.4,332.05,317.525,325.625,0.0725,0.28,0.1,0.2425,0.1,0.09,0.09,0.22,1.61725,1.5705,2.229,2.8145,3.44075,5.519,6.91925,8.24875,9.844,2.0315,2.0255,2.6555,3.19975,3.326,4.87775,6.413,7.723,9.30375,2.8085,3.547,4.607,5.319,5.907,6.134,6.71525,7.975,9.1515,2.51025,2.4965,3.36175,4.388,4.792,2.35925,7.0565,7.37,8.8135,2.751,3.09575,3.559,4.30575,4.69725,5.9795,7.5875,8.587,10.30825,-1.781,-5.7125,-3.845,-8.78
1,3.75,1.10085097011756,0.454856964164267,2.97455290584506,0.232921093896602,-0.463840980067974,0.81025240599738,0.651641581320811,440.495344907277,6.38906777661891,436.700289185202,5.74895827798296,441.268923057692,441.107741930168,5.64946138576093,447.318592481359,446.435645762488,5.99774821504589,449.629219951228,447.189689978352,5.62655682182366,452.438810665018,1.51233967940169,3.1605173218496,0.459239419704017,0.705,0.3525,0.3375,3.240625,2.8655,0.55495,2.7082,1.56745,100.390905,86.1875,2.2595,3.51,4.6475,2.4975,2.1,-0.515,3.6,1.3025,309.875,331.525,315.75,326.5,0.075,0.27,0.1,0.24,0.09,0.08,0.0925,0.21,1.57875,1.50575,2.17975,2.7845,3.43725,5.51225,6.9165,8.2485,9.84275,2.028,1.91125,2.6055,3.20275,3.32175,4.86975,6.41075,7.728,9.3015,2.8135,3.53,4.629,5.316,5.9055,6.13,6.71625,7.981,9.14975,2.52175,2.468,3.33925,4.3845,4.78275,2.3655,7.05425,7.36775,8.81275,2.637,3.065,3.56525,4.29325,4.6745,5.97825,7.5835,8.58675,10.307,-0.685,-5.79225,-4.09575,-6.845
1,4.25,1.69415470652634,0.291438262214263,5.17198218713604,0.228227060927469,-1.06586666536532,1.2010909575921,0.644545213384686,441.426115593055,6.2953744083155,437.107334087258,5.59945416298369,441.548211103397,441.590874989452,5.54755040211618,447.855656466635,442.577052963606,5.66502696400027,451.139817416404,444.939616642758,5.40858486878259,450.923108231788,1.48083757384115,3.04450324559031,0.532037658408146,0.645,0.3125,0.2975,3.442825,3.0585,0.50535,2.5273,1.704475,100.3864475,86.65,2.3716,3.4225,4.96,2.5925,2.2,-0.6,3.6,1.27,311.25,331.925,316.125,327.025,0.07,0.28,0.1025,0.25,0.09,0.09,0.0975,0.21,1.49575,1.494,2.16675,2.76875,3.4365,5.50475,6.91725,8.2485,9.84275,2.0425,1.951,2.58025,3.20425,3.31625,4.86175,6.393,7.7265,9.2885,2.78375,3.483,4.6015,5.30875,5.889,6.109,6.70975,7.98325,9.148,2.42775,2.4575,3.308,4.3815,4.7805,2.37525,7.05175,7.36625,8.813,2.508,3.09225,3.5425,4.26575,4.6535,5.97775,7.582,8.586,10.305,-0.05025,-5.70725,-2.4935,-5.22
1,4.75,1.37311487727261,0.392038896966263,2.7486449624626,0.211572322035994,-2.17316965328058,1.46197445646929,0.699967070546245,442.987749340519,5.94714953723344,438.340308227616,5.2987050462375,441.655014398302,441.606477092734,5.38470496469863,448.741734660194,447.222518711252,5.55950679811326,450.026794564057,450.713028654344,5.54878963249069,454.620850412206,1.57697603760838,2.60824004787503,0.462643520493115,0.65,0.3125,0.31,3.361475,3.18075,1.14815,2.514625,1.544075,100.37411,87.5,2.4602,3.325,4.7225,2.8,2.1,-0.69,3.6,1.1625,311,331,315.975,324.95,0.08,0.2725,0.1,0.25,0.1,0.09,0.09,0.21,1.47275,1.464,2.19325,2.77775,3.43725,5.4975,6.91825,8.24825,9.84225,2.052,1.97525,2.582,3.2025,3.31025,4.853,6.393,7.7255,9.29925,2.763,3.415,4.592,5.29925,5.886,6.107,6.714,7.982,9.14625,2.20275,2.376,3.24075,4.3785,4.7785,2.385,7.0495,7.36475,8.814,2.40575,3.05825,3.536,4.2585,4.646,5.978,7.58,8.585,10.30375,-0.385,-6.6845,-3.8845,-6.555
