DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CH4_1_5_1,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,H2O_1_6_3,CH4_1_6_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,417.38525,1.779,419.479,2.28275,2006,418.169,1.816,417.2905,3.173,2012.28375,416.80325,1.891,419.845,2.8595,2001.378,417.585,1.7925,423.473,2.775,2001.41975,420.389,1.898,420.2825,1.8895,2004.8245,419.90525,1.814,422.42625,2.3525,1995.625,0.851,-10.4,0.111,420.5315,1.658,0.265,-0.24825,0.1725,1.53875,-1.74625,0.115,-46.8995,-6.088,0.425,0.69,0.38,0.2725,0.31,0.145,-9.8985,-10.6365,-10.409,-10.50025,-10.804,-10.688,-2.22375,97.62825,59.11,0.5885,-8.21,-8.1325,-7.6375,-7.62,-4.95,0.125,-3.3025,0.8,-0.8,209.075,271.3,-75.805,285.775,287.575,0.11,-0.01,-0.1,0.05,-0.38,-0.3,-0.06,0.04,-0.12,-0.22,1.037,1.15675,1.6225,2.316,2.78,3.401,4.3455,5.1705,5.5835,0.689,1.23125,1.9455,2.4155,3.4335,4.02825,3.9025,5.89425,6.3195,1.274,1.52375,2.4455,2.76125,3.256,4.1605,4.6515,4.815,5.95,0.45375,1.071,1.954,2.6635,3.811,5.21275,4.52825,5.71,6.281,0.8905,1.7215,2.11125,1.94,3.235,4.546,4.57,5.542,6.0285,-5.248,-9.0565,-7.36175
1,0.75,416.809,1.73775,419.749,1.797,2005.2915,418.28175,1.808,415.01175,2.701,2011.78225,417.1275,1.8395,417.0325,2.4005,2001.2215,417.33725,1.78525,423.047,2.823,2003.34125,420.52575,1.85075,421.5095,1.89425,2003.5695,419.809,1.76775,421.239,2.1575,1995.297,0.86,-10.678,0.1125,420.699,1.656,0.3115,-0.184,0.27275,2.01575,-1.719,0.1205,-47.982,-7.795,0.4465,0.7025,0.39,0.27,0.32,0.17,-10.055,-10.537,-10.399,-10.748,-10.922,-10.995,-2.55475,97.585,59.6325,0.53,-8.44,-8.15,-7.58,-7.5675,-4.83,0.2,-3.29,0.9,-0.81,208.6,270.7,-72.85,285.65,286.75,0.11,-0.01,-0.1,0.05,-0.38,-0.3,-0.07,0.035,-0.12,-0.195,1.03825,1.15,1.623,2.313,2.781,3.4005,4.345,5.173,5.58775,0.6895,1.21,1.944,2.409,3.44925,4.02825,3.9025,5.8985,6.322,1.2645,1.50525,2.443,2.7575,3.25775,4.1575,4.6445,4.813,5.943,0.448,1.066,1.955,2.654,3.8075,5.224,4.527,5.708,6.27975,0.88525,1.7135,2.10675,1.932,3.238,4.536,4.57675,5.546,6.03,-5.25125,-9.2335,-7.37275
1,1.25,417.009,1.691,419.10825,2.233,2005.381,417.779,1.779,418.09925,3.13275,2012.8665,417.3095,1.79925,419.6045,2.579,2001.974,417.674,1.74425,422.4475,2.77,2001.41425,420.88,1.804,420.18125,1.8405,2005.136,419.777,1.768,422.74225,2.219,1996.182,0.84725,-10.93125,0.107,420.6675,1.5935,0.2695,-0.24875,0.07,0.7105,-2.332,0.11175,-45.59875,-6.0275,0.4685,0.615,0.37,0.255,0.3,0.17,-10.39275,-10.971,-10.644,-10.997,-10.98125,-11.04425,-2.911,97.59675,59.7075,0.5285,-8.5675,-8.37,-7.7425,-7.79,-4.76,0.2,-3.33,0.8,-0.695,206.9,269.6,-76.29,285.75,286.7,0.1,-0.01,-0.1,0.05,-0.38,-0.3,-0.06,0.04,-0.12,-0.2,1.03675,1.15,1.62425,2.31025,2.78,3.3995,4.3445,5.173,5.582,0.686,1.217,1.9445,2.409,3.453,4.0275,3.90225,5.89275,6.3215,1.25725,1.5115,2.443,2.757,3.27325,4.16025,4.645,4.81075,5.943,0.44625,1.062,1.95525,2.66175,3.81,5.224,4.51425,5.708,6.27875,0.8845,1.70725,2.1075,1.927,3.234,4.529,4.57625,5.541,6.0295,-5.23325,-9.262,-7.2375
1,1.75,417.349,1.684,418.498,2.0655,2006.925,418.0785,1.8485,414.861,3.005,2011.97675,417.72625,1.844,418.264,2.697,2001.58325,418.31,1.825,422.775,2.908,2005.964,421.428,1.886,420.6095,1.828,2008.64,420.327,1.771,420.903,1.9945,1994.885,0.804,-11.0565,0.104,420.58925,1.54325,0.272,-0.327,0.07425,0.7635,-0.8925,0.113,-44.8495,-7.335,0.4005,0.63,0.36,0.255,0.29,0.14,-10.2665,-10.7915,-10.52425,-11.0355,-11.14,-11.384,-3.24925,97.57725,59.7875,0.553,-8.6475,-8.5075,-7.9875,-7.895,-4.945,0.1,-3.3475,0.8,-0.8,205.825,269.675,-74.52,286.3,286.3,0.1,-0.01,-0.1,0.05,-0.38,-0.3,-0.07,0.04,-0.12,-0.195,1.0385,1.1465,1.62,2.3085,2.77225,3.3995,4.344,5.1675,5.581,0.6785,1.2145,1.946,2.41625,3.444,4.0275,3.9025,5.89175,6.31675,1.24875,1.5105,2.4445,2.7565,3.27275,4.15375,4.6565,4.8105,5.94,0.448,1.06675,1.952,2.661,3.809,5.211,4.5175,5.708,6.28,0.88525,1.705,2.11,1.931,3.2395,4.52775,4.575,5.54075,6.02575,-5.244,-9.51175,-7.145
1,2.25,416.71775,1.6925,418.66,2.2145,2006.078,417.5155,1.942,417.74525,3.0185,2012.785,417.25225,1.7685,420.25975,2.43775,2003.596,417.71875,1.75,422.312,2.6585,2005.179,421.071,1.80425,420.852,1.962,2006.49275,420.19875,1.846,422.547,2.31475,1995.52475,0.8645,-11.5335,0.0985,420.746,1.50475,0.1725,-0.1945,0.2775,0.57,-1.04675,0.1205,-41.33625,-7.5685,0.445,0.65,0.37,0.25,0.28,0.125,-10.428,-11.0755,-10.566,-11.23725,-11.311,-11.4855,-3.741,97.5575,60.06,0.517,-8.5625,-8.6225,-7.91,-7.95,-4.8925,0.2,-3.3975,0.8,-0.7875,206.85,269.575,-74.8225,286.225,286.2,0.11,0,-0.1,0.05,-0.3775,-0.3,-0.07,0.03,-0.12,-0.2,1.0345,1.1445,1.6185,2.307,2.772,3.3995,4.3435,5.1655,5.58,0.6655,1.2135,1.9465,2.423,3.438,4.0275,3.90175,5.8915,6.31575,1.2425,1.485,2.443,2.75425,3.26,4.15925,4.65575,4.80975,5.943,0.448,1.054,1.95,2.653,3.808,5.211,4.5275,5.707,6.279,0.8825,1.7045,2.113,1.93175,3.23575,4.52675,4.57475,5.53975,6.02475,-5.2025,-9.169,-7.4925
1,2.75,417.3885,1.812,419.73075,1.903,2006.343,418.762,1.9205,414.695,2.74525,2010.441,418.109,1.868,419.5565,2.823,2000.716,418.708,1.849,423.686,2.696,2004.4595,421.3175,2.011,421.259,1.78925,2006.542,419.9095,1.998,422.31175,2.0405,1996.05575,0.847,-11.3495,0.108,420.15575,1.564,0.291,-0.206,0.2,0.624,-1.638,0.1,-42.7795,-6.882,0.422,0.66,0.36,0.25,0.29,0.1225,-10.4425,-11.162,-10.547,-11.00375,-11.47075,-11.4785,-4.1295,97.579,60.13,0.48,-8.37,-8.35,-7.97,-8,-4.925,0.2,-3.47,0.8,-0.73,206.8,269.5,-72.93,285.85,285.4,0.1,-0.02,-0.1,0.05,-0.38,-0.3,-0.06,0.0325,-0.12,-0.2075,1.017,1.1395,1.615,2.3065,2.77,3.399,4.3425,5.1645,5.58,0.65675,1.2,1.9545,2.43225,3.43725,4.0275,3.90225,5.8905,6.315,1.2425,1.473,2.442,2.756,3.25325,4.156,4.6555,4.80875,5.942,0.449,1.0545,1.9495,2.6725,3.807,5.211,4.52625,5.706,6.278,0.87775,1.70825,2.1115,1.931,3.23525,4.527,4.568,5.5395,6.02375,-5.316,-9.187,-7.47775
1,3.25,417.139,1.745,418.732,2.13,2006.923,417.9725,1.919,417.57,3.008,2010.249,417.403,1.8485,422.257,2.657,2003.385,418.06,1.837,423.819,2.667,2004.5,420.8445,2.0445,421.605,1.9615,2002.6985,419.887,2.085,422.643,2.203,1996.646,0.9025,-11.54725,0.11725,420.24175,1.592,0.242,-0.138,0.337,0.842,-2.319,0.114,-46.824,-7.228,0.39925,0.69,0.36,0.26,0.29,0.11,-10.624,-11.06075,-10.8325,-11.23125,-11.455,-11.584,-4.3355,97.56825,60.215,0.463,-8.47,-8.605,-8.3475,-8.31,-5.12,0.2,-3.5275,0.9,-0.815,205.375,268.525,-71.7875,285.65,285.1,0.1,-0.02,-0.1,0.05,-0.37,-0.3,-0.06,0.03,-0.12,-0.18,1.00525,1.151,1.617,2.31225,2.77725,3.399,4.342,5.162,5.579,0.6495,1.21,1.9525,2.419,3.43725,4.0275,3.90225,5.8895,6.314,1.23875,1.476,2.4465,2.756,3.26,4.156,4.65475,4.808,5.94175,0.4505,1.0465,1.9505,2.67025,3.805,5.21,4.5245,5.705,6.277,0.86825,1.709,2.1085,1.93125,3.23525,4.53225,4.568,5.53875,6.022,-5.335,-9.184,-7.385
1,3.75,417.2,1.686,419.8475,1.899,2005.21625,417.714,1.926,417.483,3.076,2010.6955,417.43125,1.90275,419.295,2.3645,2001.6905,417.8905,1.92325,424.782,2.668,2004.442,421.697,2.0395,422.036,1.61375,2003.817,419.95475,1.971,423.177,1.833,1995.775,0.805,-11.647,0.114,420.549,1.55925,0.091,-0.47025,0.10925,0.27725,-2.0535,0.113,-39.5015,-6.812,0.42,0.6425,0.37,0.255,0.27,0.14,-10.6415,-11.09,-10.9155,-11.366,-11.4305,-11.499,-4.752,97.56825,61,0.443,-8.8175,-8.7775,-8.4825,-8.415,-5.125,0.2,-3.51,0.9,-0.8,209.85,268,-70.4925,284.6,285.25,0.1,-0.02,-0.1,0.05,-0.37,-0.3,-0.06,0.035,-0.12,-0.17,0.99625,1.1405,1.6165,2.3125,2.77675,3.399,4.341,5.161,5.578,0.643,1.191,1.949,2.41175,3.443,4.02725,3.90125,5.88925,6.313,1.2365,1.482,2.446,2.756,3.263,4.155,4.65375,4.807,5.945,0.452,1.035,1.94875,2.68125,3.801,5.21,4.512,5.705,6.277,0.85275,1.7085,2.1075,1.93075,3.23975,4.53225,4.5675,5.5385,6.02125,-5.32275,-9.227,-7.37975
1,4.25,416.968,1.754,418.3145,2.019,2006.6445,417.6655,2.0455,417.9835,2.637,2009.243,417.41375,1.89,421.174,2.5295,2001.86775,417.737,1.939,421.742,2.2265,2004.536,421.7235,2.12125,421.7775,1.941,2003.462,420.121,2.045,423.762,2.321,1996.901,0.85175,-11.6625,0.10625,420.171,1.58075,0.22125,-0.276,0.233,0.34825,-2.8965,0.11225,-45.06025,-7.56475,0.43575,0.6925,0.38,0.25,0.29,0.11,-10.48475,-11.37125,-10.9455,-11.548,-11.528,-11.71075,-4.8635,97.5605,60.955,0.45,-9.04,-8.9575,-8.52,-8.355,-5.4,0.125,-3.38,0.8,-0.8,210.9,267.825,-68.4575,284.85,285.375,0.1,-0.01,-0.1,0.05,-0.38,-0.3,-0.07,0.03,-0.12,-0.185,0.991,1.1275,1.6115,2.312,2.789,3.3985,4.34,5.16,5.577,0.64325,1.19525,1.9475,2.4185,3.442,4.02725,3.9005,5.88825,6.31225,1.23825,1.48325,2.445,2.756,3.26275,4.158,4.6535,4.80675,5.9445,0.452,1.03,1.94625,2.67,3.799,5.20925,4.511,5.704,6.276,0.8385,1.703,2.106,1.92875,3.23975,4.5325,4.5715,5.5375,6.02025,-5.17425,-8.78,-7.561
1,4.75,417.12275,1.68,419.60825,1.86475,2005.32925,417.923,1.81425,417.04975,2.73475,2008.614,417.6925,1.7475,420.793,2.84475,2002.212,418.04075,1.775,422.47475,2.1985,2004.753,421.041,1.882,421.277,1.621,2004.486,420.57,1.9895,423.332,1.88575,1994.644,0.824,-11.924,0.107,420.53475,1.51,0.1735,-0.36,-0.04475,0.2115,-1.799,0.119,-43.373,-6.049,0.439,0.68,0.3625,0.25,0.29,0.12,-10.461,-11.28675,-11.17475,-11.609,-11.58525,-11.835,-5.0165,97.5575,61.355,0.4425,-9.17,-9.1425,-8.6925,-8.555,-5.5125,0.2,-3.43,0.8,-0.73,210.825,267.05,-67.005,284.875,284.625,0.1,-0.0175,-0.1,0.05,-0.37,-0.3,-0.06,0.03,-0.12,-0.1875,0.986,1.1185,1.606,2.312,2.775,3.3985,4.339,5.16,5.5765,0.668,1.19625,1.9445,2.419,3.442,4.02725,3.90125,5.8885,6.31125,1.23375,1.48125,2.448,2.7505,3.254,4.15775,4.65275,4.80575,5.9435,0.453,1.029,1.9455,2.666,3.797,5.205,4.511,5.704,6.275,0.8375,1.701,2.105,1.92725,3.234,4.5325,4.5705,5.53725,6.01925,-5.2045,-8.998,-7.32275
