DOY2,HR2,FC,SC,LE,SLE,USTAR,H,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,0.460557946018463,0.0496073173919756,4.27161723922442,-0.579968215595614,0.344533317004391,-30.7342897493057,0.95521562047967,422.117896481892,2.7504468928704,420.388656356704,3.04152277079806,422.401929655903,420.527730694317,3.0794759003786,422.455471307444,420.982428969128,3.05712376308934,423.362004233236,421.106453413335,3.03979849482504,424.502089794737,424.809017049186,3.27502799945729,423.742988527559,423.514458949663,3.25457391189978,424.094538759615,1.71896967298468,-5.32565675986334,0.175705102864108,1.34,0.77,0.51,0.49,-4.5712,-4.8105,-5.01915,-4.7726,-4.9298,-5.25645,-7.0608,98.22001,69.1,1.05885,-3.06,-3.22,-3.09,-3,-1.76,1.9,-2.16,3.6,0.1,261.1,294.2,302.7,300.6,0.13,0.165,-0.09,0.06,-0.29,-0.07,0.13,0.47,0.09,-0.16,1.9455,1.8795,2.1115,2.615,3.3095,3.47,4.498,5.3335,5.755,1.0505,1.581,2.294,2.793,4.063,4.3,4.3535,5.949,6.341,1.707,1.833,2.6045,2.914,3.3965,4.254,4.708,4.9075,5.9975,1.0045,1.381,2.2685,2.9895,4.131,4.623,5.822,6.3465,1.307,2.0955,2.466,2.301,3.5285,4.716,4.904,5.734,6.169,-3.691,-4.66,-5.6745,-24.75
1,0.75,0.552453666818415,0.00262896209114911,3.04987889433263,-0.836978740425724,0.303590006692789,-31.9396413614028,0.793556291664043,422.331813772151,2.64016066208736,420.430477481279,3.00976104208107,422.200803926045,420.653360224468,3.0006401180865,421.975978684783,421.002744295356,3.07361625485245,421.989352613301,420.962395210903,3.10129509048911,421.173392900958,424.13868646983,3.32972040926721,425.417438534615,423.660866996738,3.25039668830859,423.559479134185,1.71841419743352,-5.80620864870977,0.160305171778285,1.315,0.775,0.49,0.485,-4.66355,-4.9005,-5.15905,-4.78155,-4.8451,-5.48495,-7.4847,98.18542,68.345,1.07245,-2.93,-3.18,-3.145,-3.045,-1.78,1.8,-2.15,3.6,0.14,264.2,294.1,302.6,300.4,0.13,0.16,-0.09,0.06,-0.29,-0.08,0.13,0.47,0.09,-0.16,1.9365,1.8795,2.1085,2.615,3.301,3.469,4.4975,5.3325,5.754,1.0535,1.585,2.293,2.767,4.059,4.3,4.3535,5.948,6.341,1.708,1.833,2.606,2.9135,3.405,4.254,4.707,4.9075,5.983,1.009,1.3765,2.267,2.987,4.131,4.623,5.821,6.346,1.311,2.0955,2.466,2.29,3.528,4.716,4.9105,5.733,6.168,-3.622,-4.583,-5.8655,-23.17
1,1.25,0.507566151145884,0.133653491017055,3.10110205055877,-0.601815377661899,0.297839617742059,-29.7740386492789,0.83916240040093,422.326841114722,2.51410529978373,420.694711913247,2.95302816062669,422.178484617869,420.665732261179,2.97631801658603,422.840573543651,420.991039630611,3.03360046122285,422.535092853206,421.066761680825,3.03378849298497,421.893595150794,425.020005518602,3.20679538987274,424.682818165732,423.418893372983,3.19102313084788,426.342407708464,1.79496995124655,-6.14055804584351,0.156740124796971,1.385,0.79,0.48,0.51,-4.8465,-4.745,-5.36715,-4.9278,-5.0025,-5.4397,-7.0473,98.17932,68.31,1.0898,-2.865,-3.47,-3.15,-3.155,-1.83,1.9,-2.26,3.6,0.13,261.5,293.1,302.7,299.7,0.13,0.14,-0.09,0.06,-0.29,-0.08,0.13,0.47,0.09,-0.16,1.937,1.877,2.112,2.6105,3.301,3.469,4.4975,5.3315,5.753,1.056,1.588,2.292,2.767,4.053,4.2995,4.3525,5.948,6.34,1.709,1.832,2.6065,2.9125,3.404,4.253,4.707,4.9,5.983,1.013,1.3765,2.265,2.987,4.132,4.6215,5.8205,6.345,1.3135,2.0935,2.466,2.289,3.52,4.7195,4.9105,5.732,6.168,-3.827,-4.027,-5.951,-22.41
1,1.75,0.435420765159658,0.0222069424785624,3.33947424687001,-0.311262208898093,0.229311630821076,-28.4270446503586,0.784923542129373,422.183689926188,2.5287922950977,420.936692858812,2.98741388832305,421.924943576923,421.141675960977,2.97513565471021,421.965436623109,421.77596925782,3.06279382319833,423.066974105431,421.363979532826,3.05875148674153,421.889883308901,425.87345203981,3.30563428765167,423.874305476191,423.785265400142,3.09793244258869,424.775848704258,1.78926647244203,-6.17629504298259,0.164405795022154,1.28,0.77,0.46,0.485,-4.8713,-5.017,-5.3667,-4.8879,-5.1484,-5.7343,-6.6004,98.14815,68.45,1.0097,-2.87,-3.58,-3.27,-3.215,-1.995,1.9,-2.4,3.6,0.12,264.5,292.2,302.45,300.15,0.13,0.17,-0.09,0.06,-0.29,-0.09,0.13,0.47,0.09,-0.16,1.937,1.872,2.109,2.608,3.3,3.469,4.4965,5.3315,5.7525,1.055,1.572,2.291,2.766,4.053,4.2995,4.3525,5.947,6.34,1.709,1.832,2.607,2.912,3.402,4.253,4.706,4.899,5.982,1.0165,1.376,2.264,2.986,4.132,4.621,5.82,6.344,1.325,2.086,2.466,2.288,3.5245,4.722,4.9095,5.732,6.167,-3.749,-4.159,-5.806,-22.36
1,2.25,0.384637392158484,0.0555686157301865,2.56589800978465,-0.130980071994934,0.244110920960668,-23.4689563747066,0.844295831203447,422.50634095842,2.77522308515835,420.85617657378,3.02258155522529,422.533561576822,421.132198665625,3.04987330064125,422.979018027778,421.635315424545,3.07069895245561,424.458188982535,421.864821499389,3.09925488228957,422.238536124677,426.415368933307,3.40008334030767,425.200290184314,424.150622818296,3.33382589533017,426.326193214134,1.52639025399482,-6.27334799154838,0.166440165933862,1.22,0.715,0.49,0.47,-4.8301,-5.017,-5.5037,-4.9518,-5.0167,-5.875,-6.6049,98.16638,68.96,0.9727,-3.165,-3.65,-3.3,-3.32,-2,1.9,-2.405,3.6,0.08,264,292.1,302.5,300.4,0.13,0.17,-0.09,0.06,-0.29,-0.09,0.13,0.47,0.09,-0.16,1.937,1.867,2.107,2.608,3.307,3.47,4.496,5.3305,5.752,1.048,1.552,2.29,2.789,4.042,4.299,4.352,5.946,6.339,1.71,1.832,2.606,2.911,3.3915,4.252,4.706,4.899,5.981,1.0155,1.376,2.264,2.9855,4.133,4.621,5.8195,6.3435,1.326,2.085,2.466,2.287,3.53,4.722,4.9085,5.732,6.166,-3.636,-4.4525,-5.932,-24.155
1,2.75,0.450625099752041,0.100310043097072,2.67563814042947,-0.622076410931348,0.256308675256671,-21.406635085819,0.713106756124551,421.837819721998,2.7824014397763,421.166533146779,2.9107788223082,422.488263594855,421.142758130374,2.9227649771607,422.237666862069,421.610979187276,3.01925179806209,422.95516555836,421.88842959624,3.03647263032959,423.045496713178,425.476459938234,3.18035172959853,425.722616795412,424.017442884819,3.1326496000644,426.650190463492,1.61555963149587,-6.63960038148602,0.170028227531989,1.225,0.74,0.45,0.465,-4.8539,-4.967,-5.65245,-4.8968,-5.2639,-5.9259,-6.6111,98.15304,69.15,0.97035,-3.22,-3.715,-3.44,-3.4,-1.92,1.9,-2.42,3.6,0.125,263.95,292.05,302.4,300,0.13,0.15,-0.09,0.06,-0.29,-0.09,0.13,0.47,0.09,-0.16,1.9405,1.8665,2.105,2.609,3.308,3.469,4.496,5.3295,5.751,1.039,1.557,2.293,2.811,4.035,4.299,4.3515,5.946,6.338,1.706,1.8535,2.6055,2.91,3.382,4.255,4.706,4.898,5.98,1.0135,1.3765,2.2645,2.986,4.132,4.622,5.8185,6.3425,1.314,2.085,2.465,2.296,3.531,4.7195,4.901,5.731,6.165,-3.73,-4.761,-5.9165,-28.275
1,3.25,0.369645476260352,0.0579604059445706,2.35998455030495,-0.468511493559634,0.257278225347745,-24.0266708215462,0.747765797809699,421.839724964763,2.99942054953137,420.937251697888,2.90147836589957,422.269924635847,421.275696166331,3.03961480441912,423.195317298246,422.079067536985,3.07657924338386,423.90244846695,422.341746259333,3.08183462602943,424.607970693073,425.264423736096,3.19597160486294,425.367401245409,424.09872392543,3.18028204763085,426.508614707006,1.69605486394832,-6.19467510833118,0.174973015627947,1.35,0.75,0.49,0.48,-4.9026,-4.951,-5.8839,-5.0415,-5.31335,-5.7539,-6.7051,98.14126,72.08,0.9863,-3.77,-3.81,-3.37,-3.21,-1.915,1.9,-2.265,3.6,0.14,263.6,291.2,302.4,299.95,0.13,0.18,-0.09,0.06,-0.29,-0.08,0.13,0.47,0.09,-0.16,1.9485,1.8665,2.106,2.612,3.3075,3.47,4.4955,5.329,5.75,1.032,1.545,2.2925,2.787,4.03,4.2985,4.351,5.945,6.338,1.701,1.856,2.604,2.909,3.3885,4.2545,4.705,4.897,5.98,1.012,1.3765,2.264,2.986,4.132,4.622,5.818,6.342,1.313,2.085,2.4475,2.287,3.532,4.716,4.9,5.73,6.165,-3.699,-4.7895,-5.863,-28.895
1,3.75,0.338558954612443,0.0107134391873648,2.23290280000904,-0.379830023410009,0.20086177290189,-19.0444836256434,0.688103451434237,421.968732054803,2.78582268882993,420.914388721743,3.17495651797211,422.265620819901,421.165285482008,3.14375947227438,421.982874853035,421.716539237134,3.1103361453018,422.493787668239,421.957889548827,3.08357092732219,422.416736508594,425.969050802605,3.18983131127788,425.048117184514,424.613185635332,3.15251808530092,426.585341772762,1.59288278800149,-6.1691178869184,0.177395959152334,1.22,0.74,0.46,0.49,-5.1751,-5.179,-5.9519,-5.1559,-5.1997,-5.9968,-6.857,98.14035,69.72,0.9479,-3.65,-3.8,-3.46,-3.31,-1.84,1.9,-2.23,3.6,0.09,263.3,290.5,302.3,300.2,0.13,0.18,-0.09,0.06,-0.29,-0.09,0.13,0.48,0.09,-0.16,1.948,1.868,2.105,2.612,3.307,3.47,4.4955,5.328,5.749,1.026,1.549,2.286,2.764,4.0415,4.2985,4.3505,5.944,6.337,1.701,1.8585,2.603,2.909,3.394,4.254,4.705,4.897,5.979,1.0105,1.3765,2.2635,2.988,4.131,4.62,5.818,6.3415,1.313,2.089,2.447,2.286,3.521,4.717,4.899,5.73,6.164,-3.643,-4.586,-5.565,-26.29
1,4.25,0.431298097850129,0.107353589811257,2.30210835538199,-0.568954265114348,0.231128479583931,-20.0447070377511,0.787500506666148,422.021261187871,2.7518467088426,420.443328255573,3.14757308921555,422.140739738449,420.685774417676,3.18926414249552,423.151795419355,421.573883792303,3.13202377249132,424.140632938907,421.487945795113,3.15270998752642,421.674531952632,426.600905674861,3.25134134732152,426.32400007874,424.53723756137,3.16769354815577,427.186765067379,1.36582716378175,-6.06305930570238,0.171726503590942,1.14,0.69,0.45,0.46,-5.0905,-5.233,-6.0042,-5.1685,-5.3944,-5.58095,-7.2198,98.12459,70.76,0.8993,-3.71,-3.77,-3.465,-3.52,-1.92,1.8,-2.18,3.6,0,267.2,290.5,302.2,299.7,0.13,0.16,-0.09,0.06,-0.29,-0.09,0.13,0.47,0.09,-0.16,1.9475,1.87,2.104,2.612,3.3075,3.471,4.495,5.328,5.749,1.02,1.548,2.2715,2.7855,4.0385,4.2985,4.35,5.944,6.336,1.701,1.834,2.602,2.91,3.392,4.251,4.705,4.896,5.978,1.0085,1.3765,2.261,2.989,4.131,4.62,5.8175,6.3405,1.316,2.085,2.447,2.285,3.52,4.717,4.905,5.73,6.163,-3.571,-4.108,-5.887,-24.1
1,4.75,0.489161702527264,-0.0461274066165675,1.5236801693626,-0.421009408204119,0.227905586628952,-19.4039759679437,0.775453256867203,422.035700783829,2.76625322642423,420.891544038682,3.15249454800587,421.770611092157,421.090058874267,3.11585929151997,422.063729237288,421.811643410718,3.06120005516127,425.565623745886,422.025076954797,3.01755515801374,423.160591005319,426.041305229308,3.18804261645429,424.777522370536,424.370283665776,3.11902511060154,425.800660618682,1.64087849124776,-5.99960705211214,0.178138467368723,1.13,0.69,0.42,0.46,-5.0209,-5.147,-6.0884,-5.3759,-5.6328,-5.9649,-7.9118,98.10892,70.69,0.8847,-3.775,-3.8,-3.64,-3.44,-1.94,1.9,-2.05,3.6,0.04,269.3,291.3,302.4,299.4,0.13,0.16,-0.09,0.06,-0.29,-0.09,0.12,0.48,0.09,-0.16,1.946,1.8715,2.102,2.612,3.3065,3.471,4.4945,5.327,5.7475,1.014,1.536,2.2705,2.7845,4.0365,4.2975,4.35,5.943,6.336,1.694,1.835,2.6025,2.907,3.385,4.25,4.704,4.895,5.977,1.007,1.377,2.259,2.99,4.13,4.619,5.8165,6.34,1.319,2.086,2.463,2.285,3.506,4.718,4.905,5.729,6.162,-3.67,-4.235,-5.585,-20.29
