DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_2_2,H2O_1_3_2,H2O_1_4_2,H2O_1_5_2,H2O_1_6_2,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CO2_1_5_2,CO2_1_5_3,CO2_1_6_2,CO2_1_6_3
1,0.25,4.52889935165794,-2.31837060263169,0.252671675271483,0.792045908501362,0.369324710233796,0.467195653480125,8.25476690009806,1.49029719915704,0.83275351620985,-5.19945480629623,2.07971502973298,1.75151121684448,3.4,2.155,1.295,0.72,0.51,-1.434175,-1.5745,-1.796325,-1.87605,-2.0558,-2.5535,98.805855,81.805,1.560325,-0.37,-0.205,-0.1125,-0.295,-0.015,2.1,-1.5925,3.9,0.3,296.375,309.85,310.475,307.575,0.19,0.36,0.08,0.33,0.14,0.095,0.13,0.615,0.11,-0.15,2.127,2.06,2.283,2.87,3.4525,3.6865,5.123,5.907,6.3395,1.4025,1.83125,2.49525,2.993,4.289,4.621,4.52,6.414,6.817,1.9385,2.265,2.898,3.3965,3.98,5.00825,5.3115,5.3805,6.5765,1.2505,1.73,2.43825,3.147,4.397,5.16575,6.244,6.824,1.608,2.3305,2.637,2.4755,3.702,5.038,5.091,6.20325,6.67875,-2.886,-3.15475,-4.72425,-5.6875,4.18139236028204,4.10278608526576,4.19735386836373,4.16036379452582,4.22436421028476,4.42962498189967,4.32883970293716,423.856579041771,423.534109446601,423.919981759399,423.330219059295,421.924862673246,424.773613825589,426.944585956003,424.544813462216,426.871666759581,430.482233570837,430.409705868424,429.504108689883,430.264042471456
1,0.75,4.64287569002472,-2.50740922471496,0.273835341645512,0.888776603729575,0.145685076358263,0.659851436027916,8.98982660707772,0.732997326533885,0.755255250056573,-4.84879062777039,3.16467229471021,1.67725332849705,3.22,2.0425,1.2925,0.7175,0.505,-1.293825,-1.83,-1.862125,-2.025875,-2.0014,-2.65305,98.8033475,81.11,1.4935,-0.46,-0.3475,-0.2325,-0.305,-0.02,2.1,-1.59,3.8,0.35,296.15,308.825,309.9,307.275,0.19,0.365,0.08,0.33,0.14,0.0925,0.14,0.61,0.11,-0.15,2.123,2.06,2.28325,2.867,3.45175,3.686,5.123,5.906,6.3395,1.4065,1.825,2.49525,2.9925,4.289,4.622,4.519,6.413,6.81625,1.9315,2.26375,2.8955,3.414,3.99225,5.008,5.3105,5.3795,6.56775,1.249,1.728,2.43825,3.1465,4.3965,5.16325,6.244,6.824,1.607,2.329,2.63875,2.4765,3.707,5.03875,5.09475,6.20225,6.678,-2.92675,-3.1455,-4.64275,-3.8875,4.14683125185902,4.15675321260497,4.17537418578124,4.18341794711838,4.19205944128886,4.37187207897425,4.34092900404605,424.134769922338,423.352916034767,424.612870936792,423.158610958004,423.312180019401,424.06251700988,424.973647907089,424.049822632848,424.37730145141,429.697772536037,429.609011507928,428.462299263717,429.602055903026
1,1.25,4.06390080785031,-2.58886366891113,0.255484711329512,0.971390037414638,0.370123135173438,0.660298556549681,10.7908880122262,0.957384694965576,0.756399545948963,-5.92401193722488,2.65255122351957,1.73109232622965,3.12,1.9375,1.1675,0.7275,0.4925,-1.372,-1.8135,-1.975075,-2.13495,-2.2546,-2.615125,98.8419125,81.0525,1.484225,-0.5325,-0.3675,-0.27,-0.4,-0.08,2.2,-1.7375,3.8,0.4175,295.85,308.675,309.725,307.025,0.19,0.36,0.08,0.3275,0.14,0.0925,0.13,0.61,0.11,-0.15,2.1175,2.0595,2.283,2.8635,3.4515,3.6855,5.1215,5.905,6.338,1.3985,1.827,2.49425,2.99175,4.28825,4.62,4.519,6.41125,6.81525,1.92725,2.25925,2.89475,3.412,3.99125,5.00725,5.3095,5.3755,6.56675,1.248,1.7275,2.43825,3.1455,4.3955,5.157,6.243,6.823,1.6075,2.3285,2.638,2.4755,3.70325,5.04,5.0945,6.20075,6.67675,-2.9725,-2.9585,-4.56725,-4.9725,4.1455483999678,4.16152027468784,4.2495154517691,4.15580502715138,4.14800675791507,4.38118757891419,4.35367467725973,423.810873151161,423.586124758576,424.167496479677,423.655673004923,424.030676057485,425.038363509512,430.77523181509,425.925802845394,424.537815484343,430.74127249873,429.217776645092,428.416499231855,430.560129481104
1,1.75,4.05477350300017,-2.52314656969173,0.304961175615396,0.823401743690322,0.326175372878853,0.677972511544049,9.53676794718556,1.61051913310859,0.751115471451349,-10.4391100794619,1.32743715003021,1.64841238084002,3.165,1.9925,1.235,0.69,0.3675,-1.291425,-1.66575,-2.1043,-2.2083,-2.3384,-3.05715,98.8764975,82.63,1.55145,-0.7275,-0.555,-0.45,-0.52,-0.17,2.1,-1.74,3.8,0.35,295.65,308.55,309.9,306.8,0.19,0.36,0.08,0.3275,0.14,0.0925,0.1375,0.605,0.11,-0.15,2.115,2.059,2.282,2.8565,3.4535,3.6845,5.12,5.9035,6.337,1.3655,1.828,2.49375,2.99325,4.287,4.619,4.519,6.411,6.81425,1.91075,2.2595,2.89475,3.3915,3.9895,5.00625,5.3085,5.37425,6.56575,1.2465,1.7285,2.4345,3.145,4.3955,5.154,6.242,6.821,1.6105,2.329,2.64025,2.4745,3.7045,5.045,5.0945,6.19975,6.67675,-2.994,-3.311,-4.472,-7.22,3.97502761119462,4.19435364304661,4.24495675711269,4.18741959729687,4.25800718917008,4.36325571143196,4.35467339532126,423.634785738648,423.839759196039,424.342331252367,423.977522771297,421.516511722825,424.534428982413,424.849718789307,425.48640453347,424.85294350461,429.832811136259,428.335352448837,428.540845140246,429.093558662306
1,2.25,4.50465410783454,-2.91944448195341,0.309929976642276,0.748797795414035,0.56147311501707,0.840694266736487,8.82018775611791,1.23986574005353,0.772751714093382,-1.63615137739448,3.22537178589278,1.64959817944551,3.25,2.03,1.3125,0.6975,0.35,-1.238425,-2.004,-2.2722,-2.425825,-2.4646,-2.81345,98.901025,83.8475,1.528275,-0.8775,-0.78,-0.6425,-0.74,-0.4425,2.2,-1.6125,3.9,0.28,296.15,307.775,309.725,306.15,0.19,0.37,0.08,0.3275,0.14,0.0925,0.1375,0.61,0.11,-0.15,2.108,2.0595,2.282,2.855,3.4535,3.6835,5.1185,5.9025,6.3365,1.3635,1.83375,2.49275,2.995,4.27425,4.619,4.518,6.41075,6.81325,1.89425,2.25975,2.8955,3.354,3.974,5.00525,5.3075,5.37325,6.56425,1.242,1.7295,2.434,3.145,4.396,5.1545,6.242,6.821,1.61175,2.33425,2.64225,2.4745,3.705,5.044,5.0945,6.19875,6.675,-2.7945,-3.1445,-4.701,-10.1025,3.9948793321246,4.18732156200866,4.27614996936608,4.19608038773681,4.26699025660829,4.4794322977509,4.37067603552152,423.87934793889,423.449824385761,423.650641149193,422.914702265665,424.363324907185,424.712030163752,427.232232110715,426.311735724319,424.743691453142,429.692026945965,429.155111511414,428.701223039959,430.883671416498
1,2.75,3.92637429669946,-2.96346480262352,0.273869324600409,0.699912635942987,0.472949421409868,0.948833092640512,7.89378934387796,1.37644574108452,0.716277860282742,-3.88434345665935,4.71758417168888,1.51861839357512,3.06,1.915,1.17,0.67,0.395,-1.57,-1.856,-2.264675,-2.4633,-2.5983,-3.23795,98.901715,84.81,1.42415,-1.05,-0.9,-0.645,-0.765,-0.61,2.2,-1.65,3.9,0.32,296.4,306.7,309.2,305.9,0.19,0.36,0.08,0.32,0.14,0.0925,0.13,0.61,0.11,-0.15,2.1115,2.058,2.282,2.8565,3.4535,3.683,5.117,5.901,6.335,1.35825,1.831,2.4935,2.99375,4.2735,4.619,4.517,6.40975,6.81225,1.90325,2.257,2.8955,3.3715,3.957,5.013,5.3065,5.372,6.56325,1.242,1.7305,2.4335,3.14725,4.3965,5.15125,6.241,6.82,1.60725,2.335,2.6425,2.472,3.70425,5.04,5.0905,6.19675,6.674,-2.971,-3.213,-4.708,-3.81,3.89034563668231,4.15539160223113,4.22768779619733,4.18342593868497,4.18712651577188,4.39093505947263,4.39321351995575,423.752179954222,424.059558595624,425.004498553687,423.769986897365,422.342536830789,425.080586555532,422.957213899282,426.476199015895,425.758773368213,429.593915205319,430.121124198007,428.763349984623,432.830429589131
1,3.25,3.52916795317779,-2.75033354795536,0.30925383677714,0.938131838370501,0.436664815780342,0.698403951274592,8.45682804964579,0.457288810996843,0.610552776532726,-5.73879700306035,1.51457477385149,1.5202268378201,2.755,1.72,1.0425,0.6775,0.3925,-1.416325,-1.65575,-2.3591,-2.538325,-2.772,-3.3019,98.91358,83.9775,1.3647,-1.17,-1.02,-0.6575,-0.745,-0.59,2.175,-1.62,3.8,0.33,294.15,306.825,309.1,304.95,0.19,0.36,0.08,0.3175,0.14,0.09,0.13,0.6175,0.11,-0.15,2.1165,2.058,2.2815,2.86125,3.454,3.6825,5.116,5.8995,6.3345,1.3525,1.82975,2.4915,2.992,4.27325,4.618,4.517,6.40875,6.81125,1.9065,2.25525,2.9285,3.371,3.971,5.012,5.30525,5.371,6.56225,1.2425,1.7315,2.4335,3.14725,4.3965,5.1505,6.239,6.819,1.608,2.33725,2.638,2.46925,3.70325,5.037,5.091,6.196,6.673,-2.92525,-3.4475,-4.58,-3.7175,4.0438678941631,4.11964098016189,4.27863366214055,4.18255992739696,4.24874924516471,4.38923787295492,4.39190929569193,425.062057572379,423.066267722325,423.949258424313,422.687754957198,422.926352717421,424.301091758393,426.564858971609,425.309644180962,425.5968950816,428.581648145181,429.238618494383,428.121181890704,430.099405755888
1,3.75,4.0028173777421,-2.96415613717136,0.311738702584804,0.642207680786349,0.399857443958048,1.44317933775685,6.69801312771985,0.929695218226498,0.732933984433736,-3.38944228552826,2.12935143376281,1.63114988963962,2.935,1.9975,1.3325,0.72,0.3625,-1.84115,-2.16025,-2.5141,-2.8544,-3.055025,-3.3621,98.9194925,84.65,1.36875,-1.195,-1.1625,-0.8525,-0.885,-0.61,2.2,-1.5625,3.8,0.3175,291.65,305.825,308.725,305.2,0.19,0.36,0.09,0.32,0.14,0.095,0.14,0.615,0.1175,-0.15,2.1205,2.055,2.281,2.861,3.4545,3.6815,5.115,5.8985,6.3335,1.34575,1.82925,2.49,2.9905,4.286,4.617,4.518,6.40775,6.81025,1.90875,2.2545,2.9285,3.37,4.01425,5.0115,5.30425,5.36975,6.5605,1.2395,1.7325,2.4335,3.149,4.398,5.144,6.237,6.818,1.608,2.337,2.636,2.46875,3.704,5.036,5.0915,6.195,6.672,-2.8845,-3.491,-4.471,-3.7075,3.97354023829955,4.10207362580094,4.19806932110548,4.11930736014202,4.13486994501604,4.39656744543462,4.3899824426019,425.075659869097,424.765865538562,425.034129251692,422.973201272216,421.646441890852,426.012250821552,424.969790056956,426.936089688331,425.435016794986,430.705712008245,429.314423687183,428.692568209244,430.947101949347
1,4.25,3.69910809970769,-3.01495068892291,0.324724584320437,0.561585738816784,0.496295711422057,0.888978123878255,7.15341922748537,0.689009736506953,0.706223378968472,-4.70183113706419,3.04546844663987,1.56048352186254,2.67,1.72,1.11,0.69,0.355,-2.188175,-2.2585,-2.5064,-2.8979,-3.0981,-3.44765,98.907775,84.58,1.3349,-1.255,-1.2025,-0.85,-0.925,-0.63,2.1,-1.4625,3.875,0.2825,293.1,305.275,308.65,305.1,0.19,0.36,0.08,0.32,0.14,0.0775,0.13,0.62,0.11,-0.15,2.122,2.0515,2.2795,2.86075,3.455,3.6805,5.114,5.898,6.332,1.33425,1.82875,2.488,2.9925,4.285,4.617,4.517,6.40675,6.80925,1.91175,2.25725,2.928,3.353,4.01325,5.0025,5.30325,5.36875,6.5595,1.2385,1.733,2.4335,3.1465,4.399,5.142,6.236,6.817,1.609,2.33075,2.6325,2.46875,3.702,5.03625,5.09425,6.1935,6.671,-2.89525,-3.2785,-4.5905,-2.2125,3.97534227117947,4.06236133392974,4.17808172084854,4.16916042754461,4.20235998112839,4.39465234894355,4.39911878148998,425.185216423565,425.455057054883,423.860834721352,424.826182426153,423.596058259153,425.912720066166,429.545868397806,426.458888572715,425.273138508373,431.464875223252,430.180266619857,429.671325468139,431.321419191564
1,4.75,3.22036283309284,-3.1113308693207,0.27171080445266,0.719979979808836,0.379906926980359,0.7295453920272,7.55602985806643,0.79235609736158,0.590969015447352,-2.97670396324483,2.95441888329304,1.57166945328141,2.4575,1.5475,1.02,0.69,0.4125,-2.052875,-2.405,-2.4568,-2.9227,-3.1495,-3.5681,98.91114,83.51,1.36925,-1.2825,-1.315,-0.9275,-0.985,-0.62,2.1,-1.4025,3.8,0.2275,292.25,304.35,308.7,305.2,0.19,0.36,0.08,0.3275,0.14,0.0775,0.13,0.61,0.11,-0.15,2.121,2.0505,2.2775,2.854,3.4565,3.68,5.1135,5.897,6.331,1.3285,1.826,2.4845,2.9915,4.284,4.616,4.517,6.40575,6.80825,1.91375,2.2575,2.961,3.3175,3.9975,5.0015,5.30225,5.3675,6.5585,1.2385,1.7335,2.4335,3.14575,4.3995,5.138,6.235,6.816,1.61525,2.3265,2.63725,2.47025,3.7,5.036,5.09425,6.1925,6.67,-3.006,-3.295,-4.3905,-2.0575,3.95872090183682,4.03397248470445,4.15192570549886,4.07774682453756,4.10941494730429,4.36406311097426,4.30622338300832,425.295227258797,425.588488296507,425.295020570595,423.750718178643,423.571683918347,425.756807126308,425.695419099353,426.125707950848,425.111260221759,431.446815602709,428.338032471332,429.015887888146,429.688370871094
