DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_1_3,H2O_1_2_2,H2O_1_2_3,H2O_1_3_2,H2O_1_3_3,H2O_1_4_2,H2O_1_4_3,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CH4_1_1_1,CH4_1_4_1
1,0.25,1.18814344677959,-13.6054758645538,0.0784419979981297,-0.328820948510212,-0.228023712808278,-0.324591403175115,-5.06021055547101,-2.46540986634501,0.0483077323794435,-79.2700094153363,-7.15257694912253,0.219630938797476,0.8565,0.7885,0.26,-14.099875,-16.97095,-13.9273,-17.131305,-18.056215,81.819631,30.502,0.229775,-17.495,-16.6105,-16.9125,0,-4.776,0.7,-1.9275,-1.0585,177.56,228.78,178.81,226.625,-0.1455,-0.77,-0.4055,-0.11,-0.2,-0.38275,-0.04,-0.38,-9.10655,-6.8238,-4.92035,-2.84705,-0.9365,0.96855,3.699,6.07815,7.8601,-8.5583,-6.82285,-3.8044,-2.41515,-0.7911,0.68165,2.693025,4.9865,6.3747,-8.9037,-7.13545,-4.5854,-3.06145,-1.47365,-0.0362,2.20025,4.8142,6.2346,-9.61105,-7.44075,-4.34035,-2.628,-1.07115,0.3851,2.5984,4.91515,6.6628,-8.432225,-6.583175,-4.12105,-2.572575,-0.979975,0.601375,2.95575,5.18345,6.56355,-39.7747,-32.6664,-20.917,-101.1035,1.86226309931318,1.82765211859301,2.18712712541554,1.66397129747436,2.18841391336574,1.83924000810968,2.23950982364237,1.49357548628236,1.88443819722754,411.854643447401,413.813149936279,414.992915532477,413.377929132481,414.925550825512,412.810884478866,414.793829822703,414.006799749048,414.668798669753,1977.1683544864,1975.73087600397
1,0.75,1.1210431329276,-13.8524228767525,0.0735128419937082,-0.326093310367068,-0.22285603960233,-0.509316860037254,-5.4267375010821,-2.41333338345424,0.0416110044672231,-69.3625357885125,-12.7642909664716,0.218824591761327,1.0225,0.92125,0.29,-14.46518,-16.626525,-14.37172,-16.0961675,-17.807205,81.80897,26.72825,0.22368,-17.2925,-16.911,-17.117,0,-5.094,0.645,-2.011,-0.992,177.36,228.8,179.005,228.195,-0.15,-0.78,-0.41,-0.1,-0.19,-0.38,-0.03,-0.37925,-9.10135,-6.98075,-5.0408,-2.9345,-0.93815,0.9662,3.6979,6.0766,7.859,-8.83885,-7.00395,-3.95695,-2.4716,-0.7881,0.67695,2.6944,4.98505,6.37325,-9.18805,-7.19305,-4.6476,-3.0853,-1.471,-0.038,2.1999,4.81375,6.23305,-9.9225,-7.7123,-4.49445,-2.66105,-1.0753,0.38825,2.5971,4.9137,6.6618,-8.60765,-6.875575,-4.1322,-2.64525,-0.9943,0.598125,2.95305,5.18225,6.562475,-35.879525,-29.244,-20.67545,-103.392,1.85210512876329,1.73599609244989,1.96288438994498,1.62894151838427,1.80670389596522,1.71621660090491,1.82195309881639,1.50125054738225,1.87215986927561,411.991946067205,412.778332922887,414.653394782451,412.091581339984,414.595866728455,412.291599963713,414.743137981563,412.046706242934,414.753555104388,1978.03289824458,1977.37147214044
1,1.25,1.01126620285068,-13.482626535007,0.074829945062033,-0.692637516321922,-0.417471380739621,-0.569437663000355,-6.85153357828711,-2.91615252783832,0.048573689315894,-73.678206942744,-9.00906293847559,0.202788090176248,0.9145,0.80425,0.318,-13.755615,-16.73645,-15.241845,-16.456885,-17.46595,81.8056315,26.04825,0.2509825,-17.1935,-16.412,-17.134,0,-4.766,0.6,-1.9885,-0.96,176.94,229.4,179.61,227.025,-0.15,-0.78,-0.4155,-0.1,-0.19,-0.3855,-0.04,-0.37,-9.11285,-7.1086,-5.07755,-3.03355,-0.93885,0.9643,3.69725,6.07615,7.85755,-8.9706,-7.1753,-4.12385,-2.53585,-0.78275,0.6727,2.69485,4.98405,6.37225,-9.5453,-7.34115,-4.7219,-3.11645,-1.4648,-0.03625,2.19965,4.8132,6.23105,-9.9134,-7.8642,-4.73285,-2.70105,-1.07855,0.3904,2.59675,4.9137,6.6608,-8.650775,-7.1637,-4.16335,-2.727725,-1.01055,0.5958,2.951125,5.180525,6.55955,-35.624875,-29.1187,-21.019225,-103.77175,1.83701972496386,1.80439599211724,2.07454713468854,1.67879813026009,1.96746265096447,1.76991681982628,2.1378652901767,1.48658928979327,1.57648696692942,412.05855836069,411.11734037717,414.788444924757,412.516154702268,414.79186807962,412.077515889526,414.909256907694,411.617105482731,414.854162298867,1969.18216699067,1969.8365291489
1,1.75,1.32657697697629,-14.3946027369339,0.0735012252991903,-0.879421577657431,-0.404077018843143,-0.749726206466293,-4.46725583224376,-2.70493823837436,0.0345363273686579,-80.539904674011,-8.65237349123353,0.201928214943997,0.949,0.7155,0.328,-14.7659,-16.92535,-15.5356625,-16.53363,-17.6284,81.8515925,26.7055,0.24398,-17.3375,-16.694,-17.1625,0,-4.828,0.6,-2.041,-1.094,176.1875,234.2675,178.98,226.855,-0.14,-0.7855,-0.43,-0.11,-0.2,-0.37,-0.04,-0.38,-9.08785,-7.19805,-5.11465,-3.11975,-0.9435,0.9647,3.6966,6.0746,7.856,-8.87045,-7.2837,-4.25605,-2.61135,-0.77285,0.669,2.69585,4.98305,6.37125,-9.71265,-7.4469,-4.7596,-3.1709,-1.45295,-0.0321,2.19885,4.81275,6.2306,-9.9104,-7.84135,-4.8533,-2.7541,-1.0862,0.3886,2.59655,4.91315,6.6598,-8.65655,-7.183775,-4.270975,-2.816175,-0.995425,0.5897,2.948425,5.179525,6.62725,-39.70825,-32.586375,-23.818175,-104.32475,1.79208892190211,1.74132178018999,1.94853084803963,1.72525491639501,1.98194501417565,1.74927525121299,1.90238265579122,1.69230725921086,1.57565840202047,411.77940903568,411.655111611517,414.575499264442,411.335733243176,414.775187410137,410.55195142255,414.470650835329,409.399601446527,414.258632165237,1968.24032122961,1968.79238844357
1,2.25,1.15911716315894,-13.858983185043,0.0516221100482274,-0.286724270955581,-0.183152908406104,-0.437116789235921,-3.65014005174219,-2.29528619628994,0.0379618031005366,-90.3161409309369,-5.78907329920701,0.247424764284987,1.0135,0.85125,0.3195,-14.23685,-17.16815,-15.039405,-16.41595,-17.52375,81.903415,26.6085,0.246675,-17.563,-16.9455,-17.586,0,-4.78475,0.545,-2.071,-0.841,176.32,232.44,180.3,225.68,-0.15,-0.78,-0.4155,-0.1055,-0.2,-0.38275,-0.04,-0.38,-9.1845,-7.3207,-5.17505,-3.18105,-0.941,0.9662,3.69595,6.07415,7.855,-8.97225,-7.35435,-4.36545,-2.6848,-0.76005,0.66685,2.6964,4.98205,6.3697,-9.77135,-7.64485,-4.79505,-3.2377,-1.43825,-0.02725,2.19805,4.81175,6.22905,-9.88395,-7.8643,-4.87905,-2.82435,-1.097625,0.38545,2.5959,4.9127,6.65835,-8.732175,-7.170675,-4.37425,-2.900225,-0.9813,0.58615,2.943875,5.178525,6.55655,-39.233625,-31.885,-24.66195,-102.2235,1.78853939693729,1.62877944230929,1.98102528467559,1.57917039071119,1.98340785964274,1.54885693387647,1.98879735066342,1.46513153815028,1.92718925617114,411.871135276769,411.527967035953,415.03858084086,411.29420608151,414.840911080089,410.222732469935,414.837984400034,411.280105918054,414.756740053992,1971.69434296162,1968.00193005603
1,2.75,1.38224492923288,-14.0189316389377,0.0714284882928408,-0.452902950738301,-0.289705743576761,-0.498053717778946,-3.95157096823842,-2.10198698755707,0.0464282814295385,-69.5922222579175,-11.9928453234284,0.233688119152849,1.13,0.9185,0.3485,-14.12526,-17.25245,-14.37045,-16.6026525,-17.61955,81.931578,27.3385,0.24232,-17.786,-16.79,-17.926,0,-4.996,0.645,-2.02,-1.166,175.28,234.14,180.415,230.155,-0.15,-0.78,-0.42,-0.1055,-0.19,-0.38,-0.04,-0.38,-9.2281,-7.4493,-5.24135,-3.2351,-0.93905,0.9676,3.69485,6.07315,7.854,-9.2256,-7.5529,-4.45005,-2.7494,-0.74825,0.66535,2.696025,4.9816,6.3687,-9.884,-7.888,-4.84075,-3.2985,-1.42535,-0.02295,2.19725,4.81075,6.2276,-9.91555,-7.94535,-4.91755,-2.87555,-1.109775,0.38175,2.5947,4.9117,6.65635,-8.81655,-7.1417,-4.385925,-2.97845,-0.968175,0.5826,2.9421,5.22405,6.55555,-41.7393,-32.815325,-25.1996,-102.61575,1.61441643775104,1.67344280769266,1.89210713080368,1.64831136828379,1.8807814819287,1.70053574934565,1.83765322648812,1.54662917669855,1.86152940288165,411.990666136993,411.55559392758,415.499031517251,411.34185449907,414.772599271405,411.246451984188,414.992512919399,409.490784598813,414.900922609287,1971.43560301708,1970.99647572286
1,3.25,1.21136602547094,-14.1187121021774,0.0776759657973404,-0.340469782502263,-0.201040848556547,-0.326263359929265,-5.8888219305694,-2.02232889256844,0.0471268848380478,-70.7042358646189,-11.1836766901888,0.201106058514045,1.029,0.81,0.2895,-14.4781075,-17.3425,-14.340845,-16.30131,-17.69465,81.94322625,28.9845,0.231585,-17.211,-16.448,-17.233,0,-5.078,0.6,-1.9265,-1.19,174.1675,235.34,180.01,230.385,-0.15,-0.7855,-0.42,-0.1055,-0.2,-0.38275,-0.04,-0.38,-9.29815,-7.4532,-5.3295,-3.2994,-0.94165,0.96955,3.69475,6.07215,7.85245,-9.439,-7.745,-4.5641,-2.82205,-0.73395,0.66385,2.697025,4.9806,6.36715,-10.12825,-8.09505,-4.9745,-3.33935,-1.41815,-0.0172,2.19645,4.8103,6.22615,-10.1383,-8.0765,-4.95895,-2.9594,-1.1213,0.3776,2.5946,4.91125,6.65535,-8.95795,-7.104575,-4.45595,-3.0619,-0.957975,0.58,2.9394,5.17745,6.554475,-42.75885,-32.827,-25.346625,-103.998,1.70477880565137,1.65846399654474,1.85227835686082,1.59980525887989,1.83624593917699,1.67699103716129,1.91906880841825,1.52246405792942,1.65531457678537,412.273764954638,411.357844708051,414.899229843186,411.090840111346,414.39591034874,410.403255574051,415.725594974281,411.420547678339,414.744022970799,1970.00470657135,1972.11875659143
1,3.75,1.22283485177694,-14.2906630903184,0.0836389712077322,-0.3463963176011,-0.552609717794114,-0.42644423055573,-6.55473416259206,-2.2725776979954,0.0428295166472759,-82.476629800633,-11.2172253134775,0.195215108775941,1.15,0.837,0.28,-14.57141,-17.43025,-14.05961,-16.36083,-18.015425,81.933915,26.498,0.258615,-17.8405,-16.8425,-17.889,0,-5.072,0.545,-1.94,-1.06825,175.12,235.2,180.27,227.495,-0.15,-0.7855,-0.41,-0.1,-0.2,-0.38275,-0.04,-0.37925,-9.40275,-7.4579,-5.4425,-3.36215,-0.9441,0.97195,3.6941,6.0707,7.85145,-9.61045,-7.88795,-4.6888,-2.9326,-0.7162,0.6631,2.697025,4.9796,6.36615,-10.31685,-8.25605,-5.1297,-3.39765,-1.40465,-0.0111,2.19565,4.847975,6.2246,-10.3759,-8.27485,-5.0254,-3.07235,-1.14045,0.373,2.5934,4.9108,6.6539,-9.135575,-7.11385,-4.601425,-3.148925,-0.94985,0.571725,2.937625,5.1766,6.552775,-38.54095,-34.812,-26.6008,-101.838,1.55727631182748,1.66612538454382,1.77560882197469,1.62805320878972,1.79853658971525,1.7156950972064,1.81634317152842,1.64306351214158,1.69353176355701,412.268058793325,410.406812949884,414.292736368381,409.845957174523,414.477151870553,410.122557900302,414.303929526669,409.520052684831,414.549917413028,1971.84982514747,1972.2220200083
1,4.25,1.2440663046088,-14.3392722103839,0.0715006687239121,-0.221425334582839,-0.318728749425098,-0.245356642426388,-1.54660457554348,-2.12548813771545,0.04048205023232,-73.028344128878,-10.8523495294085,0.229975351729531,1.08425,0.91425,0.309,-15.0426375,-17.48955,-15.0853675,-16.2583875,-18.20149,81.915446,27.94175,0.26064,-16.9845,-16.786,-17.1955,0,-5.228,0.5,-1.9265,-0.98875,177.92,233.08,177.97,226.29,-0.15,-0.78,-0.42,-0.1,-0.2,-0.38275,-0.04,-0.37925,-9.60105,-7.5232,-5.50945,-3.42305,-0.95095,0.9727,3.6951,6.0697,7.8499,-9.73055,-7.99665,-4.8056,-3.05205,-0.70045,0.66235,2.69885,4.9786,6.36625,-10.4391,-8.37075,-5.3147,-3.46865,-1.39295,-0.00515,2.1953,4.846975,6.22315,-10.5479,-8.4359,-5.08315,-3.1865,-1.1554,0.36785,2.59275,4.91025,6.65235,-9.324225,-7.28565,-4.73905,-3.23345,-0.943575,0.56695,2.937625,5.174375,6.5494,-37.030475,-32.9041,-27.3674,-101.09125,1.56246771922131,1.61819128996695,1.80417175401405,1.56552637416433,1.93675122825299,1.71930349167938,1.92025926363008,1.63640843134282,1.93252198973578,412.414778873246,408.452089840444,414.595692000567,409.079510101123,414.350616492391,409.795953348351,414.413486730087,409.158591961825,414.445264976516,1970.64725552495,1979.96543638283
1,4.75,1.19419489865995,-14.3247097086625,0.0566458008617239,-0.358001264628292,-0.407329845048915,-0.619216937263474,-3.33353622708036,-2.17312039476545,0.0382994102105719,-69.3069330608972,-8.74394542311624,0.246798642600944,0.97,0.79275,0.228,-14.7703725,-17.3294,-16.22311,-16.06306,-18.55348,81.8596315,26.56925,0.242835,-16.5895,-16.0885,-16.902,0,-5.2825,0.6,-1.991,-1.115,178.04,232.92,178.51,231.115,-0.14,-0.78,-0.42,-0.1,-0.19575,-0.39,-0.04,-0.37,-9.6869,-7.62325,-5.5706,-3.45175,-0.96175,0.97335,3.6951,6.0687,7.8489,-9.7782,-8.0651,-4.92775,-3.15425,-0.6839,0.66215,2.69885,4.9776,6.36415,-10.44125,-8.4197,-5.44135,-3.5387,-1.3821,-0.000300000000000001,2.19425,4.84655,6.2216,-10.70755,-8.56955,-5.1553,-3.2906,-1.1493,0.36875,2.59255,4.9098,6.65135,-9.52275,-7.464075,-4.8911,-3.328125,-0.9376,0.57045,2.934,5.174375,6.5494,-40.962,-33.892,-30.438775,-99.974,1.50250826250637,1.52340434975494,1.73364956888379,1.55402381521522,1.793270998823,1.61839199305963,1.82678581454054,1.55144707171705,1.93827239812879,412.354777278928,408.875058093436,414.742006859232,408.423104887525,414.825987759402,408.261009951755,414.518495425813,408.423274022226,414.785329922771,1968.75592820679,1967.05096838754
