DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_2_2,H2O_1_3_2,H2O_1_4_2,H2O_1_5_2,H2O_1_6_2,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_5_2,CO2_1_6_2,CO2_1_6_3
1,0.25,2.95392857667857,13.0301266990054,0.210389193621298,1.67296799758426,2.47636632607563,8.98336220804561,4.80981726640983,0.514281611219644,-2.71084743589421,-1.12858564749156,0.85371927739905,2.82,2.38,1.02,0.59,0.255,11.8344,11.6175,12.1873,11.8168,12.211575,11.499075,8.659175,102.364515,87.3475,4.2301,11.415,11.8925,11.86,9.73,14.25,1.2,-0.84,2.6,1,357.875,370.1,354.75,357.5,-0.05,0.22,0.38,0.2475,0.26,0.57,0.1,10.56,1.52,4.6,11.574,12.364,12.996,13.4125,13.608,14.556,14.6815,16.196,11.94775,12.262,12.59475,12.79875,12.76775,13.649,13.64575,13.377,16.5945,12.9415,12.59775,13.01725,13.38325,13.7535,13.0705,14.68875,16.36075,12.457,13.01,12.871,13.466,13.32875,13.614,13.766,14.33,14.843,9.977,11.323,11.594,11.8715,13.5685,14.988,16.504,17.48725,-3.466,-8.348,-3.47,-11.9425,9.32976068616062,12.8708324122678,13.5455273605901,13.4198429739016,13.4987915525207,15.3476365255383,14.1393399930584,423.724025411032,429.923037382251,429.197126885527,430.859211500092,429.808134772658,431.178049538046,431.910901505781,434.436936487954,439.022544473051,457.416766782267,452.533508368925
1,0.75,2.94996454975279,12.6575822019042,0.192100993421954,1.66664479390446,1.41054763763913,7.43139486142937,5.81534831127477,0.502796824408758,-3.70981386011483,-2.14706992113093,0.807040586479593,2.85,2.455,1.01,0.5925,0.24,11.7165,11.55075,12.04015,11.5759,11.959075,11.0623,8.5763,102.377385,86.71,3.927775,11.26,11.88,11.755,9.55,14.0825,1.2,-0.77,2.6,1,357.25,369,352.4,356.8,-0.05,0.22,0.39,0.24,0.26,0.58,0.1,10.41,1.6,4.525,11.535,12.3545,12.981,13.4075,13.605,14.555,14.692,16.19375,11.90975,12.279,12.57875,12.79625,12.7595,13.6725,13.64425,13.368,16.5795,12.9165,12.5735,13.021,13.39425,13.7775,13.0625,14.685,16.35325,12.437,12.971,12.844,13.449,13.32525,13.616,13.776,14.233,14.824,9.9275,11.2955,11.553,11.8915,13.56575,14.984,16.50125,17.487,-2.6755,-8.79675,-5.21625,-11.31,9.2434935151489,12.243173577997,12.5122168248667,12.4040693819992,12.7407208029639,14.5550642620009,13.8722426840451,424.25040881175,429.553429949908,428.783182757935,429.958748815368,427.218151010852,431.289187140627,431.452800467505,433.653234702469,438.988225869529,451.838770977585,450.078205143763
1,1.25,2.83386288219426,12.6210657634687,0.190662066505526,1.44519814394152,0.88851396546024,12.3006807660784,5.04114354904523,0.510792293755088,-2.04728241939182,-0.49901695404834,0.802712511599832,2.8,2.365,1.035,0.595,0.27,11.5588,11.47125,11.9348,11.518125,11.8733,11.035675,8.4544,102.354245,86.6975,3.517275,11.265,11.9125,11.8,9.82,14.0025,1.2,-0.83,2.6,0.96,359.15,368.9,353.95,356.7,-0.05,0.22,0.38,0.24,0.26,0.57,0.0825,10.33,1.6,4.515,11.461,12.3395,12.97,13.402,13.597,14.553,14.698,16.18875,11.84225,12.241,12.5615,12.76325,12.75575,13.6605,13.64125,13.352,16.5895,12.89075,12.57075,13.02525,13.3705,13.776,13.05375,14.6715,16.34825,12.422,12.968,12.821,13.443,13.28275,13.621,13.776,14.302,14.812,9.873,11.2655,11.51,11.8685,13.56275,14.981,16.49925,17.48675,-5.5555,-9.842,-4.579,-10.65,9.0703079811214,12.1702118839527,12.1428889597716,12.4724525652423,12.8624339980727,14.5576317441337,13.8829499148328,424.557094583638,430.382126110823,428.158222060404,430.812260590526,428.152207315623,431.123796959511,428.591680296903,435.245213896329,443.896883118874,457.714840658662,455.040030944177
1,1.75,2.94260451743515,12.4365329286011,0.191762986241086,1.69185074732108,0.321103076681549,11.6635307806386,12.0448655326323,0.516173951070345,-2.64791693317458,-0.382068610709377,0.818332999684813,2.85,2.445,1.0675,0.58,0.2825,11.3912,11.16825,11.6745,11.438575,11.494,10.9087,8.21885,102.345925,88.49,3.20115,11.2125,11.9575,11.77,9.02,14.33,1.3,-0.82,2.6,0.97,358.15,368.2,353.4,355.75,-0.05,0.22,0.38,0.24,0.24,0.58,0.0925,10.225,1.49,4.53,11.311,12.3215,12.96,13.395,13.605,14.553,14.6975,16.20775,11.81075,12.219,12.547,12.774,12.763,13.653,13.634,13.358,16.56425,12.85,12.518,13.029,13.364,13.779,13.046,14.66025,16.344,12.399,12.973,12.835,13.45,13.2355,13.626,13.78,14.228,14.801,9.8265,11.23525,11.469,11.861,13.56,14.977,16.4965,17.4865,-2.38,-10.252,-3.746,-10.57,9.47214530746772,12.4351824928189,13.1762854483798,13.2052589179235,13.2339585569664,15.5913360579128,14.0433661134646,425.369087440808,430.639577258797,428.575951467296,431.069354411008,430.970799705189,432.397299741277,429.832933134137,434.927885946151,440.461154033865,449.188139098961,454.833460641134
1,2.25,3.06611508198151,12.4670592833875,0.20177458922845,1.37838545214896,1.82745986174483,15.2998298552166,4.75475915451124,0.527630864735965,-3.39054709043093,0.437477403011359,0.872479665047096,2.9175,2.395,1.04,0.645,0.275,11.263625,11.079,11.475975,11.187325,11.267,10.652,7.73315,102.325205,89.87,3.1655,10.95,11.665,11.7,8.89,14.45,1.3,-0.8525,2.675,1.055,352.1,367.55,346.55,353.6,-0.04,0.23,0.39,0.24,0.25,0.58,0.0925,10.2575,1.415,4.53,11.389,12.3195,12.947,13.39,13.6,14.551,14.697,16.2205,11.8085,12.253,12.54325,12.79425,12.7495,13.639,13.6245,13.354,16.57075,12.75875,12.45,12.99175,13.36875,13.78525,13.038,14.65075,16.33575,12.381,12.958,12.752,13.458,13.239,13.631,13.785,14.267,14.805,9.771,11.174,11.426,11.853,13.675,14.973,16.4945,17.48625,-2.5875,-9.987,-3.72675,-11.24,9.0989975321576,11.6041651856218,12.7191364121681,12.2600481530679,11.8126395051324,16.0442570166015,13.7383682649217,425.49659887747,430.769847660372,429.363456739852,430.971834581564,428.71910495107,431.255624551044,430.385677263441,433.041916532407,440.600373450371,452.817942670606,447.928285298342
1,2.75,2.96340098556651,11.8863946056395,0.190332106934137,1.6310237845166,1.38515792328326,12.5568611421726,3.98279452845565,0.527583186354745,-3.05438856321308,0.389813180866981,0.884400033859408,2.975,2.39,1.065,0.6525,0.2925,10.897775,10.7185,11.344275,10.859725,11.0983,10.491025,7.10595,102.33582,89.71,3.1988,10.945,11.57,11.645,8.66,14.575,1.3,-0.8325,2.635,0.99,354,367.375,345.15,353.5,-0.04,0.22,0.38,0.24,0.24,0.58,0.085,10.235,1.365,4.4675,11.45,12.3165,12.934,13.386,13.602,14.55,14.692,16.22675,11.73975,12.28,12.55225,12.78925,12.74175,13.6055,13.61575,13.366,16.61875,12.679,12.44175,13.0505,13.347,13.769,13.02925,14.64525,16.328,12.363,12.934,12.726,13.465,13.2345,13.609,13.763,14.226,14.871,9.696,11.07375,11.384,11.8705,13.66825,14.969,16.49225,17.486,-5.45275,-9.84175,-4.9855,-11.21,8.498914109476,12.0398941076661,13.0767026915744,12.6026037231867,11.4287686254327,14.5197292768988,13.4936802951098,425.97920257213,431.95671406133,431.988126630209,432.381131455309,432.932744887664,432.547316301865,437.363074618452,434.690675178262,441.483623949557,453.284616839503,462.348012145441
1,3.25,3.08257398305881,11.4760749651876,0.191592055191411,1.73571934944898,0.942855984821684,13.2896972410349,3.21082990240006,0.545017513758943,-2.29800423915029,-0.416809463259201,0.865671843718556,2.99,2.47,1.04,0.6275,0.3025,10.6541,10.318,10.98475,10.580475,10.8009,10.625575,6.73535,102.33948,86.06,3.2094,10.92,11.61,11.595,8.54,14.0325,1.3,-0.855,2.595,0.9875,348.5,366.45,343.65,352.35,-0.04,0.2275,0.38,0.24,0.24,0.59,0.095,10.1975,1.295,4.4925,11.429,12.308,12.918,13.382,13.602,14.55,14.688,16.2135,11.7095,12.302,12.53725,12.7825,12.73875,13.57,13.60825,13.35,16.6225,12.574,12.433,13.00325,13.34025,13.7625,13.02125,14.637,16.3285,12.371,12.902,12.673,13.411,13.22225,13.561,13.751,14.231,14.862,9.6285,10.945,11.349,11.8885,13.661,14.966,16.4895,17.48575,-5.5335,-10.3045,-5.13525,-11.94,8.18843696762154,12.2003528835884,13.0124641022665,12.7892260682877,13.0647046288736,13.614982301192,13.4601756066612,426.06115157624,432.768230423985,430.184484817653,433.679300243722,430.619468964351,435.294061336023,432.609562054227,436.869430937841,442.312594839717,452.487442731897,446.852401746918
1,3.75,2.99213895268155,11.0305586134351,0.206098410044614,1.89367295786791,0.50055404636011,10.9922876323581,2.43886527634447,0.524301208310075,-1.63171866341326,-0.181988255954985,0.881107304899134,2.8925,2.425,1.05,0.6275,0.29,10.339675,10.146,10.44115,10.291475,10.4774,10.1164,7.050025,102.3575525,88.8325,3.04055,10.91,11.42,11.5325,8.44,14.1175,1.2,-0.795,2.555,1,351.1,366.1,344.45,351.8,-0.04,0.22,0.38,0.24,0.24,0.59,0.09,10.125,1.25,4.47,11.406,12.2915,12.902,13.3765,13.594,14.548,14.683,16.2085,11.67225,12.257,12.49475,12.73775,12.7305,13.586,13.60125,13.353,16.551,12.55675,12.2985,12.96475,13.35675,13.7515,13.0125,14.6315,16.328,12.383,12.896,12.643,13.377,13.2135,13.557,13.741,14.235,14.862,9.5655,10.91075,11.317,11.835,13.66575,14.962,16.4875,17.4865,-5.631,-11.10825,-9.28,-9.05,8.1009690355166,12.3416571117742,12.6923697799749,12.2698678757744,11.2719278093078,14.1469107136535,13.030576927475,426.792755688144,432.816939114428,431.71840523205,434.004318928801,430.842177669043,434.131984421477,433.024074160061,435.445478211287,439.162498798357,448.625384123951,451.273323340925
1,4.25,3.02006783355806,10.9304265978913,0.187688597109771,1.94578811063993,0.322318542318807,9.62490582078319,1.40147231666956,0.498953811946806,-1.79682635144572,0.0641912832515455,0.791440163251046,2.855,2.3925,1.055,0.5975,0.2775,10.05065,9.657,10.18815,9.9055,10.41175,9.786825,7.1521,102.348855,90.13,2.743775,10.72,11.16,11.505,8.36,14.3625,1.3,-0.735,2.515,1.03,350.3,365.625,345.55,352.55,-0.0425,0.23,0.38,0.25,0.23,0.58,0.075,10.645,1.2,4.45,11.459,12.2715,12.888,13.3685,13.569,14.545,14.684,16.20225,11.598,12.24,12.48425,12.734,12.73275,13.578,13.5865,13.354,16.5775,12.57475,12.28675,13.04225,13.35075,13.74975,13.0045,14.645,16.3255,12.348,12.885,12.624,13.383,13.223,13.557,13.709,14.238,14.837,9.397,10.88125,11.28,11.853,13.66225,14.957,16.4855,17.4855,-6.50925,-10.91725,-9.51575,-8.97,8.01848183787446,12.321199016403,12.5339878195088,12.4097021201182,12.6309504693851,14.4963187957424,13.3308956153789,426.768366952578,433.394665428619,431.610222775605,435.408431591511,432.027061750974,435.479839977384,432.923166529194,435.961599023276,440.166960930126,446.226491154793,443.163309552294
1,4.75,2.84988991919704,11.172681669083,0.212551920101278,1.61295493237872,0.400169489927283,10.4670965031379,4.57134819727763,0.464811272000438,-2.56232664934209,-0.47025023373452,0.771574215279981,2.7775,2.3375,0.925,0.5975,0.2475,9.784975,9.241,10.18065,9.5587,10.41545,9.6787,7.03765,102.36232,92.335,2.5602,10.675,11.195,11.49,8.27,13.935,1.3,-0.9475,2.475,1.035,344.5,364.575,344.5,349.15,-0.04,0.23,0.38,0.24,0.23,0.58,0.065,10.6925,1.15,4.48,11.443,12.2635,12.873,13.36,13.501,14.53,14.67,16.2115,11.5975,12.247,12.487,12.7425,12.7345,13.535,13.5655,13.345,16.518,12.55575,12.272,13.00875,13.35375,13.74925,12.99575,14.618,16.319,12.32,12.864,12.618,13.358,13.10925,13.554,13.703,14.241,14.83,9.34,10.85525,11.235,11.888,13.634,14.954,16.48275,17.48575,-6.5315,-10.94325,-6.437,-9.2,8.15670999557244,11.6632171312692,12.2265403469136,12.1116483442686,12.3851107336182,15.2261553856525,13.1047984376504,427.167166116412,434.760032362889,432.693458195099,435.031545471189,431.462153092014,435.127685182278,434.203081545832,436.552172032093,443.914901448031,450.184907806016,450.52514995301
