DOY2,HR2,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1,NETRAD,H2O_1_1_1,H2O_1_1_2,H2O_1_2_2,H2O_1_3_2,H2O_1_4_2,CO2_1_1_1,CO2_1_1_2,CO2_1_1_3,CO2_1_2_2,CO2_1_2_3,CO2_1_3_2,CO2_1_3_3,CO2_1_4_2,CO2_1_4_3,CH4_1_1_1,CH4_1_2_1,CH4_1_3_1,CH4_1_4_1
1,0.25,1.02811047951818,11.9671323214937,0.148053972328877,0.641920769808681,-0.332612499670223,0.924037502994616,-4.41318278599393,-1.72009287707353,0.0567091662111845,-17.8651847763897,-3.13293344848808,0.216473450406568,0.7125,0.54,0.06,10.5045,10.939,10.9403,10.332025,7.782575,101.4574725,79.9075,1.0583,8.06,8.3725,8.6875,0.1,-3.65,0.9,0.19,292.4,357.2,313.675,355.775,0.0025,-0.34,-0.16,-0.38,0.17,0.06,-0.0525,0,13.201,13.8875,15.05,15.6625,16.33,18.0565,18.6715,18.747,18.986,13.64175,14.2595,15.3265,15.935,16.425,17.055,18.328,19.2505,19.983,12.79825,13.61825,14.9065,15.85625,16.5745,17.10775,18.32725,19.33775,20.104,12.69575,13.598,14.7505,15.9345,16.4205,17.073,18.2455,19.4695,19.80275,13.74225,14.59675,15.439,16.1405,16.41575,17.22025,18.44075,19.688,20.26275,-35.647,-27.6005,-26.096,-73.43,10.3081554741365,9.75721760892212,9.71332806288219,9.69776465709277,8.67072520627769,415.321822079927,420.673044728969,418.531834065413,422.792845446315,418.235957632833,424.781187028296,418.78387582443,425.496682720767,420.734468485275,2002.99230475196,2008.97819869022,1974.13978474088,1964.25804980573
1,0.75,1.07131706653761,11.6068141603329,0.155795300127196,0.768892122496184,-0.446769948826087,0.559327372794841,-5.16876298135747,-1.90392791763283,0.0533681751997196,-21.3215989669179,-2.55563835892624,0.241639450180353,0.7425,0.5225,0.06,10.1579,10.7035,10.3404,10.31475,6.750625,101.43861,80.69,1.083175,7.985,8.2575,8.8775,0.1,-3.73,0.9,0.19,292.5,356.6,316.375,355.775,0.01,-0.35,-0.17,-0.38,0.17,0.06,-0.05,0,13.019,13.72,14.962,15.607,16.311,18.0495,18.6725,18.7495,19.0005,13.42875,14.144,15.238,15.87975,16.38325,17.05925,18.32825,19.2485,19.992,12.607,13.36525,14.8135,15.78175,16.5505,17.09925,18.3255,19.33575,20.10275,12.60425,13.469,14.65025,15.87475,16.39125,17.078,18.24675,19.4675,19.8015,13.683,14.452,15.403,16.0935,16.408,17.2145,18.44,19.66725,20.2615,-33.2065,-28.1765,-26.564,-71.46,10.2654930682305,9.57423472985955,9.45603747151278,9.51479140397836,8.96907603582449,416.923122955532,421.017019681167,418.386068713196,422.040671726184,418.075519555318,422.739424164262,418.987191888843,425.239382923157,420.108914715712,1999.97630699513,2011.23103240884,1981.20274456249,1971.28302192339
1,1.25,1.19252264057301,11.504258167752,0.159113857975551,0.866808144501187,-0.338909809050885,-0.693901888938827,-4.67986002109591,-1.91415831204008,0.0653058930850943,-18.7798984894474,-2.44657415519354,0.233852334170956,0.7825,0.5325,0.06,10.2029,10.3805,10.219,9.8898,7.0133,101.43616,80.7175,0.9779,7.775,8.16,8.7175,0.1,-3.8,0.9,0.2,295,356.4,316.2,355.375,0.01,-0.34,-0.16,-0.38,0.17,0.06,-0.06,0,12.891,13.5035,14.894,15.542,16.304,18.07425,18.665,18.7515,18.9975,13.267,14.01175,15.18075,15.84,16.3305,17.061,18.3285,19.24575,19.99,12.48425,13.28075,14.7425,15.7095,16.526,17.089,18.3255,19.33375,20.10225,12.50275,13.40675,14.57775,15.82375,16.37625,17.081,18.247,19.46625,19.79975,13.5995,14.3585,15.3265,16.0505,16.3955,17.2145,18.44,19.6655,20.25975,-36.454,-29.848,-27.846,-74.51,9.94855381846261,9.72357886773726,9.66710640940062,9.59177345553423,8.3669770659202,417.4576671876,422.156730221177,420.962034786813,423.512171992688,422.536331683707,426.633786825665,420.31641815298,428.736777628885,420.154795146374,2017.83832233708,2035.43369182224,1994.21007194002,1966.95319873224
1,1.75,1.08903240641211,11.0855516905173,0.146107923130387,0.77666341810429,-0.123881626966099,1.10088014121742,-4.03721639701771,-2.41401791310309,0.0679292070341047,-17.4111286772857,-1.62448244728866,0.24052677688434,0.7825,0.5225,0.06,9.835025,10.1565,9.5151,9.981925,6.992725,101.417725,80.7875,0.92175,7.5025,7.8175,8.2625,0.1,-3.69,0.9,0.24,292.3,356.3,318.05,353.625,0.005,-0.34,-0.1625,-0.38,0.17,0.06,-0.06,0,12.748,13.3695,14.784,15.467,16.3055,18.0805,18.6655,18.7375,19.002,13.12675,13.86975,15.1455,15.79625,16.28325,17.0595,18.32875,19.24375,19.989,12.37025,13.24675,14.648,15.67125,16.4835,17.078,18.3255,19.3325,20.0995,12.41625,13.349,14.56175,15.74275,16.37275,17.07175,18.24525,19.46475,19.7985,13.5115,14.2745,15.236,16.012,16.3745,17.218,18.44075,19.6635,20.25875,-31.678,-26.008,-25.914,-71.54,10.1798446882833,9.94674924326465,9.9507674617606,9.78780815057782,9.07846021152535,417.003427285276,422.423128178485,421.713990811684,424.854438292681,420.666784155699,427.339608203628,421.253701648404,429.108865677734,421.207982894287,2017.3542597148,2024.85661458094,1980.73788345164,1977.52624634719
1,2.25,1.11097037701332,10.7997118827952,0.132634840904657,0.660170752286733,-0.408788014630182,0.650532868258792,-6.75348958481119,-2.06500421762932,0.057278557385595,-19.8204005658658,-1.69589850361241,0.220957133140883,0.815,0.5025,0.065,9.4149,9.815,9.7296,9.4763,6.491275,101.40916,81.555,0.76,7.2475,7.3525,7.975,0.1,-3.71,0.8,0.26,290.7,355.5,318.15,351.875,0.01,-0.34,-0.16,-0.38,0.17,0.055,-0.0625,-0.01,12.6325,13.3285,14.7125,15.409,16.2805,18.067,18.6655,18.7435,18.9985,12.99075,13.7435,15.07825,15.74725,16.2715,17.068,18.32825,19.241,19.98725,12.31525,13.225,14.6035,15.64725,16.44025,17.0815,18.32175,19.3305,20.09975,12.3725,13.274,14.51375,15.717,16.37,17.0795,18.24125,19.46275,19.79675,13.4575,14.194,15.1635,15.973,16.365,17.227,18.4425,19.66175,20.257,-33.128,-26.022,-25.93575,-70.93,9.88637329656446,10.1238352828506,10.0613217330366,9.80907348439275,8.82021879164689,417.856534718539,422.287206724958,420.283832461702,424.073305170483,422.214470436679,426.473215896735,420.59843947737,428.597687787205,421.968763426122,2015.30283704922,2026.66542337805,1993.99817083556,1975.72025388225
1,2.75,1.1135222427975,10.7577838243591,0.142896237950959,0.732914644699318,-0.139270671456262,0.434005011302788,-2.59395079562832,-1.56564496969865,0.0559499393110433,-20.5088048935552,-1.9473142863289,0.229298503284524,0.7425,0.5025,0.06,9.1595,9.55,9.8254,9.181625,6.3183,101.405215,81.9425,0.74115,7.02,7.4175,8.0475,0.1,-3.95,0.9,0.24,293,354.8,317.175,349.3,0.01,-0.34,-0.17,-0.38,0.17,0.06,-0.07,0,12.533,13.269,14.6645,15.3735,16.2515,18.06125,18.673,18.745,18.9805,12.9395,13.70225,14.97825,15.731,16.28425,17.075,18.3285,19.239,19.9855,12.18175,13.167,14.58725,15.641,16.401,17.08075,18.32025,19.32825,20.09875,12.26675,13.2505,14.4945,15.7055,16.36575,17.07975,18.24,19.4615,19.7955,13.4825,14.16,15.1,15.9195,16.359,17.236,18.4455,19.66,20.25575,-36.463,-28.6125,-27.86375,-69.46,9.94029481337775,9.80062754010786,9.94382596523484,9.7634509908922,8.19322508406169,417.649210276865,422.460018787055,420.029096152434,423.544848081393,419.863500156625,424.886469015496,421.996920463774,425.658664648447,421.828748286896,2015.73706498643,2019.54967023617,2010.88125203809,1991.14443531047
1,3.25,1.0295057192563,10.6621760773483,0.138518748859888,0.741791333349488,-0.387584188197153,0.804315006461119,-3.00400808216848,-2.02706685051522,0.0584211923752352,-20.7944039616191,-1.99643546919937,0.210157528495129,0.63,0.46,0.06,8.89965,9.4045,9.6325,9.01335,6.455325,101.41178,79.86,0.694475,6.5525,7.6225,7.7325,0.1,-3.8,0.8,0.21,294,354.2,317.3,349.975,0.01,-0.35,-0.1625,-0.38,0.17,0.055,-0.06,0,12.4535,13.2005,14.628,15.341,16.2145,18.07775,18.6735,18.7435,18.9805,12.93275,13.661,14.924,15.719,16.26275,17.0795,18.328,19.237,19.98425,12.0825,13.09825,14.5435,15.57475,16.36525,17.07975,18.3185,19.32625,20.0975,12.09975,13.18325,14.45975,15.6875,16.34175,17.06975,18.24025,19.46,19.79375,13.365,14.1175,15.0425,15.8935,16.3525,17.244,18.4475,19.65825,20.25475,-37.3855,-30.623,-29.46,-68.35,9.79404745149076,9.81709000658536,9.78195754492693,9.61855030099479,7.96256424218072,418.072758216064,422.648879211474,421.933457852704,423.421227360279,422.988149068677,426.004271091642,423.178629566676,430.214361420102,423.611440858765,2015.84926621941,2017.6141145062,2010.34814739705,1994.39256577463
1,3.75,1.02819161214756,10.7277166804691,0.13730709974489,0.651005309541117,-0.217381698169149,0.497706846735236,-4.68797444792938,-2.1152869609116,0.0594031108874522,-17.1398466413468,-1.76232088428516,0.23743419493241,0.7325,0.4725,0.06,9.06975,9.422,9.1826,8.84125,6.45515,101.41132,81.5225,0.58945,6.955,7.7875,7.9025,0.1,-3.61,0.9,0.28,292.2,353.7,319.25,350.525,0.01,-0.34,-0.16,-0.38,0.165,0.055,-0.06,-0.005,12.411,13.1665,14.5705,15.322,16.1765,18.07025,18.674,18.7635,18.977,12.88525,13.598,14.8575,15.6895,16.21925,17.082,18.3285,19.235,19.98475,11.96325,13.01975,14.4645,15.53925,16.33425,17.08075,18.319,19.325,20.09625,11.95475,13.12475,14.35425,15.66,16.31375,17.058,18.24025,19.458,19.7925,13.2795,14.0765,15.0075,15.892,16.3445,17.2475,18.44975,19.657,20.253,-35.31975,-27.85275,-27.354,-69.89,9.76838752840596,9.4060085586877,9.30824697231106,9.04758363730823,7.80415215430107,417.432829103086,423.700645719799,421.884616476334,424.844328595545,423.519396036581,425.817433852763,422.821892660801,428.709228559397,425.762932821218,2024.70925299793,2024.61512308626,2003.76432999965,1978.83459002405
1,4.25,1.14219977040371,10.4278779423591,0.157814582150197,0.757928505188566,-0.297856878185061,0.80832511422455,-3.51266291274591,-1.46272273312918,0.0605017464393684,-20.9367628991406,-1.72630821460818,0.223456669289369,0.8125,0.475,0.07,8.81325,9.296,9.3761,8.74705,6.4123,101.3954475,83.08,0.5537,6.6925,7.465,7.695,0.1,-3.57,0.9,0.25,292.8,353.3,318.675,347.65,0.01,-0.34,-0.17,-0.38,0.165,0.05,-0.06,0,12.358,13.097,14.5035,15.2965,16.136,18.0625,18.666,18.742,18.986,12.84075,13.5875,14.788,15.62425,16.17375,17.082,18.32875,19.23225,19.9815,11.912,12.8405,14.3665,15.48175,16.30825,17.084,18.32,19.323,20.095,11.8755,13.0285,14.2885,15.6365,16.28175,17.05425,18.23925,19.45675,19.79075,13.16,14.01,14.9595,15.8905,16.315,17.2425,18.45275,19.6545,20.252,-37.0155,-30.52575,-31.2875,-66.5,8.93025711865115,9.43650964272634,9.26252495578508,8.99817518906247,7.93012015264891,416.066827576062,423.831877294617,421.435553174522,425.349544059995,421.205468399982,427.49565888783,422.777875427371,430.428272198723,425.914415002759,2019.01761283237,2022.2743756262,2011.19568157352,1982.99031441303
1,4.75,0.902754548196483,10.0916560844753,0.143602963454027,0.654696886476142,-0.32509505764461,1.13140719050668,-4.06278583266362,-1.77536019218675,0.0547595832372448,-17.1498019638925,-1.83052181090002,0.233644305783914,0.7575,0.465,0.06,8.78195,9.295,9.1402,8.60695,5.94905,101.3907525,82.5575,0.5009,6.4825,6.6875,7.4525,0.1,-3.5,0.9,0.2,292.7,351.7,318,347.5,0.01,-0.34,-0.16,-0.38,0.17,0.055,-0.06,-0.01,12.32,13.063,14.4875,15.2695,16.087,18.0585,18.674,18.746,18.9865,12.771,13.50725,14.74275,15.56825,16.1335,17.0805,18.32825,19.23025,19.97975,11.84975,12.72475,14.3165,15.4245,16.28425,17.079,18.3205,19.321,20.093,11.774,12.9035,14.19225,15.62275,16.248,17.0515,18.23875,19.4555,19.7895,13.0755,13.9365,14.9105,15.881,16.281,17.236,18.455,19.65275,20.2755,-37.2725,-30.20525,-29.629,-66.05,8.78448541249407,9.44553067081821,9.13151961755291,8.97647165136667,7.8229706950197,418.05413060895,425.538299733682,423.172516091857,428.494067599993,422.123934038459,430.05754949921,422.532237841117,431.783754381131,422.274408878004,2017.01956263888,2016.32735249026,2013.91746318837,2006.06415482949
