DOY2,HR2,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CH4_1_1_1,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CH4_1_2_1,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,H2O_1_3_3,CH4_1_3_1,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CH4_1_4_1,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,CO2_1_1_1,H2O_1_1_1,FC,SC,NEE,LE,SLE,USTAR,H,SH,V_SIGMA,WS_1_2_1,WS_1_3_1,WS_1_4_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_2_2_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_OUT,LW_IN,LW_OUT,NETRAD,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_3_1_1,PPFD_BC_IN_5_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_1_9_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_2_6_1,TS_2_7_1,TS_2_8_1,TS_2_9_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_3_7_1,TS_3_8_1,TS_3_9_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_4_8_1,TS_4_9_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,TS_5_9_1,G_1_1_1,G_3_1_1,G_5_1_1
1,0.25,431.563,12.722,422.796,13.93,2044.554,433.438,12.841,422.7645,13.393,2039.7,438.105,12.529,426.0975,14.072,2052.245,449.861,12.151,430.254,14.057,2047.291,1.857,15.033,0.202,427.793,13.316,1.281,0.21,1.6,-1.967,-0.7105,0.121,-8.702,-1.186,0.377,1.2,0.85,0.12,14.2395,14.308,13.842,13.785,12.4455,101.7275,87.06,2.138,12.245,12.855,13.065,0.7,-3.06,1.6,0.43,336.2,379.9,-51.88,351.75,380.55,0.09,0.03,0.07,-0.19,0.23,0.13,0,0.03,15.139,15.571,16.552,17.166,17.545,19.1465,19.492,19.503,19.796,15.6275,15.955,16.644,17.167,17.3895,17.9475,18.953,19.9105,20.61,14.918,15.3185,16.2655,16.887,17.4065,17.8665,18.9415,19.9135,20.672,15.183,15.625,16.4015,17.0615,17.4715,17.9415,18.8675,19.9735,20.2985,15.6105,16.248,16.8195,17.224,17.387,17.938,18.983,20.161,20.7775,-22.1475,-18.2385,-17.051
1,0.75,431.5355,12.4805,422.92,13.307,2042.526,434.8835,12.372,422.226,13.099,2046.1265,437.431,12.302,428.373,13.7285,2056.278,442.311,12.184,430.65,13.315,2047.31,1.75,14.71,0.201,428.83,13.169,1.215,0.063,1.114,-1.619,-0.682,0.122,-7.982,-0.845,0.346,1.18,0.805,0.12,14.0235,14.0965,13.701,13.6785,12.3625,101.702,88.32,1.955,12.105,12.845,12.96,0.7,-3.02,1.6,0.49,338.5,379.7,-51.48,351.05,381.55,0.09,0.03,0.075,-0.19,0.225,0.13,0,0.03,15.134,15.513,16.548,17.116,17.518,19.1515,19.487,19.502,19.794,15.578,15.9375,16.582,17.142,17.385,17.9495,18.956,19.909,20.619,14.796,15.299,16.172,16.876,17.3775,17.8675,18.943,19.9125,20.6795,15.037,15.601,16.3395,17.031,17.4425,17.938,18.868,19.972,20.298,15.5,16.124,16.736,17.169,17.362,17.931,18.9835,20.157,20.7755,-21.134,-17.343,-16.688
1,1.25,433.1375,12.4975,424.18,13.5315,2043.108,435.806,12.3035,426.028,14.6025,2049.366,437.961,12.186,429.01,13.377,2057.194,446.676,12.017,431.9865,13.195,2045.315,1.848,14.344,0.193,429.7505,12.86,1.356,0.102,1.321,-2.013,-0.401,0.118,-8.172,-1.12,0.3575,1.2,0.85,0.12,13.959,14.044,13.6275,13.72,11.375,101.704,88.3,1.809,11.8,12.7,12.64,0.7,-2.9,1.5,0.49,338.25,379.65,-48.75,352.1,379.6,0.09,0.03,0.07,-0.23,0.23,0.13,0,0.03,15.085,15.487,16.449,17.056,17.457,19.1525,19.461,19.497,19.79,15.6115,15.818,16.526,17.138,17.367,17.9495,18.9585,19.9065,20.6175,14.7575,15.289,16.063,16.8585,17.354,17.868,18.9435,19.911,20.6775,14.9305,15.446,16.2415,16.994,17.4095,17.9365,18.866,19.9715,20.297,15.548,16.117,16.671,17.155,17.36,17.934,18.9845,20.155,20.7735,-23.362,-18.903,-18.23
1,1.75,434.0745,12.3675,425.1315,13.6705,2049.038,435.783,12.308,425.946,13.505,2045,438.439,12.2,430.657,13.586,2057.235,443.846,12.0535,432.1025,13.8645,2053.1295,1.8275,13.9605,0.2025,430.826,12.776,1.259,0.161,1.693,-1.325,-0.586,0.1265,-7.572,-1.003,0.3425,1.245,0.87,0.12,13.3895,13.6685,13.162,13.671,11.75,101.7015,88.94,1.764,11.83,12.735,12.8,0.7,-2.785,1.55,0.525,338.9,379.75,-46.685,351.75,379,0.09,0.03,0.07,-0.23,0.23,0.13,0,0.02,15.043,15.414,16.413,17.037,17.432,19.1475,19.468,19.506,19.798,15.5405,15.7595,16.483,17.076,17.343,17.955,18.9605,19.905,20.615,14.569,15.1835,15.9635,16.8305,17.333,17.862,18.943,19.91,20.6755,14.8365,15.3955,16.203,16.9555,17.3695,17.9415,18.864,19.9705,20.296,15.522,16.062,16.663,17.115,17.332,17.937,18.9855,20.153,20.771,-23.141,-18.405,-17.4365
1,2.25,434.4785,12.404,425.622,13.25,2050.962,436.624,12.395,428.2745,12.9355,2046.077,439.7555,12.314,428.8235,13.1325,2059.464,450.5915,11.955,432.453,13.1055,2053.509,1.8405,14.069,0.178,431.6165,12.6435,1.0275,0.035,1.244,-1.106,-0.255,0.1085,-7.2195,-0.517,0.3405,1.18,0.805,0.11,13.227,13.3375,13.093,13.411,11.1255,101.6815,88.87,1.678,11.565,12.09,12.575,0.6,-2.86,1.5,0.49,337.2,379.1,-48.18,352.25,379.2,0.09,0.03,0.07,-0.19,0.23,0.13,0,0.02,14.904,15.271,16.346,17.005,17.411,19.1385,19.462,19.505,19.797,15.461,15.6885,16.51,17.0495,17.333,17.9555,18.96,19.9025,20.613,14.498,15.0215,15.938,16.7835,17.305,17.8535,18.9425,19.909,20.6735,14.7915,15.3895,16.14,16.9065,17.327,17.9425,18.863,19.9695,20.2945,15.425,16.087,16.625,17.123,17.31,17.948,18.987,20.1515,20.7685,-21.713,-18.139,-16.085
1,2.75,435.6265,12.4455,427.444,13.212,2053.3705,438.251,12.411,427.953,13.059,2056.354,440.801,12.308,431.4795,13.3955,2058.0895,447.399,12.138,433.909,12.443,2054.104,1.904,13.7095,0.187,432.16,12.648,1.281,0.09,1.3365,-0.9715,0.0245,0.103,-6.29,-0.669,0.331,1.18,0.79,0.11,13.0805,13.17,13.079,13.2485,11.283,101.663,89.88,1.633,11.55,12.01,12.44,0.7,-2.8,1.5,0.49,341.7,379.2,-46.22,353.45,377.85,0.08,0.03,0.07,-0.2,0.225,0.13,0,0.02,14.932,15.117,16.343,17.01,17.406,19.1355,19.466,19.494,19.797,15.3725,15.602,16.451,16.9845,17.313,17.9625,18.9595,19.9015,20.611,14.362,15.064,15.947,16.732,17.273,17.8415,18.9415,19.9075,20.6715,14.8035,15.343,16.134,16.88,17.2975,17.9485,18.863,19.9685,20.294,15.397,15.905,16.616,17.076,17.293,17.942,18.989,20.1495,20.7665,-22.918,-18.698,-16.694
1,3.25,434.262,12.628,426.653,13.3445,2057.798,437.2625,12.577,428.757,13.6155,2059.973,440.3905,12.5705,430.39,13.065,2068.049,448.306,11.9775,432.2075,13.049,2060.6095,1.884,13.412,0.191,433.021,12.48,1.259,0.079,1.465,-0.8025,-0.339,0.1,-7.191,-0.405,0.353,1.14,0.795,0.1,12.944,13.1515,13.046,12.947,11.318,101.6575,90.535,1.4625,11.455,11.935,12.21,0.7,-2.79,1.5,0.5,342.3,377.3,-45.26,352.8,375.65,0.09,0.03,0.07,-0.2,0.22,0.13,0,0.02,14.756,15.135,16.326,16.983,17.38,19.134,19.465,19.491,19.793,15.25,15.5175,16.3985,16.9085,17.3005,17.966,18.958,19.8995,20.61,14.316,14.9825,15.923,16.6135,17.237,17.8295,18.942,19.9065,20.6695,14.7175,15.2615,16.1125,16.8275,17.267,17.951,18.866,19.9675,20.293,15.326,15.92,16.57,17.055,17.279,17.944,18.99,20.1485,20.764,-24.275,-19.775,-18.939
1,3.75,434.965,12.452,428.5935,13.3885,2060.885,436.434,12.5405,428.753,13.486,2062.632,440.8795,12.3895,431.688,13.425,2067.383,449.2545,11.8635,435.8775,13.27,2065.472,1.88,13.473,0.193,432.6755,12.52,1.041,0.171,1.21,-1.4055,-0.659,0.111,-7.4485,-0.562,0.365,1.165,0.76,0.1,13.189,13.2955,13.045,12.975,10.99,101.667,91.06,1.393,11.465,11.95,12.28,0.7,-2.71,1.5,0.51,341.6,378.5,-40.99,352.4,375.45,0.08,0.03,0.07,-0.195,0.22,0.13,0,0.02,14.779,15.048,16.301,16.958,17.356,19.1515,19.458,19.493,19.798,15.256,15.4805,16.3425,16.855,17.284,17.972,18.956,19.8985,20.6085,14.3545,14.9145,15.8785,16.55,17.2055,17.826,18.9425,19.9045,20.667,14.6725,15.2385,16.0465,16.7715,17.233,17.951,18.868,19.9665,20.292,15.255,15.834,16.542,17.006,17.248,17.945,18.99,20.1475,20.762,-23.235,-18.608,-16.712
1,4.25,435.071,12.496,428.767,13.137,2062.388,435.921,12.552,428.43,13.014,2061.6805,441.261,12.317,430.545,12.934,2071.286,452.986,11.739,434.838,12.938,2067.846,1.81,13.178,0.197,432.9375,12.555,1.2135,0.027,1.422,-0.898,-0.109,0.114,-8.706,-0.597,0.35,1.185,0.805,0.11,12.98,13.149,12.855,12.8405,11.481,101.6695,91.605,1.348,11.525,11.835,12.315,0.8,-2.65,1.6,0.43,343.6,377.7,-42.03,351.8,377,0.08,0.03,0.07,-0.195,0.22,0.13,0,0.02,14.713,15.099,16.267,16.897,17.351,19.155,19.444,19.496,19.802,15.1635,15.454,16.278,16.834,17.252,17.9725,18.9565,19.8965,20.6075,14.329,14.946,15.8775,16.5215,17.209,17.8105,18.9435,19.9035,20.6655,14.583,15.211,16.0135,16.74,17.199,17.9505,18.866,19.965,20.291,15.23,15.748,16.461,16.943,17.217,17.94,18.9905,20.146,20.7595,-25.438,-21.48,-18.734
1,4.75,436.0255,12.363,427.672,13.151,2065.44,436.896,12.127,428.504,13.202,2071.733,442.123,12.2085,430.584,13.257,2080.821,455.2745,11.983,433.558,12.5675,2061.794,1.676,13.382,0.19,433.6815,12.4985,1.216,0.144,2.0435,-0.427,-0.557,0.111,-7.5325,-0.642,0.329,1.1,0.74,0.11,12.715,12.8535,12.314,12.233,11.1925,101.6745,91.87,1.277,11.26,11.845,12.275,0.7,-2.58,1.5,0.47,343.5,376.8,-39.85,352.95,376.45,0.08,0.03,0.07,-0.19,0.22,0.13,0,0.02,14.684,15.132,16.112,16.852,17.33,19.1235,19.452,19.501,19.808,15.106,15.42,16.2575,16.8185,17.23,17.9585,18.9565,19.895,20.6065,14.2355,14.8985,15.871,16.4725,17.2205,17.8005,18.944,19.9025,20.659,14.515,15.163,15.949,16.7115,17.2015,17.9445,18.8635,19.9645,20.2905,15.194,15.707,16.407,16.912,17.2,17.936,18.989,20.1455,20.759,-26.449,-23.336,-20.293
1,5.25,437.572,12.177,428.149,13.028,2065.928,439.633,12.1785,427.446,13.451,2070.271,442.7705,12.01,431.232,12.65,2081.9245,456.691,11.2395,433.319,12.5165,2073.961,1.7365,13.097,0.1965,432.709,11.975,1.141,0.114,1.455,-0.275,-0.391,0.099,-5.267,-0.302,0.327,1.175,0.76,0.11,12.565,12.7435,12.342,12.022,11.027,101.686,91.6,1.387,11.165,11.685,12.115,0.7,-2.54,1.5,0.42,344.7,375.8,-37.26,353.35,374.35,0.08,0.025,0.07,-0.19,0.22,0.13,0,0.02,14.67,15.105,16.122,16.829,17.302,19.112,19.445,19.5,19.803,15.1075,15.427,16.1865,16.8085,17.205,17.9495,18.958,19.8935,20.605,14.117,14.786,15.7925,16.4405,17.218,17.7985,18.9445,19.901,20.6615,14.521,15.1165,15.9235,16.669,17.188,17.9305,18.8615,19.963,20.297,15.154,15.694,16.327,16.896,17.179,17.93,18.988,20.1445,20.7565,-25.116,-19.796,-19.1475
