DOY2,HR2,FC,SC,LE,SLE,USTAR,H,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,H2O_1_6_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,0.805734534809386,-0.269477242771658,0.645246704778023,-2.25106188635902,0.330163289169144,-32.1642499035951,0.64096992438605,418.880193968693,1.87213047876803,418.430665313408,1.89078502035639,420.059159989563,2.25111287287988,418.341804565329,1.91880674993022,420.517834643293,2.15386792828779,418.305202698778,1.90310335066208,419.636455190277,418.40820039137,1.8943530500543,419.805139780411,2.92188834919061,419.557430421444,1.97087434679284,421.615758002592,2.43300723487477,421.298709664192,2.12559790479638,422.954586451096,2.73818307776304,2.04145082389257,-9.02664210439184,0.0748423808316713,1.455,0.375,0.17,-8.544425,-9.24,-8.3732,-8.727775,-8.7658,-7.0242,-11.2009,96.80726,59.73,0.714125,-6.845,-7.075,-7.965,-6.65,-6.15,0,-3.535,0.5,-1.2,-0.275,201.9,279.025,255.4,282.95,-0.34,0.03,-0.235,-0.2,-0.11,-0.41,-0.365,0.025,0.06,-0.105,-0.762,-0.0975,0.7585,1.422,1.8305,2.18,2.621,3.28175,-0.9425,-0.5065,0.693,1.207,1.87725,0.061,0.9175,2.05125,2.1285,2.11025,3.30925,-0.466,0.1115,1.5385,2.05825,2.207,2.01,3.4385,-1.4995,-0.271,0.785,2.0655,2.4735,3.092,3.308,3.9265,-5.268,-5.8825,-3.735,-84.01
1,0.75,0.663663861560694,-0.470418219355014,0.328212544234113,-2.3465377321087,0.277585597280518,-35.4925008643244,0.606895672293685,418.651722038581,1.8296909333618,417.585014837489,1.70533021233973,420.374410322804,2.05575007436585,417.922745288912,1.74326788668474,421.00080336189,2.214448551766,418.041362331283,1.66066272002652,419.87421854473,418.236684250635,1.73002224529768,419.166156560049,3.04965529195609,419.108192724053,1.85123149553654,422.954745095961,1.78765987725503,420.252851730007,2.18654269196761,422.268684304951,3.31414255907619,2.210263990376,-9.15030164813379,0.0778366947189432,1.38,0.35,0.19,-8.79735,-9.437,-8.77855,-8.7001,-8.854,-7.12055,-11.48655,96.786585,60.12,0.6828,-6.895,-7.205,-8.105,-6.855,-6.575,0,-3.505,0.5,-1.17,-0.31,201.35,278.225,254.7,282.45,-0.34,0,-0.18,-0.205,-0.11,-0.41,-0.45,0.03,0.075,-0.1,-0.7905,-0.1165,0.758,1.421,1.8285,2.1785,2.619,3.2805,-0.986,-0.5245,0.693,1.2065,1.877,0.04,0.913,2.04775,2.128,2.11025,3.308,-0.4485,0.106,1.5345,2.09,2.202,2.01,3.4365,-1.512,-0.2785,0.7765,2.0645,2.469,3.094,3.3085,3.924,-5.29825,-5.98,-3.799,-81.54
1,1.25,0.661731065686144,-0.220764380397445,-1.0420592377687,-1.60774826540255,0.31764329156711,-33.1363152899679,0.61048202344397,418.469427701805,1.96598737191961,418.437664378922,1.68085599495857,420.215636712874,2.07312378033225,418.438471888701,1.70571149327095,420.467889778276,2.3822852932894,418.636665344795,1.71574967564538,417.344834773511,418.616538027534,1.70022157382941,418.565542920588,2.47007941485742,419.024644584848,1.769173859029,422.016326536631,2.14428619564347,420.775119743312,1.98113172354211,423.002200765,3.01878008378887,2.11079878762005,-9.23900576730802,0.0705080627783682,1.4625,0.355,0.175,-9.0465,-9.746,-8.8567,-9.2555,-9.01695,-6.72035,-11.5759,96.80036,60.995,0.66625,-7.32,-7.52,-8.135,-6.995,-6.85,0,-3.51,0.5,-1.135,-0.31,202.55,276.35,253.6,282.4,-0.34,-0.03,-0.17,-0.25,-0.11,-0.415,-0.45,0.03,0.07,-0.095,-0.824,-0.118,0.758,1.42,1.8265,2.1765,2.6175,3.27925,-1.059,-0.5425,0.6925,1.2025,1.877,0.028,0.909,2.046,2.128,2.1095,3.30625,-0.4475,0.104,1.53,2.089,2.2,2.01225,3.416,-1.4935,-0.2905,0.7695,2.061,2.4695,3.095,3.308,3.9125,-5.29375,-5.946,-3.78125,-82.0075
1,1.75,0.73988889702824,-0.775994747182227,-2.02198037254335,-1.44463629282162,0.319256055624918,-34.2412207990485,0.61721459308924,418.266031899869,2.04721164350461,417.618070528843,1.85340792868445,420.515762834419,2.13381947170112,417.585438175762,1.8704009154682,421.390651093946,2.11843007444174,417.22302424518,1.85467102401769,419.796699752212,418.252596444206,1.86785291740895,419.112705058824,1.81974915145151,418.810798535443,1.76742581144483,422.468104776867,2.02388936463782,419.849559253572,2.10467488013071,423.764596958861,3.14587514767534,2.11128612127258,-9.20380261912364,0.0716332733817879,1.4225,0.35,0.1475,-9.01335,-9.507,-9.029025,-9.6613,-9.2123,-6.8473,-11.9021,96.83066,62.835,0.6465,-7.3,-7.565,-8.155,-7.085,-6.98,0,-3.3675,0.5,-1.115,-0.285,200.2,275.9,253.45,281.5,-0.34,-0.025,-0.17,-0.225,-0.11,-0.415,-0.45,0.03,0.08,-0.1,-0.868,-0.1155,0.759,1.4185,1.825,2.176,2.619,3.27875,-1.1515,-0.559,0.693,1.1995,1.877,0.032,0.906,2.0445,2.1275,2.10975,3.30525,-0.462,0.102,1.522,2.08575,2.2,2.01225,3.415,-1.5185,-0.2985,0.763,2.056,2.4695,3.0935,3.3085,3.905,-5.291,-5.87225,-3.77425,-79.465
1,2.25,0.853717945966619,-0.613082794900229,-3.55388435195874,-0.338294613005677,0.301179522688721,-33.474811594644,0.615351490877745,418.734279680231,2.28570090628151,418.159295215243,1.59076062845863,419.986015885599,1.94922830026092,416.943207250514,1.59170613422376,420.568655196123,1.95871038691154,417.602272826175,1.59805269361422,418.175916463021,418.022161087813,1.6379494576528,418.996331137615,1.59581720999133,418.53348843633,1.7276005469121,422.056936432632,2.07690223605247,419.364284809354,1.83035244189872,423.32740373759,2.90958600300232,2.1957501369791,-9.40961527822011,0.076224267928826,1.5125,0.345,0.1475,-9.3111,-9.611,-9.330225,-9.3595,-9.18285,-7.914175,-11.879,96.81874,63.005,0.65675,-7.65,-7.79,-8.26,-7.28,-6.965,0,-3.33,0.5,-1.14,-0.31,201.15,275.45,253.95,280.5,-0.34,0.03,-0.175,-0.195,-0.11,-0.415,-0.445,0.025,0.075,-0.1,-0.894,-0.1455,0.76,1.417,1.824,2.176,2.6155,3.27775,-1.2415,-0.57,0.692,1.196,1.87625,0.036,0.908,2.04775,2.1265,2.1095,3.30425,-0.468,0.0965,1.51,2.0815,2.2005,2.0115,3.4145,-1.567,-0.305,0.758,2.052,2.4695,3.0915,3.3085,3.903,-5.272,-5.8005,-3.7665,-80.6275
1,2.75,0.691703756261771,-0.359763156191779,-4.75005327437618,-0.237611224833114,0.317493794200738,-31.3823533041392,0.589372176190397,418.552083041064,2.2672947225615,417.54692255317,1.72024037325375,420.459179006729,2.4996295227276,417.926752552857,1.71267962378588,420.928773441271,2.6690278212873,417.696315890981,1.70554473178727,420.177567385595,417.592804843187,1.70747456519666,419.192822221675,2.58424064564203,418.03380193831,1.80608595981212,422.26164900157,2.38946855173641,419.266004418766,1.86808460884941,422.421279850649,3.14113868800341,2.03861142687362,-9.64932359151296,0.0807024891474894,1.4425,0.35,0.14,-9.51425,-9.86325,-9.3995,-9.6995,-9.54655,-7.7477,-11.3085,96.797375,64.62,0.634975,-7.835,-8.065,-8.545,-7.555,-7.035,0,-3.475,0.5,-1.17,-0.3,200.45,274.5,255.9,279.9,-0.34,0.025,-0.175,-0.21,-0.11,-0.4,-0.445,0.025,0.075,-0.095,-0.9065,-0.151,0.761,1.416,1.822,2.1765,2.62,3.27625,-1.278,-0.567,0.691,1.1935,1.87625,0.039,0.91,2.052,2.1265,2.1095,3.30325,-0.4695,0.0885,1.501,2.072,2.2,2.01,3.4115,-1.6215,-0.3115,0.759,2.047,2.4725,3.09,3.307,3.903,-5.236,-5.82775,-3.6865,-80.7375
1,3.25,0.335079192274858,-0.195379263758265,-1.66555522704578,-1.0840864902091,0.304246186778336,-33.1745133627938,0.571597374024653,417.783610628346,2.35938540814338,417.263525273151,1.74113709660057,419.539111691176,1.90497933000877,417.479486719724,1.74242211278863,419.508520314831,1.913426991152,417.418547820387,1.71394611347688,417.387011830417,417.711233746135,1.73514628426589,419.60576073877,2.14342372933953,418.317967230483,1.74489460496449,423.387251895687,1.95543512734316,419.357236042445,1.81396700509394,423.267002762951,3.11453656516935,2.16360209263602,-10.1711573416039,0.0754051139766934,1.57,0.355,0.14,-9.92475,-10.25175,-9.9141,-10.075925,-9.88155,-8.11365,-11.1987,96.73301,65.165,0.58125,-7.94,-8.195,-8.54,-7.35,-7.03,0,-3.46,0.5,-1.145,-0.255,199.95,273.425,255.9,279.75,-0.34,0.03,-0.175,-0.195,-0.11,-0.415,-0.44,0.03,0.075,-0.1,-0.931,-0.14875,0.762,1.415,1.83425,2.178,2.6195,3.27525,-1.272,-0.576,0.6895,1.1935,1.8765,0.031,0.9135,2.0525,2.126,2.1095,3.302,-0.4665,0.082,1.496,2.063,2.19925,2.01,3.409,-1.6935,-0.3,0.755,2.043,2.4725,3.09,3.3055,3.9025,-5.292,-5.836,-3.707,-81.39
1,3.75,0.585251704700358,-0.414765296150907,-1.89389978763447,-0.862312876436133,0.323955711497944,-36.6348111181522,0.597206137774918,418.262173838812,2.76327592409613,417.382058017465,1.69229217441941,419.943906429268,2.6856819952035,416.948425090162,1.80861425770542,421.137422345161,2.95316521788404,417.273712260239,1.54364949340315,419.994022734375,417.317976387468,1.73072763770819,419.126213674157,2.03465255936982,417.215784872119,1.71876152258255,420.28736353643,2.06437500613796,419.007063297614,1.77438972013617,421.911570934143,3.43278235814811,2.1907833771496,-10.4523327916602,0.0709504968627377,1.52,0.375,0.1475,-10.0088,-10.605,-9.8567,-10.20785,-10.033975,-8.2201,-11.750375,96.73727,65.3425,0.5765,-8.035,-8.35,-8.56,-7.355,-6.97,0,-3.42,0.5,-1.145,-0.24,202.4,272.3,255,279.3,-0.34,-0.04,-0.175,-0.215,-0.11,-0.415,-0.43,0.03,0.08,-0.1,-0.9425,-0.157,0.759,1.414,1.818,2.17725,2.622,3.274,-1.258,-0.568,0.685,1.1925,1.8765,0.023,0.9175,2.0535,2.126,2.10975,3.301,-0.4655,0.0645,1.4905,2.053,2.198,2.00575,3.419,-1.736,-0.3125,0.7515,2.03775,2.4715,3.0905,3.304,3.9025,-5.259,-5.8635,-3.683,-81.99
1,4.25,0.448916513079337,-0.458585077699584,-2.10998851379023,-1.27639481451083,0.296893132428712,-33.3313283917696,0.578484127478476,418.00566029207,2.45561673264742,416.960081222428,2.05437680451963,418.904724571591,1.93881972632825,416.94661338784,2.20648714819039,418.959822857002,1.95701347289767,416.960493582267,2.23282321859608,417.328674873043,417.41576121644,2.23123135249017,419.13316321411,1.96585702160644,417.752480036384,2.19809834682458,422.362616293566,1.93060607173317,418.880999615861,2.16133431733628,422.463885406836,2.82918396152125,2.10490177110382,-10.9619751032998,0.0764918413600921,1.43,0.355,0.1575,-10.10635,-10.9365,-10.0253,-10.16425,-10.003975,-7.970475,-11.558,96.72351,65.1975,0.570775,-7.89,-7.985,-8.59,-7.325,-6.875,0,-3.37,0.5,-1.145,-0.255,204.8,271.95,252.7,279.55,-0.34,0.045,-0.175,-0.205,-0.11,-0.42,-0.415,0.03,0.08,-0.1,-0.9275,-0.191,0.74925,1.412,1.8165,2.176,2.61975,3.2735,-1.266,-0.561,0.681,1.193,1.8765,0.012,0.9215,2.051,2.1265,2.10975,3.3,-0.4985,0.057,1.4855,2.049,2.1985,2.0015,3.4165,-1.774,-0.322,0.748,2.0325,2.4725,3.091,3.303,3.902,-5.297,-5.924,-3.73525,-81.2525
1,4.75,0.466767893617309,-0.0928462080777149,-1.50852966992564,-0.381141136834177,0.281866368954292,-33.8903882512144,0.55349023186321,417.46652480551,2.15326051211479,416.86658777518,1.66705525467912,419.799269191983,1.91800230700112,417.136483859081,1.6634258946259,420.492240164384,2.01521320294938,417.242794892469,1.63951376558321,418.973466250818,417.319845514614,1.63233303602061,418.759232352941,1.43630484839105,418.086543575779,1.57836775709173,420.376615009901,1.94696516824306,419.638127937519,1.65590455738118,421.17898211893,3.26251108553403,2.06384581710198,-10.6770501598137,0.074914762143238,1.4,0.36,0.155,-10.26565,-10.97,-9.9247,-10.31585,-10.233375,-7.8824,-12.0347,96.69755,65.2625,0.554675,-7.785,-8.085,-8.605,-7.155,-6.835,0,-3.495,0.5,-1.17,-0.21,202.45,273.6,254,279.7,-0.34,0.015,-0.18,-0.205,-0.11,-0.415,-0.365,0.03,0.08,-0.1,-0.9515,-0.246,0.747,1.40825,1.815,2.175,2.6115,3.27225,-1.2795,-0.5555,0.676,1.1935,1.8765,0.009,0.925,2.04625,2.1275,2.109,3.29875,-0.535,0.0485,1.4795,2.05275,2.199,2.0015,3.41325,-1.8015,-0.326,0.7445,2.02925,2.4725,3.111,3.301,3.902,-5.1855,-5.8485,-3.7545,-83.9
