DOY2,HR2,FC,SC,LE,SLE,USTAR,H,V_SIGMA,CO2_1_1_1,H2O_1_1_1,CO2_1_1_2,H2O_1_1_2,CO2_1_1_3,H2O_1_1_3,CO2_1_2_2,H2O_1_2_2,CO2_1_2_3,H2O_1_2_3,CO2_1_3_2,H2O_1_3_2,CO2_1_3_3,CO2_1_4_2,H2O_1_4_2,CO2_1_4_3,H2O_1_4_3,CO2_1_5_2,H2O_1_5_2,CO2_1_5_3,H2O_1_5_3,CO2_1_6_2,H2O_1_6_2,CO2_1_6_3,H2O_1_6_3,WS_1_1_1,T_SONIC,T_SONIC_SIGMA,WS_1_2_1,WS_1_5_1,WS_1_6_1,TA_1_1_1,TA_1_1_2,TA_1_2_1,TA_1_3_1,TA_1_4_1,TA_1_5_1,TA_1_6_1,PA,RH,VPD,T_CANOPY_1_1_1,T_CANOPY_1_2_1,T_CANOPY_1_3_1,T_CANOPY_1_4_1,T_CANOPY_2_4_1,SW_DIF,SW_IN_1_1_1,SW_IN_1_1_2,SW_IN_1_1_3,SW_OUT,LW_IN,LW_OUT,LW_BC_IN,LW_BC_OUT,PPFD_IN_1_1_1,PPFD_IN_1_2_1,PPFD_IN_1_3_1,PPFD_IN_1_4_1,PPFD_IN_1_5_1,PPFD_IN_1_6_1,PPFD_OUT,PPFD_BC_IN_1_1_1,PPFD_BC_IN_2_1_1,PPFD_BC_IN_3_1_1,TS_1_1_1,TS_1_2_1,TS_1_3_1,TS_1_4_1,TS_1_5_1,TS_1_6_1,TS_1_7_1,TS_1_8_1,TS_2_1_1,TS_2_2_1,TS_2_3_1,TS_2_4_1,TS_2_5_1,TS_3_1_1,TS_3_2_1,TS_3_3_1,TS_3_4_1,TS_3_5_1,TS_3_6_1,TS_4_1_1,TS_4_2_1,TS_4_3_1,TS_4_4_1,TS_4_5_1,TS_4_6_1,TS_4_7_1,TS_5_1_1,TS_5_2_1,TS_5_3_1,TS_5_4_1,TS_5_5_1,TS_5_6_1,TS_5_7_1,TS_5_8_1,G_1_1_1,G_2_1_1,G_3_1_1,NETRAD
1,0.25,1.37903465664852,0.151821839111549,3.36383057615192,-0.0238624053661635,0.486589314096722,-18.4873446234206,0.911926157032995,423.391883628813,4.0561591476261,423.623167284568,3.96220127655435,422.741732011719,3.49215281835026,423.597531107579,3.97645263174447,422.620063175255,3.52668333693109,424.207086220189,4.00003891774813,422.11184855,423.897086678965,4.04087614546224,423.179885497639,3.69279143800724,424.60447751095,4.24599926157748,427.40783609899,3.5938278894794,428.524705525067,4.60056441422081,428.280415433375,3.9676095692601,2.90663227524943,-4.60781753503861,0.117101109067565,2.08,0.53,0.25,-4.10035,-4.672,-3.3255,-4.61175,-4.0732,-3.3444,-8.0591,97.43579,70.52,1.12245,-2.76,-3.27,-3.78,-2.91,-2.28,0.1,-2.39,0.7,-0.91,0.14,248.3,297.25,290.3,298.7,-0.25,0.06,0.05,0.25,0,-0.28,0.14,0.04,0.15,-0.07,-0.101,0.301,1.457,1.828,2.488,2.541,3.038,3.668,-0.235,0.008,1.443,1.8545,2.5905,0.875,1.797,2.2875,2.802,2.662,3.6005,0.086,0.78,2.351,2.7945,3.0155,2.685,4.143,-0.387,0.289,1.629,2.47,3.008,3.504,3.728,4.358,-4.788,-5.2915,-3.28,-49.355
1,0.75,1.04784928182719,-0.0128255784752644,2.5696980590026,-0.0184340657796297,0.513969555282134,-19.7199742912392,0.90922014958676,422.377465313652,4.13666287704516,423.350312647396,3.85580828770098,423.328000139385,3.72381537526638,423.640223305022,3.77646058518493,423.692418611321,3.45756067356618,424.008118715107,3.66630096040914,423.510221798106,425.157329203282,3.72088801309565,423.209273629654,4.06318101367017,424.914361196393,3.43748942956705,424.422358337811,2.95452252172122,427.682065149478,4.07891566226051,425.555720716667,4.47877970502585,3.05181760018214,-4.73280460261407,0.114273630767853,2.145,0.53,0.23,-4.1469,-4.737,-3.5178,-4.4931,-4.0936,-3.3364,-8.40435,97.37814,70.78,1.11145,-3.03,-3.45,-3.53,-3.05,-2.53,0.1,-2.56,0.7,-0.92,0.09,243.4,295.7,287.5,298.1,-0.26,0.06,0.05,0.24,-0.02,-0.29,0.14,0.04,0.17,-0.07,-0.117,0.292,1.454,1.827,2.483,2.542,3.037,3.6665,-0.249,0.008,1.4365,1.854,2.5885,0.87,1.8,2.285,2.802,2.657,3.6015,0.086,0.769,2.349,2.801,3.01,2.682,4.123,-0.411,0.286,1.629,2.469,3.01,3.508,3.727,4.359,-4.764,-5.406,-3.342,-54.285
1,1.25,0.888128111498567,0.042158833543649,4.64775426491663,0.184502626223284,0.514769396592041,-20.8762271318679,0.930282077206768,424.016696781766,4.28173357197342,423.283696905499,4.01648173467083,423.659501269231,3.36320890862029,423.382720900673,4.03279891929882,423.428267249555,3.53634420741716,423.25972036452,4.02211319791191,422.639497480355,423.367592445543,4.03130018817516,423.400183460107,3.54468381542951,424.6686997714,4.28276476278447,425.479959691954,3.37058195355335,428.130963689935,4.47795627748718,428.239350722045,3.78045498434904,3.01509063789922,-4.76415853610882,0.113646338818308,2.305,0.55,0.24,-4.2789,-4.882,-3.555,-4.4966,-4.1411,-3.4838,-8.36815,97.34639,70.235,1.1096,-3.14,-3.37,-3.53,-2.94,-2.86,0.1,-2.47,0.7,-0.9,0.06,248.9,294.95,289.2,296.9,-0.26,0.06,0.04,0.21,-0.01,-0.28,0.13,0.04,0.15,-0.08,-0.147,0.277,1.452,1.826,2.4815,2.541,3.008,3.6645,-0.275,0.009,1.431,1.856,2.586,0.865,1.799,2.2805,2.801,2.652,3.6035,0.08,0.76,2.341,2.798,3.0115,2.7045,4.121,-0.46,0.276,1.627,2.472,3.009,3.506,3.725,4.36,-4.6675,-5.175,-3.2085,-47.93
1,1.75,1.34111131173524,-0.289240343624313,4.57155719411844,0.250603170113626,0.48557648716637,-23.7122618141913,0.888966213593584,423.955145061897,4.30482185056028,422.276133444091,4.17257969419688,423.363788717192,3.6322453087582,422.579104100144,4.05651243928578,423.363942310246,3.62014397585972,422.323749357517,4.06726764311748,422.492859438596,422.975649622202,4.15979562312467,422.989621774194,3.33817811681737,425.366710283353,4.31252848088781,423.894438310352,3.26726805761453,427.671321348813,4.55721441364292,425.413437509804,4.63589872357162,2.97064405757735,-4.66590975613838,0.114563517217838,2.15,0.56,0.205,-4.39435,-4.965,-3.7314,-4.513,-4.475,-3.2185,-8.6919,97.32825,70.99,1.1358,-3.04,-2.93,-3.3,-2.81,-2.71,0.1,-2.14,0.7,-0.88,0.09,257.5,295.3,287.5,298.1,-0.26,0.06,0.05,0.25,-0.01,-0.28,0.14,0.04,0.15,-0.07,-0.164,0.268,1.45,1.824,2.48,2.541,3.013,3.6625,-0.271,0.01,1.43,1.858,2.5835,0.86,1.782,2.28,2.8,2.6475,3.605,0.074,0.738,2.333,2.8265,3.01,2.7025,4.12,-0.462,0.273,1.619,2.465,3.008,3.505,3.724,4.361,-4.711,-5.263,-3.285,-39.33
1,2.25,1.33985606957853,-0.0352327933059493,1.97507436382487,0.951872592842909,0.450760023801899,-20.6932052934815,0.832166450002427,423.12987813051,4.48908388310598,421.040477365526,3.99062720039167,422.683022970684,3.25556430971771,421.423405444585,4.00795662635863,422.683901443943,3.34184503998594,422.715561818241,4.16639548016374,421.838603745614,423.376991812315,4.14489532877186,423.076296646018,3.16497323110134,424.209465992102,4.23428868854913,425.799297434041,3.18044318871142,428.385212888803,4.21793029328823,427.783848833333,3.85216610590853,2.73747148855591,-4.78260184801058,0.114698896951863,2.085,0.5,0.19,-4.3996,-4.832,-3.74045,-4.3004,-4.6169,-3.5286,-9.0381,97.33615,71.33,1.0924,-2.87,-3.17,-3.46,-2.87,-2.72,0.1,-2.165,0.7,-0.86,0.08,252.4,296.05,285.9,297,-0.25,0.06,0.05,0.24,-0.01,-0.29,0.13,0.04,0.15,-0.08,-0.171,0.274,1.443,1.824,2.479,2.54,3.035,3.661,-0.289,0.01,1.449,1.856,2.5825,0.856,1.762,2.2795,2.799,2.6425,3.607,0.066,0.729,2.327,2.8245,3.023,2.7,4.118,-0.464,0.27,1.606,2.46,3.007,3.504,3.723,4.362,-4.737,-5.089,-3.32,-43.28
1,2.75,1.01467003319125,0.0678166241994011,2.02427712009405,0.953478616167007,0.460756543840617,-19.6410176011424,0.852438979314659,422.607628738885,4.10390986217883,421.477356484864,3.76527694856035,423.773142901361,3.81188594194773,421.331737020903,3.91158768930939,423.820525711515,3.85417262693263,421.465947674901,3.88741625406213,422.934617976087,421.579432616635,3.89861534105577,422.9553525,3.53826412519079,423.301188079719,3.90448975564669,424.296124802643,3.3835765224882,428.161815988321,3.97526549171938,424.538458973684,4.65491364281052,2.80315876914906,-4.73896396794023,0.115403371657232,2.035,0.5,0.215,-4.4449,-4.935,-3.8642,-4.2694,-4.5266,-3.5665,-9.6479,97.29002,71.32,0.99655,-2.96,-2.93,-3.34,-2.86,-2.69,0.1,-2.145,0.7,-0.9,0.09,254.2,296.5,283.6,297.9,-0.25,0.06,0.04,0.24,-0.01,-0.29,0.13,0.04,0.15,-0.07,-0.178,0.276,1.438,1.823,2.478,2.539,3.009,3.659,-0.329,0.01,1.45,1.854,2.581,0.853,1.756,2.281,2.798,2.6375,3.6055,0.063,0.73,2.323,2.791,3.007,2.668,4.116,-0.503,0.268,1.605,2.459,3.006,3.503,3.721,4.361,-4.757,-5.266,-3.3395,-36.295
1,3.25,0.808525113947599,0.106618811283767,2.24167249338494,0.0181613897906754,0.468406034341246,-19.1991873597289,0.88296320673409,420.831282077715,3.69185301772504,421.440450055961,3.6721998086355,422.931673826387,3.66085321916879,421.436102689144,3.6243327629867,422.878336507889,3.62345287370016,421.03383633215,3.68924993690406,422.295726938547,421.412572651194,3.72333641956196,423.16377819206,3.84097687897268,423.072892625744,3.80117617017591,427.120971194357,3.1906078592413,426.21002752602,4.05161631806832,426.503413806856,4.0494298521982,2.96410554878887,-4.81337319601655,0.106324931269519,2.07,0.49,0.205,-4.4881,-4.9185,-3.9103,-4.32295,-4.48405,-3.7571,-9.6933,97.28175,72.445,0.97015,-2.9,-3.21,-3.43,-2.91,-2.94,0.1,-1.99,0.7,-0.89,0.07,259.6,295.8,285.8,296.6,-0.26,0.06,0.05,0.24,-0.01,-0.3,0.13,0.04,0.15,-0.07,-0.189,0.2695,1.435,1.822,2.481,2.54,3.0315,3.6575,-0.336,0.003,1.437,1.853,2.583,0.853,1.75,2.2835,2.797,2.632,3.604,0.053,0.72,2.323,2.794,3.0055,2.665,4.114,-0.5,0.269,1.605,2.458,3.006,3.502,3.719,4.362,-4.7835,-5.37,-3.344,-36.3
1,3.75,0.792703608410913,-0.16149237837793,1.46803321513855,0.52477619584698,0.484418661738313,-22.094834942955,0.898375096529545,421.764981713433,4.17623604203472,421.793161171867,3.46554561265671,423.344111528662,3.82190078974185,421.49638087133,3.51341051744236,424.084090698758,3.85581108961313,421.079407050846,3.00997956290755,422.970086232617,421.448703540154,3.55338276284172,422.5455798,3.56158889707084,422.49273395527,3.74239503503691,423.929400157729,3.15272207307651,426.49490861773,3.90891640511266,424.597586667915,4.53888595188466,3.11597862192836,-5.22809782655191,0.107956272959968,2.295,0.52,0.225,-4.551,-4.908,-3.9438,-4.30715,-4.4445,-3.872,-10.36045,97.27025,72.74,0.8898,-2.89,-3.45,-3.73,-3.17,-2.96,0.1,-1.9,0.7,-0.9,0.11,255.5,295.95,284.5,295.9,-0.25,0.06,0.04,0.24,0,-0.29,0.13,0.04,0.15,-0.08,-0.192,0.281,1.434,1.822,2.475,2.54,3.031,3.6585,-0.344,-0.01,1.427,1.852,2.584,0.848,1.747,2.2845,2.796,2.627,3.602,0.047,0.73,2.324,2.796,3.0035,2.692,4.1265,-0.502,0.27,1.604,2.4665,3.011,3.501,3.718,4.365,-4.819,-5.3155,-3.3065,-39.145
1,4.25,0.744604990257375,-0.060552136669547,2.4225549414881,0.265412161830843,0.534275750134624,-19.8098155417142,0.882874550964903,420.948433407595,3.73332133630544,422.465678148803,3.84012385412724,422.755684823248,3.31022322132559,422.331205155876,3.88560829497901,422.778316966259,3.45056033157413,422.085420587287,3.86269924168039,422.045747352025,422.440756557354,3.8719222004348,423.787271054795,3.2879993367231,423.34151970419,3.85851596010886,427.11430753819,3.63120473509434,426.591157877676,4.00656248773144,427.512278661392,3.88734220033519,2.96199780625577,-5.64835640013371,0.106174400803422,2.08,0.51,0.24,-4.557,-5.101,-3.9046,-4.2956,-4.6551,-3.91885,-10.0058,97.26556,73.225,0.81965,-3.05,-3.29,-3.74,-3.03,-2.97,0.1,-2.16,0.7,-0.88,0.08,254.6,294.95,284,295.8,-0.25,0.06,0.05,0.25,-0.03,-0.29,0.13,0.04,0.15,-0.08,-0.192,0.293,1.4315,1.821,2.474,2.54,3.019,3.66,-0.351,-0.019,1.429,1.85,2.586,0.843,1.735,2.287,2.795,2.622,3.6005,0.041,0.75,2.325,2.799,3.027,2.722,4.124,-0.505,0.259,1.596,2.466,3.009,3.5,3.717,4.365,-4.6635,-5.292,-3.3335,-40.895
1,4.75,0.550348238521949,0.108963609596825,2.15666662093768,0.115998710117886,0.498264494303626,-22.6326765760718,0.89346003821552,420.847595784309,3.49419718880113,422.81015104161,3.1185563619688,423.131524560757,3.53315348695975,422.430219761811,3.4679080129747,423.537375861386,3.58373549454331,423.079385069677,3.48498875865678,423.088536073369,423.353381790369,2.97285675713889,423.886466121495,3.29510784897066,424.017555903011,3.05034824684061,423.648973856061,3.29060396622493,425.453710815785,3.53120687281081,423.966161651822,4.31270879759613,2.79558200832908,-5.44123539390165,0.118554292909452,2.14,0.52,0.225,-4.6055,-5.18,-4.1117,-4.3932,-4.97965,-4.0572,-10.3274,97.24185,74.185,0.8155,-3.16,-3.53,-4.03,-3.31,-3.17,0.1,-1.96,0.7,-0.91,0.09,250.6,293.75,284.1,295.4,-0.26,0.06,0.05,0.25,-0.06,-0.29,0.12,0.04,0.15,-0.08,-0.2,0.274,1.4255,1.8165,2.473,2.539,3.03,3.661,-0.368,-0.015,1.432,1.849,2.584,0.839,1.713,2.2895,2.797,2.617,3.599,0.033,0.756,2.322,2.823,3.026,2.72,4.1195,-0.545,0.256,1.585,2.464,3.009,3.5,3.715,4.366,-4.655,-5.2875,-3.258,-36.135
